Leading.proteins.Positions.within.proteins;log2 eat2_d15_01;log2 eat2_d15_02;log2 eat2_d15_03;log2 eat2_d15_04;log2 eat2_d1_01;log2 eat2_d1_02;log2 eat2_d1_03;log2 eat2_d1_04; -Log Student's T-test p-value eat2_d15_eat2_d1;Student's T-test q-value eat2_d15_eat2_d1; Student's T-test Difference eat2_d15_eat2_d1;Student's T-test Test statistic eat2_d15_eat2_d1;Sign p-val: 0.05 
B3GWD8(196);20,1236;20,5493;21,1031;20,9334;23,8394;23,8007;23,6418;23,2697;4,62186;0,00152632;-2,96056;-11,6679;+
A0A061AD09(37);21,3746;20,6783;21,0299;20,5448;20,7379;21,5393;21,4388;20,9034;0,402449;0,364303;-0,24795;-0,914188;
Q3S1I9(88);22,0414;20,9049;19,5599;20,4587;21,0449;20,8853;21,1509;20,5674;0,11998;0,735796;-0,170893;-0,321672;
Q3S1I9(240);22,4755;21,0297;22,664;23,1742;20,9667;20,5865;20,3952;19,8745;1,97883;0,0153237;1,88013;3,66637;+
G5EDF9(7);21,7113;20,9051;21,5384;21,0025;21,4791;23,2069;23,4336;22,9113;1,64593;0,0284142;-1,4684;-3,04702;+
G5EDF9(13);20,9095;20,6514;21,4471;20,1895;20,0777;22,5115;23,8453;23,1834;0,950106;0,109963;-1,6051;-1,86032;
G5EDF9(521);20,6047;20,1422;20,203;20,9822;22,0813;23,3163;22,4226;22,3875;3,11517;0,00305;-2,0689;-6,26633;+
A0A0K3AQS9(98);21,6466;21,084;20,5156;19,8864;20,9403;21,7553;21,5142;19,7951;0,143447;0,691215;-0,218078;-0,377621;
A0A0K3AQS9(58);20,922;19,9403;21,0624;21,5466;21,7373;23,0522;23,4179;21,6485;1,52484;0,0350131;-1,59616;-2,83237;+
A0A0K3AQS9(173);25,4485;22,6639;24,3064;25,0223;23,6735;24,7184;25,6456;24,6859;0,169245;0,646962;-0,320534;-0,437206;
A0A0K3AQS9(21);24,2264;23,5739;24,9054;23,2206;20,1117;21,2592;21,6426;21,1536;2,99084;0,00362569;2,93979;5,93485;+
A0A0K3AQS9(160);25,0452;23,174;22,6811;24,166;23,0888;23,3046;23,0679;23,8624;0,332956;0,428919;0,435645;0,780873;
A0A0K3AQS9(122);26,767;25,9117;25,99;26,6959;22,9346;24,8838;25,3789;23,9325;1,89949;0,0173426;2,0587;3,5144;+
A0A0K3AQS9(114);25,2813;24,0705;24,6979;22,9127;25,79;22,4392;23,0577;23,7932;0,211209;0,582645;0,470531;0,530401;
A0A0K3AQT4(28);23,3782;23,6285;24,0569;23,3793;20,2928;19,9698;20,1963;21,073;4,519;0,002;3,22777;11,1987;+
A0A0K3AQT4(76);22,6481;25,086;25,3506;24,9068;21,0963;20,912;20,8785;20,2299;2,90311;0,00403407;3,7187;5,70901;+
A0A0K3AQT4(15);25,216;23,437;23,4736;22,1196;24,1107;26,6339;26,9381;26,1947;1,43416;0,0424163;-2,40779;-2,67462;+
A0A0K3AUF2(802);24,6902;23,4674;22,0641;23,1463;24,1314;24,3147;22,6413;26,1291;0,489297;0,2968;-0,962117;-1,07397;
A0A0K3ARB5(19);23,1416;22,6612;23,7309;23,5633;20,0765;21,5337;21,419;20,832;2,86972;0,00438347;2,30896;5,62474;+
A0A0K3ARB5(20);23,1416;24,762;25,0833;24,8576;20,7941;19,6603;20,6867;20,8551;3,54399;0,00210526;3,96205;7,52276;+
A0A0K3ARB5(6);23,2863;21,656;20,6174;22,6982;19,3907;20,4478;21,35;20,0251;1,30494;0,0540847;1,76107;2,45354;
A0A0K3AS90(1163);23,6604;22,5202;22,852;22,2183;20,8704;20,3729;21,6243;20,9135;2,44522;0,00680383;1,86745;4,62741;+
A0A0K3AWX1(391);19,8885;21,5349;21,2998;21,2814;20,9564;21,8743;21,1983;20,9949;0,239295;0,541794;-0,254816;-0,590549;
A0A0K3AWX1(378);21,5456;21,1286;21,0404;21,5365;20,1172;19,378;20,8477;20,3891;1,82255;0,0203038;1,1298;3,36975;+
A0A0K3AVS5(10);21,6481;21,4494;20,6691;21,1544;19,6512;20,623;20,637;21,3632;0,800521;0,150124;0,661613;1,61103;
A0A0K3AW96(1148);22,5114;22,1148;20,7902;22,8784;20,224;21,7503;20,1577;18,8285;1,29778;0,0547836;1,83359;2,44141;
A0A0K3AW96(1306);20,7289;20,2022;21,8042;21,5686;20,8483;21,2299;21,6972;20,5487;0,00378285;0,989262;-0,00506306;-0,01133;
A0A0K3AW96(2799);26,7722;25,6859;27,8765;27,4224;25,6721;25,3345;25,2425;24,467;1,76568;0,0228896;1,76023;3,26449;+
A0A0K3AW96(2725);26,696;23,4355;22,1419;22,4113;23,6612;24,9205;23,6158;23,5435;0,0873949;0,804925;-0,264092;-0,240809;
A0A0K3AWB0(580);25,8509;22,0571;22,9232;25,1645;21,4794;24,8791;22,9747;22,8663;0,359891;0,403619;0,949053;0,833221;
A0A0K3AWB0(588);24,4604;24,1179;24,1296;24,6268;20,3309;21,4537;20,4319;21,0258;4,70552;0,00168116;3,52309;12,063;+
A0A0K3AWM6(430);21,2875;19,9649;20,0605;20,9046;20,12;21,7507;20,0534;20,4033;0,0182192;0,955177;-0,0274796;-0,0537014;
A0A0K3AXE0(11);20,4498;21,3899;20,9074;19,486;22,4303;22,7649;22,611;22,0671;2,34732;0,00808588;-1,91003;-4,41512;+
A0A0K3AXT9(687);25,7905;26,8828;27,7092;25,4412;19,9877;21,6152;21,8766;20,4859;3,67824;0,00211673;5,46457;7,95605;+
A0A0K3AXT9(697);21,9727;20,2349;20,6954;21,0619;20,2089;21,3739;21,1602;21,372;0,0279032;0,933748;-0,0375547;-0,0814004;
A0A0K3AXT9(677);24,8458;27,2829;26,6816;26,9848;20,4863;20,7412;20,8545;19,7058;4,21229;0,00186885;6,00184;9,89997;+
A0A0K3AXT9(683);24,4766;26,1682;26,4029;26,1487;22,5374;23,6676;22,9655;24,5416;2,0464;0,0140094;2,3711;3,79819;+
A0A0K3AY44(449);25,3899;26,5551;26,9841;26,9997;20,445;21,4865;21,4319;20,6497;4,65746;0,00158904;5,47895;11,8346;+
A0A0K3AY44(442);22,0035;20,5391;20,5605;20,4148;20,8052;21,4248;20,9981;20,3659;0,0147716;0,961757;-0,0190339;-0,0437034;
A0A0K3AY85(173);24,5809;26,7236;25,768;26,3321;24,7656;24,4963;24,7206;24,5222;1,3893;0,0458861;1,22497;2,59742;+
A0A0K3AY85(152);19,8134;20,591;20,7853;20,8305;21,0927;21,2122;21,3657;20,2574;0,671217;0,198117;-0,47692;-1,39246;
A0A0K3AYE8(172);19,5271;20,8876;21,2137;21,3042;21,5262;22,4827;22,4416;24,4971;1,43225;0,0424913;-2,00369;-2,67131;+
A0A0M7RFG7(49);22,0768;20,8755;21,3311;21,0708;20,6771;20,6611;20,3198;20,9856;1,20639;0,0654649;0,677634;2,2873;
A0A0S4XRR1(215);21,2132;21,1193;21,1607;21,0533;21,0429;20,6115;19,8162;21,3312;0,626514;0,216817;0,436131;1,31569;
A0A0T7CIX3(487);21,9368;18,5195;18,4005;21,0016;19,7109;21,4567;21,3905;20,6123;0,366426;0,39747;-0,828004;-0,845787;
A0A0T7CIX3(136);19,9278;21,4489;20,543;21,0004;20,1268;21,1031;21,6238;20,4548;0,074716;0,828138;-0,0970755;-0,20822;
A0A0T7CIX3(543);21,146;20,5567;20,5375;20,7377;21,5981;23,4093;23,2447;21,5807;1,77507;0,0223314;-1,71376;-3,28177;+
A0A131MBQ6(32);21,7223;18,9888;20,0508;21,2503;22,5722;24,5823;25,1195;24,4063;2,35424;0,008;-3,667;-4,42992;+
A0A131MCJ5(53);20,2832;19,4886;19,8333;20,2595;20,3938;20,5954;20,445;20,7507;1,51424;0,0355469;-0,580086;-2,81381;+
A0A131MD51(18);21,5559;21,5134;21,337;20,255;21,9222;22,6273;23,9803;23,7033;1,80188;0,0211712;-1,89294;-3,33133;+
O16293(195);21,9782;18,3985;20,9695;21,0961;20,6063;19,3543;20,9579;20,2706;0,140685;0,696689;0,313271;0,371127;
O02147(540);21,4841;21,3722;20,0657;21,2176;22,3016;24,7085;25,9691;23,2469;1,87531;0,0185312;-3,02167;-3,46865;+
F3Y5Q3(84);23,8072;23,2767;21,9531;23,8411;20,7274;21,2712;21,8845;21,3061;2,0669;0,0136466;1,92224;3,83865;+
Q9N350(17);21,9322;24,0387;25,3652;24,8307;19,6511;20,5802;21,1492;20,5286;2,32774;0,0083612;3,56445;4,37339;+
Q9N350(179);24,381;27,1767;26,3585;26,0858;20,1667;20,9368;21,2222;20,33;3,79873;0,00226244;5,33652;8,36278;+
A0A1N7SYR3(844);21,6527;18,7842;20,7236;20,6829;19,2409;21,6692;20,9466;20,7021;0,0819003;0,816891;-0,178853;-0,226769;
A1IMB7(151);20,1651;21,4032;20,405;20,527;21,5437;22,0336;22,2475;23,2573;1,97232;0,0156101;-1,64546;-3,65379;+
A3QMB7(63);20,7373;20,1265;19,4449;20,363;19,7862;20,3313;21,4998;21,0685;0,490194;0,29639;-0,503536;-1,07559;
J7SF86(65);21,6992;19,8334;20,528;19,015;20,2106;20,7925;21,2625;21,3095;0,450111;0,324273;-0,624871;-1,00268;
U4PRJ1(143);20,3424;21,1414;21,6776;21,4089;20,1385;21,0131;18,542;21,257;0,637073;0,212344;0,904925;1,3339;
A5JYX4(101);25,0451;23,9429;23,8379;23,3846;23,1305;23,9312;23,8744;22,6587;0,675456;0,196992;0,653901;1,3997;
A5JYX4(81);25,7235;27,2136;26,6909;26,9276;22,0736;23,9466;24,1974;23,8034;2,77192;0,00472393;3,13366;5,38305;+
A5JYX4(77);21,1575;20,7076;21,5962;20,9997;19,8675;20,7706;20,9515;20,5536;0,988904;0,101585;0,579444;1,92475;
A5JYX4(130);22,7036;24,2487;23,7622;25,1969;22,1988;22,4953;21,5202;22,1974;1,81617;0,020675;1,8749;3,35787;+
A5JYX4(131);22,7036;23,7003;24,2314;22,5855;22,1074;22,4953;21,5202;23,1808;0,945931;0,11101;0,979272;1,85338;
A5PEY0(153);23,403;24,0328;25,7259;23,9859;20,9131;21,3883;20,6974;20,9538;3,13856;0,00295279;3,29875;6,33022;+
I2HA81(362);21,0581;20,2849;19,3281;20,9725;22,8822;27,0794;27,0144;26,7743;2,62825;0,00494247;-5,52668;-5,04135;+
A5Z2W7(48);21,1554;22,6265;22,7661;22,033;20,7838;21,5025;21,4989;21,2999;1,13403;0,0767497;0,873961;2,1662;
A5Z2W7(56);24,0147;24,2679;25,58;22,7831;19,3226;20,2489;21,1835;20,6749;2,80598;0,00461295;3,80392;5,46637;+
A6PVA5(9);21,8409;23,5633;24,0965;23,1731;23,262;23,2864;21,0682;22,9927;0,301884;0,460014;0,516122;0,719271;
Q20621(425);23,8934;23,9373;24,0824;24,923;23,2634;22,6777;22,0148;21,3952;2,13327;0,0123043;1,87123;3,97112;+
A7DT41(137);20,992;20,3824;19,657;21,681;18,8158;21,5728;21,7393;21,1376;0,0609002;0,854162;-0,138279;-0,17191;
A7DT41(240);21,2066;20,6973;21,3437;21,2599;20,3176;21,194;20,477;20,8339;0,870322;0,128895;0,421235;1,72763;
A7DT41(165);20,9432;18,7387;21,3275;21,4523;23,8283;24,7014;25,0748;23,9268;2,76159;0,00467375;-3,76742;-5,35798;+
A7DT41(223);20,8964;19,8609;20,8022;19,31;20,5484;21,5432;21,2107;20,8539;0,957113;0,108468;-0,821704;-1,87196;
A7DT41(158);20,6043;20,8339;20,6146;21,1435;24,615;23,7201;24,2872;23,7657;4,93427;0,00147826;-3,2979;-13,2079;+
A7DT41(262);20,8753;18,8561;21,3432;21,0917;24,0827;23,2516;23,8585;22,1429;2,09665;0,0131879;-2,79238;-3,89774;+
Q9XWW2(238);20,8231;21,5212;20,6574;21,6754;20,7063;21,5031;21,8584;20,2812;0,0663683;0,843194;0,082026;0,186384;
Q9XWW2(276);21,3114;18,261;20,5507;20,9375;19,1112;21,2878;21,6913;21,2726;0,26233;0,509199;-0,575613;-0,638716;
A7LPD6(582);25,3577;24,5915;22,9995;24,3284;20,7658;20,7158;20,6376;20,3455;3,50665;0,00202532;3,70309;7,40585;+
A7LPD6(545);25,6671;23,456;21,6948;23,5304;20,8353;20,6443;20,6382;21,3902;1,76211;0,022983;2,71011;3,25792;+
A7LPE6(329);23,2776;26,6366;26,8808;25,5553;20,5485;21,0322;21,4446;20,9136;2,80456;0,00459119;4,60288;5,46287;+
Q5FC71(99);21,18;20,5198;20,3911;21,6162;20,8513;21,8524;21,4673;19,8916;0,0610964;0,854011;-0,0888596;-0,172432;
Q5FC71(87);20,7639;20,5807;21,0098;19,4139;20,0685;21,6842;20,4942;19,9995;0,0820247;0,816733;-0,119556;-0,227088;
Q5FC71(50);21,8289;21,485;21,1998;21,5596;26,5943;28,3036;28,7584;26,3827;4,18362;0,002272;-5,9914;-9,78586;+
Q5FC71(63);29,9646;29,1614;28,4394;27,7251;24,122;24,0926;24,8296;27,9515;1,86672;0,018764;3,57368;3,45247;+
Q5FC71(64);31,1305;32,3033;32,1706;23,7038;29,3594;31,1211;30,7817;29,4716;0,0598814;0,855829;-0,356387;-0,169197;
Q5FC71(74);22,0454;21,1911;20,4814;21,1949;21,0924;21,1527;21,2322;20,7167;0,210565;0,583429;0,179698;0,529002;
A8WFH7(312);23,8858;24,9999;24,9737;23,5204;23,4759;23,0125;22,4648;22,8125;1,75327;0,0233409;1,40355;3,24169;+
A8WFH7(313);20,907;20,2394;20,6324;21,4894;20,7436;20,9297;21,8716;21,0238;0,393064;0,372056;-0,325099;-0,896504;
A8WFH7(322);21,2492;24,6939;25,122;25,553;20,3805;22,665;24,4235;21,918;0,67403;0,197569;1,80779;1,39726;
H2KYH9(63);21,2969;20,7897;20,8244;19,1231;20,1333;20,809;20,2668;20,3764;0,0812842;0,817073;0,11215;0,225187;
A8WHP8(79);23,1619;22,8317;22,1447;22,7106;23,8438;22,9258;22,5875;22,9949;0,504972;0,286673;-0,375826;-1,10216;
A8WHP8(57);21,4583;20,6505;21,4453;21,1883;20,588;21,3695;21,0452;21,043;0,293429;0,470771;0,174123;0,702263;
A8WHP8(68);23,1303;22,6735;23,4692;21,9141;19,6432;21,2902;21,5098;20,3485;2,06292;0,0136334;2,09881;3,83078;+
A8WHP8(347);21,4823;19,5476;21,7658;21,1653;20,2697;21,5125;21,7887;21,1808;0,124055;0,72598;-0,197643;-0,331517;
A8WHP8(348);21,9637;22,0137;22,2861;22,9176;20,8158;21,1233;21,6061;21,1029;2,21669;0,0105368;1,13325;4,14101;+
A8WHP8(181);21,7561;20,04;21,5093;19,5039;20,7415;20,7206;21,8826;21,3949;0,333108;0,428887;-0,482564;-0,781169;
A8WHP8(154);26,4881;21,3335;23,9101;25,2886;21,4412;22,6873;22,6751;20,7767;1,00998;0,0978713;2,35999;1,95975;
A8WHP8(295);21,0801;20,5858;21,0352;20,3379;21,4907;21,462;20,2302;20,822;0,287898;0,477915;-0,241472;-0,691077;
A8WHP8(297);22,5417;21,4511;22,0691;21,6776;23,114;23,335;21,5291;23,5152;0,928236;0,11489;-0,938445;-1,82398;
A8WHP8(218);24,6815;23,962;26,0082;23,7266;20,9978;21,1914;21,0732;20,3696;3,29245;0,00209;3,68656;6,76352;+
A9UJN7(555);23,215;23,0289;23,0514;22,1979;20,3034;21,7889;20,2967;20,51;2,63401;0,00489807;2,14855;5,05476;+
A9UJN7(562);20,7697;21,3594;21,3015;19,535;20,2461;21,3017;21,539;21,0835;0,240196;0,541064;-0,301188;-0,59245;
A9UJP1(38);21,5906;21,499;20,7047;21,494;19,0972;21,5018;21,4749;20,4262;0,534045;0,268352;0,697093;1,154;
A9UJP1(71);20,2506;21,0321;20,7145;21,4523;20,7754;21,2796;21,4993;21,2506;0,528692;0,272083;-0,338831;-1,1445;
A9UJP1(57);21,5028;21,5451;19,4138;19,8022;22,3508;24,0385;24,6726;22,9248;2,0574;0,0136727;-2,93075;-3,81988;+
A9UJP1(73);21,5209;19,799;21,7202;20,2947;23,7969;24,428;24,7722;23,5462;3,03546;0,00332819;-3,30211;-6,05224;+
A9Z1K9(338);22,0807;20,7789;20,4122;20,0691;20,1415;21,4402;21,3336;21,2091;0,139341;0,699033;-0,195922;-0,367958;
B0M0L8(154);22,2482;23,2929;23,418;22,296;22,2206;23,0069;22,2746;22,6231;0,331793;0,42989;0,282481;0,778591;
B0M0L8(179);25,0547;24,0391;23,9533;24,3759;24,9529;25,1135;25,0916;24,3269;0,827934;0,140981;-0,515482;-1,6569;
B0M0L8(35);21,3568;20,6489;21,7948;21,1252;20,304;21,0669;20,6657;18,9223;0,970511;0,105639;0,99168;1,89421;
B0M0L8(98);21,1448;18,6417;19,8242;20,6551;22,9874;23,8159;23,6436;23,136;2,90607;0,00395214;-3,32928;-5,71652;+
B0M0N4(102);21,0359;20,9745;19,6175;20,3549;18,7555;21,9056;20,2279;20,4692;0,0775062;0,824234;0,156148;0,21545;
B0M0N4(3);20,7542;20,0336;20,038;18,9517;24,3454;23,7015;23,1392;21,4984;2,3957;0,00769302;-3,22671;-4,51927;+
B0M0N4(88);21,7548;20,1904;21,3833;20,5938;20,7754;21,5527;21,8158;19,9556;0,0275302;0,934283;-0,0442824;-0,0803435;
B2D6M4(494);27,6548;27,3311;27,584;27,434;24,9244;27,366;27,1777;25,6319;1,06211;0,0882469;1,22597;2,04639;
B2D6M4(499);20,8768;20,2682;20,2449;20,1922;24,984;24,3233;25,3258;24,4813;5,35471;0,00309091;-4,38306;-15,5846;+
B2D6P1(119);24,4981;23,0686;23,1787;23,9531;20,5095;21,199;20,8649;20,7348;3,61672;0,0019639;2,84757;7,75496;+
B2D6P1(97);24,4506;20,9849;22,1507;22,6162;20,0498;21,5581;20,7946;20,5847;1,21234;0,0648503;1,8038;2,29729;
B3CKG1(24);27,2999;25,661;25,3296;26,1432;19,3419;21,7821;20,0069;20,6851;3,79965;0,00227273;5,65441;8,36593;+
B3WFT8(10);22,0012;22,6959;22,1929;22,1263;24,8013;23,49;23,5209;23,1971;2,07645;0,0134451;-1,49822;-3,85758;+
E1B6S9(25);24,249;23,6046;24,2913;24,2745;20,5692;21,8788;20,6257;19,418;3,22609;0,00280189;3,4819;6,57389;+
G5EC65(1032);22,0556;21,381;21,2617;21,2197;20,4316;20,9295;20,2328;21,3291;1,25927;0,0588557;0,748783;2,37629;
B3WFW7(70);21,101;20,6637;21,735;20,5653;21,7908;21,7776;21,8369;19,7096;0,173601;0,640144;-0,262484;-0,447084;
B3WFY5(28);20,4862;20,2767;21,8412;21,2993;20,2881;21,8965;21,6186;20,5289;0,0712919;0,8355;-0,107164;-0,199301;
B3WFY5(29);24,8655;21,8924;26,0785;25,781;21,9412;22,5069;22,4384;23,249;1,11503;0,0797791;2,12046;2,1345;
B3WFY5(30);21,9788;21,8769;23,0364;22,7919;23,5732;23,558;23,4256;22,1002;0,804956;0,14827;-0,74323;-1,61846;
B5BM23(908);21,4004;18,4321;21,0326;20,8444;19,7499;21,7201;21,2273;19,1894;0,0166339;0,958182;-0,0442986;-0,049113;
B5U8N2(48);25,606;24,3541;24,7975;23,9565;20,3902;21,6241;21,5243;21,2768;3,59767;0,00207092;3,47467;7,69357;+
B5U8N2(360);21,8163;18,9145;21,0268;20,94;20,2006;21,8813;21,6502;21,3221;0,350803;0,411403;-0,589148;-0,815661;
B5U8N2(491);22,7242;23,1932;23,5548;25,4057;20,9247;22,208;23,6637;22,5598;0,850785;0,134314;1,38045;1,69506;
B6VQ78(562);25,0628;26,0294;25,7148;26,3512;20,7402;21,5127;21,0615;19,8414;4,51249;0,00195455;5,0006;11,1696;+
B6VQ78(569);22,895;26,3524;26,1879;24,1823;20,565;21,215;19,9568;20,3054;2,624;0,00513043;4,39383;5,03147;+
B6VQ78(172);21,0986;21,2985;21,5946;21,1327;20,8063;21,7547;21,7957;19,9784;0,170635;0,644589;0,197334;0,440363;
B6VQ78(176);19,8899;18,6924;20,4361;21,3514;20,1589;18,8541;20,92;20,1963;0,0293805;0,929951;0,0601239;0,0855776;
D9PTN8(403);20,9566;18,7733;20,8016;21,1581;20,4975;21,8731;21,6907;20,9261;0,608488;0,226419;-0,824457;-1,28451;
B7WN71(239);23,1489;25,845;24,9966;23,8267;20,5753;21,8538;21,7585;20,5651;2,46665;0,00662119;3,26617;4,6747;+
B7WN95(52);22,8597;21,9995;21,2783;20,3977;22,1949;23,4438;24,3243;23,0751;1,25811;0,058947;-1,62573;-2,37432;
B7WNA1(64);23,4342;26,3625;27,8663;27,7608;25,9612;24,5155;26,1278;23,7499;0,488545;0,297318;1,26738;1,07261;
B9ZSG9(872);21,9632;20,988;21,3919;20,4921;19,8703;21,3079;21,6396;20,3982;0,33746;0,424495;0,404834;0,789691;
C1P636(683);27,3936;22,2508;24,0562;23,2087;24,3829;27,3911;27,7469;24,7838;0,620779;0,219973;-1,84884;-1,30579;
C1P636(727);21,5017;20,6155;20,9376;20,8148;20,0767;20,7002;20,7928;20,7136;0,777017;0,15811;0,396566;1,57159;
C1P636(864);27,3016;27,091;26,9855;27,1379;26,7961;29,2473;28,5872;27,7194;0,906393;0,120165;-0,958505;-1,78767;
C1P636(741);20,7915;18,6303;21,4809;21,2311;20,095;21,0316;20,7677;21,2815;0,141432;0,695331;-0,260492;-0,372886;
C1P636(104);21,5846;20,2994;20,0581;19,0028;21,381;24,6498;24,5692;23,2222;1,86971;0,018661;-3,21934;-3,4581;+
C6KRI9(366);21,9266;19,3904;20,3025;21,3167;23,4178;22,6652;22,4566;21,8489;1,55371;0,0331979;-1,86307;-2,88311;+
C6KRJ1(158);25,9445;23,7488;23,1183;23,9353;20,6147;24,5905;24,5901;23,698;0,304052;0,458508;0,813436;0,723615;
C6KRJ1(190);20,6562;21,2023;20,4001;21,4084;20,6628;21,0369;20,9473;20,4694;0,203472;0,593718;0,137655;0,513535;
C6KRL2(4);22,8889;21,835;24,3561;22,8322;20,8262;20,981;21,7895;20,1363;1,78315;0,0221213;2,04484;3,29668;+
C6KRL2(14);25,5941;21,7457;22,4191;22,735;22,9168;23,8624;23,4076;23,9452;0,181399;0,628426;-0,409554;-0,464645;
C6KRL2(18);21,2868;21,1702;20,1776;21,2708;20,2009;21,6174;21,8525;20,0957;0,0222;0,945411;0,0347281;0,0651553;
C6KRN1(3);21,2725;20,4811;20,8668;19,7007;23,1583;24,5248;25,9561;23,2362;2,57837;0,00559168;-3,63861;-4,92625;+
C6KRN1(24);22,4722;21,5802;20,6416;21,6901;22,1506;23,3214;24,4259;21,7815;0,956798;0,108477;-1,32384;-1,87143;
C7GIK1(69);23,2566;25,7555;25,0678;24,4368;23,3502;23,4996;22,6015;23,7689;1,18807;0,0683268;1,32413;2,25657;
D0IMZ5(2153);20,9664;21,1219;21,2973;20,5326;20,9014;21,698;19,3266;20,3338;0,337617;0,424515;0,414602;0,789997;
D0IMZ5(269);21,7955;19,2461;21,4775;21,4753;19,5755;21,3665;21,3168;19,8443;0,255857;0,517382;0,472867;0,625278;
D0PV95(599);22,0229;19,7411;21,0967;21,6996;19,336;21,5063;21,0711;20,7198;0,292049;0,47258;0,481795;0,699478;
D0Z5P0(53);21,4557;20,0335;20,3962;20,3614;20,5128;21,7192;21,6914;19,8671;0,292162;0,472481;-0,385929;-0,699706;
D0Z5P0(541);20,359;19,1344;21,2743;20,7016;20,1461;21,3154;21,7611;20,5787;0,451929;0,32329;-0,583009;-1,00602;
D0Z5P0(470);20,301;21,1824;21,586;21,3731;20,8005;23,2358;22,5839;23,7822;1,09907;0,0823888;-1,49;-2,10791;
Q22832(234);21,7678;20,4897;21,5053;21,0149;23,0661;24,3663;23,8804;23,8569;3,25835;0,00248309;-2,598;-6,66553;+
Q22832(235);21,2276;21,5547;20,6354;20,5055;20,4505;20,5782;21,5406;21,0552;0,076521;0,82575;0,0746527;0,212901;
Q22832(492);25,435;25,4003;25,6343;25,4797;22,5459;25,5605;25,091;24,0634;0,884223;0,125735;1,17211;1,75078;
Q8WQB8(183);22,0855;20,489;19,631;21,2149;20,2351;19,5339;19,8739;19,2225;1,04097;0,0917746;1,13878;2,01124;
D3NQB5(149);20,7621;21,519;19,6622;20,0074;19,1156;21,4079;20,5093;21,0382;0,015639;0,960629;-0,0300765;-0,0462257;
D3YT77(49);19,7032;20,6854;20,0644;20,4718;26,9154;24,1033;23,6747;25,4848;3,12389;0,00299578;-4,81338;-6,2901;+
D3YT77(57);19,9694;20,6495;20,7197;20,3783;20,6808;21,1046;21,0922;20,269;0,656345;0,205144;-0,357446;-1,367;
D4YWC3(77);23,604;24,0338;23,7666;24,081;20,5166;21,2539;21,2144;20,885;5,10779;0,002;2,90387;14,1438;+
D4YWC3(78);24,4575;22,9531;21,5042;23,3842;22,4424;22,9434;21,4398;21,4046;0,682524;0,193788;1,01723;1,41176;
D4YWC3(41);29,6367;25,1263;25,927;26,0358;22,8801;23,3068;27,7911;25,1851;0,592664;0,235078;1,89069;1,25701;
D4YWC3(51);26,3752;24,0211;24,3202;23,3132;23,5754;24,7777;25,0008;23,6026;0,133363;0,707371;0,268322;0,353796;
