ProteinAccessions;log2 eat2_d5_01;log2 eat2_d5_02;log2 eat2_d5_03;log2 eat2_d5_04;log2 N2_d5_01;log2 N2_d5_02;log2 N2_d5_03;log2 N2_d5_04; -Log Student's T-test p-value eat2_d5_N2_d5;Student's T-test q-value eat2_d5_N2_d5; Student's T-test Difference eat2_d5_N2_d5;Student's T-test Test statistic eat2_d5_N2_d5;Sign p-val: 0.05 
A0A0K3AVA9;11,994;11,7847;11,651;11,8729;11,2685;11,0428;11,2468;11,4639;2,64114;0,00115328;0,570131;5,07138;+
A0A0K3AVL7;13,2901;13,4854;12,9914;13,0669;12,9627;13,0532;12,2852;14,8411;0,0484;0,839019;-0,0770874;-0,138284;
A0A0K3AVS5;19,4784;19,5861;19,6017;19,5462;19,1224;19,493;18,9658;18,9728;1,77168;0,00721851;0,414608;3,27553;+
A0A0K3AVV4;14,2144;13,8772;13,9616;14,0191;15,1187;14,4887;14,6688;14,6374;2,4434;0,00171685;-0,710297;-4,6234;+
A0A0K3AW68;13,6179;13,7515;13,3196;13,5035;13,731;13,7747;12,2415;11,2462;0,610041;0,145523;0,799795;1,2872;
A0A0K3AW96;16,3692;16,3087;16,2015;16,2124;16,3907;16,6015;16,3384;16,6967;1,32431;0,0215011;-0,233908;-2,48644;+
A0A0K3AXM4;17,0053;17,1095;16,9841;17,0243;16,5878;15,9716;15,9966;16,4598;2,5415;0,0014847;0,77684;4,84228;+
A0A0K3AY44;11,842;12,1194;12,1122;11,8781;11,3308;11,1458;11,2457;11,7057;2,34608;0,0020438;0,630952;4,41248;+
A0A0K3AY85;13,6489;13,9017;13,8618;13,8864;12,3575;12,1928;12,7751;11,9676;3,78624;0,000389916;1,50144;8,3198;+
A0A0K3AYJ1;16,3945;16,3511;16,3527;16,3028;16,4699;15,8699;15,9315;16,8144;0,131033;0,623838;0,0788524;0,348245;
A0A0M7REP5;16,071;16,0031;15,8602;15,8577;17,5753;17,0789;17,0426;17,1917;4,13023;0,000101382;-1,27411;-9,57646;+
A0A0S4XR31;15,1657;14,8884;14,9202;14,9698;15,5425;14,8938;14,7866;15,2415;0,29767;0,362827;-0,13008;-0,710809;
A0A0S4XR36;13,7513;13,275;18,4954;13,2745;10,9007;10,8419;12,2295;12,4937;1,21174;0,0285564;3,0826;2,29627;+
A0A0S4XR43;14,6417;14,5149;14,456;14,3481;15,0733;14,9261;14,6607;14,2776;0,629174;0,138373;-0,24423;-1,32028;
A0A0S4XR45;13,9047;13,6471;12,912;13,352;13,9227;14,4907;14,8008;14,4837;1,86906;0,00573864;-0,97051;-3,45687;+
A0A0S4XR68;14,3993;13,9547;13,198;13,7822;14,6301;13,4505;13,9936;14,9059;0,450132;0,228646;-0,411474;-1,00272;
A0A0T7CIX3;14,1281;13,7752;14,015;13,6909;13,2114;12,9299;12,1103;13,2928;1,90298;0,00531682;1,0162;3,52101;+
A0A0U1RML5;15,757;16,1672;15,8732;16,0161;16,7445;16,7038;16,0956;16,2426;1,42256;0,016221;-0,493275;-2,6546;+
A0A131MAU8;13,6991;13,832;13,4278;14,0084;13,6279;13,9799;13,589;9,34186;0,448288;0,229804;1,10715;0,999335;
A0A131MB12;14,0073;13,9238;13,733;13,9805;13,9809;14,3527;13,3982;15,0507;0,347339;0,311548;-0,28446;-0,80894;
A0A131MBA2;12,0557;11,692;11,8544;11,8086;11,2987;11,1394;11,1731;11,6731;1,99388;0,00437413;0,531574;3,69554;+
A0A131MBB2;15,5221;15,5952;15,4355;15,4668;14,1217;13,6942;13,6335;14,0711;4,78137;0,000197309;1,62477;12,432;+
A0A131MBC3;15,3715;15,1153;15,1104;15,1775;15,0082;14,5885;14,3784;14,6979;1,95878;0,0046286;0,525442;3,62768;+
A0A131MBF9;14,56;14,623;14,18;14,2704;13,9174;13,882;13,8402;13,8063;2,58265;0,00134637;0,546863;4,93605;+
A0A131MBG0;12,0288;12,0353;11,8507;11,8149;13,4709;13,1394;12,7689;13,7489;3,0727;0,000656891;-1,34958;-6,15154;+
A0A131MBG4;13,9942;12,6971;13,2133;13,2552;13,9775;12,4984;13,5548;13,8286;0,157034;0,57084;-0,174895;-0,409239;
A0A131MBU3;19,0294;19,0553;18,9044;18,959;18,4456;18,298;18,1992;18,5686;3,34191;0,000622642;0,609165;6,90765;+
A0A131MCJ0;13,448;13,2788;12,8441;12,9414;14,3326;3,91271;14,0929;11,5426;0,386688;0,277102;2,15787;0,884436;
A0A131MCL1;14,4729;13,7536;14,4411;14,5207;11,3367;11,033;11,168;11,5541;5,10748;0,000289474;3,02413;14,1421;+
A0A131MCL4;12,576;13,2845;12,6689;12,931;15,0588;15,0866;13,8978;15,6883;2,64722;0,00115751;-2,06779;-5,08558;+
A0A163UT65;15,1269;14,7252;14,7219;14,9904;15,0343;15,2846;15,3123;15,0999;1,27137;0,0250159;-0,291643;-2,39671;+
A0A164D380;15,3428;15,0569;14,6554;15,0507;14,2654;13,9874;14,3445;14,9511;1,38229;0,0183479;0,639317;2,5854;+
A0A164D3C9;14,0835;13,9058;14,4655;13,9734;11,3622;11,0841;11,056;11,5117;5,59406;0,000505747;2,85358;17,1149;+
A0A164D3G3;13,4667;13,6388;13,8091;13,5684;15,5543;15,7114;15,2037;15,1199;4,52743;0,000151203;-1,77658;-11,2364;+
A0A168H9Z7;14,4148;14,4258;14,2715;13,9988;13,9565;14,3631;14,313;14,4141;0,0386868;0,870139;0,0160401;0,11161;
A0A1C3NSI5;13,3504;13,1353;13,0658;12,8024;15,3575;16,0375;16,173;15,8722;4,91794;0,000235294;-2,77161;-13,1229;+
A0A1C3NSL1;11,8713;12,009;11,8276;11,8538;11,255;11,1898;11,2619;11,715;2,2423;0,00257061;0,534986;4,19397;+
A0A1C3NSL5;17,3815;17,4424;17,573;17,3302;18,137;18,0159;18,0333;18,2232;4,08685;9,76E-05;-0,670567;-9,40928;+
A0A1D3PCL0;12,854;13,1664;12,6039;12,9723;11,2682;10,9403;11,2586;11,656;3,87113;0,000418018;1,61833;8,61568;+
A0A1D3PCL8;15,0757;14,9147;14,7872;14,9327;14,6299;14,5406;14,5097;14,7324;2,24107;0,00256621;0,324415;4,19141;+
A0A1I6CM73;14,8673;14,7142;15,055;15,2103;12,1926;14,3166;13,9831;12,2316;1,67706;0,00863479;1,78073;3,10304;+
A0A1I6CM84;15,2126;15,1118;15,1529;15,2583;15,2715;16,0483;15,169;14,849;0,237599;0,437074;-0,150515;-0,586963;
A0A1I6CM85;14,5098;14,3517;14,0566;14,3917;12,2939;13,639;13,1443;13,0203;2,35551;0,00199634;1,30305;4,43265;+
A0A1I6CM94;11,9143;11,9663;11,7497;11,5434;11,2154;11,1904;11,1949;11,6971;1,61633;0,0102186;0,468985;2,99409;+
A0A1I6CM95;12,9068;14,0977;13,3469;13,3409;15,3208;14,5097;14,693;14,9303;2,50177;0,00151952;-1,44037;-4,75286;+
A0A1I6CMC9;12,0709;11,8597;11,8302;11,7828;11,9964;12,6013;12,7059;12,2536;1,55193;0,0121093;-0,503397;-2,87996;+
A0A1N7SYP3;19,2772;19,2947;18,8533;19,1476;19,4632;20,1036;19,1478;19,1059;0,581778;0,157583;-0,31195;-1,23802;
A0A1N7SYP6;18,8992;18,485;18,6725;18,5558;16,9735;17,242;16,8179;17,1523;4,74901;0,000192982;1,60671;12,2733;+
A0A1N7SYQ5;16,1403;16,7812;16,8121;16,7729;15,368;15,1084;15,3659;15,0904;3,61515;0,000517647;1,39345;7,74988;+
A0A1N7SYT2;12,1153;11,9476;9,87085;11,5245;13,8988;14,717;14,2952;13,7935;2,64048;0,0011516;-2,81153;-5,06985;+
A0A1N7SYU2;14,1511;14,121;13,4449;13,8114;10,7174;11,7878;11,4483;10,9196;3,98738;0,000222664;2,66386;9,0357;+
A0A1N7SYW5;13,6242;13,0234;13,1848;12,9121;12,7073;13,758;14,0414;13,4339;0,402284;0,263776;-0,29904;-0,913879;
A0A1T5HUK0;13,1848;13,219;13,572;13,253;13,9815;12,2419;14,0954;13,9793;0,238549;0,435659;-0,267343;-0,588972;
A0A9S0;12,8284;13,0734;12,57;13,2446;13,5168;14,3793;14,0736;14,0231;2,44153;0,00171575;-1,06911;-4,61929;+
A0A9S2;13,8951;14,335;14,0047;14,3626;13,7159;13,8113;12,9448;13,7027;1,39116;0,0177712;0,60564;2,60061;+
A2V8C3;17,5578;17,4002;17,6601;17,6665;16,6593;16,2092;16,0935;16,572;3,65553;0,000529323;1,18764;7,88132;+
A2V8C8;17,2318;17,8005;17,7423;17,385;17,6766;17,1523;17,0689;18,1387;0,0373931;0,874023;0,0307651;0,10802;
A3FPJ3;14,1786;14,2982;13,8313;13,851;12,0488;11,8308;12,0437;13,1728;2,78748;0,000874404;1,76573;5,42101;+
A3FPK9;13,064;14,0912;14,3274;13,5116;15,3741;15,2588;14,908;15,0004;2,40544;0,00189382;-1,38673;-4,54041;+
A3FPL3;11,8505;11,8016;11,394;11,5255;11,3481;11,0248;11,2461;11,6589;0,96644;0,0552172;0,323404;1,88745;
A3QM97;11,4726;12,0016;11,7959;11,6274;11,411;11,2274;11,1961;11,6333;1,24679;0,0264427;0,357408;2,35525;+
A3QM98;13,1775;13,2852;12,1847;13,8049;15,8591;16,851;15,5253;18,1874;2,64705;0,00115666;-3,49263;-5,0852;+
A3QMB6;11,8727;11,9365;11,7087;11,8609;12,6418;13,3357;13,0564;13,4907;3,26571;0,000639106;-1,28646;-6,68658;+
A3QMB7;14,4975;14,5514;13,902;14,1441;14,9245;13,3711;12,8346;12,8782;0,737044;0,102731;0,771612;1,50426;
A3QMC2;14,8473;14,8097;14,7818;14,875;14,9792;14,5922;14,6963;14,9191;0,127336;0,632244;0,0317802;0,339401;
A3QMC5;18,0362;18,0713;18,2124;18,1066;17,6606;17,6059;17,3454;17,7866;2,63381;0,0011441;0,507005;5,05429;+
A3QMC6;15,6087;15,3811;15,3577;15,4373;15,7521;14,6672;14,9154;15,4121;0,468477;0,217035;0,259497;1,03624;
A3QMC8;14,7018;14,1614;14,2552;14,1314;14,3896;13,9228;14,0622;14,2881;0,376518;0,28578;0,146755;0,865094;
A4F303;12,0549;11,6341;11,6141;11,5366;13,7188;13,7581;13,604;14,1455;4,82402;0,000210526;-2,09669;-12,644;+
A4F305;14,3296;13,5019;13,8903;13,4537;13,1924;13,9341;13,8821;13,0292;0,405385;0,261229;0,284414;0,919703;
A4UVK2;14,3263;14,5836;14,7116;14,557;13,5845;13,4246;12,6757;13,02;3,09876;0,000603175;1,3684;6,22178;+
A4UVK9;11,8775;11,8065;11,7869;11,6451;14,2732;14,205;13,8225;14,4493;5,59291;0,0005;-2,40851;-17,1072;+
A4UVL1;11,9725;11,7754;11,7179;11,7717;11,1719;11,1497;11,1886;11,6674;2,03234;0,00391211;0,514978;3,77058;+
A4UVL9;13,1758;13,2071;13,1618;12,9562;10,9531;10,6088;10,9725;11,5879;4,21243;0,000112245;2,09463;9,90053;+
A4UZ35;14,5184;13,0382;12,3358;12,8706;13,1568;13,1195;13,168;13,5543;0,042866;0,856432;-0,0588923;-0,123147;
A5A8P5;15,6234;15,4406;15,7842;15,6588;15,6643;15,3177;17,1308;16,2322;0,527473;0,182982;-0,459486;-1,14233;
A5HU91;19,165;19,5531;19,0118;19,3298;19,179;19,4707;18,3275;18,8508;0,523747;0,184942;0,307905;1,1357;
A5HU97;16,0979;15,9674;16,2595;16,0879;16,073;15,7607;16,2293;16,6729;0,155593;0,573671;-0,0808144;-0,405912;
A5HU98;16,8004;16,7195;16,5835;16,6208;16,18;16,2084;15,9688;15,8316;3,09338;0,000602577;0,633844;6,20724;+
A5HWA4;11,9464;12,0106;11,7582;11,861;11,3442;11,2562;11,979;11,5487;1,11124;0,0376301;0,362058;2,12819;+
A5HWA9;12,055;11,9376;11,8898;11,8659;11,4874;11,2284;11,2632;11,7162;2,27078;0,00241399;0,513255;4,25329;+
A5HWB2;13,717;13,542;13,2362;13,3423;13,5762;14,0513;13,1339;12,9822;0,0306477;0,89532;0,0234752;0,0891507;
A5JYR4;14,2548;14,2129;14,0809;14,2306;14,1127;14,3318;13,8559;14,6614;0,0952317;0,708427;-0,045635;-0,260623;
A5JYS8;13,8347;13,7362;12,9506;13,6441;12,9333;13,4584;13,7355;13,1334;0,36625;0,294417;0,226278;0,845448;
A5JYT2;14,0427;13,9116;14,0567;13,8405;14,7328;14,059;13,7612;15,4984;0,681992;0,119112;-0,549983;-1,41085;
A5JYU1;13,0121;12,4457;12,1367;13,0362;13,3508;13,2611;13,0395;14,1214;1,29345;0,0236443;-0,785529;-2,43406;+
A5JYU5;12,5573;11,7242;11,1369;11,676;12,3686;14,7136;13,4037;9,81631;0,314242;0,346802;-0,80196;-0,743937;
A5JYW3;11,989;11,807;11,8602;11,7597;14,2888;13,252;12,746;15,2662;1,95262;0,00466959;-2,03426;-3,61584;+
A5JYW9;14,7803;14,1006;13,8095;13,6259;15,1462;15,0276;16,9016;15,9831;1,81243;0,00672139;-1,68556;-3,35092;+
A5JYX3;13,8512;14,1158;14,0597;13,8836;16,6114;16,1213;15,5416;16,3904;4,01002;8,91E-05;-2,18862;-9,11953;+
A5JYX4;17,0545;17,096;16,9443;17,0743;16,3443;16,5117;16,6057;16,6913;3,08143;0,000660767;0,504017;6,17502;+
A5JYX8;14,7967;14,7982;14,7732;14,7436;14,6302;14,7245;14,8715;14,9103;0,0323173;0,889663;-0,00622225;-0,0938445;
A5PEY0;14,5683;14,7351;14,5568;14,6544;15,1477;14,3453;14,0399;15,5989;0,16497;0,555289;-0,154285;-0,427462;
A5Z2S2;14,4553;13,7139;14,8068;14,8396;15,2246;15,1412;14,7026;15,6364;1,17138;0,0316126;-0,722307;-2,22861;+
A5Z2S4;14,9202;14,7388;14,6021;14,6935;13,7714;13,9218;13,7667;14,057;3,95637;0,000376923;0,85944;8,92194;+
A5Z2S9;12,0242;11,9553;11,8826;11,844;11,606;12,2727;12,202;12,4795;0,511456;0,190804;-0,213517;-1,11377;
A5Z2T6;13,6721;13,808;13,0792;13,606;13,3906;12,1633;12,6221;12,9695;1,31537;0,0221319;0,754925;2,47125;+
A5Z2T7;11,9073;11,4325;12,0816;12,1571;12,7342;12,2502;12,7658;13,2952;1,74638;0,00771491;-0,866733;-3,22907;+
A5Z2T9;14,9448;15,1828;14,8623;15,0668;13,942;14,2609;14,0652;14,2488;3,84038;0,000412078;0,884952;8,50745;+
A5Z2U5;13,4097;13,3996;13,61;13,6954;11,4729;13,152;13,2071;15,9312;0,0327025;0,888352;0,087852;0,0949253;
A5Z2U8;14,0585;13,1099;14,1931;13,1684;14,2622;14,0627;14,3729;14,7592;1,19898;0,0297127;-0,731787;-2,27486;+
A5Z2U9;15,3433;15,7875;15,4132;15,6728;15,3249;15,077;15,024;15,2866;1,56996;0,0117235;0,37608;2,91178;+
A5Z2V2;13,8955;13,8098;13,9576;14,0295;14,225;13,9455;12,8637;12,9466;0,57509;0,160536;0,427913;1,22632;
A5Z2V3;13,5797;13,5562;13,3513;13,4732;14,3359;11,9927;12,8729;14,5257;0,0330673;0,88728;0,0582924;0,0959482;
A5Z2V7;14,6209;14,1904;14,3967;14,3862;14,5463;14,4202;14,1601;15,15;0,317561;0,342917;-0,170627;-0,750523;
A5Z2W3;11,8747;12,6002;12,4895;12,7454;15,1472;14,348;15,9832;15,8149;3,34713;0,000625592;-2,89586;-6,923;+
A5Z2W6;14,0829;14,316;14,2413;14,3417;14,2064;14,0838;14,2406;14,998;0,25956;0,408097;-0,13672;-0,632975;
A5Z2W7;16,524;16,5371;16,5994;16,4552;17,0013;16,9305;17,4535;17,3347;2,611;0,00117227;-0,651068;-5,00134;+
A5Z2X2;13,425;13,2845;13,0729;13,2832;15,9131;15,5007;14,9215;15,6052;4,26275;0,00011828;-2,21876;-10,1038;+
A6PVA1;11,8236;13,7417;13,3041;13,5715;13,4863;14,0119;14,5029;14,0746;0,957541;0,056356;-0,908712;-1,87267;
A6ZJ46;15,3451;14,8587;14,6492;15,1869;15,1251;15,1949;14,9224;15,817;0,461952;0,221572;-0,25493;-1,02435;
A6ZJ55;13,503;13,9512;13,635;13,2363;11,4423;11,1743;11,2672;11,671;4,66904;0,000171206;2,19268;11,8893;+
A6ZJ59;13,3989;13,9466;13,9333;13,5914;14,102;14,1595;13,3515;13,4529;0,0697325;0,776208;-0,0489407;-0,195222;
A7DT38;12,6798;12,9893;13,2089;12,6161;11,4447;11,0988;11,0074;11,5973;3,71105;0,00055259;1,58648;8,06509;+
A7DT40;15,4817;14,8397;14,9766;15,0976;14,4571;14,3022;14,6854;14,7936;1,64575;0,00925093;0,539333;3,0467;+
A7DT45;17,273;17,1142;17,4623;17,3327;18,4646;18,2708;17,7188;18,3908;2,60344;0,00116477;-0,915707;-4,98388;+
A7DTF0;15,8933;15,9318;15,7827;15,8439;15,661;15,4692;15,5499;15,747;2,00103;0,00428901;0,256175;3,70944;+
A7DTF2;11,9664;11,6905;11,827;11,8041;11,4452;11,1996;10,9888;11,5608;2,01888;0,00407704;0,523391;3,74422;+
A7LPD6;12,1083;12,0281;12,516;12,0292;14,8029;13,817;14,2832;15,749;2,93566;0,000704225;-2,4926;-5,79205;+
A7LPE4;12,9342;13,1892;13,2369;13,4493;12,5929;14,2998;14,3115;13,6789;0,583683;0,157072;-0,518345;-1,24135;
A7LPE6;18,0988;18,2111;18,004;18,2519;18,375;18,5566;17,8789;18,2525;0,346761;0,312138;-0,12431;-0,807817;
A7LPF3;15,279;15,3364;15,1856;15,166;15,0145;14,9461;14,8569;14,7293;2,53782;0,00147767;0,3551;4,83396;+
A7LPF5;15,1198;14,5703;14,7407;14,698;14,5593;15,0219;14,6072;14,962;0,0107881;0,961876;-0,00537777;-0,0320581;
A7LPG5;19,0858;19,1754;18,3427;19,1544;18,4001;17,7913;18,4195;18,4092;1,45388;0,0148973;0,684523;2,70872;+
A7LPH5;15,1932;14,9186;14,3732;14,4034;15,0054;14,9074;14,9185;15,1991;0,64507;0,132489;-0,285498;-1,34765;
A7LPI4;14,5916;14,6465;14,4427;14,6005;14,3713;14,4334;13,9431;15,1512;0,142643;0,598888;0,0955498;0,375733;
A7LPI7;11,2901;11,8498;11,8332;12,5758;11,589;13,659;12,9947;11,5771;0,433267;0,239935;-0,567709;-0,971648;
A7LPJ5;16,264;16,0456;15,9413;15,9067;15,2377;14,1142;15,1789;15,2347;2,05667;0,0038677;1,09802;3,81844;+
A7WK39;15,5559;14,7556;14,9006;14,8459;15,2759;14,5904;14,9831;15,5881;0,126839;0,633183;-0,0948451;-0,338209;
A7WK43;12,0386;11,9782;11,8785;11,7587;14,6888;13,9926;13,319;14,0453;3,47993;0,000690196;-2,09792;-7,32309;+
A8WFF4;13,699;14,0036;14,3679;14,2865;14,1465;15,1786;14,6447;13,9069;0,552326;0,170924;-0,379897;-1,18633;
A8WFI3;15,5581;15,5726;15,2549;15,2456;14,5185;13,9334;13,6613;14,6451;2,54101;0,00148269;1,21823;4,84117;+
A8WFJ8;13,9807;14,3091;13,6301;14,1869;13,7689;13,5299;13,7634;13,7381;1,06555;0,0426732;0,326617;2,05211;+
A8WFK6;13,3483;12,6666;12,7571;12,7712;17,5711;14,042;11,4599;11,7626;0,234332;0,441792;-0,82312;-0,580037;
A8WFM5;13,7838;16,6043;14,4704;17,2714;14,8485;15,3133;15,4241;15,6724;0,0932756;0,713779;0,217915;0,2557;
A8WHM5;15,982;15,9085;15,2966;15,8466;15,7096;14,9384;13,4929;15,4548;0,826523;0,080136;0,859482;1,65454;
A8WHN5;14,3797;14,2616;13,9677;14,0697;15,1809;15,3016;14,2294;16,5685;1,24482;0,0265205;-1,15044;-2,35193;+
A8WHS3;13,8596;14,0729;14,4281;14,3117;13,9083;12,6464;12,8699;12,7196;1,90861;0,0052218;1,132;3,53171;+
A8WHT8;11,9962;12,0261;11,4419;11,829;12,1615;12,4953;11,5399;12,4925;0,636227;0,13585;-0,349015;-1,33244;
A8WIT0;11,667;11,2961;12,0674;11,7281;11,0328;11,2223;11,0364;11,7101;1,00806;0,0495218;0,439284;1,95657;+
A8WJ47;12,0705;11,9855;11,7865;11,8757;11,3657;11,1951;11,2648;11,7018;2,2779;0,00238547;0,547688;4,2682;+
