ProteinAccessions;log2 daf2_d15_01;log2 daf2_d15_02;log2 daf2_d15_03;log2 daf2_d15_04;log2 N2_d15_01;log2 N2_d15_02;log2 N2_d15_03;log2 N2_d15_04; -Log Student's T-test p-value daf2_d15_N2_d15;Student's T-test q-value daf2_d15_N2_d15; Student's T-test Difference daf2_d15_N2_d15;Student's T-test Test statistic daf2_d15_N2_d15;Sign p-val: 0.05 
A0A078BPH9;12,2985;11,947;12,4792;11,8912;13,0658;12,3597;12,7821;11,6115;0,378319;0,34222;-0,300791;-0,868528;
A0A078BPJ4;15,2263;15,4442;15,1319;15,1181;15,3792;15,1967;15,3792;15,2648;0,370153;0,349153;-0,0748525;-0,85293;
A0A078BQL1;14,3675;14,3236;13,5239;14,0069;14,6143;15,5077;15,5166;14,3394;1,39147;0,0338826;-0,939014;-2,60114;+
A0A078BQP7;14,3337;14,6362;14,8568;15,0861;14,2368;14,7536;14,3432;14,4718;0,685436;0,154821;0,27684;1,41672;
A0A0K3AQM0;13,9325;14,4416;14,4983;14,9111;14,2082;15,1166;14,3389;14,132;0,00334114;0,989616;-0,00302982;-0,0100121;
A0A0K3AQN0;13,1338;12,4764;12,0041;13,3743;14,9721;14,2083;13,9657;14,553;2,34172;0,00526091;-1,67761;-4,40316;+
A0A0K3AQN5;15,5517;15,5128;15,1444;15,5406;15,439;14,9654;15,155;15,4384;0,581586;0,201068;0,187872;1,23768;
A0A0K3AQT9;17,5258;16,8627;17,8107;18,2929;17,1681;14,8397;15,6861;15,9769;1,62473;0,0213214;1,70532;3,00908;+
A0A0K3AQU9;14,028;14,6544;14,7886;14,9017;14,5501;14,8535;14,223;15,8737;0,288893;0,433346;-0,281905;-0,693094;
A0A0K3AQV8;12,3222;12,2655;14,0327;12,933;15,6531;14,5138;13,9053;16,096;1,79119;0,0157337;-2,15368;-3,31155;+
A0A0K3AQW8;16,4987;14,5871;16,1889;15,6524;14,2126;14,6101;16,28;12,7153;0,742122;0,134814;1,27726;1,51284;
A0A0K3AQY3;11,6871;11,8917;11,7372;12,0707;11,742;11,9868;11,8271;12,8061;0,417493;0,308183;-0,243827;-0,942351;
A0A0K3AR63;11,7855;12,0595;11,7779;12,0944;12,5541;12,0724;12,2682;12,7554;1,49632;0,0272074;-0,483224;-2,78249;+
A0A0K3ARA8;12,1525;12,0584;11,7014;11,8513;12,5835;12,0612;12,1027;12,7229;1,14058;0,057526;-0,426665;-2,17712;
A0A0K3ARC0;12,0055;13,1996;12,879;13,5371;16,2472;15,6724;15,509;16,4352;3,60313;0,00108837;-3,06063;-7,71113;+
A0A0K3ARE1;12,3058;11,3864;11,6527;12,033;12,5522;11,2392;10,3677;12,7843;0,0638847;0,822722;0,108632;0,179827;
A0A0K3ARF3;12,2917;11,4481;11,3373;12,0885;12,542;12,1807;12,316;12,7383;1,30935;0,0399056;-0,65287;-2,46102;+
A0A0K3ARJ1;12,0465;11,8805;11,7464;12,0446;12,3731;12,0944;12,3316;12,5939;1,80697;0,0155164;-0,418754;-3,34078;+
A0A0K3ARM6;16,8271;16,1133;16,3452;16,5303;15,6396;15,0569;16,4845;15,7004;1,16956;0,0538015;0,733638;2,22557;
A0A0K3ARN9;12,3083;12,0572;11,5711;11,9796;12,4011;12,1045;12,01;12,4652;0,680272;0,156504;-0,266121;-1,40792;
A0A0K3ARX5;11,8309;11,9709;11,7413;12,0859;12,3942;12,0197;12,2596;12,778;1,38549;0,0343954;-0,455621;-2,59087;+
A0A0K3AS68;15,8318;15,248;16,804;17,2428;15,5708;18,1573;16,945;16,5466;0,315211;0,40362;-0,523247;-0,74586;
A0A0K3ASB9;15,9486;16,6889;15,6395;15,4748;15,0399;14,6068;16,002;15,6756;0,716673;0,142812;0,606873;1,4698;
A0A0K3ASG4;13,241;14,1866;15,5177;11,1818;13,0861;12,734;14,7532;15,4581;0,163574;0,61279;-0,476095;-0,424268;
A0A0K3ASH2;18,6079;18,7012;18,5758;18,6198;17,5826;18,1105;18,1486;17,3012;2,16268;0,0078112;0,840453;4,03059;+
A0A0K3ASH9;14,152;14,1712;13,9178;13,872;14,7283;14,6614;15,269;15,3;2,66277;0,00331762;-0,961432;-5,12206;+
A0A0K3ASM2;11,5121;12,0259;11,6543;12,0479;12,5581;12,1584;12,2233;12,5177;1,78242;0,0160669;-0,554348;-3,29534;+
A0A0K3AT36;14,846;15,3107;14,6993;14,6516;15,5482;16,6145;16,3491;14,1947;0,68631;0,154593;-0,799741;-1,41821;
A0A0K3ATC0;17,7529;17,8255;17,6134;17,8;17,2381;16,7317;16,769;17,7514;1,37031;0,0353109;0,62539;2,56488;+
A0A0K3ATS1;22,0097;20,8857;21,353;21,3849;21,3013;21,6226;21,6428;21,2067;0,0478889;0,864982;-0,0350447;-0,136892;
A0A0K3AUD2;14,8424;15,6232;15,2432;9,27069;13,22;13,9208;12,4619;13,1327;0,138879;0,660424;0,561044;0,366868;
A0A0K3AUJ9;21,5481;21,431;21,9352;21,9874;21,1967;21,7105;21,6292;21,7899;0,317473;0,401242;0,143882;0,750349;
A0A0K3AUW2;14,3262;14,4487;14,2435;14,1746;13,8697;14,0829;13,6371;14,7129;0,4127;0,311676;0,222598;0,933404;
A0A0K3AUZ7;12,2878;11,9467;11,7135;11,4571;12,4491;13,8097;13,2853;12,9935;2,06582;0,00910861;-1,2831;-3,83652;+
A0A0K3AVA9;11,8844;12,058;10,8493;11,4062;12,3474;11,9073;12,338;12,6526;1,30102;0,0404964;-0,761854;-2,44689;+
A0A0K3AVL7;12,7838;14,2457;13,8184;11,8336;13,7955;13,7154;14,1138;14,5997;0,755271;0,131431;-0,885716;-1,53501;
A0A0K3AVS5;17,177;17,306;17,2586;17,621;16,7706;16,4557;16,8819;16,6453;2,56216;0,00363299;0,652253;4,88922;+
A0A0K3AVV4;14,5049;14,2596;14,5014;15,4723;15,2299;15,0815;15,4726;15,3896;1,12771;0,0587482;-0,60884;-2,15565;
A0A0K3AW68;13,65;11,7346;11,3934;10,8491;12,5115;12,7463;12,3242;11,6584;0,252516;0,47825;-0,403347;-0,618315;
A0A0K3AW96;16,8634;16,9329;16,9231;17,082;16,5033;16,4151;16,1892;16,3794;3,42432;0,0013703;0,578565;7,15332;+
A0A0K3AXM4;17,1087;16,9448;16,2745;16,4609;17,5557;17,1518;17,0527;17,9023;1,38523;0,0344038;-0,718398;-2,59043;+
A0A0K3AY44;11,1797;0;11,7027;11,9444;12,2605;7,56696;12,2317;12,6748;0,335927;0,382681;-2,47676;-0,786692;
A0A0K3AY85;11,6281;11,721;12,6924;12,1074;16,2769;15,7868;16,4307;16,2501;5,23644;0;-4,14893;-14,8779;+
A0A0K3AYJ1;12,4012;13,0067;12,079;12,7615;15,3527;14,6582;14,8408;16,0504;3,42469;0,00137302;-2,66342;-7,15445;+
A0A0M7REP5;16,969;17,1551;16,6583;16,6533;16,2616;16,172;15,862;16,0581;2,66289;0,00332135;0,77053;5,12234;+
A0A0S4XR31;15,548;15,909;14,9418;15,2816;15,7967;15,0843;14,5449;14,6423;0,530712;0,228832;0,403073;1,14809;
A0A0S4XR36;12,8848;11,3349;11,9022;11,0724;14,6862;14,2663;14,7037;13,9764;2,99872;0,00256734;-2,60958;-5,95548;+
A0A0S4XR43;14,3554;14,8698;15,2589;15,5152;15,6838;15,4989;15,6726;16,6174;1,28991;0,0414295;-0,86835;-2,42808;+
A0A0S4XR45;10,3791;12,9526;13,9639;12,0798;14,3568;14,8961;13,7463;15,2134;1,436;0,0309386;-2,20929;-2,67779;+
A0A0S4XR68;15,6695;15,2273;15,0333;15,8729;13,7214;11,8686;13,9238;14,055;2,02566;0,00962336;2,05858;3,7575;+
A0A0T7CIX3;14,2199;14,5321;13,2238;13,2607;14,6002;14,504;13,5997;14,9181;0,654473;0,16655;-0,596348;-1,36379;
A0A0U1RML5;14,5608;13,9;15,9433;15,3709;13,6746;16,7754;14,7026;15,4382;0,09403;0,752616;-0,203918;-0,2576;
A0A131MAU8;11,9446;14,1103;12,5545;11,976;15,4848;13,7097;14,7137;14,3998;1,66349;0,0194534;-1,93066;-3,07858;+
A0A131MB12;14,2522;14,2834;15,2578;15,1575;14,2304;15,7894;15,0189;14,8508;0,223897;0,516922;-0,234645;-0,557776;
A0A131MBA2;12,1904;11,6131;12,4417;12,0958;12,5497;12,0427;12,3137;12,7951;0,697251;0,150455;-0,340048;-1,43683;
A0A131MBB2;14,8595;14,4487;14,6613;15,687;13,7891;14,413;14,9177;13,6723;0,916841;0,0915656;0,716093;1,80504;
A0A131MBC3;14,9965;15,5489;15,1183;15,4392;15,9353;15,9125;15,6252;16,0664;2,04886;0,00942794;-0,609066;-3,80304;+
A0A131MBF9;13,7875;14,0472;14,1074;13,9659;14,6552;13,9765;15,2055;14,7292;1,3515;0,0368929;-0,66458;-2,53275;+
A0A131MBG0;12,2141;11,9291;11,7245;12,0408;12,9838;12,6423;11,8547;11,9026;0,583706;0,200092;-0,368747;-1,24139;
A0A131MBG4;10,7789;10,776;11,2011;10,8951;12,5637;13,6647;13,638;15,4934;2,50118;0,00430405;-2,92718;-4,75155;+
A0A131MBU3;18,2469;18,4921;18,0862;18,343;19,3032;18,6666;18,8452;19,1423;2,23566;0,00674055;-0,697267;-4,1802;+
A0A131MCJ0;14,1769;14,1706;13,6974;13,3656;12,5327;12,146;11,8592;12,3906;3,2256;0,00193898;1,6205;6,5725;+
A0A131MCL1;12,2741;11,8514;11,6321;11,9399;12,4841;12,438;12,2738;12,7496;1,83266;0,0145552;-0,562014;-3,38861;+
A0A131MCL4;14,1267;14,1581;13,718;14,0143;12,5758;12,0228;12,2221;12,657;4,00296;0,00102041;1,63483;9,09332;+
A0A163UT65;15,2906;15,2906;14,9485;15,2859;14,7328;14,5548;14,5467;15,3431;1,02546;0,072859;0,409577;1,98547;
A0A164D380;14,6701;15,3405;14,7615;15,7224;14,9593;15,0688;14,8847;14,875;0,291923;0,429753;0,17671;0,699222;
A0A164D3C9;15,7529;15,3083;15,6958;16,429;13,0764;11,5576;14,0873;14,0232;2,20434;0,00726073;2,61035;4,11562;+
A0A164D3G3;15,4699;14,4148;15,4962;14,9293;14,9299;14,6095;14,5956;14,2408;0,824973;0,111255;0,483575;1,65195;
A0A168H9Z7;14,0168;15,8241;14,2198;14,1418;15,1687;14,3471;14,4985;14,8781;0,1405;0,657306;-0,172475;-0,370693;
A0A1C3NSI5;15,6143;15,803;15,3881;15,7427;14,5779;13,0921;12,9828;14,2392;2,44957;0,00460399;1,91404;4,63699;+
A0A1C3NSL1;11,9171;12,2049;12,2413;12,078;12,0427;12,1788;12,2816;12,5187;0,541464;0,222545;-0,14516;-1,16715;
A0A1C3NSL5;18,7993;19,158;18,5913;18,9076;18,1896;17,836;18,1577;18,1301;2,81002;0,00305355;0,785687;5,47632;+
A0A1D3PCL0;11,6659;11,9376;11,7363;11,9968;12,5083;12,0778;12,1917;12,7921;1,67928;0,01876;-0,55832;-3,10704;+
A0A1D3PCL8;14,317;14,6147;14,2337;13,9844;15,8793;15,3042;15,3884;16,0928;3,00728;0,00239653;-1,37871;-5,97792;+
A0A1I6CM73;12,0296;11,8316;11,6299;11,6139;14,075;14,7573;13,61;15,2156;3,42103;0,0013622;-2,6382;-7,14337;+
A0A1I6CM84;15,4036;15,1741;15,4845;14,2731;14,5529;14,9108;15,0863;12,9694;0,596069;0,193818;0,703972;1,26293;
A0A1I6CM85;13,3827;13,5771;12,9542;11,7949;14,7717;14,7973;13,9239;13,8926;1,6209;0,0214067;-1,41913;-3,00225;+
A0A1I6CM94;15,0814;15,9583;15,9012;14,9412;12,3988;11,8428;12,335;12,7745;4,12049;0,000935849;3,13275;9,53868;+
A0A1I6CM95;13,5757;0;12,8483;12,9887;12,8533;13,2564;13,5538;13,5393;0,474486;0,264088;-3,44754;-1,04717;
A0A1I6CMC9;12,277;11,8445;11,4988;11,9791;11,8997;12,0767;12,3249;12,6361;0,718522;0,142303;-0,334501;-1,47293;
A0A1N7SYP3;18,6546;18,747;18,9479;19,3414;19,1162;19,7155;19,0447;19,7817;1,03066;0,0721486;-0,49179;-1,99412;
A0A1N7SYP6;16,776;16,9279;16,7213;17,0443;17,9479;18,6287;18,6657;18,5;3,87312;0,00130909;-1,56821;-8,6227;+
A0A1N7SYQ5;14,7991;13,8354;15,6027;14,8009;14,3938;16,0699;16,2536;14,9752;0,536646;0,225311;-0,663585;-1,15862;
A0A1N7SYT2;12,3188;12,009;11,6344;12,0701;14,7335;15,1038;14,2772;15,059;4,63449;0;-2,78529;-11,7268;+
A0A1N7SYU2;12,1931;12,02;12,5006;11,8892;12,0976;12,594;11,8982;12,6167;0,280231;0,443109;-0,150895;-0,67549;
A0A1N7SYW5;12,2988;12,0911;11,7374;12,0829;16,9676;12,6693;15,2697;15,0502;1,78141;0,0160841;-2,93665;-3,29346;+
A0A1T5HUK0;15,4607;14,5094;15,3042;16,102;15,4401;14,7199;14,8632;15,5447;0,207715;0,540981;0,202102;0,522801;
A0A9S0;12,2833;11,8588;11,4381;11,8065;15,0545;14,4322;13,3283;15,5359;2,78075;0,00297573;-2,74104;-5,40457;+
A0A9S2;14,2153;14,5405;14,2648;14,7663;13,4022;13,7541;13,7528;13,0202;2,36189;0,00525224;0,964372;4,44632;+
A2V8C3;18,4719;18,5188;18,6231;18,8389;17,5558;17,8404;18,4754;18,2763;1,37784;0,0348122;0,576217;2,57776;+
A2V8C8;17,4455;18,0514;18,6233;18,8419;18,1007;18,3741;18,7573;18,4946;0,224861;0,515829;-0,191142;-0,559843;
A3FPJ3;12,3149;12,0044;11,7213;12,0181;16,8309;16,4265;16,4289;16,2402;6,64096;0;-4,46694;-25,7036;+
A3FPK9;17,5609;17,4753;17,0124;16,7951;16,0783;16,9299;16,5809;15,2911;1,31809;0,039531;0,990818;2,47587;+
A3FPL3;12,606;12,878;12,2253;12,7557;12,546;11,825;12,2593;12,6475;0,604272;0,189938;0,296784;1,27719;
A3QM97;15,029;14,6224;13,6074;13,6828;12,3462;12,1309;12,0702;12,702;2,64225;0,0033887;1,92307;5,07398;+
A3QM98;16,6624;16,6246;18,0332;17,0774;15,1857;14,0047;15,1862;15,6949;2,28636;0,00596031;2,08149;4,28594;+
A3QMB6;12,2956;11,8041;11,475;11,9343;12,5654;12,0116;12,3039;12,7241;1,19764;0,050631;-0,52398;-2,27261;
A3QMB7;13,5636;12,2958;13,6018;14,0679;14,1514;14,0329;14,5125;14,6115;1,23489;0,0469244;-0,944802;-2,3352;+
A3QMC2;15,5672;15,6467;15,3658;15,2903;15,1013;15,2668;15,0298;15,087;1,912;0,0122559;0,346243;3,53816;+
A3QMC5;17,512;17,0712;17,28;17,8638;17,1815;18,1909;17,3123;18,0959;0,366677;0,35257;-0,263442;-0,846268;
A3QMC6;14,8115;15,3765;14,7938;14,8954;16,0579;15,7364;15,3049;16,6432;1,66505;0,0193112;-0,96629;-3,08139;+
A3QMC8;14,6081;14,7759;14,6536;14,6401;14,044;14,2656;14,3359;13,2588;1,49248;0,0273576;0,693323;2,7758;+
A4F303;12,2935;12,0843;11,7668;11,9464;12,4653;12,1923;12,3116;12,6824;1,35695;0,0366657;-0,390173;-2,54205;+
A4F305;15,3395;15,1347;15,7461;15,1258;13,4839;14,3274;14,8188;13,9572;2,01807;0,00969275;1,18971;3,74266;+
A4UVK2;14,5494;14,6214;13,5333;14,217;14,9181;14,257;14,6569;15,2964;0,833885;0,109325;-0,551822;-1,66684;
A4UVK9;12,105;12,051;11,7079;12,1104;12,4819;12,1352;12,344;12,8021;1,41043;0,0325834;-0,447218;-2,63372;+
A4UVL1;12,2267;11,5243;11,189;12,0329;12,1066;12,1904;12,2786;12,7052;1,10901;0,0612137;-0,57701;-2,12447;
A4UVL9;14,4207;13,799;14,3348;14,2994;14,3447;13,8129;13,521;13,1292;0,884818;0,0979285;0,511484;1,75177;
A4UZ35;13,8391;13,9435;13,2652;12,8191;12,476;11,9945;12,2783;12,7263;1,94658;0,0116768;1,09792;3,60423;+
A5A8P5;17,2311;16,5109;18,7434;17,6686;15,8908;16,1113;17,0054;17,122;0,909489;0,0934096;1,00615;1,79282;
A5HU91;18,5853;17,9223;18,8035;18,8608;18,7557;19,408;19,1065;19,2671;1,2145;0,0487402;-0,59136;-2,30092;+
A5HU97;18,5305;18,4795;18,2691;18,7642;18,0505;17,75;17,6999;18,21;1,98342;0,011;0,583218;3,67525;+
A5HU98;16,2173;16,4049;16,3813;16,8139;16,1879;16,0291;15,5349;16,3943;0,959001;0,0843665;0,41781;1,87509;
A5HWA4;12,2577;11,7809;11,7758;11,8512;12,4888;12,1897;12,15;12,4858;1,50516;0,0267807;-0,412185;-2,79793;+
A5HWA9;11,3154;11,9978;11,6782;11,8088;12,5283;12,0756;12,0739;12,7532;1,59418;0,0224079;-0,657688;-2,95469;+
A5HWB2;13,6777;14,5074;13,2002;12,8784;13,8119;13,3581;13,8069;14,3687;0,272373;0,453435;-0,270474;-0,659414;
A5JYR4;14,6595;15,1608;14,8982;15,1911;13,7589;13,3627;15,0522;15,4241;0,519694;0,23628;0,577955;1,12848;
A5JYS8;14,3939;12,651;13,7199;14,0018;14,0337;13,4524;13,9045;13,8171;0,103017;0,733674;-0,110254;-0,28007;
A5JYT2;14,8536;15,5236;14,7472;15,1124;14,0027;13,955;14,9507;15,0034;0,870874;0,101179;0,581272;1,72855;
A5JYU1;13,8901;14,4191;13,8698;13,8172;13,476;12,7689;13,8219;14,614;0,34535;0,373958;0,328831;0,805074;
A5JYU5;11,9391;11,6458;11,429;12,101;12,5602;12,3151;12,2945;12,6769;2,07919;0,00917325;-0,682952;-3,863;+
A5JYW3;16,2772;16,1224;16,2639;16,5886;15,3257;15,6399;17,1606;15,416;0,431807;0,297813;0,427514;0,968946;
A5JYW9;12,2229;11,8124;11,7175;11,7053;12,5811;12,1598;12,2891;12,5239;1,80501;0,0155396;-0,523942;-3,33714;+
A5JYX3;17,3748;13,4242;18,5821;17,4359;14,1905;16,2219;13,8397;14,1991;0,836156;0,108645;2,09145;1,67064;
A5JYX4;16,9128;16,6235;16,857;17,0926;16,4057;15,9904;16,0572;16,7434;1,55006;0,0245893;0,572261;2,87668;+
A5JYX8;14,8733;14,8367;14,5416;14,6556;15,9855;15,3394;15,6624;15,4951;2,87137;0,00289922;-0,893798;-5,62889;+
A5PEY0;11,7999;11,6419;11,7698;11,7881;14,2317;14,3043;13,7684;14,6968;4,87462;0;-2,50038;-12,8999;+
A5Z2S2;14,4255;14,2048;14,1811;14,5446;15,364;14,1927;15,3127;14,3967;0,73905;0,135704;-0,477554;-1,50765;
A5Z2S4;14,9972;14,5366;14,3054;15,2929;14,8388;14,5853;14,2474;15,1382;0,101317;0,737597;0,080575;0,275844;
A5Z2S9;12,2053;12,4081;11,6583;11,705;12,5417;12,0897;12,1998;12,6929;0,828668;0,110607;-0,386828;-1,65813;
A5Z2T6;12,2964;11,7691;11,7578;11,9621;13,6089;13,9373;14,5194;14,0003;4,01597;0,00103093;-2,0701;-9,14171;+
A5Z2T7;12,5345;14,8785;12,7149;13,0568;12,5743;12,0579;12,061;11,8722;1,07339;0,066378;1,15483;2,06514;
A5Z2T9;15,3191;15,6358;14,5398;14,6891;16,21;14,6906;15,3106;16,1186;0,566095;0,208764;-0,536465;-1,21055;
A5Z2U5;14,3292;14,0998;15,1131;14,8261;13,5618;13,8819;13,8849;13,8269;1,78788;0,0157937;0,803205;3,30541;+
A5Z2U8;15,6714;15,8957;15,0674;15,243;14,4908;13,788;13,5039;13,7218;2,84618;0,00304956;1,59329;5,56587;+
A5Z2U9;17,894;18,0955;16,8228;16,9758;17,1722;16,9819;16,6733;17,5439;0,427568;0,300895;0,354224;0,96109;
A5Z2V2;13,642;14,4742;13,2415;14,477;12,8166;13,2401;13,54;13,1034;1,20094;0,050358;0,783684;2,27814;
A5Z2V3;12,243;11,7716;11,5276;11,9632;13,872;13,0346;13,0146;13,9005;2,78808;0,00299024;-1,57907;-5,42248;+
A5Z2V7;15,5466;14,894;14,7668;15,0814;14,8648;14,9753;15,0833;14,927;0,253072;0,477283;0,10962;0,619476;
A5Z2W3;16,9431;16,8232;17,2015;17,5917;16,8461;16,1326;16,3792;16,1223;1,73432;0,0171814;0,769814;3,20701;+
A5Z2W6;15,5987;15,7233;14,8575;15,5995;15,4596;14,9247;15,4581;16,141;0,056674;0,841902;-0,0511174;-0,160626;
A5Z2W7;18,2381;18,2884;18,3855;18,4874;17,8288;18,041;18,0494;17,8238;2,58315;0,00359457;0,414094;4,9372;+
A5Z2X2;15,2404;13,5892;11,8615;13,1784;14,1716;13,6143;13,5585;15,7738;0,414299;0,310285;-0,812191;-0,936392;
A6PVA1;14,7417;12,2599;14,0417;14,0236;14,0501;14,862;14,403;14,7882;0,647281;0,1697;-0,759101;-1,35145;
A6ZJ46;15,3063;16,9573;14,8622;15,3846;15,9513;14,5068;14,5496;15,6476;0,335501;0,382975;0,463778;0,785859;
A6ZJ55;12,2225;12,0746;11,6707;12,0115;17,1156;16,3606;17,357;16,9722;6,05201;0;-4,95655;-20,4572;+
A6ZJ59;12,31;12,0494;11,1482;12,0599;15,6178;13,0398;14,5242;15,236;2,31782;0,00544591;-2,71258;-4,35233;+
A7DT38;12,1924;11,9816;11,7117;11,8277;12,5784;11,8879;12,3202;12,4689;1,09306;0,0629128;-0,385478;-2,09789;
A7DT40;15,1597;15,9936;14,0412;14,3802;14,5411;14,7057;14,9127;15,3487;0,0119536;0,964806;0,0166299;0,0354757;
A7DT45;18,8682;19,045;18,3888;18,6401;17,415;16,8817;16,6423;17,3359;3,42557;0,00137575;1,66679;7,15709;+
A7DTF0;15,761;15,9089;15,318;15,997;16,2077;15,884;15,8971;15,9421;0,675752;0,158627;-0,236478;-1,4002;
A7DTF2;12,0463;11,7881;11,7664;12,0141;12,3563;12,1546;12,3251;12,5108;2,23574;0,00674622;-0,432978;-4,18037;+
A7LPD6;17,0974;16,8359;16,4565;17,2569;15,5079;14,7516;14,8187;15,9033;2,64221;0,00338496;1,66631;5,07388;+
A7LPE4;15,6545;15,8766;15,9252;16,2674;13,1285;13,6099;13,9052;13,3783;4,61434;0;2,42545;11,633;+
A7LPE6;17,8342;17,9706;18,0276;18,2294;17,5496;17,77;17,8473;17,9645;0,998093;0,0768732;0,2326;1,94001;
A7LPF3;15,412;15,6111;14,7516;15,7376;15,2564;15,0551;15,1135;15,5388;0,225364;0,515048;0,13711;0,560919;
A7LPF5;16,3979;16,3768;17,4094;16,9925;15,5;15,4986;16,4486;14,905;1,60573;0,0219956;1,2061;2,97522;+
A7LPG5;18,2306;18,212;18,2512;18,6388;18,501;18,5544;18,4964;18,7821;1,06048;0,0681395;-0,25028;-2,04368;
A7LPH5;14,6566;14,8952;14,5585;14,8311;14,6129;14,4309;14,2804;14,8791;0,575549;0,20353;0,18451;1,22713;
A7LPI4;14,9535;15,33;14,9693;15,1808;15,0079;13,5074;15,2968;15,7988;0,157525;0,624266;0,205662;0,410371;
A7LPI7;11,9435;11,9813;10,6591;11,9359;12,398;12,1607;12,0517;12,5147;0,980934;0,0798275;-0,65135;-1,91152;
A7LPJ5;15,0074;14,6477;15,7478;15,0624;16,2764;15,3797;16,062;15,5882;1,21214;0,0489188;-0,710273;-2,29694;+
A7WK39;16,5728;17,1803;16,5096;17,0049;16,5154;16,1577;15,9196;15,2532;1,47163;0,0281865;0,855436;2,7395;+
A7WK43;12,1622;12,0831;11,7787;11,7468;12,4894;12,191;12,2149;12,6309;1,57453;0,0232874;-0,438852;-2,91987;+
A8WFF4;14,2642;15,1898;13,9804;14,7164;13,3554;14,0909;13,9287;13,9303;1,20951;0,0493575;0,711399;2,29253;+
A8WFI3;14,5191;13,828;14,8666;14,1217;13,636;15,0703;15,3714;14,8808;0,402335;0,320697;-0,405772;-0,913975;
A8WFJ8;13,304;13,5934;14,0243;13,436;14,2583;13,7223;13,7667;13,3677;0,335426;0,382942;-0,189276;-0,785711;
A8WFK6;16,7116;17,7945;17,0093;17,2227;18,0165;18,0134;17,8218;17,955;1,77904;0,0160765;-0,767129;-3,28909;+
A8WFM5;14,0738;13,4048;14,3071;14,3769;12,5317;12,12;12,2505;12,6723;3,18324;0,00188468;1,64704;6,45371;+
A8WHM5;15,7203;14,5106;13,8264;14,9833;12,3856;12,166;12,3355;12,4497;3,0224;0,00226138;2,42594;6,01771;+
A8WHN5;15,8281;16,0929;15,7194;16,7241;12,4094;11,9641;12,0992;12,337;5,3732;0;3,88868;15,698;+
A8WHS3;12,2955;11,9865;11,5129;11,9302;12,3736;12,0587;11,7517;12,7992;0,526536;0,23159;-0,314549;-1,14067;
A8WHT8;15,9261;15,8466;16,434;15,8211;12,5208;11,8681;12,2462;12,6873;5,42163;0;3,67634;15,9987;+
A8WIT0;13,984;14,4645;14,5739;13,874;12,3263;9,21074;11,9059;12,6453;1,81753;0,0149399;2,70203;3,36041;+
A8WJ47;14,5042;15,3782;14,5013;15,3233;12,5688;12,0997;12,3393;12,7498;3,92225;0,00114826;2,48734;8,7982;+
A8XJ46;12,2937;11,58;11,7251;11,8351;12,3348;11,985;11,9415;12,4438;0,793738;0,11973;-0,317811;-1,59966;
