ProteinAccessions;log2 eat2_d15_01;log2 eat2_d15_02;log2 eat2_d15_03;log2 eat2_d15_04;log2 eat2_d10_01;log2 eat2_d10_02;log2 eat2_d10_03;log2 eat2_d10_04; -Log Student's T-test p-value eat2_d15_eat2_d10;Student's T-test q-value eat2_d15_eat2_d10; Student's T-test Difference eat2_d15_eat2_d10;Student's T-test Test statistic eat2_d15_eat2_d10;Sign p-val: 0.05 
A0A061AKY5;14,6074;14,9306;14,7396;14,9846;19,7195;19,6969;18,1225;18,6918;4,36636;0;-4,24208;-10,5341;+
A0A061AL58;13,3425;15,221;14,9797;15,4351;13,2004;13,2416;12,5728;13,0108;1,87754;0,00537271;1,73816;3,47285;+
A0A078BPG0;14,9222;15,0741;14,3462;14,5228;17,8345;17,0631;13,2338;13,8236;0,275166;0,284403;-0,772435;-0,665141;
A0A078BPH9;14,4955;13,7579;14,6724;15,255;14,5694;14,4741;13,679;13,984;0,442178;0,159654;0,368586;0,988096;
A0A078BPJ4;16,3116;16,5902;16,4232;16,4513;16,1498;16,0867;15,8294;15,8565;2,47026;0,00183677;0,463458;4,68269;+
A0A078BQL1;15,1169;15,2052;14,8207;15,8897;14,3975;14,9845;12,9662;15,3183;0,725709;0,0700421;0,841478;1,4851;
A0A078BQP7;14,8389;15,4545;15,0084;15,3403;13,3157;12,9472;12,7502;13,0779;4,58722;0;2,13779;11,5079;+
A0A0K3AQM0;14,9571;15,1334;14,5622;14,6738;15,3832;14,8193;14,8473;15,1495;0,541318;0,117932;-0,218188;-1,16689;
A0A0K3AQN0;14,9662;15,3609;14,9144;15,1615;13,9614;13,7784;14,6478;14,7926;1,61105;0,00896414;0,805709;2,98468;+
A0A0K3AQN5;16,263;15,942;16,5103;18,9858;15,6228;16,1057;15,6253;15,3039;0,890412;0,0450672;1,2609;1,76108;+
A0A0K3AQT9;14,7356;14,4461;14,7467;15,4556;15,3052;15,0215;16,074;16,332;1,16567;0,0229562;-0,837186;-2,21906;+
A0A0K3AQU9;14,9324;15,4181;14,2691;14,7208;14,6647;14,9014;15,0604;15,3191;0,220005;0,354042;-0,151264;-0,549416;
A0A0K3AQV8;14,9873;14,8484;14,0506;15,3082;16,1548;15,1678;14,8959;15,649;0,875049;0,0468324;-0,668263;-1,7355;+
A0A0K3AQW8;14,4995;14,7387;12,7065;15,4268;13,2442;13,2268;12,8905;13,262;1,04842;0,0307551;1,18695;2,02363;+
A0A0K3AQY3;14,9576;15,4854;13,9322;14,2619;13,2845;13,3007;12,968;13,2109;2,20324;0,00277159;1,46825;4,11337;+
A0A0K3AR63;13,9248;15,4823;13,9326;13,6722;13,3413;13,1219;12,9981;13,2798;1,35196;0,0154689;1,06772;2,53354;+
A0A0K3ARA8;14,5306;14,5676;14,7485;15,431;12,9464;12,9749;12,9777;12,7559;3,92929;0,000107006;1,90574;8,8236;+
A0A0K3ARC0;17,5938;17,7435;17,6884;17,0757;16,8021;16,9075;16,1494;16,3531;2,20162;0,00276712;0,972328;4,11004;+
A0A0K3ARE1;14,9741;15,5163;13,4171;15,0916;11,6598;13,227;12,8715;13,3196;1,79264;0,00630759;1,98034;3,31423;+
A0A0K3ARF3;15,0217;15,2217;14,819;15,1931;13,1967;12,997;12,3461;12,9394;4,40308;0;2,19411;10,6906;+
A0A0K3ARJ1;14,5316;15,1375;15,0211;15,0412;13,0882;13,0249;12,7673;12,8456;4,86927;0;2,00134;12,8726;+
A0A0K3ARM6;14,7922;15,1266;14,8369;14,9976;15,1276;16,229;15,7774;14,8958;0,921581;0,0412494;-0,569111;-1,81292;+
A0A0K3ARN9;14,8821;15,0305;14,947;15,4674;15,5986;15,8312;14,2319;15,0058;0,0807368;0,667045;-0,0851409;-0,223779;
A0A0K3ARX5;14,8786;14,5327;14,0664;14,8981;12,8914;12,9515;12,8376;12,9806;3,83898;9,71E-05;1,67868;8,50257;+
A0A0K3AS68;19,0011;20,0038;19,1395;20,0611;18,4446;16,6005;17,9721;19,5115;1,11454;0,0258298;1,41919;2,13369;+
A0A0K3ASB9;14,9316;14,6014;14,6561;14,423;14,6814;15,4939;13,8252;14,6357;0,00562723;0,973315;-0,00599885;-0,0168189;
A0A0K3ASG4;14,1129;14,3868;14,857;15,1964;14,3704;14,538;13,3101;13,9649;0,809138;0,0561536;0,592428;1,62546;
A0A0K3ASH2;19,443;19,5954;19,7306;19,5887;18,7264;19,1993;18,7377;18,6904;2,85758;0,00105856;0,751;5,59433;+
A0A0K3ASH9;12,8441;15,5238;13,2333;14,9485;15,8591;16,0364;16,3143;15,9072;1,54924;0,00999684;-1,89186;-2,87524;+
A0A0K3ASM2;14,6911;14,6039;14,2977;14,9354;13,1981;12,9418;12,8851;13,0385;4,4486;0;1,61614;10,8875;+
A0A0K3AT36;17,5071;18,1994;18,1953;18,0443;13,1527;13,0222;12,6769;13,2592;6,45852;0;4,95879;23,9511;+
A0A0K3ATC0;18,8977;19,9425;19,2313;19,9725;18,6965;19,0548;18,5569;18,7819;1,37728;0,0148541;0,73847;2,5768;+
A0A0K3ATS1;22,9724;24,6822;24,2346;24,7799;21,8933;21,9091;22,2696;21,7953;2,66877;0,00150791;2,20041;5,13618;+
A0A0K3AUD2;16,4129;17,053;16,6976;16,9933;14,9406;15,3301;14,4438;14,9481;3,69293;0,000293467;1,87356;8,0047;+
A0A0K3AUJ9;22,4809;23,0663;22,5501;22,7704;21,8193;21,3514;22,029;22,1654;2,12358;0,00335182;0,875673;3,95163;+
A0A0K3AUW2;14,7536;15,4294;14,4854;14,7113;13,3619;13,9144;13,2782;12,4277;2,31308;0,00224863;1,59938;4,34228;+
A0A0K3AUZ7;14,904;14,5921;14,4733;15,3829;12,9324;12,8595;12,7296;13,1484;3,89042;0,000103067;1,9206;8,68415;+
A0A0K3AVA9;14,3599;14,1527;14,3449;15,146;13,2412;13,1367;12,723;13,0741;2,97574;0,000874474;1,45714;5,89552;+
A0A0K3AVL7;13,5977;15,3824;14,9495;15,245;14,8507;12,5438;14,7044;14,9367;0,321888;0,240739;0,534728;0,759085;
A0A0K3AVS5;17,6104;18,1733;17,6761;18,3232;17,8814;18,3561;17,4129;17,281;0,294457;0,265006;0,212905;0,704338;
A0A0K3AVV4;18,8259;19,1867;18,758;18,8376;16,8075;16,6283;16,2253;15,8527;4,42298;0;2,5236;10,7763;+
A0A0K3AW68;14,3911;15,2;14,2999;15,2366;13,7875;13,0386;13,6151;13,8991;2,03491;0,00396245;1,19685;3,77562;+
A0A0K3AW96;18,6103;18,663;18,4095;18,5762;17,2401;17,0084;17,1824;17,4893;4,64118;0;1,33473;11,7581;+
A0A0K3AXM4;18,1679;16,9759;18,0635;17,7752;17,8759;17,7461;16,8533;17,1726;0,407027;0,17955;0,333667;0,922783;
A0A0K3AY44;14,5274;14,9106;14,1329;14,1151;12,7405;13,151;12,721;13,194;3,18061;0,000684932;1,46985;6,4464;+
A0A0K3AY85;17,0251;16,7949;16,5392;16,7802;13,8044;13,0533;13,6798;14,5018;4,1522;0;3,02505;9,66215;+
A0A0K3AYJ1;18,2089;18,0073;17,8211;18,1223;16,3846;16,399;15,7997;15,8194;4,31573;0;1,93922;10,3218;+
A0A0M7REP5;14,2564;13,9323;14,303;14,672;16,1604;17,0106;14,7837;16,0043;1,90043;0,00507359;-1,69882;-3,51617;+
A0A0S4XR31;16,6829;16,1602;16,4987;17,0321;15,776;16,3484;15,637;15,4595;1,60718;0,00900807;0,788253;2,97779;+
A0A0S4XR36;14,9076;14,8515;14,3097;14,7577;14,2463;15,2113;14,8975;15,1344;0,264285;0,296121;-0,165721;-0,642759;
A0A0S4XR43;16,9135;18,0429;17,0148;18,1154;15,5799;15,5482;15,0462;15,6596;2,96454;0,0008677;2,06317;5,86648;+
A0A0S4XR45;14,5088;15,3408;14,8214;15,0466;13,0063;12,9344;12,7092;13,3301;3,9451;0,000108247;1,93442;8,8809;+
A0A0S4XR68;14,4437;14,7402;14,5769;15,2609;15,8133;14,8054;15,3543;15,2055;1,01233;0,033643;-0,539176;-1,96366;+
A0A0T7CIX3;14,2698;14,6345;14,9513;14,3684;14,2528;13,9308;13,39;13,9807;1,51915;0,0105691;0,667433;2,8224;+
A0A0U1RML5;14,7205;15,3466;14,1093;15,1959;15,9714;16,1316;15,8783;15,8794;2,11689;0,00334008;-1,12209;-3,93822;+
A0A131MAU8;15,0152;15,4174;14,0271;14,1608;15,1338;14,0937;14,6206;15,0443;0,0584455;0,746391;-0,0679832;-0,165366;
A0A131MB12;16,7812;17,1397;16,4086;17,1083;15,3938;15,8197;16,4897;15,9718;1,79525;0,00631838;0,940707;3,31906;+
A0A131MBA2;14,2153;15,2885;14,9233;15,5025;13,3048;13,2918;12,9594;13,2874;3,02171;0,000860853;1,77158;6,01588;+
A0A131MBB2;17,4286;17,1168;17,8944;17,1989;14,7458;14,7142;15,1839;15,011;4,70011;0;2,49597;12,0371;+
A0A131MBC3;15,4904;16,1751;15,6821;17,814;16,1245;17,0136;15,4118;15,4037;0,181008;0,417595;0,302002;0,463769;
A0A131MBF9;17,0963;17,2883;17,1651;17,6089;15,6993;16,2368;14,6958;15,4748;2,69366;0,001526;1,76297;5,19502;+
A0A131MBG0;13,5014;14,8787;14,9912;14,9658;13,0458;12,7342;12,9938;13,2471;2,24047;0,00262526;1,57904;4,19017;+
A0A131MBG4;15,1018;15,8048;14,7287;16,1082;15,68;15,5589;14,7706;14,3431;0,328978;0,234946;0,347714;0,773061;
A0A131MBU3;18,486;19,0949;18,6693;19,0721;19,4416;19,381;19,0262;19,1209;1,1988;0,0214193;-0,411796;-2,27456;+
A0A131MCJ0;14,9512;15,1653;14,7827;14,5216;13,2298;13,2916;12,8022;13,3336;4,04104;0,000122628;1,69088;9,23555;+
A0A131MCL1;14,8386;15,4973;14,6679;15,2853;13,3209;13,3028;12,7684;13,2858;3,72698;0,000172662;1,9028;8,1185;+
A0A131MCL4;14,7368;15,4125;14,7582;15,2962;13,1744;13,2054;12,5641;13,3621;3,66755;0,000286555;1,97439;7,92079;+
A0A163UT65;14,8537;13,8747;14,1222;14,9647;13,765;13,5004;15,6562;15,5333;0,0925771;0,629095;-0,159907;-0,253938;
A0A164D380;16,0663;16,2508;15,9408;16,1495;15,6906;15,8106;15,8825;15,8561;2,01421;0,00426339;0,291908;3,73511;+
A0A164D3C9;14,3041;15,4268;14,617;15,3927;15,1899;15,7969;15,5454;15,7498;1,05021;0,0305742;-0,635338;-2,0266;+
A0A164D3G3;15,029;15,2687;14,1828;14,5604;13,2832;13,113;12,8723;13,2821;3,09727;0,000675325;1,62256;6,21774;+
A0A168H9Z7;17,5211;17,356;17,34;16,814;16,1923;15,5441;16,0539;15,6335;3,15181;0,000672948;1,4018;6,36665;+
A0A1C3NSI5;14,5094;15,4919;14,6169;14,9703;13,3397;12,9297;12,8374;13,2936;3,38816;0,00043949;1,79704;7,04468;+
A0A1C3NSL1;14,2628;14,8545;15,0037;14,8676;13,0441;13,1996;12,6299;13,194;3,73448;0,000173018;1,73022;8,14373;+
A0A1C3NSL5;18,4237;18,5668;18,2106;18,6;18,8669;19,0285;18,0189;17,9431;0,0160817;0,924228;-0,0140176;-0,0475112;
A0A1D3PCL0;14,6816;15,437;14,9032;15,1038;13,3;13,0025;12,9875;12,5854;4,10824;0;2,06256;9,49138;+
A0A1D3PCL8;15,8234;15,3592;16,4145;14,9125;15,9654;15,3583;15,7342;15,6397;0,0476366;0,788089;-0,0470223;-0,136205;
A0A1I6CM73;14,9823;14,6351;14,665;15,3349;14,5763;14,4699;15,9008;15,0706;0,100664;0,606002;-0,100074;-0,274217;
