ProteinAccessions;log2 eat2_d15_01;log2 eat2_d15_02;log2 eat2_d15_03;log2 eat2_d15_04;log2 eat2_d10_01;log2 eat2_d10_02;log2 eat2_d10_03;log2 eat2_d10_04; -Log Student's T-test p-value eat2_d15_eat2_d10;Student's T-test q-value eat2_d15_eat2_d10; Student's T-test Difference eat2_d15_eat2_d10;Student's T-test Test statistic eat2_d15_eat2_d10;Sign p-val: 0.05 
G5ECE7;14,2657;15,4204;14,521;14,2049;16,8744;16,8148;16,5779;16,2047;3,13079;0,00066357;-2,01497;-6,30894;+
G5ECF4;17,0454;17,4535;16,9806;17,5625;15,5847;15,9368;15,4835;15,7449;3,96406;0,000110092;1,57303;8,95002;+
G5ECF6;17,1687;17,8917;17,4986;17,4895;14,6712;13,8452;14,7445;15,302;3,86053;0,0001;2,87142;8,57824;+
G5ECF8;18,1915;18,6346;17,7113;18,5989;15,8365;16,1778;15,6576;15,5899;4,17951;0;2,46859;9,76959;+
G5ECG0;17,4306;17,6399;17,4677;17,8629;15,9336;15,5743;15,968;15,8727;4,93508;0;1,76316;13,2121;+
G5ECG7;16,5959;17,3075;17,2903;16,7476;16,5409;16,5084;16,0138;16,1379;1,63488;0,00856771;0,685091;3,02723;+
G5ECH0;14,8149;14,8772;13,1517;15,0145;13,3355;13,2303;12,9843;13,3293;1,49687;0,0111449;1,2448;2,78346;+
G5ECH5;15,0286;15,2864;14,4277;15,328;13,0085;13,1947;12,8019;13,3557;3,70681;0,000295846;1,92749;8,05093;+
G5ECH9;14,4421;14,6952;14,5792;14,3028;15,0558;15,5983;14,9425;15,2471;2,26057;0,00247627;-0,706106;-4,23196;+
G5ECK4;14,1406;15,1058;14,2295;15,126;16,0248;16,172;15,4261;16,4528;2,12724;0,00336232;-1,36845;-3,959;+
G5ECK7;16,7663;16,8451;16,8552;17,6211;16,3967;15,8373;15,7301;17,2213;0,933627;0,0401921;0,725558;1,83294;+
G5ECL1;14,8455;15,4593;13,8149;15,2226;14,3237;14,6976;14,0663;14,1691;0,642036;0,0890278;0,521407;1,34244;
G5ECL3;15,1822;15,7024;15,0001;18,2889;14,7041;14,5821;15,0128;14,5661;0,867687;0,0476487;1,3271;1,72324;+
G5ECL4;15,7108;17,1214;16,8414;16,7894;15,6112;15,2121;14,2643;14,863;2,07822;0,00365178;1,62809;3,86108;+
G5ECL7;14,7574;14,6268;13,455;15,1434;13,3401;12,9757;12,9647;13,3306;1,91569;0,00501431;1,34285;3,54519;+
G5ECM2;16,7743;17,5347;17,2679;17,8082;15,0299;14,4139;14,0277;14,2406;4,10202;0;2,91825;9,46743;+
G5ECM6;17,7313;18,6568;18,2166;18,8848;17,4824;17,5516;17,3627;17,5229;1,86947;0,00544944;0,892448;3,45764;+
G5ECM9;20,3543;21,4542;20,3763;21,617;19,5467;20,0033;19,1689;19,2326;2,0251;0,00411826;1,46258;3,75641;+
G5ECN9;13,9949;15,4498;14,453;14,9098;15,1156;16,4502;14,1838;14,4219;0,230238;0,339376;-0,340962;-0,57133;
G5ECQ4;14,6699;14,9698;14,7374;13,5752;12,3692;15,3181;13,4684;13,9518;0,468955;0,146905;0,71122;1,03711;
G5ECR0;19,7089;20,5028;20,0432;21,0693;19,2322;19,3533;19,0687;19,1792;2,01227;0,00433321;1,12272;3,73132;+
G5ECR1;20,7911;20,9298;19,6728;20,4249;17,379;15,9484;16,8467;17,1515;3,86469;0,000100599;3,62324;8,59292;+
G5ECR5;17,4858;17,5209;17,7896;17,6565;18,0583;17,6688;18,9573;18,8396;1,28298;0,0182523;-0,7678;-2,41635;+
G5ECR6;19,6833;19,5732;19,0114;19,2649;17,223;17,4137;16,9455;17,2589;4,69563;0;2,17291;12,0157;+
G5ECR7;14,1464;15,1602;14,9585;14,8665;15,3962;16,2462;15,505;15,8965;1,79902;0,00625514;-0,978076;-3,32603;+
G5ECR8;17,2878;18,1851;17,6431;17,5665;16,5359;16,4839;16,1538;16,4207;3,081;0,00071959;1,27206;6,17386;+
G5ECS9;17,7005;18,3596;18,0371;18,6763;16,1999;16,0863;16,0598;16,2976;4,07763;0,00012844;2,03245;9,37407;+
G5ECT2;14,4928;15,1437;14,9273;15,2298;15,2839;15,7813;15,3336;15,5037;1,41751;0,0132805;-0,527223;-2,6459;+
G5ECT6;19,4922;19,7587;19,5233;19,8442;18,4209;18,4635;18,5881;18,7404;4,18175;0;1,10134;9,77844;+
G5ECU1;20,0081;20,655;19,5043;20,5235;18,6513;18,7698;18,1392;18,4639;2,86656;0,00106385;1,66665;5,61681;+
G5ECU3;21,8398;23,0925;22,767;22,7437;22,0294;21,8357;21,6437;21,6628;1,55379;0,00994188;0,817818;2,88325;+
G5ECU5;16,9681;18,0971;16,9114;17,6416;16,6269;17,5751;18,3569;17,1212;0,0112245;0,946677;-0,0154877;-0,0333389;
G5ECV9;18,6745;18,8971;18,7046;18,9192;17,5114;17,1919;17,6887;17,5847;4,35239;0;1,3047;10,4752;+
G5ECW0;14,9289;14,1906;14,4648;15,43;14,0259;13,4295;14,1314;14,2892;1,25728;0,0192186;0,78457;2,37292;+
G5ECW3;15,3602;15,5018;14,9994;14,8508;15,7978;15,5895;14,7323;15,1427;0,191708;0,398654;-0,137547;-0,487625;
G5ECW7;18,6632;18,9122;18,479;19,2205;17,3708;16,9415;17,7803;18,0397;2,36131;0,00207979;1,28563;4,44508;+
G5ECX9;17,0145;17,1147;16,8814;17,3476;15,6551;15,4689;15,6243;15,6816;5,00001;0;1,48208;13,5554;+
G5ECY0;17,9885;18,4831;18,2359;18,619;17,4547;17,494;17,2839;17,3733;3,14132;0,000668449;0,93014;6,33782;+
G5ECY4;15,8454;16,6576;15,1747;16,5352;16,2348;16,6349;15,3352;16,114;0,0205859;0,904638;-0,0264993;-0,0605224;
G5ECY6;14,594;15,0356;14,9433;15,473;13,192;13,133;12,7307;13,1499;4,06174;0,000125749;1,96009;9,31371;+
G5ECZ0;16,3147;16,6216;15,5651;16,6408;14,9023;13,5253;14,4749;14,628;2,55334;0,00175651;1,90291;4,86916;+
G5ECZ1;18,4648;19,0602;18,8327;19,327;17,6259;18,0338;17,6199;17,5082;2,88595;0,00103153;1,2242;5,6656;+
G5ECZ2;19,8059;20,3896;19,922;20,2828;18,7963;18,5486;18,8829;18,6662;3,89634;0,000103832;1,37657;8,70527;+
G5ED01;17,0057;17,6476;17,6124;17,8736;17,6586;17,7476;17,677;17,6674;0,352199;0,216251;-0,152812;-0,818364;
G5ED07;21,7325;22,3626;21,9959;22,4579;20,3618;20,3766;20,0366;20,2368;4,28011;0;1,88427;10,1747;+
G5ED08;14,6238;14,8385;14,5097;14,8089;13,7029;15,0357;14,5772;15,3592;0,0246155;0,88684;0,0265219;0,0720588;
G5ED11;17,3743;17,783;17,6789;17,1756;16,6775;17,0233;16,08;16,3767;2,10931;0,00343035;0,963557;3,92303;+
G5ED17;15,8;16,4523;16,0464;16,3771;14,7574;15,0775;14,471;14,9783;3,25557;0,000613833;1,34791;6,65759;+
G5ED21;14,7774;15,1363;15,3756;15,2598;15,1264;14,598;14,8611;14,1853;0,951017;0,0385438;0,444565;1,86183;+
G5ED27;18,9001;18,51;18,633;18,1913;17,6149;17,7238;17,4823;17,8711;2,71813;0,00134551;0,885568;5,2533;+
G5ED29;16,4626;16,5494;16,531;16,5198;15,7655;15,6052;14,8363;18,2652;0,213039;0,36389;0,397645;0,534372;
G5ED31;19,7644;19,9514;19,9077;19,6809;17,536;17,3757;18,2176;18,2115;3,88081;0,000101942;1,99091;8,64999;+
G5ED33;18,4753;19,1522;18,265;19,1094;17,8348;17,7004;17,745;17,6008;2,38505;0,00205106;1,03023;4,49623;+
G5ED36;20,276;21,6733;21,2293;22,0361;17,4625;16,8719;17,8782;18,0141;3,74179;0,000174274;3,74701;8,16842;+
G5ED41;17,897;18,2977;17,9528;18,3347;16,515;16,4979;16,9417;17,163;3,27747;0,000538012;1,34117;6,72033;+
G5ED44;14,8293;15,0742;14,5885;15,2575;13,11;13,1703;12,5017;12,9371;4,12853;0;2,00764;9,56987;+
G5ED56;13,7723;15,3807;15,0486;15,3779;13,3376;13,2124;12,9294;13,2241;2,33345;0,00214207;1,71902;4,38554;+
G5ED64;14,8141;14,3221;15,035;15,2854;13,1552;13,129;12,9639;13,1953;3,78388;0,000183406;1,7533;8,3117;+
G5ED75;17,7405;18,4474;17,3774;17,4053;14,7503;14,6669;14,7703;14,9932;4,56364;0;2,94747;11,4001;+
G5ED80;16,4591;15,8744;15,5594;16,2034;14,9433;14,4879;14,0271;13,6318;2,64469;0,00150561;1,75153;5,07968;+
G5ED81;14,8059;15,1696;14,9065;14,8781;13,3273;13,3282;12,8573;13,0811;4,88653;0;1,79155;12,9609;+
G5ED94;14,5839;15,1939;14,9064;14,4117;13,1717;13,2703;12,6659;13,2005;3,58121;0,00030854;1,6969;7,64085;+
G5ED95;15,6762;16,8681;16,1327;16,7959;16,1491;16,0285;16,2044;16,4949;0,195368;0,392427;0,149038;0,49572;
G5EDA3;16,2417;16,2234;15,9825;16,4298;14,3899;13,6406;14,2824;14,4924;4,10888;0;2,018;9,49385;+
G5EDA7;14,9503;15,3297;14,9917;15,2675;13,0015;13,215;12,893;12,7444;5,38325;0;2,17132;15,76;+
G5EDA8;16,0755;17,1052;15,9853;17,2625;15,5117;15,5544;15,2757;15,2165;1,9049;0,00503598;1,21755;3,52466;+
G5EDB2;16,7135;16,2491;15,5473;15,4974;13,333;11,6809;13,5872;13,1571;2,97686;0,000875526;3,06228;5,89844;+
G5EDB6;14,906;15,4816;13,4177;15,481;13,6081;12,8052;13,2636;13,7394;1,48854;0,0112438;1,46754;2,76893;+
G5EDB7;14,1174;15,2601;14,1146;14,8415;15,2091;16,5452;15,2116;15,3909;1,24254;0,0197248;-1,0058;-2,34808;+
G5EDB8;18,7254;19,2018;18,7387;19,0067;18,7263;18,4281;17,6501;17,9234;1,4737;0,0116438;0,736185;2,74312;+
G5EDC6;18,8838;19,7631;19,4186;19,7717;18,3326;17,3935;17,8168;17,8549;2,89026;0,00103444;1,60985;5,67647;+
G5EDD4;17,6668;17,4631;17,7386;17,1308;17,2671;17,1079;17,2991;17,3355;0,856898;0,0498377;0,247427;1,70525;+
G5EDD8;17,8244;18,5566;17,3789;18,3995;16,9011;15,9447;16,3507;16,5981;2,48196;0,00184505;1,59118;4,70867;+
G5EDE2;17,664;17,8818;17,5075;18,1538;13,313;13,1765;12,8917;13,0209;6,86817;0;4,70124;28,0632;+
G5EDE4;16,2061;17,058;16,4713;17,2549;14,3181;15,3583;13,582;14,7925;2,59993;0,00152796;2,23487;4,97578;+
G5EDE7;14,8949;15,4863;13,9987;14,8462;15,825;16,845;15,621;15,0033;1,07963;0,0284675;-1,01702;-2,07554;+
G5EDE8;18,2414;18,1951;17,6627;18,2514;16,0428;15,9251;16,2407;16,6057;4,01761;0,000119318;1,8841;9,14783;+
G5EDF5;16,1343;15,3293;14,8336;15,0746;14,5398;14,9345;14,0247;14,8173;1,15297;0,0237627;0,763912;2,19783;+
G5EDF7;14,9722;15,4333;14,9543;15,4067;13,7803;13,4931;14,0768;14,1347;3,25567;0,000614275;1,32041;6,65788;+
G5EDG2;14,8172;14,8171;14,9481;15,4593;13,1747;13,256;12,8377;13,2166;4,35146;0;1,88917;10,4712;+
G5EDG6;17,2204;18,8424;16,9033;17,0442;16,9552;18,2737;18,293;18,3295;0,352016;0,216363;-0,460289;-0,81801;
G5EDG8;14,1111;15,4373;15,0057;15,2523;13,1813;13,1366;12,4313;13,2474;2,84992;0,00105217;1,9525;5,5752;+
G5EDG9;14,8894;14,8357;14,8405;14,5511;16,4375;16,098;15,8916;16,2105;4,24821;0;-1,38023;-10,0447;+
G5EDH1;14,169;14,8933;14,2073;14,9597;13,7401;14,6849;14,1754;14,7443;0,289482;0,269883;0,221144;0,694286;
G5EDH2;14,9383;15,0146;14,6523;15,0936;20,3344;20,651;19,374;19,6357;5,46015;0;-5,07404;-16,2418;+
G5EDI1;14,5859;14,2067;14,8373;15,245;13,1277;13,0721;12,9425;13,3439;3,31787;0,000528701;1,59716;6,83728;+
G5EDI6;14,7945;14,3314;14,1644;14,3437;15,0259;14,4104;14,5748;14,2725;0,324966;0,238248;-0,162403;-0,765162;
G5EDJ3;14,7187;14,7168;15,2263;14,8673;16,1715;15,8455;15,4855;16,7994;2,11205;0,00338282;-1,19319;-3,92852;+
G5EDK1;14,702;14,5703;13,4097;14,5871;14,9711;15,6373;14,6164;14,8954;0,980469;0,036114;-0,712795;-1,91075;+
G5EDL3;14,3696;15,0922;14,6264;15,4589;16,4079;15,7814;15,2709;16,0041;1,55712;0,00985823;-0,979304;-2,88912;+
G5EDL7;15,3948;16,0224;15,2259;15,5707;14,6811;17,3698;16,821;14,3924;0,12827;0,530539;-0,262641;-0,34164;
G5EDM4;19,4876;19,2882;19,2456;19,8931;18,1265;18,0499;17,5508;17,7845;3,71915;0,000257406;1,60068;8,0922;+
G5EDN6;18,1835;18,7101;17,3043;18,3669;17,5479;17,1863;16,1906;16,488;1,60806;0,00897643;1,28801;2,97937;+
G5EDP0;17,3092;17,818;17,381;17,7857;17,7414;17,5639;18,5659;18,2385;0,861376;0,0489073;-0,453923;-1,71272;+
G5EDP2;19,0057;18,1849;18,5708;18,0594;17,4345;17,4056;16,8151;17,3779;2,43632;0,00188506;1,19693;4,60787;+
G5EDP6;14,5637;15,5001;14,2647;15,221;12,5149;13,3499;12,9329;13,2237;2,83047;0,00107216;1,88199;5,52684;+
G5EDQ0;17,407;17,5736;17,8967;18,1087;17,2049;17,4024;15,9151;16,6476;1,38326;0,014602;0,954025;2,58706;+
G5EDQ2;17,8772;18,0662;17,7847;18,1327;17,7375;17,7999;16,9363;17,1541;1,29759;0,0175375;0,558263;2,44107;+
G5EDQ4;19,169;19,7788;19,3956;19,8005;18,7046;18,7512;19,3087;19,2427;1,28274;0,018247;0,534203;2,41594;+
G5EDQ7;14,835;14,9009;14,2051;15,4035;13,262;13,2041;12,9609;13,2967;3,17766;0,000683995;1,65521;6,4382;+
G5EDR3;18,1985;19,0832;18,1567;19,1245;16,7911;17,6719;16,6619;16,4696;2,43999;0,00188756;1,74206;4,61591;+
G5EDS2;17,4637;17,7053;17,3982;18,4754;16,8084;16,9306;16,5521;16,8206;2,03787;0,00397289;0,982736;3,78143;+
G5EDS8;14,254;14,8988;13,8493;15,3574;13,1088;15,9469;12,1184;15,6337;0,148009;0,483144;0,387923;0,388298;
G5EDT1;14,4499;15,3846;14,9272;15,1495;15,3787;15,0376;14,2593;14,2262;0,303096;0,256646;0,252335;0,7217;
G5EDT4;16,3334;17,5273;17,1617;17,7885;17,5702;17,637;16,7977;17,1071;0,0719923;0,698344;-0,0752554;-0,201129;
G5EDT9;15,5472;15,6318;15,4635;15,7606;14,5817;16,3654;13,6516;12,914;0,814813;0,0554737;1,2226;1,63496;
G5EDU3;16,9284;17,3199;17,1352;17,0685;13,007;12,9619;11,9893;13,1781;5,32511;0;4,3289;15,4048;+
G5EDU8;14,6885;15,5401;14,3973;15,4399;11,8668;12,8561;12,9939;13,1434;2,90598;0,00100858;2,30143;5,71629;+
G5EDV0;18,5983;18,9104;18,4675;18,7715;15,1109;15,9952;15,6227;16,3362;4,3423;0;2,92069;10,4327;+
G5EDV3;20,8661;21,2861;20,9896;21,3323;19,1824;18,9212;19,1534;19,2516;5,23199;0;1,99138;14,8519;+
G5EDV6;18,9331;19,857;19,2147;19,3048;17,4268;17,2681;16,9948;17,4877;4,014;0,000118477;2,03308;9,13435;+
G5EDV7;15,9669;16,6176;16,0619;17,0784;18,3285;17,607;17,4987;17,8059;2,31091;0,00224579;-1,37885;-4,33771;+
G5EDW1;14,382;15,3956;14,5649;14,716;16,1862;16,0915;15,7162;15,7231;2,43578;0,00188339;-1,16463;-4,60668;+
G5EDW8;17,9598;19,606;18,3435;19,4206;16,8728;16,1711;16,6835;16,748;2,66798;0,00150642;2,21364;5,13431;+
G5EDX9;14,284;14,2501;14,8253;14,6761;13,0802;13,2157;12,5725;13,2412;3,37533;0,000434988;1,48146;7,00642;+
G5EDY2;18,3583;18,9891;18,5632;18,7218;18,0465;17,6622;17,7216;17,8371;2,75129;0,00118549;0,8413;5,33304;+
G5EDY3;18,0315;18,3201;17,9401;17,9922;17,8424;17,7245;17,3667;18,0115;1,08239;0,0282886;0,334695;2,08013;+
G5EDY8;16,7372;16,5502;16,6122;17,4519;15,4834;15,4969;15,4166;15,7713;2,94696;0,000948914;1,29581;5,82109;+
G5EDZ2;16,2519;16,3428;16,609;17,5169;17,0543;17,1685;16,6647;16,7661;0,315623;0,246263;-0,233238;-0,746678;
G5EDZ5;17,2385;18,2253;16,9695;17,6602;16,7125;16,3807;16,6528;16,7721;1,6829;0,00794308;0,893877;3,11359;+
G5EDZ6;14,037;14,6491;14,6513;15,2405;16,5998;16,0067;15,2762;15,3734;1,60209;0,00903828;-1,16955;-2,96874;+
G5EDZ7;18,3599;17,9231;18,2386;18,1133;16,4548;16,0974;16,9166;16,8656;3,49571;0,000444444;1,57514;7,37186;+
G5EDZ9;17,4263;16,9021;16,767;17,7129;21,2523;21,2968;21,098;20,9053;5,49719;0;-3,93604;-16,4789;+
G5EE01;14,762;15,3827;14,3955;15,346;14,6343;13,9267;13,7597;13,333;1,58013;0,00951258;1,05812;2,92977;+
G5EE04;21,4634;21,8343;21,6337;21,6941;20,1146;20,2251;19,6782;19,8767;4,61662;0;1,68271;11,6436;+
G5EE09;16,7841;15,4854;15,8424;15,6001;15,5423;15,4382;15,6133;15,9227;0,424547;0,169566;0,298859;0,955481;
G5EE11;14,6724;15,3768;14,7115;14,2667;16,6743;16,9059;16,6404;16,6844;3,77636;0,00018123;-1,96941;-8,28595;+
G5EE12;15,4548;15,4793;15,2197;15,6924;15,51;15,4348;15,0069;15,4001;0,359311;0,210809;0,123565;0,832103;
G5EE13;14,6101;14,6878;14,7938;15,3349;13,2815;13,1575;12,4448;13,1117;3,51994;0,000295515;1,8578;7,4473;+
G5EE14;14,7914;15,5342;15,0357;14,3705;13,8595;12,9409;14,1807;13,7143;1,90042;0,00507178;1,2591;3,51615;+
G5EE16;15,396;15,0992;15,364;15,1718;14,6972;14,5357;14,5742;15,1334;1,8225;0,00598062;0,522628;3,36966;+
G5EE32;16,1292;17,0396;16,4079;16,9442;15,4774;15,663;14,7718;14,9944;2,46771;0,0018343;1,40358;4,67705;+
G5EE34;14,6589;15,1132;15,0579;15,4187;13,6016;13,7534;13,421;13,5534;3,889;0,000102689;1,47983;8,67911;+
G5EE36;18,0321;17,4361;18,0292;17,4484;15,0433;13,7582;14,2741;15,8892;3,03516;0,000790062;2,99522;6,05145;+
G5EE37;17,0597;17,4512;17,568;17,576;15,6267;14,9319;15,0833;15,6898;4,03193;0,000122093;2,0808;9,20134;+
G5EE40;17,669;18,274;17,9061;18,0155;16,483;17,5943;17,1973;16,9984;1,84639;0,00572325;0,897926;3,41429;+
G5EE41;17,5883;17,6718;17,5998;17,9613;16,3911;16,4166;16,2941;16,5189;4,92542;0;1,30012;13,1618;+
G5EE42;18,8789;19,2008;19,2148;19,3822;17,1284;17,9621;16,5609;16,8086;3,14973;0,000672043;2,05417;6,36094;+
G5EE46;16,9188;17,7686;17,1207;17,5114;16,1126;16,9373;16,1366;16,0655;1,94136;0,00486623;1,01686;3,59422;+
G5EE48;18,7898;20,5623;20,0496;20,7638;19,7057;19,3586;18,7746;18,7454;0,905176;0,0433542;0,895293;1,78564;+
G5EE56;14,8127;14,8704;14,7202;14,5659;13,3459;12,6017;12,9282;13,0348;4,37041;0;1,76463;10,5513;+
G5EE62;14,7074;14,7338;13,3863;14,3983;13,2138;13,2865;12,7322;13,246;1,8777;0,0053746;1,18684;3,47316;+
G5EE67;19,3855;18,7174;18,414;19,2576;18,2782;18,3206;17,7585;18,1457;1,68915;0,00782372;0,817857;3,12488;+
G5EE72;15,8465;16,6035;13,5188;17,0033;16,1835;15,5665;16,1227;16,42;0,158569;0,460617;-0,330182;-0,412777;
G5EE74;18,5857;19,3067;18,6015;18,8601;17,5471;17,9986;17,6224;17,8014;2,85567;0,00105507;1,09612;5,58956;+
G5EE80;14,7642;13,759;15,0571;15,275;16,2691;16,3483;16,2661;17,1001;2,41134;0,002;-1,78208;-4,55326;+
G5EE89;14,4852;15,551;14,8337;15,2363;13,0702;13,1017;12,8041;12,9235;3,82591;9,57E-05;2,05166;8,45693;+
G5EE90;19,591;19,5672;19,1991;19,1702;18,6869;18,0943;17,5501;18,4716;2,29837;0,00232231;1,18115;4,31122;+
G5EE96;17,0184;17,6215;17,1994;17,737;17,4389;17,5061;17,5423;17,4856;0,233084;0,335699;-0,0991597;-0,577387;
G5EEA2;14,7323;14,9674;15,0715;15,3177;12,3562;13,3547;12,9424;12,6876;3,9764;0,000111851;2,18699;8,99526;+
G5EEA8;21,6726;21,989;21,7339;21,9566;19,1932;18,3109;20,2302;20,197;2,63572;0,0014954;2,3552;5,05873;+
G5EEB6;15,4398;16,9187;16,5806;16,8061;13,9177;14,0783;14,3719;14,1535;3,21551;0,000661484;2,30596;6,54408;+
G5EEC4;19,9131;20,4741;20,1891;20,3783;18,8232;18,5158;18,9852;18,8323;4,02491;0,00012069;1,44953;9,17508;+
G5EED5;17,6508;18,1075;17,515;18,1847;16,1398;16,0325;16,0002;15,9217;4,40995;0;1,84095;10,7201;+
G5EEE1;14,1299;14,7526;14,8554;15,0895;13,2419;13,03;12,7915;13,3114;3,31757;0,000528302;1,61315;6,83642;+
G5EEE5;19,6145;19,3181;18,846;19,3546;17,3187;17,4719;17,7559;17,7062;3,99291;0,000114598;1,72016;9,05611;+
G5EEF8;16,1371;17,5028;16,3603;16,322;13,0306;14,7564;14,5778;14,6543;2,39623;0,00206177;2,3258;4,52042;+
G5EEG4;14,2595;15,4529;14,2572;13,7127;17,2251;16,1296;16,2855;16,5079;2,52738;0,0017843;-2,11646;-4,8104;+
G5EEG6;14,9351;14,8887;14,4546;15,0534;16,3251;16,6849;16,164;15,6639;2,83053;0,00107275;-1,37652;-5,52698;+
G5EEG7;13,9929;15,5461;14,1475;15,3675;13,2099;13,2001;12,895;13,2795;2,10993;0,00343434;1,61739;3,92427;+
G5EEG8;18,8065;19,2649;19,0969;19,5755;18,0716;17,3239;18,0719;18,1359;2,66128;0,00149975;1,28511;5,11855;+
G5EEH6;19,1074;19,6141;19,2696;19,613;17,1356;16,4772;16,8067;16,5916;5,03597;0;2,64824;13,7491;+
G5EEH9;17,9916;18,3016;17,7112;18,3055;17,0883;16,6329;16,347;16,5092;3,27342;0,000598104;1,43315;6,7087;+
G5EEI4;20,3329;20,2971;20,3376;20,9173;19,9568;19,9482;18,6356;19,4962;1,50291;0,0109238;0,962042;2,794;+
G5EEI8;17,5294;16,6763;16,6655;16,1285;15,1935;15,1344;14,74;15,2735;2,7455;0,00117635;1,66456;5,31905;+
G5EEI9;14,0394;15,0341;14,5592;15,3515;14,5769;14,5514;13,6768;13,8058;0,788417;0,059277;0,593351;1,59074;
G5EEJ7;18,3741;18,5584;18,2268;18,6175;18,4165;18,9124;18,2772;18,5941;0,26662;0,293547;-0,105875;-0,647579;
G5EEK0;14,8853;14,3691;14,9876;14,9559;13,0339;12,6273;12,9824;13,3346;3,92301;0,000106329;1,80492;8,80097;+
G5EEK2;14,8648;15,9733;16,0661;16,495;15,1787;14,8685;14,3788;14,9205;1,40731;0,0135795;1,01319;2,62835;+
G5EEK8;19,8128;20,5795;20,0958;20,4698;19,9564;19,8595;19,3912;19,7622;1,22139;0,020741;0,49714;2,31249;+
G5EEK9;19,5504;19,8622;19,5891;19,7633;19,0686;19,1226;18,6823;18,9731;2,998;0,000845687;0,729583;5,95357;+
G5EEL1;17,423;17,0114;17,0738;17,216;17,185;17,164;17,3915;17,3488;0,367007;0,205352;-0,0912971;-0,846901;
G5EEL2;14,5027;14,2555;14,9284;15,026;15,8159;16,0274;15,1768;15,8108;2,14206;0,00324141;-1,02957;-3,98884;+
G5EEL9;19,5235;20,1723;19,8986;20,2034;18,797;18,8242;17,5859;18,75;2,28908;0,00236994;1,46016;4,29166;+
G5EEM1;13,8272;15,5526;15,0159;15,3997;13,1034;12,9594;12,4516;13,2234;2,49159;0,00185172;2,01443;4,73012;+
G5EEM2;13,6047;15,4593;15,0043;15,2929;13,0522;13,1812;12,7637;13,1932;2,21124;0,00273957;1,79272;4,12981;+
G5EEM5;16,6597;17,3813;16,913;17,4376;15,8143;16,2439;15,4866;15,7355;2,70314;0,00137903;1,27785;5,21754;+
G5EEM6;14,8508;15,0816;14,7593;15,32;14,7224;13,8548;15,017;15,0597;0,507541;0,13027;0,339423;1,10676;
G5EEN1;16,9304;17,6109;17,3027;17,5446;13,9472;16,4442;15,8627;16,7439;1,31519;0,0167437;1,59766;2,47094;+
G5EEN4;14,0242;15,0099;14,3406;15,4617;16,9136;17,1891;16,5882;16,9445;3,14227;0,000669344;-2,19974;-6,34042;+
G5EEN7;16,2873;17,2235;16,0425;16,2817;13,7987;13,1551;13,6071;13,1726;4,20426;0;3,02541;9,86788;+
G5EEQ1;14,4784;14,8285;14,8927;15,3317;14,7704;14,9795;13,713;14,6233;0,501606;0,132785;0,361297;1,09612;
G5EEQ4;14,8584;14,3837;14,6771;14,2303;13,1883;13,3401;12,5417;13,024;3,29477;0,000546399;1,51384;6,77021;+
G5EEQ8;17,749;18,1641;17,3117;18,2058;15,9545;15,8926;15,5059;15,4515;3,91318;0,000105395;2,15653;8,76558;+
G5EER4;16,557;15,7633;16,7628;16,589;13,3152;13,357;12,6073;13,1606;4,63508;0;3,308;11,7296;+
G5EES3;17,4245;17,5212;17,1666;17,8338;18,2405;17,8287;17,1281;17,5664;0,319388;0,243174;-0,204368;-0,754142;
G5EES6;16,46;17,1542;16,6767;16,9436;15,6812;16,0385;14,874;15,2385;2,41461;0,00189225;1,35057;4,56037;+
G5EES8;14,8451;14,9525;14,2235;15,0922;12,7725;13,2352;12,5593;13,2323;3,42105;0,00044878;1,82854;7,14344;+
G5EES9;20,5536;20,7526;18,6917;20,458;15,1261;11,4337;15,2452;15,9605;2,62698;0,00148963;5,67261;5,03839;+
G5EET2;16,9923;18,3036;16,9917;18,3188;17,0125;16,9325;15,9621;16,3105;1,27459;0,0184883;1,09717;2,40216;+
G5EET3;15,0216;15,3767;14,713;15,2813;16,6264;16,8127;15,8249;16,4657;2,65808;0,00151521;-1,33425;-5,11104;+
G5EET5;14,2686;15,526;14,9149;15,2254;13,275;13,1601;12,7572;13,1441;3,20395;0,000655003;1,89962;6,51157;+
G5EET8;21,363;21,4691;20,395;21,53;20,834;20,272;19,8324;19,8477;1,49933;0,0110668;0,992743;2,78775;+
G5EEU1;16,4784;17,4541;17,6004;17,2246;15,2725;14,662;14,4697;14,9615;3,59914;0,000313141;2,34796;7,69829;+
G5EEV5;17,3997;16,3108;17,0067;16,4938;16,7068;15,1267;15,0392;15,4372;1,4327;0,012808;1,2253;2,67209;+
G5EEW1;14,4574;15,2119;14,8028;15,4249;13,0903;12,9777;12,7305;13,1236;3,85518;9,91E-05;1,99371;8,5594;+
G5EEW5;14,1054;15,1407;14,979;15,13;13,3385;13,0886;12,7065;13,0337;3,17592;0,000682594;1,79695;6,43335;+
G5EEW6;16,7172;16,784;16,6448;16,9525;14,384;15,5002;13,8535;15,7254;2,25694;0,00253871;1,90884;4,22441;+
G5EEW7;14,8179;15,2842;14,9893;15,2717;12,8898;13,0129;12,8574;13,3534;4,86446;0;2,0624;12,8481;+
G5EEY5;14,2176;15,156;14,7818;15,3747;14,314;14,3599;13,9927;13,8361;1,43398;0,0127895;0,756868;2,67431;+
G5EEZ0;14,4946;15,5069;14,5769;14,8166;14,723;15,0226;14,8277;14,9306;0,0396005;0,82148;-0,0272453;-0,11414;
