ProteinAccessions;log2 daf2_d15_01;log2 daf2_d15_02;log2 daf2_d15_03;log2 daf2_d15_04;log2 daf2_d1_01;log2 daf2_d1_02;log2 daf2_d1_03;log2 daf2_d1_04; -Log Student's T-test p-value daf2_d15_daf2_d1;Student's T-test q-value daf2_d15_daf2_d1; Student's T-test Difference daf2_d15_daf2_d1;Student's T-test Test statistic daf2_d15_daf2_d1;Sign p-val: 0.05 
A0A061AKY5;16,5696;15,9392;15,6755;16,5092;13,6529;15,2626;14,344;14,6621;2,26036;0,00191332;1,69297;4,23152;+
A0A061AL58;14,5355;14,6999;14,4939;14,9344;13,9599;13,5927;13,7867;13,3555;3,03651;0,000442596;0,99223;6,05502;+
A0A078BPG0;14,2578;13,9932;14,6474;15,1687;13,4822;13,2835;13,7968;12,5132;1,80455;0,00558261;1,24787;3,33629;+
A0A078BPH9;12,2985;11,947;12,4792;11,8912;13,4519;13,0365;14,0339;12,836;2,12497;0,00260362;-1,18559;-3,95443;+
A0A078BPJ4;15,2263;15,4442;15,1319;15,1181;14,3602;13,8227;14,023;13,8797;3,83961;0,000155922;1,20873;8,50477;+
A0A078BQL1;14,3675;14,3236;13,5239;14,0069;14,437;14,1755;14,1049;14,0022;0,232959;0,420096;-0,124394;-0,577122;
A0A078BQP7;14,3337;14,6362;14,8568;15,0861;14,1822;13,5679;13,9529;13,334;2,09534;0,00278097;0,96896;3,89513;+
A0A0K3AQM0;13,9325;14,4416;14,4983;14,9111;15,1094;14,9499;15,542;15,0749;1,63802;0,00804339;-0,723162;-3,03284;+
A0A0K3AQN0;13,1338;12,4764;12,0041;13,3743;14,3318;13,9801;13,7444;13,0567;1,33375;0,0168807;-1,03111;-2,50249;+
A0A0K3AQN5;15,5517;15,5128;15,1444;15,5406;15,0493;14,8721;14,8834;14,7244;2,47269;0,00116029;0,555025;4,68809;+
A0A0K3AQT9;17,5258;16,8627;17,8107;18,2929;16,2304;16,0431;14,4429;15,1278;2,25474;0,00199359;2,16196;4,21982;+
A0A0K3AQU9;14,028;14,6544;14,7886;14,9017;16,0092;13,4848;14,7696;13,4221;0,097664;0,676727;0,171733;0,266723;
A0A0K3AQV8;12,3222;12,2655;14,0327;12,933;13,5153;12,2491;13,2763;13,8107;0,248273;0,399461;-0,324476;-0,609439;
A0A0K3AQW8;16,4987;14,5871;16,1889;15,6524;13,3076;13,3039;13,5169;13,701;2,73123;0,000750345;2,27437;5,28471;+
A0A0K3AQY3;11,6871;11,8917;11,7372;12,0707;11,0256;10,6159;10,6167;10,841;3,73857;0,000144645;1,0719;8,15753;+
A0A0K3AR63;11,7855;12,0595;11,7779;12,0944;14,0404;13,7714;13,8167;13,92;5,82887;0;-1,95779;-18,7563;+
A0A0K3ARA8;12,1525;12,0584;11,7014;11,8513;12,8504;12,4177;13,3509;11,8584;1,05597;0,0369709;-0,678441;-2,03617;+
A0A0K3ARC0;12,0055;13,1996;12,879;13,5371;15,5017;15,3856;15,1109;14,5788;2,92948;0,000475676;-2,23895;-5,77621;+
A0A0K3ARE1;12,3058;11,3864;11,6527;12,033;11,771;12,8416;11,72;12,4886;0,47865;0,194045;-0,360803;-1,05472;
A0A0K3ARF3;12,2917;11,4481;11,3373;12,0885;15,1437;14,4379;14,5374;14,4959;4,23149;8,39E-05;-2,86237;-9,97707;+
A0A0K3ARJ1;12,0465;11,8805;11,7464;12,0446;11,9118;12,1038;12,8008;12,5522;0,98076;0,045665;-0,412654;-1,91123;+
A0A0K3ARM6;16,8271;16,1133;16,3452;16,5303;13,1779;13,241;12,8194;13,2696;5,74363;0;3,32701;18,1436;+
A0A0K3ARN9;12,3083;12,0572;11,5711;11,9796;13,1414;13,1551;12,9483;13,5493;3,07223;0,000460208;-1,21943;-6,15028;+
A0A0K3ARX5;11,8309;11,9709;11,7413;12,0859;10,8572;9,59846;10,5046;10,6183;2,73542;0,00068603;1,51259;5,29477;+
A0A0K3AS68;15,8318;15,248;16,804;17,2428;17,5411;16,747;16,9177;17,0942;0,8162;0,0731655;-0,793325;-1,63728;
A0A0K3ASB9;15,9486;16,6889;15,6395;15,4748;14,3503;14,2965;14,0295;14,1474;3,09712;0,000429577;1,73206;6,21735;+
A0A0K3ASG4;13,241;14,1866;15,5177;11,1818;15,2911;13,9644;14,1441;13,7363;0,328042;0,31243;-0,752213;-0,77122;
A0A0K3ASH2;18,6079;18,7012;18,5758;18,6198;18,5411;18,4763;18,5505;18,2987;1,32395;0,0172636;0,159531;2,48582;+
A0A0K3ASH9;14,152;14,1712;13,9178;13,872;14,9002;14,9816;14,9892;14,9089;4,54189;0;-0,91672;-11,3016;+
A0A0K3ASM2;11,5121;12,0259;11,6543;12,0479;10,9376;10,6472;10,7921;10,746;3,37067;0,000314316;1,02931;6,99258;+
A0A0K3AT36;14,846;15,3107;14,6993;14,6516;16,7764;16,3451;13,3088;15,1487;0,27034;0,37417;-0,517859;-0,655238;
A0A0K3ATC0;17,7529;17,8255;17,6134;17,8;15,3663;15,3492;15,5883;15,0892;6,1594;0;2,39969;21,3285;+
A0A0K3ATS1;22,0097;20,8857;21,353;21,3849;21,7474;22,1143;22,0065;21,4276;0,735675;0,0918821;-0,415623;-1,50195;
A0A0K3AUD2;14,8424;15,6232;15,2432;9,27069;13,3818;13,1706;12,9138;13,224;0,144794;0,567786;0,572329;0,380782;
A0A0K3AUJ9;21,5481;21,431;21,9352;21,9874;21,9418;21,7497;21,7763;21,7001;0,174324;0,510472;-0,0665178;-0,44872;
A0A0K3AUW2;14,3262;14,4487;14,2435;14,1746;14,5113;14,5323;14,7196;14,1443;0,636606;0,121132;-0,178638;-1,33309;
A0A0K3AUZ7;12,2878;11,9467;11,7135;11,4571;13,0162;11,8051;12,8231;12,0398;0,829448;0,0707308;-0,569763;-1,65943;
A0A0K3AVA9;11,8844;12,058;10,8493;11,4062;11,6752;10,9989;11,4704;11,1694;0,298304;0,342736;0,221003;0,712083;
A0A0K3AVL7;12,7838;14,2457;13,8184;11,8336;13,6455;13,2998;12,6054;12,8474;0,0418596;0,840074;0,0708621;0,120377;
A0A0K3AVS5;17,177;17,306;17,2586;17,621;18,0799;17,9544;17,8609;17,9541;2,94107;0,000478261;-0,621682;-5,80593;+
A0A0K3AVV4;14,5049;14,2596;14,5014;15,4723;14,2979;14,5233;14,602;14,4496;0,333792;0,306669;0,216342;0,782511;
A0A0K3AW68;13,65;11,7346;11,3934;10,8491;13,2047;13,1923;13,5453;12,7198;1,02887;0,0397213;-1,25877;-1,99113;+
A0A0K3AW96;16,8634;16,9329;16,9231;17,082;16,3382;16,225;16,1405;15,8562;3,43221;0,000273973;0,810347;7,17722;+
A0A0K3AXM4;17,1087;16,9448;16,2745;16,4609;14,6652;14,5774;14,5304;14,5023;4,39078;9,83E-05;2,12839;10,638;+
A0A0K3AY44;11,1797;0;11,7027;11,9444;10,9633;10,7178;10,801;10,7331;0,302917;0,338362;-2,09706;-0,721342;
A0A0K3AY85;11,6281;11,721;12,6924;12,1074;13,1376;12,9935;13,2651;12,7266;1,99989;0,00356736;-0,993479;-3,70722;+
A0A0K3AYJ1;12,4012;13,0067;12,079;12,7615;14,6293;13,7522;14,0625;13,9497;2,837;0,000570169;-1,53634;-5,54304;+
A0A0M7REP5;16,969;17,1551;16,6583;16,6533;12,9895;13,6276;13,4423;13,8067;5,39216;0;3,39245;15,8151;+
A0A0S4XR31;15,548;15,909;14,9418;15,2816;15,3917;15,3103;15,3597;15,1448;0,224414;0,433013;0,118495;0,558886;
A0A0S4XR36;12,8848;11,3349;11,9022;11,0724;12,9748;12,0796;11,9757;12,4436;0,581621;0,140968;-0,569873;-1,23774;
A0A0S4XR43;14,3554;14,8698;15,2589;15,5152;15,1967;14,7468;14,4661;15,0081;0,19161;0,482822;0,145405;0,487409;
A0A0S4XR45;10,3791;12,9526;13,9639;12,0798;13,0999;13,0408;13,1241;12,4987;0,328092;0,312363;-0,59703;-0,771319;
A0A0S4XR68;15,6695;15,2273;15,0333;15,8729;14,0388;12,8363;13,8535;13,3663;2,94131;0,000478632;1,92702;5,80657;+
A0A0T7CIX3;14,2199;14,5321;13,2238;13,2607;13,6706;13,845;13,8241;15,3813;0,297374;0,343796;-0,371093;-0,710213;
A0A0U1RML5;14,5608;13,9;15,9433;15,3709;12,7837;12,9861;13,3497;13,2385;2,13493;0,0025905;1,85424;3,97447;+
A0A131MAU8;11,9446;14,1103;12,5545;11,976;13,075;11,9628;11,6702;11,7729;0,380983;0,264957;0,526145;0,8736;
A0A131MB12;14,2522;14,2834;15,2578;15,1575;14,1946;13,8292;14,0122;13,5697;1,48305;0,0114972;0,836275;2,75938;+
A0A131MBA2;12,1904;11,6131;12,4417;12,0958;10,9269;10,6138;10,7563;10,5418;3,41351;0,000268456;1,37552;7,12069;+
A0A131MBB2;14,8595;14,4487;14,6613;15,687;14,9708;15,4404;14,7526;14,8316;0,0997261;0,670655;-0,0847225;-0,271878;
A0A131MBC3;14,9965;15,5489;15,1183;15,4392;15,7694;15,8648;15,5982;15,5687;1,54292;0,0100038;-0,424513;-2,8641;+
A0A131MBF9;13,7875;14,0472;14,1074;13,9659;13,2929;13,1286;13,3316;13,5981;2,75699;0,000651685;0,639193;5,34681;+
A0A131MBG0;12,2141;11,9291;11,7245;12,0408;12,7211;11,6758;12,478;12,8654;0,799522;0,076878;-0,457949;-1,60936;
A0A131MBG4;10,7789;10,776;11,2011;10,8951;13,5935;13,3194;13,3481;12,9404;5,12175;0;-2,38758;-14,2217;+
A0A131MBU3;18,2469;18,4921;18,0862;18,343;18,0058;17,6724;17,7368;17,5448;2,28002;0,00187372;0,5521;4,27263;+
A0A131MCJ0;14,1769;14,1706;13,6974;13,3656;12,2768;12,5617;12,0353;11,7352;3,17595;0,000377218;1,70037;6,43345;+
A0A131MCL1;12,2741;11,8514;11,6321;11,9399;13,3505;12,5887;12,4551;11,8211;0,941243;0,0510612;-0,629467;-1,84559;
A0A131MCL4;14,1267;14,1581;13,718;14,0143;14,5519;14,54;14,5911;15,048;2,28861;0,00178116;-0,678453;-4,29067;+
A0A163UT65;15,2906;15,2906;14,9485;15,2859;15,8107;15,5416;15,5062;15,8157;2,09212;0,0028176;-0,46463;-3,88873;+
A0A164D380;14,6701;15,3405;14,7615;15,7224;14,7813;14,4442;14,3378;13,9264;1,31151;0,0179517;0,751228;2,4647;+
A0A164D3C9;15,7529;15,3083;15,6958;16,429;15,1085;14,0355;14,4946;14,391;2,14609;0,00251927;1,28909;3,99699;+
A0A164D3G3;15,4699;14,4148;15,4962;14,9293;14,3778;14,7669;14,1293;14,376;1,21703;0,0237884;0,665043;2,30517;+
A0A168H9Z7;14,0168;15,8241;14,2198;14,1418;13,7506;13,6741;13,4341;13,9941;0,971054;0,0467942;0,837407;1,89511;+
A0A1C3NSI5;15,6143;15,803;15,3881;15,7427;14,9862;13,8023;14,4912;14,11;2,50168;0,00100789;1,28962;4,75267;+
A0A1C3NSL1;11,9171;12,2049;12,2413;12,078;10,969;11,3314;10,6331;10,8396;3,41201;0,000267857;1,16703;7,11618;+
A0A1C3NSL5;18,7993;19,158;18,5913;18,9076;17,4613;17,1581;17,2477;17,3517;4,59829;0;1,55935;11,5588;+
A0A1D3PCL0;11,6659;11,9376;11,7363;11,9968;11,582;10,7392;10,7965;10,1852;1,83021;0,00525549;1,00841;3,38404;+
A0A1D3PCL8;14,317;14,6147;14,2337;13,9844;13,8113;13,8712;13,8529;14,8605;0,272811;0,371272;0,188485;0,660314;
A0A1I6CM73;12,0296;11,8316;11,6299;11,6139;14,1071;14,3282;14,2221;14,2521;6,31645;0;-2,45112;-22,6683;+
A0A1I6CM84;15,4036;15,1741;15,4845;14,2731;14,9535;14,736;14,9911;15,1045;0,186789;0,49019;0,13758;0,476693;
A0A1I6CM85;13,3827;13,5771;12,9542;11,7949;14,6878;13,5791;13,241;13,2334;0,698518;0,101442;-0,75809;-1,43899;
A0A1I6CM94;15,0814;15,9583;15,9012;14,9412;14,9117;15,0563;15,2123;14,7075;0,873447;0,0624467;0,498571;1,73283;
A0A1I6CM95;13,5757;0;12,8483;12,9887;13,7267;13,3403;13,5444;13,8469;0,528009;0,165998;-3,76143;-1,14329;
A0A1I6CMC9;12,277;11,8445;11,4988;11,9791;13,717;12,9555;13,6063;13,3982;3,20717;0,000381492;-1,5194;-6,52061;+
A0A1N7SYP3;18,6546;18,747;18,9479;19,3414;18,3724;17,8631;17,8451;17,2892;2,15801;0,00251761;1,0803;4,02112;+
A0A1N7SYP6;16,776;16,9279;16,7213;17,0443;16,4586;16,0264;15,6961;15,7429;2,46348;0,00115407;0,886368;4,6677;+
A0A1N7SYQ5;14,7991;13,8354;15,6027;14,8009;16,394;15,6656;15,679;16,0636;1,60151;0,00882492;-1,191;-2,96771;+
A0A1N7SYT2;12,3188;12,009;11,6344;12,0701;11,0077;9,82459;10,7234;10,8321;2,48309;0,00108218;1,41113;4,71119;+
A0A1N7SYU2;12,1931;12,02;12,5006;11,8892;11,0941;10,412;10,7817;10,0716;3,0315;0,000440762;1,56087;6,04175;+
A0A1N7SYW5;12,2988;12,0911;11,7374;12,0829;12,6899;12,8133;13,1171;12,7559;2,73026;0,000749311;-0,791465;-5,28237;+
A0A1T5HUK0;15,4607;14,5094;15,3042;16,102;14,2381;13,6658;13,5398;13,3294;2,30977;0,0016128;1,65079;4,33528;+
A0A9S0;12,2833;11,8588;11,4381;11,8065;13,0579;14,0221;14,0326;13,3238;2,95275;0,000480874;-1,76245;-5,83601;+
A0A9S2;14,2153;14,5405;14,2648;14,7663;13,9064;13,565;14,0213;13,8973;1,99993;0,00356906;0,599223;3,70728;+
A2V8C3;18,4719;18,5188;18,6231;18,8389;16,8632;16,7681;16,7713;17,2911;4,55236;0;1,68977;11,3489;+
A2V8C8;17,4455;18,0514;18,6233;18,8419;16,3388;15,9727;16,5541;16,7209;2,71037;0,000745205;1,84392;5,23477;+
A3FPJ3;12,3149;12,0044;11,7213;12,0181;15,3754;17,584;13,229;15,8757;2,08175;0,00290605;-3,50132;-3,8681;+
A3FPK9;17,5609;17,4753;17,0124;16,7951;14,9816;14,0183;15,2852;14,3963;3,53428;0,000290557;2,54056;7,49222;+
A3FPL3;12,606;12,878;12,2253;12,7557;11,0338;10,7375;10,656;10,8375;4,47725;0;1,80005;11,0132;+
A3QM97;15,029;14,6224;13,6074;13,6828;12,9483;12,6948;12,6783;12,9225;2,13475;0,00258788;1,42442;3,9741;+
A3QM98;16,6624;16,6246;18,0332;17,0774;15,7824;15,0739;14,6229;14,6624;2,55258;0,000996885;2,064;4,86743;+
A3QMB6;12,2956;11,8041;11,475;11,9343;11,0661;10,8012;10,3498;10,7525;2,62856;0,000777487;1,13484;5,04206;+
A3QMB7;13,5636;12,2958;13,6018;14,0679;12,6456;12,9428;12,7097;12,9055;0,736347;0,0916606;0,581362;1,50309;
A3QMC2;15,5672;15,6467;15,3658;15,2903;14,6765;14,3188;14,3926;14,3582;3,93341;6,49E-05;1,03095;8,83851;+
A3QMC5;17,512;17,0712;17,28;17,8638;19,5652;19,4955;19,399;19,6166;4,65935;0;-2,08737;-11,8435;+
A3QMC6;14,8115;15,3765;14,7938;14,8954;14,4387;14,419;14,2626;14,5015;2,07076;0,00291871;0,56383;3,8463;+
A3QMC8;14,6081;14,7759;14,6536;14,6401;13,9153;13,5012;13,6391;13,7501;4,28379;8,79E-05;0,96801;10,1899;+
A4F303;12,2935;12,0843;11,7668;11,9464;14,1002;13,482;14,2028;14,0387;4,20146;8,23E-05;-1,93318;-9,85674;+
A4F305;15,3395;15,1347;15,7461;15,1258;14,2225;14,3629;14,544;14,6483;2,67413;0,000729712;0,892085;5,1488;+
A4UVK2;14,5494;14,6214;13,5333;14,217;15,1902;14,5167;15,212;14,454;0,971103;0,046789;-0,612955;-1,89519;+
A4UVK9;12,105;12,051;11,7079;12,1104;12,9113;12,0042;12,782;12,9307;1,48458;0,0114132;-0,663459;-2,76204;+
A4UVL1;12,2267;11,5243;11,189;12,0329;11,0698;10,7264;10,7121;10,7648;1,98524;0,00369434;0,924937;3,67879;+
A4UVL9;14,4207;13,799;14,3348;14,2994;12,7203;12,6388;12,7956;11,736;3,05875;0,000453925;1,74077;6,11422;+
A4UZ35;13,8391;13,9435;13,2652;12,8191;13,1601;13,6086;12,8662;13,4453;0,261116;0,383716;0,196651;0,636202;
A5A8P5;17,2311;16,5109;18,7434;17,6686;15,6256;15,8359;15,3576;15,225;2,22848;0,00205799;2,02748;4,16535;+
A5HU91;18,5853;17,9223;18,8035;18,8608;17,8415;17,9864;17,8462;17,6544;1,7022;0,00678793;0,710843;3,14853;+
A5HU97;18,5305;18,4795;18,2691;18,7642;14,0736;13,6944;13,9573;14,3946;6,59891;0;4,48081;25,2888;+
A5HU98;16,2173;16,4049;16,3813;16,8139;16,5998;16,5146;16,4876;16,1897;0,0139659;0,944641;0,00641775;0,0413561;
A5HWA4;12,2577;11,7809;11,7758;11,8512;10,9374;10,7436;10,7154;10,7589;3,97162;6,68E-05;1,12758;8,97771;+
A5HWA9;11,3154;11,9978;11,6782;11,8088;11,0432;10,599;10,7511;10,7269;2,75911;0,000653061;0,920029;5,35197;+
A5HWB2;13,6777;14,5074;13,2002;12,8784;14,1434;14,1578;14,2195;14,6301;0,996773;0,0435603;-0,721791;-1,93782;+
A5JYR4;14,6595;15,1608;14,8982;15,1911;14,1256;14,4991;14,5643;14,6989;1,55699;0,00985593;0,505442;2,88889;+
A5JYS8;14,3939;12,651;13,7199;14,0018;13,3366;11,8957;12,4142;12,8967;1,13905;0,0293898;1,05587;2,17458;+
A5JYT2;14,8536;15,5236;14,7472;15,1124;13,474;13,4911;13,3346;13,9429;3,33594;0,000304484;1,49854;6,89012;+
A5JYU1;13,8901;14,4191;13,8698;13,8172;13,552;13,8637;13,7331;13,7471;0,89928;0,0576362;0,275025;1,77584;
A5JYU5;11,9391;11,6458;11,429;12,101;10,9721;10,6103;10,7281;10,8314;2,97611;0,000490837;0,993288;5,89648;+
A5JYW3;16,2772;16,1224;16,2639;16,5886;13,4741;13,3233;13,2217;13,7609;5,82555;0;2,86804;18,7321;+
A5JYW9;12,2229;11,8124;11,7175;11,7053;13,187;11,6217;15,2142;13,0748;0,964411;0,047716;-1,40991;-1,88408;+
A5JYX3;17,3748;13,4242;18,5821;17,4359;15,0707;16,247;16,4734;14,7152;0,390741;0,25693;1,07769;0,892112;
A5JYX4;16,9128;16,6235;16,857;17,0926;16,9409;16,7647;16,7677;16,7128;0,286842;0,354673;0,0749426;0,688938;
A5JYX8;14,8733;14,8367;14,5416;14,6556;14,7414;14,776;14,5038;14,5177;0,377962;0,267079;0,0920701;0,867848;
A5PEY0;11,7999;11,6419;11,7698;11,7881;12,7057;12,8296;12,8398;12,2515;3,13947;0,000416058;-0,906769;-6,33272;+
A5Z2S2;14,4255;14,2048;14,1811;14,5446;13,6331;13,4758;12,3074;13,6437;1,7427;0,00616631;1,07398;3,22233;+
A5Z2S4;14,9972;14,5366;14,3054;15,2929;14,3216;13,8438;13,6291;13,6957;1,81058;0,00546057;0,910455;3,34748;+
A5Z2S9;12,2053;12,4081;11,6583;11,705;13,1543;12,576;12,2292;12,4502;1,18172;0,0259934;-0,608225;-2,24593;+
A5Z2T6;12,2964;11,7691;11,7578;11,9621;13,252;12,1051;12,8852;12,5483;1,46886;0,0118735;-0,751307;-2,7347;+
A5Z2T7;12,5345;14,8785;12,7149;13,0568;13,3522;12,0507;10,9389;13,0104;0,591208;0,137708;0,958116;1,25447;
A5Z2T9;15,3191;15,6358;14,5398;14,6891;14,1555;14,3339;14,627;14,3633;1,29831;0,0186799;0,676037;2,44229;+
A5Z2U5;14,3292;14,0998;15,1131;14,8261;12,4841;12,9282;12,6733;13,0203;3,36011;0,000312299;1,81559;6,96131;+
A5Z2U8;15,6714;15,8957;15,0674;15,243;13,9482;13,6368;13,5306;13,0255;3,42581;0,000272727;1,93411;7,15784;+
A5Z2U9;17,894;18,0955;16,8228;16,9758;13,8644;13,9001;13,7352;14,0697;4,43901;0;3,55468;10,8458;+
A5Z2V2;13,642;14,4742;13,2415;14,477;12,201;12,6418;12,621;12,8181;2,21235;0,0021371;1,38821;4,13209;+
A5Z2V3;12,243;11,7716;11,5276;11,9632;13,2131;12,9238;12,6891;13,3037;2,86207;0,000529762;-1,15606;-5,60557;+
A5Z2V7;15,5466;14,894;14,7668;15,0814;13,7785;13,9841;13,231;14,028;2,72068;0,00074674;1,31683;5,25941;+
A5Z2W3;16,9431;16,8232;17,2015;17,5917;13,4987;13,3026;15,2309;13,162;3,21131;0,00038403;3,34129;6,53225;+
A5Z2W6;15,5987;15,7233;14,8575;15,5995;13,3276;12,8095;13,3328;13,4258;4,02113;7,01E-05;2,22083;9,16094;+
A5Z2W7;18,2381;18,2884;18,3855;18,4874;15,3166;15,5945;15,5352;15,5535;7,38382;0;2,84991;34,2413;+
A5Z2X2;15,2404;13,5892;11,8615;13,1784;14,9476;14,6438;13,794;14,5605;0,66402;0,112146;-1,01915;-1,38015;
A6PVA1;14,7417;12,2599;14,0417;14,0236;12,2093;12,8376;12,8926;12,3777;1,1165;0,0311685;1,18741;2,13696;+
A6ZJ46;15,3063;16,9573;14,8622;15,3846;14,9962;14,738;14,7141;14,4689;0,979762;0,0458825;0,89831;1,90957;+
A6ZJ55;12,2225;12,0746;11,6707;12,0115;15,466;14,5943;14,839;14,029;3,85568;0,000158295;-2,73728;-8,56113;+
A6ZJ59;12,31;12,0494;11,1482;12,0599;13,8782;13,4211;13,6128;13,867;3,19649;0,000380414;-1,80289;-6,49071;+
A7DT38;12,1924;11,9816;11,7117;11,8277;10,7624;10,419;10,6895;10,3945;4,17296;8,13E-05;1,36201;9,74371;+
A7DT40;15,1597;15,9936;14,0412;14,3802;13,9478;14,2657;14,24;14,3678;0,76379;0,0847138;0,688338;1,54936;
A7DT45;18,8682;19,045;18,3888;18,6401;17,4948;17,2857;17,2052;17,9088;2,99641;0,000497175;1,2619;5,94941;+
A7DTF0;15,761;15,9089;15,318;15,997;15,3223;15,1584;15,1985;15,1915;1,84354;0,00506678;0,528523;3,40896;+
A7DTF2;12,0463;11,7881;11,7664;12,0141;11,0492;10,7062;10,6238;10,5307;3,90138;0,000165342;1,17623;8,72329;+
A7LPD6;17,0974;16,8359;16,4565;17,2569;13,7174;13,5886;13,2598;12,9549;5,15785;0;3,53153;14,4252;+
A7LPE4;15,6545;15,8766;15,9252;16,2674;13,1145;12,9692;12,7061;12,6746;5,80196;0;3,06481;18,5607;+
A7LPE6;17,8342;17,9706;18,0276;18,2294;18,0555;17,834;18,2106;17,7454;0,154906;0,548366;0,0540752;0,404323;
A7LPF3;15,412;15,6111;14,7516;15,7376;14,0864;14,436;14,2718;14,3005;2,51589;0,00101966;1,10441;4,78452;+
A7LPF5;16,3979;16,3768;17,4094;16,9925;15,2155;15,1101;14,9456;14,9085;3,28039;0,000346425;1,7492;6,72873;+
A7LPG5;18,2306;18,212;18,2512;18,6388;18,6432;18,2269;18,4732;17,9192;0,0321272;0,875024;0,017508;0,0933109;
A7LPH5;14,6566;14,8952;14,5585;14,8311;14,1795;13,7306;13,9281;14,3406;2,35952;0,00144695;0,690643;4,44124;+
A7LPI4;14,9535;15,33;14,9693;15,1808;14,3953;14,0322;13,9197;14,0495;3,49765;0,00028436;1,0092;7,37788;+
A7LPI7;11,9435;11,9813;10,6591;11,9359;13,644;13,6715;13,4762;12,9892;2,62703;0,000776978;-1,81528;-5,03852;+
A7LPJ5;15,0074;14,6477;15,7478;15,0624;14,9793;14,781;14,7792;14,5743;0,666293;0,11131;0,337875;1,38404;
A7WK39;16,5728;17,1803;16,5096;17,0049;14,695;14,4949;13,4953;14,2289;3,80097;0,000152941;2,58841;8,37048;+
A7WK43;12,1622;12,0831;11,7787;11,7468;10,8975;10,7117;10,6244;10,6808;4,24954;8,57E-05;1,21412;10,05;+
A8WFF4;14,2642;15,1898;13,9804;14,7164;14,7381;14,876;15,3822;14,5868;0,521866;0,169187;-0,358067;-1,13235;
A8WFI3;14,5191;13,828;14,8666;14,1217;14,4001;14,347;14,2851;14,17;0,0502464;0,812223;0,0333073;0,143299;
A8WFJ8;13,304;13,5934;14,0243;13,436;13,9695;13,779;14,0849;14,4343;1,20786;0,0242665;-0,477475;-2,28977;+
A8WFK6;16,7116;17,7945;17,0093;17,2227;13,5858;13,5105;13,5996;13,4334;5,3811;0;3,65222;15,7467;+
A8WFM5;14,0738;13,4048;14,3071;14,3769;15,1638;14,78;14,9172;14,4964;1,6486;0,00776433;-0,798705;-3,05182;+
A8WHM5;15,7203;14,5106;13,8264;14,9833;16,3995;16,2506;15,8983;15,5812;1,56321;0,00968429;-1,27227;-2,89986;+
A8WHN5;15,8281;16,0929;15,7194;16,7241;14,6105;13,9262;14,3213;15,032;2,60716;0,000764479;1,61863;4,99247;+
A8WHS3;12,2955;11,9865;11,5129;11,9302;15,0211;14,3646;14,8787;14,5395;4,80616;0;-2,76973;-12,5548;+
A8WHT8;15,9261;15,8466;16,434;15,8211;13,1505;13,7095;13,5203;13,456;5,03979;0;2,54788;13,7698;+
A8WIT0;13,984;14,4645;14,5739;13,874;11,1903;12,5758;12,2474;12,8934;2,56293;0,000906133;1,99735;4,89098;+
A8WJ47;14,5042;15,3782;14,5013;15,3233;12,7115;13,5679;13,0404;14,2705;1,96877;0,00378495;1,52917;3,64693;+
A8XJ46;12,2937;11,58;11,7251;11,8351;12,9785;12,9381;12,4669;13,1314;2,54252;0,000993789;-1,02027;-4,84461;+
