Leading.proteins.Positions.within.proteins;log2 daf2_d15_01;log2 daf2_d15_02;log2 daf2_d15_03;log2 daf2_d15_04;log2 daf2_d1_01;log2 daf2_d1_02;log2 daf2_d1_03;log2 daf2_d1_04; -Log Student's T-test p-value daf2_d15_daf2_d1;Student's T-test q-value daf2_d15_daf2_d1; Student's T-test Difference daf2_d15_daf2_d1;Student's T-test Test statistic daf2_d15_daf2_d1;Sign p-val: 0.05 
A1IMB7(151);20,4523;22,2048;22,1832;21,3616;17,6137;16,2196;17,9873;18,0177;3,33842;0,00112621;4,09089;6,8974;+
A3QMB7(63);17,6319;18,2987;18,4044;18,7888;18,2404;19,1517;18,5459;17,1143;0,0122946;0,959604;0,0178833;0,0364741;
J7SF86(65);19,0076;20,0814;20,6708;19,6542;18,5131;15,9295;16,7924;18,8893;1,59629;0,0207008;2,32241;2,95844;+
U4PRJ1(143);20,6165;20,7691;19,0239;21,702;17,6739;20,5709;18,6834;17,1073;1,12018;0,0552059;2,019;2,14309;
A5JYX4(101);18,7163;20,0395;19,5082;19,2127;15,8591;18,2536;18,2596;17,0309;1,70993;0,0168021;2,01841;3,16256;+
A5JYX4(81);25,44;25,662;25,8266;24,9303;17,6546;18,8981;15,447;18,3201;4,26467;0,000316384;7,88476;10,1116;+
A5JYX4(77);20,132;21,7808;18,9932;19,2551;18,6665;18,1172;18,8853;17,6799;1,32297;0,0363489;1,70306;2,48416;+
A5JYX4(130);16,0522;20,3897;19,817;19,9238;19,0056;15,6309;19,8691;17,671;0,309172;0,377598;1,00153;0,733844;
A5JYX4(131);18,5103;21,7444;19,5785;19,3377;16,4654;17,3029;19,1918;17,068;1,34462;0,0344181;2,2857;2,52101;+
A5PEY0(153);25,0144;26,2196;26,6622;25,2368;17,3816;17,7264;17,8202;16,5209;5,59485;0;8,42098;17,1202;+
I2HA81(362);26,1084;25,2943;24,7101;27,3164;24,0944;26,341;25,3171;25,1258;0,381978;0,312281;0,637719;0,875492;
A5Z2W7(48);24,85;26,1873;25,1369;25,3771;18,647;20,0237;17,5179;17,5502;4,37684;0,000375839;6,95312;10,5786;+
A5Z2W7(56);17,2929;20,6773;19,6286;20,7095;17,4493;16,6851;19,2948;20,4206;0,423045;0,280418;1,11459;0,95269;
A6PVA5(9);17,8576;20,0067;20,2908;18,2716;19,5992;17,1533;20,0019;17,3718;0,243883;0,455992;0,575091;0,600221;
Q20621(425);21,1221;21,2677;21,1657;22,8519;16,7016;18,5542;17,5189;17,9472;3,32791;0,00111005;3,9214;6,86661;+
A7DT41(137);20,1947;19,2356;20,6366;20,3541;16,0578;19,7925;18,7766;19,1982;0,957842;0,0766556;1,64898;1,87317;
A7DT41(240);22,6025;22,2099;23,0785;21,3064;19,3238;17,7215;19,1374;17,0103;2,9937;0,00214471;4,00107;5,94234;+
A7DT41(165);18,2015;18,3157;18,3216;18,69;21,955;21,9151;22,3214;22,7479;5,63975;0;-3,85268;-17,423;+
A7DT41(223);22,9246;23,9797;23,2708;22,5694;17,7618;18,0225;19,0974;18,7176;4,50157;0,000434109;4,78629;11,1209;+
A7DT41(158);21,6223;21,3458;19,3817;18,9936;17,0682;18,5915;19,2448;17,8919;1,39999;0,0303844;2,13677;2,61576;+
A7DT41(262);19,8265;18,5372;16,9959;20,3545;21,7963;23,2136;24,5772;21,9635;2,14942;0,00737104;-3,9591;-4,00373;+
Q9XWW2(238);20,4138;20,6969;18,6047;19,3115;17,3944;16,3736;16,7751;17,9778;2,32787;0,00546584;2,62649;4,37366;+
Q9XWW2(276);18,2866;19,8391;21,5308;20,9095;19,3277;15,9895;18,3958;19,0922;0,95047;0,0777793;1,94019;1,86092;
A7LPD6(582);20,8021;18,6108;21,4502;19,943;15,9451;19,6048;19,3003;18,7618;0,873057;0,0916156;1,79852;1,73218;
A7LPD6(545);22,5658;23,7734;23,3864;24,543;23,7459;23,6288;24,0346;22,4553;0,0668099;0,799534;0,100996;0,187547;
A7LPE6(329);17,7102;19,6702;19,2313;19,1203;18,0096;18,2239;17,8341;18,1462;1,05293;0,0642629;0,879571;2,03113;
Q5FC71(99);19,8956;19,9982;19,3812;20,4882;19,1099;19,8583;21,344;18,6697;0,115398;0,679278;0,195319;0,310534;
Q5FC71(87);18,2681;18,1544;19,9249;17,3854;18,3516;17,533;18,6161;17,6739;0,270095;0,420664;0,38956;0,654735;
Q5FC71(50);20,9254;20,1818;20,987;18,1146;15,6631;18,0475;17,4507;18,2885;1,62108;0,0198929;2,68976;3,00258;+
Q5FC71(63);26,1607;25,7528;26,0474;26,7204;17,8397;18,9099;16,8287;18,0884;5,63752;0;8,25366;17,4078;+
Q5FC71(64);27,1809;28,337;30,6158;29,3041;27,0045;28,323;25,8017;27,5357;0,961841;0,0760101;1,6932;1,87981;
Q5FC71(74);20,2073;20,0412;19,5822;18,7399;16,2716;17,2125;17,2737;16,6483;3,32805;0,00111271;2,79114;6,86701;+
A8WFH7(312);23,3037;24,2573;24,3991;24,1401;22,5643;24,0001;21,6725;22,8817;1,21761;0,0441897;1,24539;2,30614;+
A8WFH7(313);26,8728;24,5494;23,3343;26,4388;19,6347;17,606;15,6609;17,1459;3,26582;0,00117647;7,78696;6,6869;+
A8WFH7(322);20,0259;21,6593;20,1693;19,1683;17,1084;18,2615;19,0927;17,0435;1,80134;0,0143568;2,37917;3,33033;+
H2KYH9(63);18,8725;17,3345;19,6855;21,5193;15,9268;18,8791;19,0479;18,6844;0,484945;0,236537;1,21841;1,06611;
A8WHP8(79);22,8864;23,2635;23,3742;24,8535;18,0862;20,7003;16,6657;18,8695;2,7383;0,00301422;5,01397;5,30171;+
A8WHP8(57);18,645;21,2241;20,125;21,0957;17,2651;17,8724;19,9237;16,5159;1,34533;0,03436;2,3782;2,52222;+
A8WHP8(68);24,3083;24,876;23,5463;23,2606;16,4139;14,4741;17,503;17,3345;4,14365;0,000284264;7,56643;9,6287;+
A8WHP8(347);18,0383;18,5571;21,2864;18,0249;17,5167;16,6113;17,5731;17,7571;1,01253;0,0691552;1,61214;1,964;
A8WHP8(348);18,8674;19,2016;18,9095;20,8581;20,4217;17,8456;19,3533;15,5039;0,454351;0,256015;1,17803;1,01045;
A8WHP8(181);19,7459;21,7575;18,216;17,467;19,6349;16,4658;19,1677;17,4659;0,409085;0,291168;1,11305;0,926639;
A8WHP8(154);22,4921;22,6352;23,1711;21,9737;23,4111;24,0388;23,8164;23,4749;2,09399;0,00793478;-1,1173;-3,89244;+
A8WHP8(295);20,4846;20,8112;20,4014;19,4404;20,7419;22,2576;23,8703;21,1095;1,17944;0,0484542;-1,71042;-2,24211;+
A8WHP8(297);20,5093;19,9838;20,6276;18,1366;16,7429;18,0243;17,0813;19,0057;1,46725;0,0266696;2,10077;2,73191;+
A8WHP8(218);19,1594;19,6987;20,5422;20,1382;17,7038;18,3006;19,4744;16,9199;1,56509;0,0215863;1,78491;2,90319;+
A9UJN7(555);20,6753;21,1221;18,6594;19,9755;18,9899;17,6018;18,5144;16,8416;1,59071;0,0208758;2,12116;2,94853;+
A9UJN7(562);20,0487;21,1655;20,9676;19,7518;17,7153;19,6786;19,7675;18,5137;1,39281;0,0309565;1,56461;2,60344;+
A9UJP1(38);19,2747;18,6067;19,4322;21,4711;18,6;18,5502;19,3091;19,1397;0,577848;0,185026;0,796433;1,23115;
A9UJP1(71);19,8878;20,8049;19,208;19,1284;19,1098;16,4962;18,655;16,5827;1,39338;0,0309523;2,04635;2,60441;+
A9UJP1(57);23,8331;23,0792;22,2913;23,8028;14,5825;16,8062;20,0231;17,7743;2,62064;0,00348613;5,95511;5,02368;+
A9UJP1(73);22,5704;22,2897;24,597;21,7233;22,6034;22,3056;20,3255;23,733;0,236664;0,465625;0,553215;0,584983;
A9Z1K9(338);20,758;19,4392;19,2736;18,3697;18,3866;19,1054;17,9877;16,3741;1,0168;0,0686285;1,49664;1,97108;
B0M0L8(154);23,1719;23,0548;23,6366;21,5808;17,857;18,7975;19,9887;20,9355;2,28985;0,00584242;3,46636;4,29329;+
B0M0L8(179);27,1923;27,8825;26,3383;23,7252;22,7903;24,7255;23,5835;23,3055;1,44311;0,0277821;2,68336;2,69009;+
B0M0L8(35);21,5333;19,4082;19,8641;19,915;19,0626;19,5735;18,7121;19,4029;1,01831;0,0685207;0,992357;1,97359;
B0M0L8(98);26,6421;26,3261;25,1795;25,3638;16,3137;17,1336;17,7465;17,0591;5,86819;0;8,81464;19,0458;+
B0M0N4(102);19,1738;20,5474;19,5135;16,1275;16,9701;19,1055;18,118;18,2541;0,290353;0,397497;0,728616;0,69605;
B0M0N4(3);18,0847;18,9521;20,2411;17,3731;23,2087;23,6756;25,4263;24,2614;3,37803;0,00116291;-5,48024;-7,01447;+
B0M0N4(88);19,5514;20,8068;19,826;16,4835;16,6639;18,6498;17,8201;19,4437;0,407388;0,292427;1,02253;0,923459;
B2D6M4(494);22,7578;23,1097;24,3148;22,9021;23,673;25,2946;26,4505;24,4428;1,29852;0,0381818;-1,69411;-2,44265;+
B2D6M4(499);17,253;18,1076;20,2682;18,1702;16,5856;17,4055;20,2348;19,3342;0,0191588;0,937782;0,0597334;0,0564136;
B2D6P1(119);18,2705;21,3844;18,7737;19,5105;17,5904;20,1226;17,9621;17,7316;0,589356;0,179717;1,13311;1,25124;
B2D6P1(97);20,158;20,9217;20,3969;20,0411;18,9014;17,8063;20,1686;18,9247;1,47455;0,0262229;1,42917;2,74459;+
B3CKG1(24);20,266;21,0645;20,6188;20,4849;19,2642;16,4014;19,5197;20,0294;1,13338;0,0539874;1,80487;2,16512;
B3WFT8(10);18,4821;19,8177;20,006;19,644;18,0307;16,8844;17,1375;16,373;2,55859;0,00374895;2,38107;4,8811;+
E1B6S9(25);19,9847;18,3855;19,8987;19,0092;18,6026;16,8641;20,0172;19,0598;0,393173;0,303133;0,683636;0,896709;
G5EC65(1032);20,3845;19,0909;20,7047;19,6353;18,1164;16,0998;18,1509;19,4079;1,38663;0,0310934;2,01011;2,59284;+
B3WFW7(70);19,7862;20,9401;20,1099;19,6194;21,3602;17,5718;18,9167;18,854;0,510227;0,220823;0,938251;1,11157;
B3WFY5(28);23,4149;23,7315;27,1289;24,315;16,4401;19,6351;17,1878;16,9072;3,16698;0,00170478;7,105;6,40856;+
B3WFY5(29);19,3582;20,4076;20,0051;18,2451;18,1912;17,2033;17,195;18,0567;1,8351;0,0136592;1,84246;3,39318;+
B3WFY5(30);21,9279;21,1901;21,2037;22,1223;17,9842;19,554;16,4702;21,4069;1,35518;0,0334626;2,7572;2,53903;+
B5BM23(908);17,7966;19,0075;19,8149;20,4367;17,8374;16,927;18,273;18,5831;1,0435;0,0653125;1,3588;2,01545;
B5U8N2(48);19,3527;18,7334;19,0145;19,3477;19,4225;17,1692;17,3141;17,4451;1,21968;0,0441753;1,27432;2,30962;+
B5U8N2(360);20,2633;18,4588;20,4388;17,5074;18,1712;18,5284;18,0341;20,4115;0,162979;0,582849;0,380749;0,422906;
B5U8N2(491);20,5519;19,1668;21,1441;18,3377;18,2079;18,1186;17,2369;19,1808;1,1202;0,0552372;1,61405;2,14312;
B6VQ78(562);19,6435;19,7078;19,4343;20,7515;14,8644;20,2146;18,2068;19,258;0,707794;0,133908;1,74829;1,45474;
B6VQ78(569);19,0605;19,6628;21,3169;19,7396;20,5131;18,4541;17,9577;20,2613;0,347611;0,341216;0,648388;0,809469;
B6VQ78(172);18,7448;19,4361;20,5701;19,7201;20,3277;18,1062;19,0267;18,2347;0,499825;0,227203;0,693917;1,09292;
B6VQ78(176);20,5243;22,2868;22,6806;21,9646;18,1222;17,6773;19,499;18,2741;2,89356;0,00235377;3,47091;5,68481;+
D9PTN8(403);18,5618;19,1817;19,889;19,9538;18,1468;15,2071;17,0486;17,6624;1,78181;0,0148018;2,38038;3,2942;+
B7WN71(239);18,3699;20,2467;18,182;19,4032;17,925;16,6742;18,5905;19,6352;0,490352;0,233201;0,844202;1,07587;
B7WN95(52);20,4706;19,6986;18,1941;19,7211;21,7326;22,8559;27,0028;22,218;1,6374;0,019375;-3,93123;-3,03174;+
B7WNA1(64);19,2965;18,9987;19,1889;19,6038;17,7647;18,5871;18,2033;17,8967;2,70096;0,00326994;1,15903;5,21237;+
B9ZSG9(872);19,674;20,0255;18,6412;18,8489;16,1226;19,1411;16,9976;16,6789;1,50271;0,0248789;2,06237;2,79364;+
C1P636(683);27,7008;26,7488;27,4769;27,3912;25,7144;26,3304;25,4538;25,8301;2,79903;0,00258746;1,49726;5,4493;+
C1P636(727);22,9692;26,3648;25,376;24,413;15,9196;19,7251;17,0032;19,9054;2,78041;0,00272052;6,64245;5,40375;+
C1P636(864);25,8866;25,6956;26,2341;24,5328;25,064;24,3155;24,5389;24,8321;1,17165;0,0492212;0,899657;2,22907;+
C1P636(741);19,2177;20,1429;19,4047;20,8035;16,7576;21,2111;17,4887;18,5936;0,631997;0,162067;1,37941;1,32515;
C1P636(104);17,9553;21,2553;16,7793;21,7272;17,6087;20,229;17,1308;19,6554;0,215145;0,498331;0,773292;0,538931;
C6KRI9(366);20,7414;21,158;19,3679;21,1913;18,1693;15,0907;16,4394;17,5768;2,4916;0,00421167;3,79562;4,73015;+
C6KRJ1(158);22,949;22,8606;24,4534;24,4054;24,4326;24,4605;26,4846;24,3524;0,950554;0,0777563;-1,26539;-1,86106;
C6KRJ1(190);21,2327;21,8295;18,2657;17,4938;19,424;20,1725;20,1467;18,7584;0,0243035;0,920984;0,0800242;0,0711692;
C6KRL2(4);21,0431;20,7774;19,4863;20,2261;16,7956;21,8184;19,1989;18,2664;0,575891;0,185982;1,36339;1,22772;
C6KRL2(14);17,5634;20,2593;20,2766;20,7387;20,7082;20,0066;18,1155;17,9902;0,200705;0,519367;0,504362;0,50747;
C6KRL2(18);19,5013;20,1225;18,5821;19,3218;18,1465;19,0307;16,6751;18,8534;0,996112;0,0711552;1,20548;1,93672;
C6KRN1(3);20,4915;21,1809;20,6294;18,8108;19,3306;15,8292;18,8088;20,5486;0,714294;0,132431;1,64886;1,46577;
C6KRN1(24);18,7834;21,633;19,4782;20,5855;17,6828;17,5006;16,4275;16,0409;2,29868;0,00570171;3,20708;4,31186;+
C7GIK1(69);22,2957;22,4606;23,6504;22,941;25,3592;25,4251;28,9871;25,2176;1,91281;0,0121935;-3,41031;-3,53969;+
D0IMZ5(2153);17,2497;19,7816;18,6444;18,6436;17,1889;18,2264;18,7215;17,5709;0,477646;0,240833;0,652894;1,0529;
D0IMZ5(269);20,4579;18,016;20,0986;16,2599;19,2803;16,9583;16,9882;19,263;0,195353;0,527908;0,585658;0,495687;
D0PV95(599);19,026;18,8259;19,7958;20,6101;17,8211;16,5464;17,4694;17,8589;2,25027;0,00602857;2,14054;4,21051;+
D0Z5P0(53);19,0256;19,215;18,7473;20,3153;17,411;17,9014;18,6556;19,2248;1,00155;0,0704008;1,0276;1,94576;
D0Z5P0(541);17,7092;20,7841;18,4649;19,1874;16,9003;18,0781;19,6056;17,9194;0,479985;0,239704;0,910512;1,05714;
D0Z5P0(470);19,2621;19,6182;17,6342;18,4357;16,6548;16,6767;20,199;18,4508;0,330841;0,356958;0,742254;0,776722;
Q22832(234);23,0937;23,0485;24,3155;23,4028;17,5687;16,2136;16,8627;19,8625;3,33522;0,00112077;5,83825;6,88801;+
Q22832(235);19,5397;19,2291;20,6574;16,6171;20,3867;20,2048;20,7456;22,3366;0,99815;0,0709485;-1,90762;-1,94011;
Q22832(492);19,6961;20,9385;20,2637;19,0692;22,8951;23,158;24,4768;22,887;3,05632;0,00177264;-3,36231;-6,10773;+
Q8WQB8(183);18,7886;18,4448;21,4132;19,2394;17,5912;18,6467;20,4481;18,8304;0,275139;0,414428;0,592429;0,665085;
D3NQB5(149);20,3307;20,9601;19,4805;18,2813;19,1845;17,8981;18,4627;16,621;1,13629;0,05375;1,72156;2,16997;
D3YT77(49);24,1438;24,3426;22,5823;23,975;23,5158;24,3109;24,0186;24,4625;0,292614;0,395475;-0,316022;-0,700619;
D3YT77(57);21,8203;22,5435;24,0178;22,5739;25,8061;25,2083;24,9314;26,4041;2,62756;0,003442;-2,84861;-5,03976;+
D4YWC3(77);18,9142;20,1141;19,4961;19,7609;16,8579;18,9977;18,1094;21,1243;0,371773;0,320959;0,799033;0,856031;
D4YWC3(78);23,2902;25,0463;23,4214;24,1096;16,4288;18,1891;18,497;18,7978;3,97458;0,000240343;5,9887;8,98856;+
D4YWC3(41);25,9447;26,3349;26,0917;25,0399;24,3716;25,1142;25,2045;24,4069;1,61656;0,0199838;1,07848;2,9945;+
D4YWC3(51);18,6027;18,8599;16,9611;18,9917;17,2904;19,5027;19,6754;18,4348;0,203105;0,51626;-0,371953;-0,512732;
D4YWC3(59);24,7816;26,302;25,8095;24,7181;17,8019;21,0595;16,7837;16,963;3,30099;0,00108665;7,25081;6,78823;+
D4YWC3(68);18,081;19,5854;18,5083;19,1319;17,0746;16,2047;18,3316;16,5852;1,68545;0,0180847;1,77763;3,11818;+
