Proteins,N2_d5_01,N2_d5_02, N2_d5_03,N2_d5_04,N2_d1_01,N2_d1_02,N2_d1_03,N2_d1_04,N2_d10_01,N2_d10_02,N2_d10_03,N2_d10_04,N2_d15_01,N2_d15_02,N2_d15_03,N2_d15_04
A0A0K3AW96,24.9522,23.5613,23.0364,22.5249,24.8421,22.4087,21.6094,21.9022,16.8861,21.0535,20.4705,17.0515,18.9513,19.1075,21.3324,20.6168
A0A0K3AW96,24.9466,23.9871,23.9962,24.7973,27.197,25.0786,22.8459,25.8439,19.7319,22.0958,23.0487,21.4519,24.1065,24.0419,22.2003,22.2459
A0A0K3AW96,23.8979,23.0221,24.3683,23.2894,24.8787,23.1273,22.027,23.073,18.2568,18.7759,20.7289,19.3757,22.0646,22.4318,21.0279,24.6043
A0A0K3AWB0,24.8829,24.2192,25.0415,24.1295,24.3776,25.7191,24.2234,24.9402,24.3395,24.7182,25.2893,24.3565,25.6774,25.3331,25.09,26.0825
A0A0K3AWB0,21.3795,22.2431,24.3223,24.1208,21.8025,23.1578,24.0246,23.5749,20.6595,19.0061,19.501,18.684,24.3862,23.1534,20.8381,20.9396
A0A0K3AWM6,26.7002,26.3703,23.8664,25.3843,24.4153,23.2446,22.9447,22.798,21.3268,19.617,18.1588,18.4386,25.9493,25.6012,25.5754,23.1712
A0A0K3AXE0,21.5984,20.8447,21.1628,20.043,21.8107,20.6244,20.4591,21.4094,17.7523,20.3766,20.8437,19.1607,21.0886,21.4999,20.7911,20.251
A0A0K3AXT9,23.091,22.314,21.3517,22.2208,21.9272,20.2788,20.7855,21.1803,26.6331,25.5033,26.0056,25.2301,24.5488,24.5753,24.4112,25.4191
A0A0K3AXT9,23.1995,23.1103,22.5907,23.4123,21.8816,20.9136,20.6568,20.0859,25.6837,27.4236,26.7681,26.3518,26.5519,23.7382,23.6251,26.7241
A0A0K3AXT9,21.0903,20.3276,20.5,21.1932,20.9535,20.1235,20.9864,21.0461,22.9459,23.2731,24.2958,22.699,24.0563,23.932,20.6189,24.8547
A0A0K3AXT9,24.9417,22.9695,24.0447,25.0233,19.1698,20.3715,23.7548,25.0392,26.4625,27.1201,26.9259,23.9472,26.2573,25.6321,28.665,26.7989
A0A0K3AY44;O44557,21.718,20.6425,21.9202,22.8842,22.3302,23.9248,23.1523,23.879,20.4477,21.1136,21.5285,22.3123,19.5968,20.9882,20.0661,16.4617
A0A0K3AY44;O44557,21.8112,21.4014,20.9117,20.0854,21.6842,20.5563,20.7241,21.3145,18.7914,18.0536,18.9134,20.0179,20.3783,19.1438,21.3597,19.1152
A0A0K3AY85;Q9BPN5,24.8996,24.8557,22.1453,23.861,25.4942,24.6612,23.7519,22.8119,18.0733,19.3085,20.6588,17.6614,26.0559,26.5591,24.9241,25.4423
A0A0K3AY85;Q9BPN5,21.2685,20.0667,21.3877,21.8274,22.8706,23.0196,22.2356,24.266,19.8893,18.5783,19.0812,19.4721,23.5871,23.9683,25.3567,24.4127
A0A0K3AYE8,27.9055,27.0344,27.5142,26.667,22.4384,24.5147,24.2352,22.7816,20.1948,17.4668,19.5318,17.8033,24.4572,24.8878,25.6251,27.91
A0A0M7RFG7,21.2617,21.7142,20.3843,21.4964,22.1248,22.099,22.7431,21.2307,23.7544,25.0076,24.5941,24.4377,25.3281,26.0452,24.9236,26.9336
A0A0S4XRR1,24.4258,22.9297,24.3081,23.7522,21.1807,20.4396,21.3225,21.3997,24.8747,23.4387,24.2034,23.0068,24.5958,24.8698,26.0051,27.4777
A0A0T7CIX3,21.6439,21.5395,19.9315,21.6258,24.8942,24.1029,25.9055,24.0082,19.51,19.1802,20.3095,19.3,22.9383,22.0394,22.2281,23.7173
A0A0T7CIX3,21.3052,20.7546,21.0599,21.2222,21.0406,21.248,20.9348,20.3489,19.0947,19.2576,19.5517,19.6653,19.4471,20.2607,17.7943,21.2995
A0A0T7CIX3,21.269,20.3956,20.863,22.8918,23.3789,22.8895,20.8006,22.9397,18.5236,19.0979,18.6697,19.6895,19.5696,19.6583,19.65,20.2479
