ProteinAccessions;log2 N2_d15_01;log2 N2_d15_02;log2 N2_d15_03;log2 N2_d15_04;log2 N2_d1_01;log2 N2_d1_02;log2 N2_d1_03;log2 N2_d1_04; -Log Student's T-test p-value N2_d15_N2_d1;Student's T-test q-value N2_d15_N2_d1; Student's T-test Difference N2_d15_N2_d1;Student's T-test Test statistic N2_d15_N2_d1;Sign p-val: 0.05 
A0A0K3AVS5;16,7706;16,4557;16,8819;16,6453;18,7358;18,3593;18,3323;18,1816;4,5836;0;-1,71388;-11,4913;+
A0A0K3AVV4;15,2299;15,0815;15,4726;15,3896;15,4472;15,5818;15,5373;15,2916;0,785912;0,0874011;-0,171098;-1,58653;
A0A0K3AW68;12,5115;12,7463;12,3242;11,6584;14,6172;14,4394;14,1656;14,5566;3,80792;0,000112397;-2,13457;-8,39452;+
A0A0K3AW96;16,5033;16,4151;16,1892;16,3794;15,8547;15,4755;15,7544;15,8749;2,85035;0,00115391;0,631883;5,57627;+
A0A0K3AXM4;17,5557;17,1518;17,0527;17,9023;13,4761;13,7285;14,4;13,8321;4,87079;0;3,55648;12,8804;+
A0A0K3AY44;12,2605;7,56696;12,2317;12,6748;9,92087;9,83609;9,95917;9,86356;0,484256;0,196609;1,28856;1,06486;
A0A0K3AY85;16,2769;15,7868;16,4307;16,2501;12,6669;12,4196;12,6057;13,0438;5,77174;0;3,50215;18,3435;+
A0A0K3AYJ1;15,3527;14,6582;14,8408;16,0504;17,7451;17,5708;17,6705;17,9189;3,63303;0,000172414;-2,50082;-7,80786;+
A0A0M7REP5;16,2616;16,172;15,862;16,0581;14,5273;14,1672;14,347;14,7562;4,41486;0;1,63901;10,7413;+
A0A0S4XR31;15,7967;15,0843;14,5449;14,6423;14,9621;15,0611;14,9681;14,9841;0,0277896;0,893436;0,023195;0,0810787;
A0A0S4XR36;14,6862;14,2663;14,7037;13,9764;12,4933;13,1581;12,2734;13,0165;3,05523;0,000740465;1,67278;6,1048;+
A0A0S4XR43;15,6838;15,4989;15,6726;16,6174;14,9522;15,1393;15,5796;15,0925;1,24816;0,0271572;0,677262;2,35755;+
A0A0S4XR45;14,3568;14,8961;13,7463;15,2134;12,7519;13,8253;12,2326;13,9428;1,38754;0,0189528;1,365;2,5944;+
A0A0S4XR68;13,7214;11,8686;13,9238;14,055;14,0498;13,1419;13,5994;13,9626;0,213836;0,450406;-0,296231;-0,536097;
A0A0T7CIX3;14,6002;14,504;13,5997;14,9181;13,4302;13,4341;13,3097;13,2551;1,97615;0,00540267;1,04821;3,66118;+
A0A0U1RML5;13,6746;16,7754;14,7026;15,4382;11,8545;11,9899;12,216;13,436;2,00629;0,00518301;2,77359;3,71966;+
A0A131MAU8;15,4848;13,7097;14,7137;14,3998;13,6684;13,1754;13,0629;13,1592;1,80579;0,00798181;1,31054;3,33859;+
A0A131MB12;14,2304;15,7894;15,0189;14,8508;13,7149;13,1534;13,8904;13,247;2,15074;0,00354217;1,47097;4,00639;+
A0A131MBA2;12,5497;12,0427;12,3137;12,7951;10,424;11,9341;11,8484;10,5638;1,52339;0,013764;1,23271;2,82982;+
A0A131MBB2;13,7891;14,413;14,9177;13,6723;14,6643;14,6948;14,526;14,4845;0,640602;0,127814;-0,394363;-1,33997;
A0A131MBC3;15,9353;15,9125;15,6252;16,0664;14,8529;15,4464;15,6012;15,3167;1,68549;0,00969987;0,58053;3,11826;+
A0A131MBF9;14,6552;13,9765;15,2055;14,7292;14,2464;13,7576;13,8201;13,4258;1,46459;0,0157662;0,829122;2,72728;+
A0A131MBG0;12,9838;12,6423;11,8547;11,9026;12,2107;11,89;11,9915;12,3855;0,319634;0,320508;0,226452;0,754629;
A0A131MBG4;12,5637;13,6647;13,638;15,4934;12,7863;13,1092;13,2238;13,7984;0,420929;0,23554;0,6105;0,948753;
A0A131MBU3;19,3032;18,6666;18,8452;19,1423;18,4433;18,1981;17,9343;17,8635;2,3894;0,00233313;0,879539;4,50563;+
A0A131MCJ0;12,5327;12,146;11,8592;12,3906;12,9254;14,2495;14,251;12,7808;1,65586;0,0102821;-1,31954;-3,06485;+
A0A131MCL1;12,4841;12,438;12,2738;12,7496;9,88843;9,835;9,84919;9,97705;6,57539;0;2,59898;25,0597;+
A0A131MCL4;12,5758;12,0228;12,2221;12,657;12,188;12,711;12,9452;12,8769;0,657124;0,122426;-0,310843;-1,36834;
A0A163UT65;14,7328;14,5548;14,5467;15,3431;15,0334;15,1715;15,2211;14,8428;0,63122;0,131689;-0,272837;-1,32381;
A0A164D380;14,9593;15,0688;14,8847;14,875;14,4735;14,6009;14,4625;14,6856;2,86293;0,00112745;0,391318;5,60772;+
A0A164D3C9;13,0764;11,5576;14,0873;14,0232;13,1808;13,1618;12,5421;13,1831;0,101757;0,669546;0,16917;0,276937;
A0A164D3G3;14,9299;14,6095;14,5956;14,2408;14,3137;13,6219;13,703;14,5507;1,05825;0,043828;0,546642;2,03998;+
A0A168H9Z7;15,1687;14,3471;14,4985;14,8781;14,8457;14,5438;14,8722;15,1207;0,223154;0,436661;-0,12248;-0,556183;
A0A1C3NSI5;14,5779;13,0921;12,9828;14,2392;14,6285;10,7644;12,3328;12,1037;0,681697;0,114702;1,26565;1,41035;
A0A1C3NSL1;12,0427;12,1788;12,2816;12,5187;11,6345;9,20727;9,73068;9,71515;2,15363;0,003548;2,18357;4,01223;+
A0A1C3NSL5;18,1896;17,836;18,1577;18,1301;16,3825;16,3468;16,0183;16,3954;5,21807;0;1,79263;14,7709;+
A0A1D3PCL0;12,5083;12,0778;12,1917;12,7921;12,5623;12,2601;12,5787;11,0992;0,289472;0,353195;0,26739;0,694265;
A0A1D3PCL8;15,8793;15,3042;15,3884;16,0928;14,9091;14,9139;14,7055;14,8083;2,25838;0,00303806;0,83196;4,2274;+
A0A1I6CM73;14,075;14,7573;13,61;15,2156;14,2645;13,5869;14,2285;15,5304;0,00736835;0,971754;0,0118847;0,0219797;
A0A1I6CM84;14,5529;14,9108;15,0863;12,9694;14,5842;14,6005;15,0498;14,4684;0,239989;0,413803;-0,29587;-0,592014;
A0A1I6CM85;14,7717;14,7973;13,9239;13,8926;12,5361;12,4798;12,5641;13,2818;2,67775;0,00128373;1,63091;5,15736;+
A0A1I6CM94;12,3988;11,8428;12,335;12,7745;12,3924;7,84233;13,0013;9,08838;0,666826;0,119053;1,75669;1,38495;
A0A1I6CM95;12,8533;13,2564;13,5538;13,5393;13,255;13,2865;13,1384;13,2323;0,168015;0,525438;0,0726104;0,434407;
A0A1I6CMC9;11,8997;12,0767;12,3249;12,6361;13,4095;12,62;12,8433;13,1659;1,7745;0,00845236;-0,775333;-3,28073;+
A0A1N7SYP3;19,1162;19,7155;19,0447;19,7817;17,4039;16,9936;17,0356;17,4125;4,18604;0;2,20311;9,79542;+
A0A1N7SYP6;17,9479;18,6287;18,6657;18,5;17,153;16,7416;16,7568;17,3188;3,21657;0,000568465;1,44305;6,54704;+
A0A1N7SYQ5;14,3938;16,0699;16,2536;14,9752;16,1433;16,2131;16,1249;15,949;0,751495;0,0956056;-0,684472;-1,52865;
A0A1N7SYT2;14,7335;15,1038;14,2772;15,059;11,1371;12,6871;12,2839;12,3774;3,32742;0,000436445;2,67198;6,86518;+
A0A1N7SYU2;12,0976;12,594;11,8982;12,6167;12,1694;12,535;12,8624;11,5929;0,0120674;0,952985;0,0116823;0,0358091;
A0A1N7SYW5;16,9676;12,6693;15,2697;15,0502;13,0402;13,4013;13,6621;13,8394;0,835049;0,0771312;1,50347;1,66879;
A0A1T5HUK0;15,4401;14,7199;14,8632;15,5447;13,8559;14,9652;15,4026;14,352;0,591099;0,145931;0,49804;1,25428;
A0A9S0;15,0545;14,4322;13,3283;15,5359;14,4562;14,2971;14,4081;14,3763;0,164038;0,532613;0,203268;0,42533;
A0A9S2;13,4022;13,7541;13,7528;13,0202;13,6756;13,3228;13,189;13,3403;0,194606;0,481219;0,1004;0,494038;
A2V8C3;17,5558;17,8404;18,4754;18,2763;15,3834;16,6743;16,1653;15,7346;2,97234;0,00084007;2,04762;5,8867;+
A2V8C8;18,1007;18,3741;18,7573;18,4946;16,0658;16,055;16,1323;15,6438;5,0743;0;2,45741;13,9584;+
A3FPJ3;16,8309;16,4265;16,4289;16,2402;12,2307;15,4786;14,18;12,9487;2,06;0,0045201;2,77213;3,82501;+
A3FPK9;16,0783;16,9299;16,5809;15,2911;15,2377;15,9983;15,8902;15,3033;0,739714;0,0981297;0,61272;1,50877;
A3FPL3;12,546;11,825;12,2593;12,6475;9,88784;9,90324;9,96685;9,98732;4,86084;0;2,38315;12,8297;+
A3QM97;12,3462;12,1309;12,0702;12,702;13,485;12,7277;13,3425;13,2982;2,19941;0,00335025;-0,901042;-4,10551;+
A3QM98;15,1857;14,0047;15,1862;15,6949;14,9514;14,7604;13,5275;13,502;0,778303;0,0889769;0,832586;1,57376;
A3QMB6;12,5654;12,0116;12,3039;12,7241;13,155;13,3144;12,8476;11,921;0,543875;0,165825;-0,408271;-1,17141;
A3QMB7;14,1514;14,0329;14,5125;14,6115;13,0762;12,5553;12,5452;12,9929;3,61473;0,000170697;1,5347;7,74853;+
A3QMC2;15,1013;15,2668;15,0298;15,087;14,507;14,5696;14,5518;14,5812;4,39041;0;0,56884;10,6364;+
A3QMC5;17,1815;18,1909;17,3123;18,0959;19,574;20,0236;19,6242;19,5446;3,38424;0,000337693;-1,99641;-7,03296;+
A3QMC6;16,0579;15,7364;15,3049;16,6432;14,3086;13,6026;13,9195;14,2569;2,96467;0,000832028;1,9137;5,86681;+
A3QMC8;14,044;14,2656;14,3359;13,2588;13,6554;13,9881;13,9747;13,9607;0,11659;0,632749;0,0813925;0,31344;
A4F303;12,4653;12,1923;12,3116;12,6824;13,1911;13,0923;12,6557;12,2958;0,856156;0,0727638;-0,395798;-1,70401;
A4F305;13,4839;14,3274;14,8188;13,9572;14,5398;15,1367;15,2355;14,745;1,24283;0,0275307;-0,767405;-2,34857;+
A4UVK2;14,9181;14,257;14,6569;15,2964;14,1886;14,2101;14,3073;14,3652;1,21962;0,0290038;0,514295;2,30952;+
A4UVK9;12,4819;12,1352;12,344;12,8021;14,1236;12,8066;14,2791;16,9308;1,26866;0,0257135;-2,09423;-2,39213;+
A4UVL1;12,1066;12,1904;12,2786;12,7052;12,3931;12,0283;12,3626;12,4447;0,0273585;0,894663;0,0130317;0,079857;
A4UVL9;14,3447;13,8129;13,521;13,1292;12,0945;11,9526;12,2859;12,9974;2,13017;0,00370642;1,36936;3,96488;+
A4UZ35;12,476;11,9945;12,2783;12,7263;11,4946;12,668;12,8227;11,3493;0,286339;0,356963;0,285119;0,687915;
A5A8P5;15,8908;16,1113;17,0054;17,122;15,886;16,0881;16,1074;16,4014;0,590269;0,146063;0,411647;1,25283;
A5HU91;18,7557;19,408;19,1065;19,2671;16,4209;15,4916;14,1158;16,6534;2,95605;0,000911917;3,46391;5,84451;+
A5HU97;18,0505;17,75;17,6999;18,21;15,2786;14,9213;15,2094;15,2847;5,79089;0;2,7541;18,4809;+
A5HU98;16,1879;16,0291;15,5349;16,3943;15,9845;16,1979;16,1398;16,0946;0,135435;0,591349;-0,0676696;-0,358717;
A5HWA4;12,4888;12,1897;12,15;12,4858;10,2654;11,2035;11,257;10,3809;2,8468;0,00115113;1,5519;5,56741;+
A5HWA9;12,5283;12,0756;12,0739;12,7532;12,2969;12,4001;12,8513;12,904;0,510585;0,182617;-0,255317;-1,11221;
A5HWB2;13,8119;13,3581;13,8069;14,3687;13,5914;13,5708;13,474;14,2635;0,155302;0,548833;0,111491;0,405239;
A5JYR4;13,7589;13,3627;15,0522;15,4241;14,2297;14,2801;14,4464;14,5165;0,0212286;0,918261;0,0312676;0,0623691;
A5JYS8;14,0337;13,4524;13,9045;13,8171;14,4923;13,6965;13,469;14,0493;0,192058;0,484891;-0,124844;-0,488401;
A5JYT2;14,0027;13,955;14,9507;15,0034;13,0938;13,4431;13,4506;13,3054;2,06991;0,0044143;1,15469;3,8446;+
A5JYU1;13,476;12,7689;13,8219;14,614;13,178;12,5662;12,727;13,0425;0,997458;0,0507673;0,791756;1,93896;
A5JYU5;12,5602;12,3151;12,2945;12,6769;8,2136;11,2991;12,0417;10,3254;1,26387;0,026178;1,99172;2,38405;+
A5JYW3;15,3257;15,6399;17,1606;15,416;12,7723;15,9069;15,7317;13,7496;0,753338;0,0952995;1,34541;1,53175;
A5JYW9;12,5811;12,1598;12,2891;12,5239;12,7658;11,2803;11,6526;12,6792;0,325305;0,315454;0,293976;0,76583;
A5JYX3;14,1905;16,2219;13,8397;14,1991;15,4073;15,6288;15,6941;15,3812;0,834728;0,0771888;-0,915063;-1,66825;
A5JYX4;16,4057;15,9904;16,0572;16,7434;16,3399;16,3486;16,5119;16,5189;0,303724;0,337834;-0,130656;-0,722957;
A5JYX8;15,9855;15,3394;15,6624;15,4951;15,0574;14,8279;14,9195;14,649;2,45708;0,00210083;0,75717;4,65354;+
A5PEY0;14,2317;14,3043;13,7684;14,6968;14,3593;12,5944;13,1906;13,153;1,1668;0,0334752;0,925987;2,22096;+
A5Z2S2;15,364;14,1927;15,3127;14,3967;14,1489;13,4646;13,5682;14,2417;1,41751;0,0172873;0,96067;2,6459;+
A5Z2S4;14,8388;14,5853;14,2474;15,1382;13,9408;14,2913;14,0402;14,0357;1,66095;0,0100008;0,625462;3,074;+
A5Z2S9;12,5417;12,0897;12,1998;12,6929;10,0039;9,85719;9,76661;9,87878;5,53324;0;2,50439;16,7129;+
A5Z2T6;13,6089;13,9373;14,5194;14,0003;12,8055;12,3297;11,9239;12,9526;2,62522;0,00135398;1,51352;5,03431;+
A5Z2T7;12,5743;12,0579;12,061;11,8722;12,1691;11,8876;13,1068;9,72659;0,231275;0,425214;0,418849;0,573539;
A5Z2T9;16,21;14,6906;15,3106;16,1186;14,6877;13,995;14,1269;13,9099;1,89605;0,00671109;1,40254;3,50787;+
A5Z2U5;13,5618;13,8819;13,8849;13,8269;13,0158;13,659;13,4456;13,065;1,53816;0,0134474;0,492514;2,85575;+
A5Z2U8;14,4908;13,788;13,5039;13,7218;13,3899;13,104;12,9573;13,2729;1,60443;0,0118434;0,695093;2,9729;+
A5Z2U9;17,1722;16,9819;16,6733;17,5439;13,8963;14,5468;14,2609;14,2262;4,8309;0;2,86025;12,6785;+
A5Z2V2;12,8166;13,2401;13,54;13,1034;12,1988;12,0401;12,1341;12,3346;3,06896;0,000746717;0,998097;6,14152;+
A5Z2V3;13,872;13,0346;13,0146;13,9005;12,7224;11,1998;11,8868;12,2042;1,94094;0,00600776;1,45214;3,59342;+
A5Z2V7;14,8648;14,9753;15,0833;14,927;12,9656;13,2166;13,3601;12,7306;4,8818;0;1,89437;12,9367;+
A5Z2W3;16,8461;16,1326;16,3792;16,1223;15,8669;15,4715;15,7473;16,073;1,47879;0,0153016;0,580348;2,75196;+
A5Z2W6;15,4596;14,9247;15,4581;16,141;13,6659;15,5929;13,014;14,0352;1,24859;0,027133;1,41887;2,35828;+
A5Z2W7;17,8288;18,041;18,0494;17,8238;15,4842;15,9717;15,8603;16,0683;5,1968;0;2,08965;14,6479;+
A5Z2X2;14,1716;13,6143;13,5585;15,7738;14,6403;14,6561;14,3871;13,9839;0,0926518;0,692637;-0,13729;-0,254127;
A6PVA1;14,0501;14,862;14,403;14,7882;13,0856;13,6019;13,0804;13,2907;2,86878;0,00107806;1,26114;5,62239;+
A6ZJ46;15,9513;14,5068;14,5496;15,6476;14,9222;14,5115;14,6558;14,7803;0,541492;0,166685;0,446393;1,1672;
A6ZJ55;17,1156;16,3606;17,357;16,9722;16,7599;16,6278;15,9673;16,8248;0,677763;0,115858;0,406408;1,40364;
A6ZJ59;15,6178;13,0398;14,5242;15,236;14,6368;14,4419;14,7348;14,3996;0,0306417;0,883919;0,0511796;0,0891339;
A7DT38;12,5784;11,8879;12,3202;12,4689;9,99526;9,93861;9,95365;9,92834;5,34102;0;2,35988;15,5012;+
A7DT40;14,5411;14,7057;14,9127;15,3487;15,3927;15,2793;15,3868;15,34;1,43525;0,0167032;-0,472669;-2,6765;+
A7DT45;17,415;16,8817;16,6423;17,3359;18,0946;17,3907;17,1208;17,5382;0,84998;0,07376;-0,467358;-1,69371;
A7DTF0;16,2077;15,884;15,8971;15,9421;15,3139;15,1146;15,3598;15,1187;3,56678;0,000165062;0,75595;7,59489;+
A7DTF2;12,3563;12,1546;12,3251;12,5108;13,3456;12,3222;12,7199;12,8299;1,09214;0,0405849;-0,467676;-2,09637;+
A7LPD6;15,5079;14,7516;14,8187;15,9033;13,0148;13,3857;13,068;12,8401;3,44551;0,000273292;2,16823;7,21763;+
A7LPE4;13,1285;13,6099;13,9052;13,3783;12,3277;12,9536;12,9791;12,8507;1,74787;0,00867806;0,7277;3,23179;+
A7LPE6;17,5496;17,77;17,8473;17,9645;17,6922;17,6101;17,6925;17,6092;0,707981;0,107173;0,131867;1,45506;
A7LPF3;15,2564;15,0551;15,1135;15,5388;14,4503;14,5752;14,8006;14,4731;2,59258;0,00140443;0,666178;4,95886;+
A7LPF5;15,5;15,4986;16,4486;14,905;13,3019;14,9448;14,5423;13,4613;1,60124;0,0119127;1,52546;2,96724;+
A7LPG5;18,501;18,5544;18,4964;18,7821;17,8053;18,3354;18,1713;18,1231;1,97382;0,00541897;0,47467;3,65669;+
A7LPH5;14,6129;14,4309;14,2804;14,8791;14,458;14,2843;14,1791;14,6819;0,387403;0,261446;0,150005;0,88579;
A7LPI4;15,0079;13,5074;15,2968;15,7988;13,377;13,2583;13,2143;13,1283;1,80948;0,00796171;1,65829;3,34544;+
A7LPI7;12,398;12,1607;12,0517;12,5147;12,4559;13,2339;12,8121;12,9305;1,61577;0,0114534;-0,576817;-2,99309;+
A7LPJ5;16,2764;15,3797;16,062;15,5882;13,1422;14,7696;14,1531;15,1806;1,67388;0,0098259;1,51521;3,0973;+
A7WK39;16,5154;16,1577;15,9196;15,2532;14,7789;14,7761;14,3224;15,038;2,16991;0,00355186;1,23263;4,04528;+
A7WK43;12,4894;12,191;12,2149;12,6309;11,6805;11,4467;11,5949;12,0279;2,26806;0,00295481;0,694048;4,24761;+
A8WFF4;13,3554;14,0909;13,9287;13,9303;14,0667;13,6587;13,8529;13,7281;0,000488708;0,997687;-0,00027132;-0,00146925;
A8WFI3;13,636;15,0703;15,3714;14,8808;12,9984;13,6995;13,7932;13,8411;1,44514;0,0163628;1,15656;2,69359;+
A8WFJ8;14,2583;13,7223;13,7667;13,3677;14,4773;13,8987;13,9844;14,0987;0,73809;0,0986618;-0,336079;-1,50603;
A8WFK6;18,0165;18,0134;17,8218;17,955;14,358;14,1993;14,0155;14,3187;7,89624;0;3,7288;41,7128;+
A8WFM5;12,5317;12,12;12,2505;12,6723;14,8643;15,0976;15,0492;15,2909;5,63993;0;-2,6819;-17,4242;+
A8WHM5;12,3856;12,166;12,3355;12,4497;13,8098;13,2427;13,1213;14,5437;2,18227;0,00340179;-1,34517;-4,07045;+
A8WHN5;12,4094;11,9641;12,0992;12,337;12,9929;13,4236;13,5214;14,529;2,21929;0,00313477;-1,4143;-4,14639;+
A8WHS3;12,3736;12,0587;11,7517;12,7992;13,4876;14,3685;14,5362;12,8898;1,90644;0,00648256;-1,57471;-3,52759;+
A8WHT8;12,5208;11,8681;12,2462;12,6873;13,1426;12,309;12,4836;13,1397;0,766116;0,0922582;-0,4381;-1,55327;
A8WIT0;12,3263;9,21074;11,9059;12,6453;11,4303;11,1645;11,5609;10,6135;0,155539;0,548875;0,329794;0,405786;
A8WJ47;12,5688;12,0997;12,3393;12,7498;11,2055;12,5851;11,7492;13,8229;0,0595082;0,787012;0,0987217;0,168203;
A8XJ46;12,3348;11,985;11,9415;12,4438;9,85731;9,87799;9,90167;9,61092;5,51679;0;2,36432;16,6058;+
A9CZN9;13,5063;14,6415;13,1017;13,4613;13,7286;13,9444;13,2135;13,2037;0,155536;0,548754;0,155164;0,405779;
A9D0C6;14,8469;14,3982;14,5281;15,1594;14,5863;14,1016;14,1741;14,8389;0,595913;0,143854;0,307935;1,26266;
