Leading.proteins.Positions.within.proteins;log2 daf2_d15_01;log2 daf2_d15_02;log2 daf2_d15_03;log2 daf2_d15_04;log2 N2_d15_01;log2 N2_d15_02;log2 N2_d15_03;log2 N2_d15_04; -Log Student's T-test p-value daf2_d15_N2_d15;Student's T-test q-value  daf2_d15_N2_d15; Student's T-test Difference  daf2_d15_N2_d15;Student's T-test Test statistic  daf2_d15_N2_d15;Sign p-val: 0.05 
A0A061AD09(37);18,914;21,1819;19,9261;20,3977;19,6149;20,0751;19,3603;19,5791;0,395036;0,482663;0,447605;0,900227;
Q3S1I9(88);20,1555;21,0436;20,5461;17,5459;17,6619;21,1208;20,0137;19,8695;0,0515385;0,907433;0,156302;0,146799;
Q3S1I9(240);17,2498;20,9428;21,0508;18,4893;21,5255;19,9551;20,3572;20,8448;0,583705;0,351471;-1,2375;-1,24138;
G5EDF9(7);19,1434;20,2455;20,667;19,6401;16,5769;19,2307;21,0463;19,3424;0,390278;0,486234;0,874923;0,891235;
G5EDF9(13);16,9269;20,7184;19,8914;17,7498;23,341;21,9295;23,7218;24,5733;2,3258;0,0158617;-4,56981;-4,36926;+
G5EDF9(521);19,2824;20,4845;18,4336;17,7753;19,909;20,7687;21,3029;18,8524;0,753167;0,261674;-1,21428;-1,53147;
A0A0K3AQS9(98);20,1377;19,0934;21,4023;19,2155;20,8617;19,5611;17,9838;21,4556;0,00118119;0,997438;-0,00332403;-0,00354829;
A0A0K3AQS9(58);19,049;20,2455;19,231;18,9535;22,9261;21,746;22,1229;21,9687;3,43168;0,00275433;-2,82119;-7,17562;+
A0A0K3AQS9(173);24,5131;25,5433;25,8393;24,7071;25,3449;25,5837;26,722;24,2789;0,22383;0,646469;-0,331686;-0,557633;
A0A0K3AQS9(21);18,9476;18,3177;21,7191;18,7087;19,2675;19,9202;21,1537;19,4419;0,239161;0,626576;-0,522528;-0,590265;
A0A0K3AQS9(160);18,8794;21,5318;19,37;18,701;20,1862;20,9037;20,0813;19,2361;0,269433;0,597884;-0,481269;-0,653374;
A0A0K3AQS9(122);23,0312;24,175;23,9764;23,6184;25,1908;23,3092;23,1749;26,0765;0,434737;0,450241;-0,73761;-0,974365;
A0A0K3AQS9(114);24,4388;25,6619;25,4762;24,7688;19,098;19,5447;18,8981;20,5491;4,66907;0,00104615;5,56395;11,8894;+
A0A0K3AQT4(28);19,3892;20,6914;19,4052;21,3583;20,4802;18,4788;21,3274;21,0578;0,0544359;0,89936;-0,125019;-0,154616;
A0A0K3AQT4(76);21,3553;20,8135;19,1609;20,4094;18,2384;20,1402;20,3167;19,8738;0,553194;0,367782;0,792514;1,18786;
A0A0K3AQT4(15);23,4273;25,6183;23,5469;25,7808;25,0909;25,2353;24,7327;23,3769;0,00681777;0,988779;-0,0156236;-0,0203499;
A0A0K3AUF2(802);24,989;25,0697;25,7064;25,695;23,4842;24,3237;24,7313;27,0153;0,249061;0,61476;0,476402;0,611091;
A0A0K3ARB5(19);21,4239;18,5816;17,1574;20,7084;18,6965;17,5702;18,7603;19,4817;0,341048;0,531222;0,840592;0,796697;
A0A0K3ARB5(20);18,1528;21,1239;20,0021;20,3468;21,1914;20,9461;20,577;20,3822;0,631226;0,322453;-0,867784;-1,32382;
A0A0K3ARB5(6);18,9491;21,0836;19,6106;20,2593;19,7377;19,6367;19,8774;19,9885;0,13513;0,76247;0,165568;0,357995;
A0A0K3AS90(1163);21,8841;23,3941;23,9261;21,9732;19,667;20,9756;19,7515;18,3044;2,2303;0,0187787;3,11973;4,16911;+
A0A0K3AWX1(391);18,5279;20,4503;19,7802;18,1208;26,2291;24,6718;23,6286;23,842;3,27426;0,00325;-5,37304;-6,71112;+
A0A0K3AWX1(378);19,6015;18,2769;19,8578;20,4266;20,8702;19,9484;17,7743;20,3774;0,0894383;0,831582;-0,201825;-0,245999;
A0A0K3AVS5(10);19,2328;21,4122;18,5684;18,7992;19,427;20,3006;18,7168;18,6917;0,10735;0,800357;0,219119;0,290794;
A0A0K3AW96(1148);19,2064;18,6786;18,9338;20,2821;21,8962;22,2889;22,2839;28,1374;1,53126;0,0641102;-4,37637;-2,84363;
A0A0K3AW96(1306);18,0195;19,2893;19,6365;19,7068;18,9513;19,1075;21,3324;20,6168;0,558333;0,364536;-0,838936;-1,19691;
A0A0K3AW96(2799);24,8451;24,9791;24,6071;24,6526;24,1065;24,0419;22,2003;22,2459;1,61723;0,0551175;1,62232;2,9957;
A0A0K3AW96(2725);21,5887;21,6373;19,3148;18,6676;22,0646;22,4318;21,0279;24,6043;1,07889;0,14553;-2,23007;-2,0743;
A0A0K3AWB0(580);24,6823;24,4977;22,9433;23,3859;25,6774;25,3331;25,09;26,0825;1,89933;0,033816;-1,66844;-3,51409;+
A0A0K3AWB0(588);24,4477;24,918;24,3882;25,4792;24,3862;23,1534;20,8381;20,9396;1,47103;0,0718317;2,47894;2,73848;
A0A0K3AWM6(430);22,1893;22,7417;22,4606;22,9553;25,9493;25,6012;25,5754;23,1712;2,02736;0,0265519;-2,48755;-3,76083;+
A0A0K3AXE0(11);23,3135;23,6569;22,9244;23,761;21,0886;21,4999;20,7911;20,251;3,61269;0,00205858;2,50626;7,74195;+
A0A0K3AXT9(687);22,8458;24,3326;25,3286;23,9543;24,5488;24,5753;24,4112;25,4191;0,508799;0,395947;-0,62324;-1,10902;
A0A0K3AXT9(697);24,5952;25,5464;24,8092;25,0119;26,5519;23,7382;23,6251;26,7241;0,0687148;0,874767;-0,169147;-0,192554;
A0A0K3AXT9(677);23,2431;22,989;24,3828;21,292;24,0563;23,932;20,6189;24,8547;0,128685;0,76968;-0,388731;-0,342635;
A0A0K3AXT9(683);24,6719;25,561;26,1103;24,7853;26,2573;25,6321;28,665;26,7989;1,10168;0,139929;-1,55621;-2,11224;
A0A0K3AY44(449);23,1223;24,6297;23,0697;24,6748;19,5968;20,9882;20,0661;16,4617;2,27138;0,0180403;4,59592;4,25454;+
A0A0K3AY44(442);19,8204;19,5473;19,4607;19,7054;20,3783;19,1438;21,3597;19,1152;0,277126;0,589912;-0,365756;-0,669152;
A0A0K3AY85(173);23,2743;24,0641;22,5811;24,3463;26,0559;26,5591;24,9241;25,4423;2,18267;0,0203906;-2,17891;-4,07127;+
A0A0K3AY85(152);19,0112;19,4806;18,4926;20,359;23,5871;23,9683;25,3567;24,4127;4,00073;0,0016732;-4,99537;-9,08506;+
A0A0K3AYE8(172);25,8169;25,5543;26,3048;24,9971;24,4572;24,8878;25,6251;27,91;0,0216188;0,964226;-0,051784;-0,0634887;
A0A0M7RFG7(49);18,7192;18,4608;19,2622;20,5113;25,3281;26,0452;24,9236;26,9336;4,32341;0,00195918;-6,56928;-10,3537;+
A0A0S4XRR1(215);19,7892;19,8407;21,4249;21,3841;24,5958;24,8698;26,0051;27,4777;3,16642;0,00407588;-5,12736;-6,407;+
A0A0T7CIX3(487);19,8783;19,0894;19,6309;19,0376;22,9383;22,0394;22,2281;23,7173;3,58717;0,00252209;-3,3217;-7,65991;+
A0A0T7CIX3(136);22,4476;23,5894;22,6929;22,9612;19,4471;20,2607;17,7943;21,2995;2,21301;0,0192601;3,22237;4,13344;+
A0A0T7CIX3(543);18,2339;19,4477;20,3417;20,6335;19,5696;19,6583;19,65;20,2479;0,0748979;0,862007;-0,11722;-0,208692;
A0A131MBQ6(32);19,7154;19,1922;19,439;19,0004;20,793;20,0731;19,8897;20,7316;2,01961;0,0268247;-1,03509;-3,74566;+
A0A131MCJ5(53);18,7225;18,876;17,3808;18,9988;19,6294;19,1603;19,5919;20,5718;1,38862;0,0813662;-1,2438;-2,59624;
A0A131MD51(18);19,5739;21,4356;19,0641;19,958;23,4268;22,3253;22,5068;23,375;2,59198;0,01023;-2,90052;-4,95749;+
O16293(195);19,1007;21,2447;19,289;19,7215;19,0945;21,2773;19,7128;19,6396;0,0476491;0,915042;-0,0920844;-0,136239;
O02147(540);18,6832;19,1102;20,6793;18,719;21,308;20,1025;21,1362;21,2724;1,62399;0,0543959;-1,65688;-3,00777;
F3Y5Q3(84);16,6789;20,1247;20,0422;18,748;21,9463;17,9953;20,3673;20,0127;0,4673;0,426351;-1,18196;-1,0341;
Q9N350(17);19,1539;20,3531;20,2152;20,2314;17,9309;19,3761;19,6897;21,1699;0,25322;0,610889;0,446754;0,619784;
Q9N350(179);18,8699;18,4687;20,1066;19,228;25,5189;23,3498;23,9741;25,3303;3,84246;0,00136898;-5,37498;-8,51473;+
A0A1N7SYR3(844);19,6278;19,8636;20,2616;21,3335;19,2228;20,559;18,641;19,5258;0,68936;0,291752;0,784459;1,42341;
A1IMB7(151);20,4523;22,2048;22,1832;21,3616;19,5254;20,1955;21,6526;20,884;0,792507;0,242496;0,9861;1,59759;
A3QMB7(63);17,6319;18,2987;18,4044;18,7888;21,3972;18,4257;19,7594;20,2966;1,36099;0,0848913;-1,68876;-2,54894;
J7SF86(65);19,0076;20,0814;20,6708;19,6542;20,7093;18,3312;19,9624;19,0831;0,211503;0,66076;0,331968;0,53104;
U4PRJ1(143);20,6165;20,7691;19,0239;21,702;17,6405;20,0444;20,1618;19,7342;0,672745;0,29875;1,13263;1,39507;
A5JYX4(101);18,7163;20,0395;19,5082;19,2127;19,3751;18,7574;18,2992;21,2439;0,0241106;0,960588;-0,0496974;-0,0706186;
A5JYX4(81);25,44;25,662;25,8266;24,9303;26,0653;24,4665;24,5951;22,2333;0,664844;0,302974;1,12466;1,38156;
A5JYX4(77);20,132;21,7808;18,9932;19,2551;19,6341;18,7559;17,1171;19,9607;0,623889;0,326267;1,17335;1,31116;
A5JYX4(130);16,0522;20,3897;19,817;19,9238;20,3104;19,1644;20,2899;20,6981;0,454569;0,436022;-1,07003;-1,01085;
A5JYX4(131);18,5103;21,7444;19,5785;19,3377;19,9937;19,1796;18,7537;19,0696;0,310332;0,558615;0,543602;0,736157;
A5PEY0(153);25,0144;26,2196;26,6622;25,2368;24,4365;24,4373;22,4575;22,6709;1,84323;0,0369829;2,28271;3,40837;+
I2HA81(362);26,1084;25,2943;24,7101;27,3164;26,4672;26,8578;25,2635;27,0423;0,340478;0,5311;-0,550389;-0,795584;
A5Z2W7(48);24,85;26,1873;25,1369;25,3771;19,471;19,3592;17,832;17,7603;4,76397;0,00115254;6,78223;12,3464;+
A5Z2W7(56);17,2929;20,6773;19,6286;20,7095;19,3769;19,325;21,6318;20,2849;0,24271;0,62184;-0,577609;-0,597752;
A6PVA5(9);17,8576;20,0067;20,2908;18,2716;20,6991;21,6252;19,4246;21,1426;1,09091;0,142162;-1,61619;-2,09431;
Q20621(425);21,1221;21,2677;21,1657;22,8519;23,3649;21,8957;23,5654;23,609;1,37965;0,0823848;-1,50686;-2,58088;
A7DT41(137);20,1947;19,2356;20,6366;20,3541;20,5935;21,7645;19,3712;19,1424;0,0587372;0,892504;-0,112634;-0,166145;
A7DT41(240);22,6025;22,2099;23,0785;21,3064;22,4544;21,8561;19,5834;24,9286;0,0276643;0,955376;0,0936985;0,0807236;
A7DT41(165);18,2015;18,3157;18,3216;18,69;17,7756;20,1566;18,4736;21,3917;0,613941;0,333114;-1,06716;-1,29395;
A7DT41(223);22,9246;23,9797;23,2708;22,5694;19,091;17,5619;18,9025;20,811;2,85938;0,00613559;4,09454;5,59884;+
A7DT41(158);21,6223;21,3458;19,3817;18,9936;19,1749;18,4957;18,0406;18,3972;1,3587;0,0852603;1,80876;2,54504;
A7DT41(262);19,8265;18,5372;16,9959;20,3545;20,5073;20,3168;21,9282;22,0797;1,38522;0,0815912;-2,27947;-2,59042;
Q9XWW2(238);20,4138;20,6969;18,6047;19,3115;19,2066;20,0383;21,0622;20,329;0,267415;0,597805;-0,402271;-0,649218;
Q9XWW2(276);18,2866;19,8391;21,5308;20,9095;23,1948;24,4294;22,7508;22,6426;2,04601;0,0263223;-3,11292;-3,79743;+
A7LPD6(582);20,8021;18,6108;21,4502;19,943;18,926;20,0805;18,5009;19,5047;0,64548;0,313651;0,948482;1,34836;
A7LPD6(545);22,5658;23,7734;23,3864;24,543;26,0879;24,9093;24,6182;25,1035;1,67476;0,0502395;-1,61257;-3,09889;
A7LPE6(329);17,7102;19,6702;19,2313;19,1203;20,3762;19,4208;20,2701;21,31;1,3078;0,0947008;-1,41127;-2,4584;
Q5FC71(99);19,8956;19,9982;19,3812;20,4882;24,7144;23,6264;24,8191;26,0258;3,97317;0,00159006;-4,85563;-8,98339;+
Q5FC71(87);18,2681;18,1544;19,9249;17,3854;24,6505;24,6861;24,9436;24,4827;4,59114;0,000957746;-6,25753;-11,5259;+
Q5FC71(50);20,9254;20,1818;20,987;18,1146;26,0837;25,0074;23,2823;23,3559;2,42639;0,0133227;-4,38012;-4,58611;+
Q5FC71(63);26,1607;25,7528;26,0474;26,7204;25,5513;25,8081;27,8173;23,9464;0,186203;0,688886;0,389552;0,475386;
Q5FC71(64);27,1809;28,337;30,6158;29,3041;32,2679;33,0049;29,3953;29,1028;0,849803;0,220581;-2,0833;-1,69342;
Q5FC71(74);20,2073;20,0412;19,5822;18,7399;17,368;19,1597;20,3166;20,673;0,120816;0,780517;0,263336;0,323696;
A8WFH7(312);23,3037;24,2573;24,3991;24,1401;25,063;23,6007;22,0982;25,3421;0,000386098;0,998803;-0,00091362;-0,0011609;
A8WFH7(313);26,8728;24,5494;23,3343;26,4388;25,7008;24,2427;25,4262;25,9514;0,0116464;0,981961;-0,0314255;-0,0345758;
A8WFH7(322);20,0259;21,6593;20,1693;19,1683;24,6478;24,9616;23,6429;24,1458;3,34117;0,00312102;-4,09383;-6,90548;+
H2KYH9(63);18,8725;17,3345;19,6855;21,5193;19,3879;20,8717;19,7479;19,0681;0,168361;0,71601;-0,415933;-0,435194;
A8WHP8(79);22,8864;23,2635;23,3742;24,8535;24,0634;23,4967;23,0104;24,4816;0,116295;0,787656;-0,168614;-0,31272;
A8WHP8(57);18,645;21,2241;20,125;21,0957;17,1354;20,8986;20,093;20,5329;0,23488;0,631181;0,607501;0,581201;
A8WHP8(68);24,3083;24,876;23,5463;23,2606;21,3205;20,2522;20,2152;19,3479;3,30777;0,00297872;3,71386;6,80789;+
A8WHP8(347);18,0383;18,5571;21,2864;18,0249;20,9376;20,4717;20,1587;20,062;0,901099;0,203784;-1,43083;-1,77886;
A8WHP8(348);18,8674;19,2016;18,9095;20,8581;24,5639;23,7705;23,2198;25,8315;3,24427;0,00365714;-4,88728;-6,62542;+
A8WHP8(181);19,7459;21,7575;18,216;17,467;20,4907;19,6433;20,3711;19,3644;0,282405;0,58709;-0,670747;-0,679921;
A8WHP8(154);22,4921;22,6352;23,1711;21,9737;21,0831;19,973;19,809;20,0161;3,07544;0,00469211;2,34772;6,15891;+
A8WHP8(295);20,4846;20,8112;20,4014;19,4404;23,7258;23,0494;24,1707;24,1196;3,94317;0,00153293;-3,48194;-8,87389;+
A8WHP8(297);20,5093;19,9838;20,6276;18,1366;20,4522;19,4025;21,5374;19,0613;0,141179;0,753522;-0,299044;-0,37229;
A8WHP8(218);19,1594;19,6987;20,5422;20,1382;21,5143;19,4221;18,579;17,8617;0,262904;0,600137;0,540331;0,639904;
A9UJN7(555);20,6753;21,1221;18,6594;19,9755;23,5053;23,7493;23,0876;21,2754;1,94589;0,03091;-2,79632;-3,60291;+
A9UJN7(562);20,0487;21,1655;20,9676;19,7518;19,2311;20,6968;18,6077;19,3129;0,929379;0,193582;1,02125;1,82588;
A9UJP1(38);19,2747;18,6067;19,4322;21,4711;21,3933;19,4812;18,0198;17,034;0,258612;0,605997;0,714107;0,631008;
A9UJP1(71);19,8878;20,8049;19,208;19,1284;19,2506;20,6364;20,4422;19,6897;0,19243;0,68039;-0,247451;-0,489224;
A9UJP1(57);23,8331;23,0792;22,2913;23,8028;21,3871;21,2699;20,2688;21,9666;2,14749;0,0216828;2,02853;3,99982;+
A9UJP1(73);22,5704;22,2897;24,597;21,7233;25,6334;26,8699;24,638;23,9589;1,49803;0,0679728;-2,47995;-2,78548;
A9Z1K9(338);20,758;19,4392;19,2736;18,3697;21,5394;23,5686;23,0814;24,5124;2,47278;0,0124532;-3,71535;-4,6883;+
B0M0L8(154);23,1719;23,0548;23,6366;21,5808;25,3746;24,7047;25,5014;22,9531;1,27758;0,0996851;-1,77243;-2,40721;
B0M0L8(179);27,1923;27,8825;26,3383;23,7252;24,8394;24,8236;23,7881;25,6991;0,741577;0,268676;1,49701;1,51192;
B0M0L8(35);21,5333;19,4082;19,8641;19,915;21,5699;21,4254;18,283;17,4387;0,166627;0,717415;0,500907;0,431245;
B0M0L8(98);26,6421;26,3261;25,1795;25,3638;23,7064;23,9818;24,5245;24,5644;2,17593;0,0203443;1,68359;4,05753;+
B0M0N4(102);19,1738;20,5474;19,5135;16,1275;22,921;23,0128;23,1922;22,0914;2,16714;0,020898;-3,96381;-4,03963;+
B0M0N4(3);18,0847;18,9521;20,2411;17,3731;24,8491;24,2209;23,299;23,6631;3,56618;0,00246275;-5,34525;-7,59299;+
B0M0N4(88);19,5514;20,8068;19,826;16,4835;20,8989;20,4911;20,9516;19,9531;0,711989;0,283407;-1,40677;-1,46186;
B2D6M4(494);22,7578;23,1097;24,3148;22,9021;25,0242;24,7169;22,3951;25,4842;0,713244;0,2828;-1,13398;-1,46399;
B2D6M4(499);17,253;18,1076;20,2682;18,1702;20,3312;18,7969;18,3435;20,3708;0,572725;0,356675;-1,01086;-1,22218;
B2D6P1(119);18,2705;21,3844;18,7737;19,5105;19,6455;19,1665;20,5828;19,0339;0,0562644;0,896051;-0,122408;-0,159528;
B2D6P1(97);20,158;20,9217;20,3969;20,0411;20,9456;18,1367;19,7739;19,7587;0,555097;0,36597;0,725696;1,19122;
B3CKG1(24);20,266;21,0645;20,6188;20,4849;25,5169;24,6765;24,299;25,4706;4,83855;0,00138776;-4,38223;-12,717;+
B3WFT8(10);18,4821;19,8177;20,006;19,644;18,8906;21,6798;19,3382;21,1018;0,45507;0,435864;-0,765115;-1,01177;
E1B6S9(25);19,9847;18,3855;19,8987;19,0092;18,5055;19,5159;20,471;20,5876;0,307232;0,561346;-0,450479;-0,729973;
G5EC65(1032);20,3845;19,0909;20,7047;19,6353;20,0137;18,961;20,0984;20,9006;0,0250675;0,958596;-0,039587;-0,073347;
B3WFW7(70);19,7862;20,9401;20,1099;19,6194;21,6492;20,9017;20,363;19,6692;0,470344;0,424384;-0,531862;-1,03964;
B3WFY5(28);23,4149;23,7315;27,1289;24,315;20,1471;19,9224;20,5159;20,0643;2,70918;0,00838879;4,48517;5,23193;+
B3WFY5(29);19,3582;20,4076;20,0051;18,2451;20,6087;19,3633;18,5213;19,5588;0,00472926;0,991713;-0,0090251;-0,0141494;
B3WFY5(30);21,9279;21,1901;21,2037;22,1223;20,3188;20,6144;18,0508;19,5831;1,71155;0,0463607;1,96921;3,1655;+
B5BM23(908);17,7966;19,0075;19,8149;20,4367;24,6554;28,001;26,9035;24,9911;3,38369;0,00301316;-6,87381;-7,03134;+
B5U8N2(48);19,3527;18,7334;19,0145;19,3477;20,9275;18,458;19,2809;19,8195;0,419378;0,462244;-0,509435;-0,945864;
B5U8N2(360);20,2633;18,4588;20,4388;17,5074;18,5891;19,3945;18,1408;19,2951;0,155073;0,732857;0,312186;0,404709;
B5U8N2(491);20,5519;19,1668;21,1441;18,3377;20,2823;22,04;22,2431;20,3698;0,872362;0,212185;-1,43369;-1,73103;
B6VQ78(562);19,6435;19,7078;19,4343;20,7515;20,4379;21,6183;19,0797;21,4703;0,542806;0,374102;-0,767286;-1,16952;
B6VQ78(569);19,0605;19,6628;21,3169;19,7396;20,8038;20,1511;20,7912;16,8367;0,103476;0,806682;0,299211;0,281209;
B6VQ78(172);18,7448;19,4361;20,5701;19,7201;24,3378;23,3053;24,5415;24,1716;4,13771;0,00203175;-4,47128;-9,60555;+
B6VQ78(176);20,5243;22,2868;22,6806;21,9646;19,6729;20,173;19,3842;21,3401;1,44838;0,0744528;1,72152;2,6992;
D9PTN8(403);18,5618;19,1817;19,889;19,9538;18,6103;21,5009;19,9923;20,8981;0,562295;0,3625;-0,853819;-1,20388;
B7WN71(239);18,3699;20,2467;18,182;19,4032;21,3051;20,4612;21,3318;20,9079;2,01413;0,026878;-1,95107;-3,73497;+
B7WN95(52);20,4706;19,6986;18,1941;19,7211;18,6339;18,9948;20,5597;19,0219;0,127914;0,770598;0,218544;0,340788;
B7WNA1(64);19,2965;18,9987;19,1889;19,6038;18,9649;19,6399;16,1957;20,7917;0,14435;0,748113;0,373936;0,37974;
B9ZSG9(872);19,674;20,0255;18,6412;18,8489;19,2492;21,4031;20,1159;21,6253;1,0364;0,156651;-1,30096;-2,00364;
C1P636(683);27,7008;26,7488;27,4769;27,3912;19,3069;20,02;20,2565;18,1938;5,35369;0;7,88515;15,5784;+
C1P636(727);22,9692;26,3648;25,376;24,413;19,9231;20,8242;19,1974;20,7405;2,87226;0,00606809;4,60949;5,63112;+
C1P636(864);25,8866;25,6956;26,2341;24,5328;29,0672;29,0811;26,665;28,3934;2,15005;0,021712;-2,71442;-4,00498;+
C1P636(741);19,2177;20,1429;19,4047;20,8035;24,2992;24,5216;22,8176;21,8888;2,53435;0,0113919;-3,48962;-4,82611;+
C1P636(104);17,9553;21,2553;16,7793;21,7272;23,1656;24,346;23,0557;21,3466;1,39003;0,0810969;-3,54919;-2,59867;
C6KRI9(366);20,7414;21,158;19,3679;21,1913;20,5404;19,9961;19,447;21,0194;0,275544;0,590882;0,363913;0,665915;
C6KRJ1(158);22,949;22,8606;24,4534;24,4054;25,8227;24,1202;22,8888;23,3619;0,192289;0,680378;-0,381295;-0,488913;
C6KRJ1(190);21,2327;21,8295;18,2657;17,4938;20,4345;20,0403;21,2073;19,0621;0,158951;0,727836;-0,480594;-0,413656;
C6KRL2(4);21,0431;20,7774;19,4863;20,2261;18,5006;18,7205;21,3008;19,9102;0,482796;0,415788;0,775181;1,06222;
C6KRL2(14);17,5634;20,2593;20,2766;20,7387;23,4956;24,7054;24,6075;27,8132;2,4459;0,012934;-5,44597;-4,62892;+
C6KRL2(18);19,5013;20,1225;18,5821;19,3218;19,3605;18,5214;20,1183;21,3487;0,277939;0,59033;-0,455302;-0,670813;
C6KRN1(3);20,4915;21,1809;20,6294;18,8108;20,1329;17,7984;19,8138;19,1514;0,704481;0,286874;1,05401;1,44912;
C6KRN1(24);18,7834;21,633;19,4782;20,5855;20,8556;18,1967;20,8979;20,3967;0,0125363;0,980206;0,0332937;0,0371811;
C7GIK1(69);22,2957;22,4606;23,6504;22,941;23,5984;23,4143;23,2184;24,3659;1,07092;0,147335;-0,812318;-2,06105;
D0IMZ5(2153);17,2497;19,7816;18,6444;18,6436;19,2979;19,2886;19,6966;19,6906;0,866296;0,214106;-0,913608;-1,72092;
D0IMZ5(269);20,4579;18,016;20,0986;16,2599;19,5925;16,6559;21,1961;19,1623;0,122225;0,778608;-0,443614;-0,327101;
D0PV95(599);19,026;18,8259;19,7958;20,6101;18,8704;21,7591;20,52;18,4742;0,151381;0,737344;-0,341468;-0,396151;
D0Z5P0(53);19,0256;19,215;18,7473;20,3153;20,5393;20,9306;21,6536;21,1374;2,24321;0,018565;-1,73945;-4,19586;+
D0Z5P0(541);17,7092;20,7841;18,4649;19,1874;20,1201;21,1421;19,0406;18,0569;0,239762;0,626003;-0,553535;-0,591536;
D0Z5P0(470);19,2621;19,6182;17,6342;18,4357;19,8864;19,7668;21,1806;16,021;0,152143;0,736145;-0,476118;-0,39792;
Q22832(234);23,0937;23,0485;24,3155;23,4028;24,0439;23,8433;25,3622;24,9494;1,22827;0,110457;-1,08456;-2,32407;
Q22832(235);19,5397;19,2291;20,6574;16,6171;19,7646;17,9543;20,127;21,2347;0,289673;0,579897;-0,759336;-0,694672;
Q22832(492);19,6961;20,9385;20,2637;19,0692;25,3624;25,2572;25,1702;23,4636;3,6921;0,00201835;-4,82145;-8,00195;+
Q8WQB8(183);18,7886;18,4448;21,4132;19,2394;18,4305;20,9784;19,6773;20,6198;0,205857;0,669734;-0,454996;-0,518749;
D3NQB5(149);20,3307;20,9601;19,4805;18,2813;23,4123;24,1932;22,8003;21,5;2,1264;0,0228708;-3,21332;-3,9573;+
D3YT77(49);24,1438;24,3426;22,5823;23,975;19,3097;18,3441;18,0231;20,7098;3,17985;0,00376986;4,66423;6,44429;+
D3YT77(57);21,8203;22,5435;24,0178;22,5739;21,7809;22,3597;22,0871;25,3584;0,058762;0,892686;-0,157638;-0,166212;
D4YWC3(77);18,9142;20,1141;19,4961;19,7609;23,8583;21,5727;23,4534;24,4968;2,8474;0,00662185;-3,77395;-5,56891;+
D4YWC3(78);23,2902;25,0463;23,4214;24,1096;20,9687;18,2309;18,6762;20,0852;3,00733;0,00462559;4,47665;5,97803;+
D4YWC3(41);25,9447;26,3349;26,0917;25,0399;21,6598;18,83;21,4326;19,1028;3,37215;0,00300328;5,59648;6,99698;+
