ProteinAccessions;log2 N2_d15_01;log2 N2_d15_02;log2 N2_d15_03;log2 N2_d15_04;log2 N2_d10_01;log2 N2_d10_02;log2 N2_d10_03;log2 N2_d10_04; -Log Student's T-test p-value N2_d15_N2_d10;Student's T-test q-value N2_d15_N2_d10; Student's T-test Difference N2_d15_N2_d10;Student's T-test Test statistic N2_d15_N2_d10;Sign p-val: 0.05 
A0A0S4XR68;13,7214;11,8686;13,9238;14,055;16,228;15,9278;16,5846;16,8872;2,79823;0,000372422;-3,01469;-5,44733;+
A0A0T7CIX3;14,6002;14,504;13,5997;14,9181;15,9689;15,7802;16,2823;16,1639;2,78419;0,000368084;-1,64333;-5,41297;+
A0A0U1RML5;13,6746;16,7754;14,7026;15,4382;14,4562;14,4209;13,5713;15,1045;0,475563;0,142074;0,759434;1,04912;
A0A131MAU8;15,4848;13,7097;14,7137;14,3998;14,3337;14,3133;14,3359;14,5867;0,194531;0,416566;0,184621;0,493872;
A0A131MB12;14,2304;15,7894;15,0189;14,8508;16,1254;17,9632;17,1751;16,2886;1,93992;0,00237148;-1,91569;-3,59147;+
A0A131MBA2;12,5497;12,0427;12,3137;12,7951;14,1363;13,1518;13,8659;13,9722;2,61781;0,000467449;-1,35624;-5,01712;+
A0A131MBB2;13,7891;14,413;14,9177;13,6723;14,3847;14,3445;13,9106;15,1405;0,262742;0,312705;-0,247062;-0,639568;
A0A131MBC3;15,9353;15,9125;15,6252;16,0664;16,7774;16,7127;16,4418;17,2602;2,48069;0,000539105;-0,913183;-4,70585;+
A0A131MBF9;14,6552;13,9765;15,2055;14,7292;16,5141;15,4188;16,4522;16,2065;2,25417;0,000963542;-1,50632;-4,21864;+
A0A131MBG0;12,9838;12,6423;11,8547;11,9026;13,5358;13,4215;13,2232;14,8229;1,65813;0,00477618;-1,40498;-3,06893;+
A0A131MBG4;12,5637;13,6647;13,638;15,4934;14,8901;15,7108;16,5247;16,4126;1,53942;0,00677717;-2,04461;-2,85795;+
A0A131MBU3;19,3032;18,6666;18,8452;19,1423;19,3271;19,0947;19,2671;20,1542;0,856903;0,0445297;-0,471431;-1,70526;+
A0A131MCJ0;12,5327;12,146;11,8592;12,3906;14,3632;13,6236;14,3735;14,8436;3,40042;0;-2,06887;-7,08134;+
A0A131MCL1;12,4841;12,438;12,2738;12,7496;14,4646;14,27;14,2207;14,8722;4,49057;0;-1,97046;-11,072;+
A0A131MCL4;12,5758;12,0228;12,2221;12,657;14,4552;14,3986;13,9343;14,5848;4,13365;0;-1,97376;-9,58974;+
A0A163UT65;14,7328;14,5548;14,5467;15,3431;14,5057;14,1558;14,4594;15,0856;0,394004;0,188571;0,242714;0,898279;
A0A164D380;14,9593;15,0688;14,8847;14,875;16,0316;16,81;15,7661;15,8938;2,58227;0,000477737;-1,17848;-4,93517;+
A0A164D3C9;13,0764;11,5576;14,0873;14,0232;13,8158;13,5077;14,4739;14,054;0,585422;0,0998979;-0,776714;-1,24438;
A0A164D3G3;14,9299;14,6095;14,5956;14,2408;15,9003;15,0766;15,7207;16,1953;2,19703;0,00121299;-1,1293;-4,10064;+
A0A168H9Z7;15,1687;14,3471;14,4985;14,8781;16,7321;16,7146;16,8607;17,0371;4,37096;0;-2,11303;-10,5536;+
A0A1C3NSI5;14,5779;13,0921;12,9828;14,2392;14,3364;14,0395;14,216;15,0928;0,736266;0,0637542;-0,698162;-1,50295;
A0A1C3NSL1;12,0427;12,1788;12,2816;12,5187;14,1897;13,9917;13,9553;15,072;3,47266;0;-2,04669;-7,3007;+
A0A1C3NSL5;18,1896;17,836;18,1577;18,1301;19,361;19,3437;19,3241;20,1146;3,35705;0;-1,45749;-6,95227;+
A0A1D3PCL0;12,5083;12,0778;12,1917;12,7921;14,325;14,3164;14,4535;14,7686;4,4169;0;-2,0734;-10,7501;+
A0A1D3PCL8;15,8793;15,3042;15,3884;16,0928;16,6155;15,1614;16,2159;17,5791;0,650766;0,0822317;-0,726805;-1,35743;
A0A1I6CM73;14,075;14,7573;13,61;15,2156;14,4782;14,1286;14,43;14,6104;0,00237585;0,990226;0,00263977;0,00712732;
A0A1I6CM84;14,5529;14,9108;15,0863;12,9694;16,2014;16,6957;17,0625;17,522;2,36885;0,000743281;-2,49055;-4,46129;+
A0A1I6CM85;14,7717;14,7973;13,9239;13,8926;15,5354;16,2973;16,397;17,2766;2,45299;0,000660232;-2,03021;-4,64452;+
A0A1I6CM94;12,3988;11,8428;12,335;12,7745;14,0845;14,3953;14,0122;14,7374;3,62478;0;-1,96956;-7,78105;+
A0A1I6CM95;12,8533;13,2564;13,5538;13,5393;17,1363;16,0308;17,3242;18,1571;3,76992;0;-3,8614;-8,26394;+
A0A1I6CMC9;11,8997;12,0767;12,3249;12,6361;14,2976;14,1019;14,2455;15,0564;3,74943;0;-2,19099;-8,19424;+
A0A1N7SYP3;19,1162;19,7155;19,0447;19,7817;21,0819;20,3173;21,0967;21,7864;2,44866;0,000683349;-1,65603;-4,63499;+
A0A1N7SYP6;17,9479;18,6287;18,6657;18,5;17,3957;17,3569;17,3764;18,6601;1,05933;0,0253038;0,738328;2,04177;+
A0A1N7SYQ5;14,3938;16,0699;16,2536;14,9752;17,6128;16,3803;16,2;15,7966;0,922661;0,0371097;-1,07429;-1,81471;+
A0A1N7SYT2;14,7335;15,1038;14,2772;15,059;14,4444;14,4314;14,475;14,9247;0,447724;0,156296;0,224482;0,998298;
A0A1N7SYU2;12,0976;12,594;11,8982;12,6167;14,3312;15,4872;15,4595;16,0877;3,51839;0;-3,03977;-7,44245;+
A0A1N7SYW5;16,9676;12,6693;15,2697;15,0502;14,3564;14,2042;14,4094;15,0269;0,217015;0,378776;0,489988;0,542972;
A0A1T5HUK0;15,4401;14,7199;14,8632;15,5447;14,4648;14,4094;14,1878;13,6447;1,87746;0,00271632;0,965295;3,47272;+
A0A9S0;15,0545;14,4322;13,3283;15,5359;14,2362;14,423;14,1566;15,1419;0,0664044;0,744986;0,0982692;0,18648;
A0A9S2;13,4022;13,7541;13,7528;13,0202;14,1664;13,6575;14,7004;14,2198;1,36282;0,0108743;-0,703716;-2,55208;+
A2V8C3;17,5558;17,8404;18,4754;18,2763;17,8589;18,5957;19,0153;19,1432;0,871029;0,0427165;-0,616322;-1,7288;+
A2V8C8;18,1007;18,3741;18,7573;18,4946;19,7232;19,0382;19,4349;19,5799;2,62796;0,000438238;-1,01239;-5,04067;+
A3FPJ3;16,8309;16,4265;16,4289;16,2402;14,0299;13,6734;14,1505;14,6029;4,3229;0;2,36745;10,3516;+
A3FPK9;16,0783;16,9299;16,5809;15,2911;14,142;14,4011;14,2462;14,9528;2,37545;0,000744661;1,78456;4,47551;+
A3FPL3;12,546;11,825;12,2593;12,6475;14,3041;14,38;14,4774;14,8269;4,24122;0;-2,17763;-10,0164;+
A3QM97;12,3462;12,1309;12,0702;12,702;16,0608;15,1779;15,6514;15,8142;5,14265;0;-3,36377;-14,3392;+
A3QM98;15,1857;14,0047;15,1862;15,6949;18,6385;18,8246;19,4709;19,2545;4,21679;0;-4,02923;-9,91798;+
A3QMB6;12,5654;12,0116;12,3039;12,7241;14,2271;14,3903;14,249;14,3717;4,65208;0;-1,90828;-11,8093;+
A3QMB7;14,1514;14,0329;14,5125;14,6115;15,253;15,5304;15,5021;18,6603;1,22715;0,0159675;-1,90938;-2,32218;+
A3QMC2;15,1013;15,2668;15,0298;15,087;15,4008;15,534;15,8288;16,2848;1,71229;0,00410778;-0,64085;-3,16686;+
A3QMC5;17,1815;18,1909;17,3123;18,0959;17,3861;17,2681;16,3446;18,1643;0,388972;0,191896;0,404414;0,888763;
A3QMC6;16,0579;15,7364;15,3049;16,6432;15,7318;15,4876;15,4696;16,0848;0,3252;0,244502;0,24213;0,765623;
A3QMC8;14,044;14,2656;14,3359;13,2588;14,2674;13,8168;14,0557;14,0625;0,104019;0,627957;-0,0745025;-0,282557;
A4F303;12,4653;12,1923;12,3116;12,6824;14,2727;14,1395;14,314;14,919;4,1981;0;-1,99841;-9,84333;+
A4F305;13,4839;14,3274;14,8188;13,9572;14,4315;13,7603;14,3592;15,0578;0,271963;0,301022;-0,255371;-0,658574;
A4UVK2;14,9181;14,257;14,6569;15,2964;16,9396;16,6029;16,3646;17,5186;3,10555;6,22E-05;-2,07431;-6,2402;+
A4UVK9;12,4819;12,1352;12,344;12,8021;14,4169;14,4439;13,7384;14,8879;3,37747;0;-1,93099;-7,01281;+
A4UVL1;12,1066;12,1904;12,2786;12,7052;14,4628;14,4112;14,2741;14,84;4,71348;0;-2,1768;-12,1013;+
