Leading.proteins.Positions.within.proteins;log2 eat2_d10_01;log2 eat2_d10_02;log2 eat2_d10_03;log2 eat2_d10_04;log2 eat2_d1_01;log2 eat2_d1_02;log2 eat2_d1_03;log2 eat2_d1_04; -Log Student's T-test p-value eat2_d10_eat2_d1;Student's T-test q-value eat2_d10_eat2_d1; Student's T-test Difference eat2_d10_eat2_d1;Student's T-test Test statistic eat2_d10_eat2_d1;Sign p-val: 0.05 
A0A131MBQ6(32);23,0821;23,0649;23,9164;24,2107;22,5722;24,5823;25,1195;24,4063;0,427414;0,408714;-0,601552;-0,960804;
A0A131MCJ5(53);19,6342;20,8798;20,8945;20,8499;20,3938;20,5954;20,445;20,7507;0,0194702;0,954954;0,0183706;0,0573112;
A0A131MD51(18);22,2376;21,4953;21,898;21,6791;21,9222;22,6273;23,9803;23,7033;1,29813;0,0734678;-1,23078;-2,442;
O16293(195);21,883;19,9637;21,2698;21,1131;20,6063;19,3543;20,9579;20,2706;0,698619;0,233889;0,760139;1,43916;
O02147(540);23,2088;22,1552;23,2034;24,8589;22,3016;24,7085;25,9691;23,2469;0,298804;0,531997;-0,700005;-0,713088;
F3Y5Q3(84);20,5106;20,4482;21,1887;21,2719;20,7274;21,2712;21,8845;21,3061;0,661893;0,253052;-0,442427;-1,37651;
Q9N350(17);24,572;23,526;25,1125;20,0426;19,6511;20,5802;21,1492;20,5286;1,2752;0,0772623;2,836;2,40319;
Q9N350(179);24,3225;24,0131;23,8334;22,6783;20,1667;20,9368;21,2222;20,33;3,36464;0,00329032;3,04785;6,97472;+
A0A1N7SYR3(844);21,9554;20,7005;21,2447;21,1244;19,2409;21,6692;20,9466;20,7021;0,491206;0,358125;0,616566;1,07741;
A1IMB7(151);22,3304;21,6851;23,3765;20,1465;21,5437;22,0336;22,2475;23,2573;0,198972;0,652624;-0,385883;-0,503661;
A3QMB7(63);21,8719;19,609;20,6555;20,5194;19,7862;20,3313;21,4998;21,0685;0,00417534;0,989374;-0,007514;-0,0125;
J7SF86(65);19,806;19,4739;20,628;19,5981;20,2106;20,7925;21,2625;21,3095;1,50078;0,0486345;-1,01728;-2,79028;+
U4PRJ1(143);21,5834;20,6769;19,9835;20,86;20,1385;21,0131;18,542;21,257;0,328832;0,502549;0,538276;0,772774;
A5JYX4(101);21,6294;22,8169;21,5663;24,8026;23,1305;23,9312;23,8744;22,6587;0,3693;0,461206;-0,69489;-0,851297;
A5JYX4(81);25,3725;25,0324;24,7491;25,1401;22,0736;23,9466;24,1974;23,8034;1,69187;0,0338348;1,56832;3,1298;+
A5JYX4(77);20,8163;21,0768;21,1777;21,5562;19,8675;20,7706;20,9515;20,5536;1,15333;0,0960844;0,62091;2,19844;
A5JYX4(130);19,8254;20,2988;21,3845;20,4238;22,1988;22,4953;21,5202;22,1974;2,23998;0,0133061;-1,61983;-4,18916;+
A5JYX4(131);20,5262;21,2221;21,5318;19,8052;22,1074;22,4953;21,5202;23,1808;1,61725;0,0391556;-1,55459;-2,99574;+
A5PEY0(153);25,1976;23,7598;25,1641;22,4747;20,9131;21,3883;20,6974;20,9538;2,49606;0,00960615;3,16091;4,74009;+
I2HA81(362);25,8246;25,8714;27,0083;25,9346;22,8822;27,0794;27,0144;26,7743;0,0752828;0,838487;0,222125;0,209691;
A5Z2W7(48);24,6619;24,5041;23,8225;20,9875;20,7838;21,5025;21,4989;21,2999;1,36152;0,0637078;2,22272;2,54985;
A5Z2W7(56);24,5632;25,1548;24,4441;20,8372;19,3226;20,2489;21,1835;20,6749;1,73171;0,0313938;3,39234;3,20223;+
A6PVA5(9);22,4739;20,8005;21,6686;24,5479;23,262;23,2864;21,0682;22,9927;0,107279;0,786537;-0,279615;-0,290619;
Q20621(425);26,0135;25,5235;25,7943;21,1307;23,2634;22,6777;22,0148;21,3952;0,941238;0,143595;2,27773;1,84559;
A7DT41(137);20,9843;20,4114;19,2772;19,7172;18,8158;21,5728;21,7393;21,1376;0,408716;0,426474;-0,718836;-0,925949;
A7DT41(240);21,2109;21,1785;21,7718;19,4215;20,3176;21,194;20,477;20,8339;0,130931;0,753116;0,190024;0,348002;
A7DT41(165);21,0691;21,0397;18,0407;20,128;23,8283;24,7014;25,0748;23,9268;2,85421;0,00575051;-4,31347;-5,58591;+
A7DT41(223);20,9703;21,2433;20,2388;20,764;20,5484;21,5432;21,2107;20,8539;0,330439;0,50087;-0,234966;-0,775931;
A7DT41(158);20,9853;20,5556;19,6077;20,4815;24,615;23,7201;24,2872;23,7657;4,29644;0,00186364;-3,68949;-10,2419;+
A7DT41(262);20,6182;21,3027;21,5734;20,5954;24,0827;23,2516;23,8585;22,1429;2,44702;0,00997926;-2,31154;-4,63137;+
Q9XWW2(238);21,5353;21,0868;20,6244;20,2584;20,7063;21,5031;21,8584;20,2812;0,180931;0,67726;-0,211019;-0,463596;
Q9XWW2(276);20,5101;21,3649;19,961;19,6619;19,1112;21,2878;21,6913;21,2726;0,278449;0,555242;-0,46625;-0,671854;
A7LPD6(582);20,99;20,6424;20,0063;21,5853;20,7658;20,7158;20,6376;20,3455;0,221708;0,622656;0,18982;0,553079;
A7LPD6(545);24,1857;24,8905;25,0602;28,2262;20,8353;20,6443;20,6382;21,3902;2,67299;0,00742254;4,71365;5,14611;+
A7LPE6(329);21,4304;20,3817;21,5546;19,9708;20,5485;21,0322;21,4446;20,9136;0,131146;0,753639;-0,150362;-0,348516;
Q5FC71(99);20,7822;21,4339;21,8781;19,5548;20,8513;21,8524;21,4673;19,8916;0,0550321;0,878853;-0,103422;-0,156219;
Q5FC71(87);21,4626;20,0995;21,0815;20,7424;20,0685;21,6842;20,4942;19,9995;0,237564;0,600995;0,284887;0,586888;
Q5FC71(50);27,8768;27,0131;26,4436;27,0602;26,5943;28,3036;28,7584;26,3827;0,251651;0,583395;-0,411297;-0,616507;
Q5FC71(63);27,6564;26,5632;27,0377;25,0677;24,122;24,0926;24,8296;27,9515;0,585773;0,297541;1,33231;1,24499;
Q5FC71(64);33,3555;33,4188;33,6814;28,1987;29,3594;31,1211;30,7817;29,4716;0,685428;0,240223;1,98017;1,41671;
Q5FC71(74);24,2607;23,9958;24,6922;27,0456;21,0924;21,1527;21,2322;20,7167;2,85608;0,00565914;3,95008;5,59058;+
A8WFH7(312);25,0506;25,2506;24,5741;21,1438;23,4759;23,0125;22,4648;22,8125;0,491195;0,357949;1,06336;1,07739;
A8WFH7(313);25,379;25,1923;26,3474;23,1536;20,7436;20,9297;21,8716;21,0238;2,78389;0,00611395;3,87589;5,41224;+
A8WFH7(322);24,3052;24,029;24,2603;23,6969;20,3805;22,665;24,4235;21,918;1,05083;0,116852;1,7261;2,02763;
H2KYH9(63);21,5225;21,0172;20,8943;20,5508;20,1333;20,809;20,2668;20,3764;1,27973;0,076641;0,599839;2,41084;
A8WHP8(79);23,025;25,3287;22,4559;24,5313;23,8438;22,9258;22,5875;22,9949;0,473491;0,370302;0,747182;1,04536;
A8WHP8(57);21,2604;21,5089;21,1721;21,0287;20,588;21,3695;21,0452;21,043;0,570644;0,307235;0,23109;1,21853;
A8WHP8(68);21,7246;21,272;21,3048;20,635;19,6432;21,2902;21,5098;20,3485;0,503853;0,349722;0,53618;1,10015;
A8WHP8(347);21,8548;21,3014;21,8023;21,4422;20,2697;21,5125;21,7887;21,1808;0,534524;0,328508;0,412288;1,15485;
A8WHP8(348);22,8721;21,7956;23,8906;22,2759;20,8158;21,1233;21,6061;21,1029;1,74189;0,0308915;1,54655;3,22084;+
A8WHP8(181);20,5827;19,1302;20,1471;21,2666;20,7415;20,7206;21,8826;21,3949;0,859825;0,169745;-0,903263;-1,71013;
A8WHP8(154);20,0063;20,9434;21,6443;19,7249;21,4412;22,6873;22,6751;20,7767;1,05468;0,116512;-1,31535;-2,03403;
A8WHP8(295);23,6495;23,3839;23,9651;23,4029;21,4907;21,462;20,2302;20,822;3,66046;0,00307143;2,59913;7,89748;+
A8WHP8(297);22,4982;22,8863;22,7306;20,3378;23,114;23,335;21,5291;23,5152;0,455221;0,384749;-0,760111;-1,01205;
A8WHP8(218);21,7567;20,974;21,275;21,41;20,9978;21,1914;21,0732;20,3696;0,924997;0,148785;0,445914;1,8186;
A9UJN7(555);21,6307;21,1563;21,0618;19,4438;20,3034;21,7889;20,2967;20,51;0,0583683;0,87202;0,0984282;0,16516;
A9UJN7(562);21,7606;21,2241;20,6012;21,0253;20,2461;21,3017;21,539;21,0835;0,110175;0,782423;0,110228;0,297749;
A9UJP1(38);20,8337;20,2516;21,7994;21,1831;19,0972;21,5018;21,4749;20,4262;0,243687;0,593234;0,391938;0,599809;
A9UJP1(71);21,6074;19,6301;21,3168;19,7908;20,7754;21,2796;21,4993;21,2506;0,534508;0,32834;-0,614911;-1,15483;
A9UJP1(57);25,4615;25,1134;25,633;27,1141;22,3508;24,0385;24,6726;22,9248;1,83882;0,0261385;2,33383;3,40012;+
A9UJP1(73);25,1295;24,9643;25,4021;23,0182;23,7969;24,428;24,7722;23,5462;0,344738;0,487038;0,492721;0,803884;
A9Z1K9(338);20,5842;20,7323;21,317;20,6205;20,1415;21,4402;21,3336;21,2091;0,258148;0,575744;-0,217637;-0,630043;
B0M0L8(154);20,6987;20,7027;20,309;20,7099;22,2206;23,0069;22,2746;22,6231;4,06007;0,0021194;-1,92622;-9,30738;+
B0M0L8(179);24,7927;25,2357;25,4779;26,086;24,9529;25,1135;25,0916;24,3269;0,800792;0,192604;0,526845;1,61148;
B0M0L8(35);20,7058;19,7031;21,8011;20,5861;20,304;21,0669;20,6657;18,9223;0,304402;0,525366;0,459277;0,724314;
B0M0L8(98);25,474;25,5772;24,6546;21,5552;22,9874;23,8159;23,6436;23,136;0,423941;0,411139;0,919543;0,954355;
B0M0N4(102);24,719;24,5634;24,7246;22,1008;18,7555;21,9056;20,2279;20,4692;2,1715;0,0148141;3,6874;4,04851;+
B0M0N4(3);24,0699;24,1641;24,3997;24,0027;24,3454;23,7015;23,1392;21,4984;0,796661;0,193876;0,988;1,60456;
B0M0N4(88);21,4247;20,8739;19,8761;21,0103;20,7754;21,5527;21,8158;19,9556;0,165741;0,69722;-0,228584;-0,429222;
B2D6M4(494);27,6832;26,0726;27,0805;26,0872;24,9244;27,366;27,1777;25,6319;0,262155;0,571191;0,455867;0,638353;
B2D6M4(499);21,6725;20,2733;21,1519;20,2451;24,984;24,3233;25,3258;24,4813;4,08955;0,00220155;-3,94288;-9,41962;+
B2D6P1(119);21,5443;20,3561;21,313;19,9066;20,5095;21,199;20,8649;20,7348;0,0393911;0,91335;-0,047051;-0,113561;
B2D6P1(97);21,9892;19,6764;21,8147;21,0431;20,0498;21,5581;20,7946;20,5847;0,256737;0,578064;0,384031;0,62711;
B3CKG1(24);25,6141;23,7333;24,3491;24,1618;19,3419;21,7821;20,0069;20,6851;3,04728;0,00485024;4,01058;6,08364;+
B3WFT8(10);23,7266;24,2193;24,2031;23,4053;24,8013;23,49;23,5209;23,1971;0,125026;0,758729;0,136261;0,333855;
E1B6S9(25);20,866;18,9558;20,9479;20,9911;20,5692;21,8788;20,6257;19,418;0,0945429;0,806844;-0,182727;-0,258891;
G5EC65(1032);21,7818;21,4303;21,2461;21,3108;20,4316;20,9295;20,2328;21,3291;1,3845;0,0603846;0,711501;2,58918;
B3WFW7(70);21,5579;22,4365;23,8335;22,577;21,7908;21,7776;21,8369;19,7096;0,963744;0,136513;1,3225;1,88297;
B3WFY5(28);23,8415;24,5537;24,4146;25,4662;20,2881;21,8965;21,6186;20,5289;3,27136;0,00343902;3,48599;6,70279;+
B3WFY5(29);24,9195;23,0552;21,5764;24,172;21,9412;22,5069;22,4384;23,249;0,535435;0,328215;0,896921;1,15647;
B3WFY5(30);19,7482;18,4664;21,4804;21,3404;23,5732;23,558;23,4256;22,1002;1,96358;0,0215755;-2,90539;-3,63692;+
B5BM23(908);24,0766;24,3701;23,9299;24,6628;19,7499;21,7201;21,2273;19,1894;3,05743;0,00479218;3,7882;6,11069;+
B5U8N2(48);21,4913;21,2821;20,7489;20,5406;20,3902;21,6241;21,5243;21,2768;0,208731;0,639965;-0,188125;-0,525014;
B5U8N2(360);20,4145;20,9176;21,7405;20,0991;20,2006;21,8813;21,6502;21,3221;0,400761;0,43233;-0,470632;-0,911015;
B5U8N2(491);22,4338;22,3162;23,341;22,5443;20,9247;22,208;23,6637;22,5598;0,20833;0,640018;0,3198;0,524142;
B6VQ78(562);23,5396;24,0538;24,027;24,4733;20,7402;21,5127;21,0615;19,8414;3,70749;0,00257005;3,23452;8,05319;+
B6VQ78(569);24,0253;24,1954;23,8341;24,7094;20,565;21,215;19,9568;20,3054;4,54305;0,00252308;3,6805;11,3068;+
B6VQ78(172);21,642;20,6649;19,8164;20,3838;20,8063;21,7547;21,7957;19,9784;0,33824;0,493721;-0,457022;-0,791214;
B6VQ78(176);23,6822;23,377;23,6016;23,0704;20,1589;18,8541;20,92;20,1963;3,54772;0,00313178;3,4005;7,53453;+
D9PTN8(403);21,3977;21,2719;21,0537;21,2828;20,4975;21,8731;21,6907;20,9261;0,00473269;0,988506;0,00468826;0,0141596;
B7WN71(239);23,5192;22,6347;24,6094;23,4524;20,5753;21,8538;21,7585;20,5651;2,33036;0,0116931;2,3658;4,37896;+
B7WN95(52);21,6393;20,813;19,4023;21,1742;22,1949;23,4438;24,3243;23,0751;2,06184;0,018208;-2,50233;-3,82864;+
B7WNA1(64);21,2993;19,6165;20,9416;20,8479;25,9612;24,5155;26,1278;23,7499;3,19067;0,00421591;-4,41224;-6,47444;+
B9ZSG9(872);21,1978;21,8127;22,4531;23,278;19,8703;21,3079;21,6396;20,3982;1,20774;0,0870278;1,38141;2,28957;
C1P636(683);20,779;21,0683;20,7227;21,02;24,3829;27,3911;27,7469;24,7838;2,98962;0,00511818;-5,17863;-5,93169;+
C1P636(727);21,7447;20,9783;21,5709;20,5026;20,0767;20,7002;20,7928;20,7136;0,979206;0,132983;0,628317;1,90865;
C1P636(864);30,0731;29,2611;30,0036;27,1609;26,7961;29,2473;28,5872;27,7194;0,560828;0,313291;1,03716;1,2013;
C1P636(741);20,6949;21,4646;21,6526;21,297;20,095;21,0316;20,7677;21,2815;0,716209;0,227912;0,483295;1,46901;
C1P636(104);24,2267;23,6741;25,6649;25,6374;21,381;24,6498;24,5692;23,2222;0,71588;0,227949;1,34521;1,46846;
C6KRI9(366);21,7316;22,0649;22,6537;22,0835;23,4178;22,6652;22,4566;21,8489;0,57895;0,301489;-0,463706;-1,23308;
C6KRJ1(158);25,2667;24,4006;24,3994;21,1837;20,6147;24,5905;24,5901;23,698;0,12634;0,757803;0,439338;0,337013;
C6KRJ1(190);20,9254;21,2201;20,9721;21,3205;20,6628;21,0369;20,9473;20,4694;1,06045;0,115439;0,330442;2,04363;
C6KRL2(4);21,3642;20,8587;21,6605;21,4991;20,8262;20,981;21,7895;20,1363;0,493968;0,356574;0,412416;1,08239;
C6KRL2(14);21,518;20,5641;20,9167;19,0885;22,9168;23,8624;23,4076;23,9452;2,73623;0,00667412;-3,01119;-5,29673;+
C6KRL2(18);20,9206;20,205;20,5774;20,9269;20,2009;21,6174;21,8525;20,0957;0,233213;0,606988;-0,284147;-0,577661;
C6KRN1(3);21,484;21,5206;21,2411;20,3934;23,1583;24,5248;25,9561;23,2362;2,30018;0,0120426;-3,05908;-4,31504;+
C6KRN1(24);21,796;20,2897;20,8251;20,2123;22,1506;23,3214;24,4259;21,7815;1,64595;0,0371091;-2,13908;-3,04707;+
C7GIK1(69);24,5533;24,9669;24,442;23,6684;23,3502;23,4996;22,6015;23,7689;1,61412;0,0393606;1,10258;2,99015;+
D0IMZ5(2153);20,4063;20,9288;21,6402;21,1567;20,9014;21,698;19,3266;20,3338;0,360741;0,470451;0,468047;0,834859;
D0IMZ5(269);21,5125;20,0789;20,6525;19,8493;19,5755;21,3665;21,3168;19,8443;0,00135586;0,996237;-0,00245094;-0,00407221;
D0PV95(599);21,3794;21,5366;20,5142;21,3843;19,336;21,5063;21,0711;20,7198;0,471232;0,371845;0,545327;1,04125;
D0Z5P0(53);20,4903;20,513;20,9884;20,1689;20,5128;21,7192;21,6914;19,8671;0,361618;0,469813;-0,407462;-0,836546;
D0Z5P0(541);18,7222;20,8157;21,0419;20,9418;20,1461;21,3154;21,7611;20,5787;0,373973;0,456431;-0,569934;-0,860236;
D0Z5P0(470);21,6657;20,9494;20,5703;20,7088;20,8005;23,2358;22,5839;23,7822;1,24365;0,0815951;-1,62705;-2,34995;
Q22832(234);25,4476;24,7667;25,5468;27,4295;23,0661;24,3663;23,8804;23,8569;1,71794;0,0320346;2,00524;3,17714;+
Q22832(235);20,76;19,8659;20,4732;20,4041;20,4505;20,5782;21,5406;21,0552;0,858125;0,17031;-0,53033;-1,7073;
Q22832(492);24,0034;23,9793;23,6716;23,3197;22,5459;25,5605;25,091;24,0634;0,359708;0,470958;-0,571712;-0,832868;
Q8WQB8(183);21,8786;19,1683;20,8092;20,9791;20,2351;19,5339;19,8739;19,2225;0,817661;0,186235;0,992453;1,63972;
D3NQB5(149);25,1644;24,8759;24,9416;23,4658;19,1156;21,4079;20,5093;21,0382;3,18396;0,00415686;4,09416;6,45572;+
D3YT77(49);21,9817;20,6194;21,2085;20,0378;26,9154;24,1033;23,6747;25,4848;2,54179;0,00861392;-4,08272;-4,84294;+
D3YT77(57);21,9037;19,8792;20,6222;20,1827;20,6808;21,1046;21,0922;20,269;0,10551;0,789105;-0,13971;-0,286248;
D4YWC3(77);20,4978;17,9466;19,3766;21,2841;20,5166;21,2539;21,2144;20,885;0,793685;0,195025;-1,19118;-1,59957;
D4YWC3(78);21,9399;20,4445;21,6109;23,8536;22,4424;22,9434;21,4398;21,4046;0,0412352;0,908727;-0,0953283;-0,118656;
D4YWC3(41);20,8252;19,3187;20,7424;20,6136;22,8801;23,3068;27,7911;25,1851;2,02868;0,0192189;-4,41578;-3,76342;+
D4YWC3(51);24,0414;23,2599;23,3684;23,8516;23,5754;24,7777;25,0008;23,6026;0,700156;0,233759;-0,608807;-1,44177;
D4YWC3(59);23,9589;24,9347;24,7792;24,7218;26,1208;25,6806;26,0864;27,6045;2,01293;0,0200801;-1,77441;-3,73262;+
