ProteinAccessions;log2 N2_d5_01;log2 N2_d5_02;log2 N2_d5_03;log2 N2_d5_04;log2 N2_d1_01;log2 N2_d1_02;log2 N2_d1_03;log2 N2_d1_04; -Log Student's T-test p-value N2_d5_N2_d1;Student's T-test q-value N2_d5_N2_d1; Student's T-test Difference N2_d5_N2_d1;Student's T-test Test statistic N2_d5_N2_d1;Sign p-val: 0.05 
A0A0K3AR63;14,585;14,0713;13,2523;14,1532;13,4251;13,116;13,6714;13,4711;1,01943;0,0591637;0,594585;1,97546;
A0A0K3ARA8;11,412;11,2337;10,9874;11,7267;12,4847;13,4082;13,6087;12,207;2,25292;0,00489033;-1,5872;-4,21604;+
A0A0K3ARC0;15,1948;14,4688;14,6904;15,4279;13,6743;13,3467;13,5871;14,0535;2,53276;0,00295988;1,28014;4,82253;+
A0A0K3ARE1;11,3677;11,1951;11,1271;11,6101;13,0836;13,5281;13,015;11,7589;2,074;0,00653505;-1,52141;-3,85272;+
A0A0K3ARF3;14,5409;15,7414;14,0072;14,7912;15,027;15,1476;15,1867;14,9605;0,366941;0,308124;-0,310307;-0,846775;
A0A0K3ARJ1;13,2709;14,0571;14,3065;13,1438;12,4808;10,997;11,3155;6,29544;1,3066;0,0307104;3,4224;2,45636;+
A0A0K3ARM6;13,3327;12,299;12,7186;13,5858;14,6164;14,6201;14,8182;14,7393;2,93467;0,00177914;-1,71446;-5,78952;+
A0A0K3ARN9;11,4711;11,1696;10,8206;11,7053;13,6227;12,8805;13,0266;15,548;2,07331;0,00653123;-2,4778;-3,85135;+
A0A0K3ARX5;11,4521;11,2233;11,1725;11,7425;11,3098;11,7244;11,9371;12,1402;0,870193;0,0846927;-0,380262;-1,72741;
A0A0K3AS68;17,0121;16,1905;15,7812;16,2351;16,8521;17,5528;17,5296;17,0168;1,61006;0,0158281;-0,933095;-2,98293;+
A0A0K3ASB9;15,9078;15,5024;15,404;15,9773;15,126;15,0707;14,7736;14,886;2,3625;0,00439468;0,733823;4,44764;+
A0A0K3ASG4;13,0441;13,3419;14,657;14,036;14,4632;13,9384;14,0462;14,235;0,479823;0,225562;-0,40091;-1,05684;
A0A0K3ASH2;19,056;18,863;18,8798;18,9224;17,6745;18,587;18,0588;17,8006;2,31809;0,00452304;0,900038;4,3529;+
A0A0K3ASH9;13,0729;14,5398;14,8538;14,1061;14,7622;15,344;15,3902;15,3831;1,37928;0,0260656;-1,07671;-2,58023;+
A0A0K3ASM2;11,2309;10,7954;11,1403;11,687;13,5598;12,8471;12,2454;12,3073;2,28776;0,00470651;-1,52648;-4,28889;+
A0A0K3AT36;15,7234;15,4259;16,9355;15,7449;16,1005;16,2428;15,4881;15,338;0,157798;0,578637;0,165084;0,411001;
A0A0K3ATC0;16,5062;16,1452;16,3245;17,1621;14,8463;13,869;14,1361;14,6965;3,27463;0,00123989;2,14754;6,71218;+
A0A0K3ATS1;21,9299;22,0167;22,0209;21,2885;21,6604;21,8609;21,7249;21,1096;0,411607;0,271515;0,22506;0,93136;
A0A0K3AUD2;8,93078;11,0402;10,6452;16,142;11,6595;11,537;11,9189;12,0689;0,0233262;0,919211;-0,106523;-0,0683781;
A0A0K3AUJ9;22,0854;22,1847;21,9447;21,9577;20,93;21,236;21,3004;21,2097;3,91311;0,000511211;0,874082;8,76535;+
A0A0K3AUW2;15,3243;14,7986;14,6742;15,1245;14,3853;14,2042;13,9326;13,8015;2,39936;0,00401145;0,899523;4,5272;+
A0A0K3AUZ7;11,7395;13,5955;13,2878;12,1785;13,3518;13,2695;13,1939;13,5251;0,686573;0,131764;-0,634754;-1,41866;
A0A0K3AVA9;11,2685;11,0428;11,2468;11,4639;12,3253;12,373;12,634;12,7489;4,10415;0,000612903;-1,26478;-9,47562;+
A0A0K3AVL7;12,9627;13,0532;12,2852;14,8411;12,1389;13,0892;12,9022;12,4945;0,489297;0,220498;0,62931;1,07397;
A0A0K3AVS5;19,1224;19,493;18,9658;18,9728;18,7358;18,3593;18,3323;18,1816;2,29852;0,00465863;0,736212;4,31154;+
A0A0K3AVV4;15,1187;14,4887;14,6688;14,6374;15,4472;15,5818;15,5373;15,2916;2,56661;0,0028684;-0,736097;-4,89937;+
A0A0K3AW68;13,731;13,7747;12,2415;11,2462;14,6172;14,4394;14,1656;14,5566;1,46289;0,0219499;-1,69635;-2,72434;+
A0A0K3AW96;16,3907;16,6015;16,3384;16,6967;15,8547;15,4755;15,7544;15,8749;3,06139;0,00159193;0,766973;6,12127;+
A0A0K3AXM4;16,5878;15,9716;15,9966;16,4598;13,4761;13,7285;14,4;13,8321;4,11976;0,000528926;2,39479;9,53586;+
A0A0K3AY44;11,3308;11,1458;11,2457;11,7057;9,92087;9,83609;9,95917;9,86356;4,62129;0,000157635;1,46207;11,6653;+
A0A0K3AY85;12,3575;12,1928;12,7751;11,9676;12,6669;12,4196;12,6057;13,0438;0,84059;0,0905525;-0,360735;-1,67804;
A0A0K3AYJ1;16,4699;15,8699;15,9315;16,8144;17,7451;17,5708;17,6705;17,9189;3,06505;0,0015973;-1,45492;-6,13106;+
A0A0M7REP5;17,5753;17,0789;17,0426;17,1917;14,5273;14,1672;14,347;14,7562;5,39277;0;2,77269;15,8189;+
A0A0S4XR31;15,5425;14,8938;14,7866;15,2415;14,9621;15,0611;14,9681;14,9841;0,294375;0,379378;0,12227;0,704172;
A0A0S4XR36;10,9007;10,8419;12,2295;12,4937;12,4933;13,1581;12,2734;13,0165;1,22679;0,0368106;-1,1189;-2,32157;+
A0A0S4XR43;15,0733;14,9261;14,6607;14,2776;14,9522;15,1393;15,5796;15,0925;1,07358;0,0520477;-0,456473;-2,06547;
A0A0S4XR45;13,9227;14,4907;14,8008;14,4837;12,7519;13,8253;12,2326;13,9428;1,46013;0,0220636;1,23634;2,71956;+
A0A0S4XR68;14,6301;13,4505;13,9936;14,9059;14,0498;13,1419;13,5994;13,9626;0,699329;0,128214;0,556592;1,44037;
A0A0T7CIX3;13,2114;12,9299;12,1103;13,2928;13,4302;13,4341;13,3097;13,2551;0,866573;0,0851094;-0,47114;-1,72138;
A0A0U1RML5;16,7445;16,7038;16,0956;16,2426;11,8545;11,9899;12,216;13,436;4,30133;0,000528053;4,07255;10,2621;+
A0A131MAU8;13,6279;13,9799;13,589;9,34186;13,6684;13,1754;13,0629;13,1592;0,22936;0,457481;-0,631823;-0,56946;
A0A131MB12;13,9809;14,3527;13,3982;15,0507;13,7149;13,1534;13,8904;13,247;0,903163;0,0782955;0,694227;1,78229;
A0A131MBA2;11,2987;11,1394;11,1731;11,6731;10,424;11,9341;11,8484;10,5638;0,112694;0,669242;0,128509;0,303929;
A0A131MBB2;14,1217;13,6942;13,6335;14,0711;14,6643;14,6948;14,526;14,4845;2,7113;0,0021338;-0,712253;-5,23699;+
A0A131MBC3;15,0082;14,5885;14,3784;14,6979;14,8529;15,4464;15,6012;15,3167;1,65226;0,0143593;-0,636052;-3,05838;+
A0A131MBF9;13,9174;13,882;13,8402;13,8063;14,2464;13,7576;13,8201;13,4258;0,106135;0,684886;0,0489998;0,287795;
A0A131MBG0;13,4709;13,1394;12,7689;13,7489;12,2107;11,89;11,9915;12,3855;2,55148;0,00296412;1,1626;4,86492;+
A0A131MBG4;13,9775;12,4984;13,5548;13,8286;12,7863;13,1092;13,2238;13,7984;0,241905;0,441707;0,235415;0,596055;
A0A131MBU3;18,4456;18,298;18,1992;18,5686;18,4433;18,1981;17,9343;17,8635;0,868962;0,084769;0,268092;1,72536;
A0A131MCJ0;14,3326;3,91271;14,0929;11,5426;12,9254;14,2495;14,251;12,7808;0,473586;0,229396;-2,58148;-1,04553;
A0A131MCL1;11,3367;11,033;11,168;11,5541;9,88843;9,835;9,84919;9,97705;4,66141;0;1,38555;11,8532;+
A0A131MCL4;15,0588;15,0866;13,8978;15,6883;12,188;12,711;12,9452;12,8769;2,80819;0,00188561;2,2526;5,4718;+
A0A163UT65;15,0343;15,2846;15,3123;15,0999;15,0334;15,1715;15,2211;14,8428;0,482736;0,224241;0,115592;1,06212;
A0A164D380;14,2654;13,9874;14,3445;14,9511;14,4735;14,6009;14,4625;14,6856;0,34407;0,330259;-0,168495;-0,802583;
A0A164D3C9;11,3622;11,0841;11,056;11,5117;13,1808;13,1618;12,5421;13,1831;4,01459;0,000560197;-1,76349;-9,13657;+
A0A164D3G3;15,5543;15,7114;15,2037;15,1199;14,3137;13,6219;13,703;14,5507;2,62703;0,00237705;1,35003;5,03853;+
A0A168H9Z7;13,9565;14,3631;14,313;14,4141;14,8457;14,5438;14,8722;15,1207;2,00284;0,00753415;-0,583913;-3,71294;+
A0A1C3NSI5;15,3575;16,0375;16,173;15,8722;14,6285;10,7644;12,3328;12,1037;2,21667;0,00514612;3,40272;4,14098;+
A0A1C3NSL1;11,255;11,1898;11,2619;11,715;11,6345;9,20727;9,73068;9,71515;1,2381;0,0356024;1,28354;2,3406;+
A0A1C3NSL5;18,137;18,0159;18,0333;18,2232;16,3825;16,3468;16,0183;16,3954;5,69768;0;1,8166;17,8214;+
A0A1D3PCL0;11,2682;10,9403;11,2586;11,656;12,5623;12,2601;12,5787;11,0992;1,17029;0,0413702;-0,84426;-2,22679;+
A0A1D3PCL8;14,6299;14,5406;14,5097;14,7324;14,9091;14,9139;14,7055;14,8083;1,77884;0,0110149;-0,231048;-3,28873;+
A0A1I6CM73;12,1926;14,3166;13,9831;12,2316;14,2645;13,5869;14,2285;15,5304;0,888213;0,0812268;-1,22157;-1,75742;
A0A1I6CM84;15,2715;16,0483;15,169;14,849;14,5842;14,6005;15,0498;14,4684;1,22141;0,0370242;0,658685;2,31253;+
A0A1I6CM85;12,2939;13,639;13,1443;13,0203;12,5361;12,4798;12,5641;13,2818;0,40481;0,276907;0,308923;0,918623;
A0A1I6CM94;11,2154;11,1904;11,1949;11,6971;12,3924;7,84233;13,0013;9,08838;0,239009;0,444922;0,743356;0,589943;
A0A1I6CM95;15,3208;14,5097;14,693;14,9303;13,255;13,2865;13,1384;13,2323;4,02868;0,000562963;1,63537;9,18917;+
A0A1I6CMC9;11,9964;12,6013;12,7059;12,2536;13,4095;12,62;12,8433;13,1659;1,39234;0,025434;-0,620363;-2,60263;+
A0A1N7SYP3;19,4632;20,1036;19,1478;19,1059;17,4039;16,9936;17,0356;17,4125;3,90307;0,000507795;2,24373;8,72933;+
A0A1N7SYP6;16,9735;17,242;16,8179;17,1523;17,153;16,7416;16,7568;17,3188;0,115994;0,662039;0,0538673;0,311987;
A0A1N7SYQ5;15,368;15,1084;15,3659;15,0904;16,1433;16,2131;16,1249;15,949;4,0181;0,000561576;-0,874418;-9,14965;+
A0A1N7SYT2;13,8988;14,717;14,2952;13,7935;11,1371;12,6871;12,2839;12,3774;2,67422;0,00221622;2,05473;5,14903;+
A0A1N7SYU2;10,7174;11,7878;11,4483;10,9196;12,1694;12,535;12,8624;11,5929;1,58022;0,0169681;-1,0717;-2,92994;+
A0A1N7SYW5;12,7073;13,758;14,0414;13,4339;13,0402;13,4013;13,6621;13,8394;0,00060748;0,99777;-0,000613213;-0,00182608;
A0A1T5HUK0;13,9815;12,2419;14,0954;13,9793;13,8559;14,9652;15,4026;14,352;0,980011;0,065739;-1,06938;-1,90998;
A0A9S0;13,5168;14,3793;14,0736;14,0231;14,4562;14,2971;14,4081;14,3763;1,10888;0,0474633;-0,386247;-2,12425;+
A0A9S2;13,7159;13,8113;12,9448;13,7027;13,6756;13,3228;13,189;13,3403;0,299832;0,372741;0,161765;0,715154;
A2V8C3;16,6593;16,2092;16,0935;16,572;15,3834;16,6743;16,1653;15,7346;0,599334;0,163377;0,394135;1,26861;
A2V8C8;17,6766;17,1523;17,0689;18,1387;16,0658;16,055;16,1323;15,6438;2,86832;0,00177132;1,53489;5,62124;+
A3FPJ3;12,0488;11,8308;12,0437;13,1728;12,2307;15,4786;14,18;12,9487;0,943901;0,0714243;-1,43548;-1,85001;
A3FPK9;15,3741;15,2588;14,908;15,0004;15,2377;15,9983;15,8902;15,3033;1,0968;0,0490071;-0,472075;-2,10412;+
A3FPL3;11,3481;11,0248;11,2461;11,6589;9,88784;9,90324;9,96685;9,98732;4,31703;0,000540541;1,38316;10,3272;+
A3QM97;11,411;11,2274;11,1961;11,6333;13,485;12,7277;13,3425;13,2982;4,10571;0,000616216;-1,84641;-9,48165;+
A3QM98;15,8591;16,851;15,5253;18,1874;14,9514;14,7604;13,5275;13,502;1,8354;0,0100643;2,42039;3,39373;+
A3QMB6;12,6418;13,3357;13,0564;13,4907;13,155;13,3144;12,8476;11,921;0,387521;0,290918;0,321642;0,886015;
A3QMB7;14,9245;13,3711;12,8346;12,8782;13,0762;12,5553;12,5452;12,9929;0,671787;0,136245;0,709753;1,39343;
A3QMC2;14,9792;14,5922;14,6963;14,9191;14,507;14,5696;14,5518;14,5812;1,40962;0,0243915;0,244297;2,63231;+
A3QMC5;17,6606;17,6059;17,3454;17,7866;19,574;20,0236;19,6242;19,5446;5,15184;0;-2,09199;-14,3912;+
A3QMC6;15,7521;14,6672;14,9154;15,4121;14,3086;13,6026;13,9195;14,2569;2,12829;0,00602171;1,16482;3,96109;+
A3QMC8;14,3896;13,9228;14,0622;14,2881;13,6554;13,9881;13,9747;13,9607;1,0587;0,053991;0,270973;2,04072;
A4F303;13,7188;13,7581;13,604;14,1455;13,1911;13,0923;12,6557;12,2958;2,24266;0,0049768;0,997896;4,19471;+
A4F305;13,1924;13,9341;13,8821;13,0292;14,5398;15,1367;15,2355;14,745;2,58274;0,0027562;-1,40478;-4,93626;+
A4UVK2;13,5845;13,4246;12,6757;13,02;14,1886;14,2101;14,3073;14,3652;2,70605;0,00215598;-1,0916;-5,22447;+
A4UVK9;14,2732;14,205;13,8225;14,4493;14,1236;12,8066;14,2791;16,9308;0,151971;0,589195;-0,347531;-0,397521;
A4UVL1;11,1719;11,1497;11,1886;11,6674;12,3931;12,0283;12,3626;12,4447;3,19155;0,00155335;-1,01277;-6,47689;+
A4UVL9;10,9531;10,6088;10,9725;11,5879;12,0945;11,9526;12,2859;12,9974;2,25415;0,00489351;-1,30203;-4,21858;+
A4UZ35;13,1568;13,1195;13,168;13,5543;11,4946;12,668;12,8227;11,3493;1,58091;0,0169604;1,166;2,93116;+
A5A8P5;15,6643;15,3177;17,1308;16,2322;15,886;16,0881;16,1074;16,4014;0,0288581;0,900524;-0,0344727;-0,0841018;
A5HU91;19,179;19,4707;18,3275;18,8508;16,4209;15,4916;14,1158;16,6534;2,71755;0,00205774;3,28658;5,25192;+
A5HU97;16,073;15,7607;16,2293;16,6729;15,2786;14,9213;15,2094;15,2847;2,54514;0,0029572;1,0105;4,85054;+
A5HU98;16,18;16,2084;15,9688;15,8316;15,9845;16,1979;16,1398;16,0946;0,228815;0,458133;-0,0569973;-0,568295;
A5HWA4;11,3442;11,2562;11,979;11,5487;10,2654;11,2035;11,257;10,3809;1,30175;0,0308652;0,755327;2,44814;+
A5HWA9;11,4874;11,2284;11,2632;11,7162;12,2969;12,4001;12,8513;12,904;3,09402;0,0015374;-1,18925;-6,20897;+
A5HWB2;13,5762;14,0513;13,1339;12,9822;13,5914;13,5708;13,474;14,2635;0,426359;0,260889;-0,288995;-0,958847;
A5JYR4;14,1127;14,3318;13,8559;14,6614;14,2297;14,2801;14,4464;14,5165;0,290059;0,384255;-0,12773;-0,695453;
A5JYS8;12,9333;13,4584;13,7355;13,1334;14,4923;13,6965;13,469;14,0493;1,12277;0,0461919;-0,61162;-2,14741;+
A5JYT2;14,7328;14,059;13,7612;15,4984;13,0938;13,4431;13,4506;13,3054;1,62527;0,0153764;1,18961;3,01005;+
A5JYU1;13,3508;13,2611;13,0395;14,1214;13,178;12,5662;12,727;13,0425;1,07054;0,0522447;0,564767;2,0604;
A5JYU5;12,3686;14,7136;13,4037;9,81631;8,2136;11,2991;12,0417;10,3254;0,784865;0,103177;2,10559;1,58477;
A5JYW3;14,2888;13,252;12,746;15,2662;12,7723;15,9069;15,7317;13,7496;0,285843;0,388793;-0,651863;-0,68691;
A5JYW9;15,1462;15,0276;16,9016;15,9831;12,7658;11,2803;11,6526;12,6792;3,17262;0,00159608;3,67015;6,42419;+
A5JYX3;16,6114;16,1213;15,5416;16,3904;15,4073;15,6288;15,6941;15,3812;1,4002;0,0249516;0,638322;2,61612;+
A5JYX4;16,3443;16,5117;16,6057;16,6913;16,3399;16,3486;16,5119;16,5189;0,568321;0,177128;0,108417;1,21446;
A5JYX8;14,6302;14,7245;14,8715;14,9103;15,0574;14,8279;14,9195;14,649;0,310912;0,36101;-0,0792975;-0,737311;
A5PEY0;15,1477;14,3453;14,0399;15,5989;14,3593;12,5944;13,1906;13,153;1,52207;0,0191843;1,45866;2,82751;+
A5Z2S2;15,2246;15,1412;14,7026;15,6364;14,1489;13,4646;13,5682;14,2417;2,52012;0,00307739;1,32035;4,79402;+
A5Z2S4;13,7714;13,9218;13,7667;14,057;13,9408;14,2913;14,0402;14,0357;0,995543;0,0631242;-0,197785;-1,93578;
A5Z2S9;11,606;12,2727;12,202;12,4795;10,0039;9,85719;9,76661;9,87878;4,62458;0,000159204;2,26342;11,6806;+
A5Z2T6;13,3906;12,1633;12,6221;12,9695;12,8055;12,3297;11,9239;12,9526;0,347394;0,32707;0,28345;0,809047;
A5Z2T7;12,7342;12,2502;12,7658;13,2952;12,1691;11,8876;13,1068;9,72659;0,67155;0,136277;1,03884;1,39303;
A5Z2T9;13,942;14,2609;14,0652;14,2488;14,6877;13,995;14,1269;13,9099;0,0969951;0,707502;-0,0506673;-0,265048;
A5Z2U5;11,4729;13,152;13,2071;15,9312;13,0158;13,659;13,4456;13,065;0,0543752;0,823682;0,144471;0,154453;
A5Z2U8;14,2622;14,0627;14,3729;14,7592;13,3899;13,104;12,9573;13,2729;3,29811;0,001262;1,18324;6,77989;+
A5Z2U9;15,3249;15,077;15,024;15,2866;13,8963;14,5468;14,2609;14,2262;3,08713;0,00156881;0,945548;6,19037;+
A5Z2V2;14,225;13,9455;12,8637;12,9466;12,1988;12,0401;12,1341;12,3346;2,02319;0,00716733;1,31829;3,75267;+
A5Z2V3;14,3359;11,9927;12,8729;14,5257;12,7224;11,1998;11,8868;12,2042;1,08743;0,0502535;1,4285;2,08852;
A5Z2V7;14,5463;14,4202;14,1601;15,15;12,9656;13,2166;13,3601;12,7306;3,00343;0,00168602;1,50096;5,9678;+
A5Z2W3;15,1472;14,348;15,9832;15,8149;15,8669;15,4715;15,7473;16,073;0,553399;0,184889;-0,466363;-1,18822;
A5Z2W6;14,2064;14,0838;14,2406;14,998;13,6659;15,5929;13,014;14,0352;0,206898;0,492695;0,30521;0,52102;
A5Z2W7;17,0013;16,9305;17,4535;17,3347;15,4842;15,9717;15,8603;16,0683;3,50714;0,00073021;1,3339;7,40738;+
A5Z2X2;15,9131;15,5007;14,9215;15,6052;14,6403;14,6561;14,3871;13,9839;2,20137;0,00525362;1,0683;4,10953;+
A6PVA1;13,4863;14,0119;14,5029;14,0746;13,0856;13,6019;13,0804;13,2907;1,68612;0,013306;0,754265;3,1194;+
A6ZJ46;15,1251;15,1949;14,9224;15,817;14,9222;14,5115;14,6558;14,7803;1,38142;0,025936;0,547428;2,5839;+
A6ZJ55;11,4423;11,1743;11,2672;11,671;16,7599;16,6278;15,9673;16,8248;6,3428;0;-5,15625;-22,9011;+
A6ZJ59;14,102;14,1595;13,3515;13,4529;14,6368;14,4419;14,7348;14,3996;1,88096;0,00928159;-0,786794;-3,47932;+
A7DT38;11,4447;11,0988;11,0074;11,5973;9,99526;9,93861;9,95365;9,92834;4,10532;0,000614555;1,33308;9,48015;+
A7DT40;14,4571;14,3022;14,6854;14,7936;15,3927;15,2793;15,3868;15,34;3,35218;0,00122989;-0,790135;-6,93789;+
A7DT45;18,4646;18,2708;17,7188;18,3908;18,0946;17,3907;17,1208;17,5382;1,3556;0,0273158;0,675174;2,53974;+
A7DTF0;15,661;15,4692;15,5499;15,747;15,3139;15,1146;15,3598;15,1187;2,28653;0,00472679;0,379995;4,2863;+
A7DTF2;11,4452;11,1996;10,9888;11,5608;13,3456;12,3222;12,7199;12,8299;3,05652;0,00164103;-1,50578;-6,10824;+
A7LPD6;14,8029;13,817;14,2832;15,749;13,0148;13,3857;13,068;12,8401;1,99196;0,00762646;1,58587;3,69181;+
A7LPE4;12,5929;14,2998;14,3115;13,6789;12,3277;12,9536;12,9791;12,8507;1,14457;0,0438277;0,942985;2,1838;+
A7LPE6;18,375;18,5566;17,8789;18,2525;17,6922;17,6101;17,6925;17,6092;2,26062;0,0048454;0,614765;4,23206;+
A7LPF3;15,0145;14,9461;14,8569;14,7293;14,4503;14,5752;14,8006;14,4731;1,66928;0,0138708;0,311895;3,08901;+
A7LPF5;14,5593;15,0219;14,6072;14,962;13,3019;14,9448;14,5423;13,4613;0,869015;0,0847959;0,725023;1,72545;
A7LPG5;18,4001;17,7913;18,4195;18,4092;17,8053;18,3354;18,1713;18,1231;0,326732;0,346;0,14625;0,768641;
A7LPH5;15,0054;14,9074;14,9185;15,1991;14,458;14,2843;14,1791;14,6819;2,47982;0,00339013;0,606778;4,70391;+
A7LPI4;14,3713;14,4334;13,9431;15,1512;13,377;13,2583;13,2143;13,1283;2,52772;0,00309161;1,23032;4,81115;+
A7LPI7;11,589;13,659;12,9947;11,5771;12,4559;13,2339;12,8121;12,9305;0,311737;0,360217;-0,403153;-0,738954;
A7LPJ5;15,2377;14,1142;15,1789;15,2347;13,1422;14,7696;14,1531;15,1806;0,563754;0,179469;0,629985;1,20644;
A7WK39;15,2759;14,5904;14,9831;15,5881;14,7789;14,7761;14,3224;15,038;0,714825;0,123394;0,380503;1,46667;
A7WK43;14,6888;13,9926;13,319;14,0453;11,6805;11,4467;11,5949;12,0279;3,568;0,000762226;2,3239;7,59878;+
A8WFF4;14,1465;15,1786;14,6447;13,9069;14,0667;13,6587;13,8529;13,7281;1,13731;0,0447365;0,642562;2,17167;+
A8WFI3;14,5185;13,9334;13,6613;14,6451;12,9984;13,6995;13,7932;13,8411;1,02185;0,0587226;0,606495;1,97947;
A8WFJ8;13,7689;13,5299;13,7634;13,7381;14,4773;13,8987;13,9844;14,0987;1,60094;0,0161201;-0,414715;-2,96669;+
A8WFK6;17,5711;14,042;11,4599;11,7626;14,358;14,1993;14,0155;14,3187;0,137592;0,617626;-0,513937;-0,363827;
A8WFM5;14,8485;15,3133;15,4241;15,6724;14,8643;15,0976;15,0492;15,2909;0,580251;0,171876;0,239067;1,23535;
A8WHM5;15,7096;14,9384;13,4929;15,4548;13,8098;13,2427;13,1213;14,5437;1,06956;0,0524317;1,21957;2,05878;
A8WHN5;15,1809;15,3016;14,2294;16,5685;12,9929;13,4236;13,5214;14,529;1,58437;0,0169041;1,70335;2,93729;+
A8WHS3;13,9083;12,6464;12,8699;12,7196;13,4876;14,3685;14,5362;12,8898;0,803107;0,098683;-0,78445;-1,61536;
A8WHT8;12,1615;12,4953;11,5399;12,4925;13,1426;12,309;12,4836;13,1397;0,976659;0,0663495;-0,596435;-1,90442;
A8WIT0;11,0328;11,2223;11,0364;11,7101;11,4303;11,1645;11,5609;10,6135;0,0794492;0,753021;0,0581048;0,220465;
A8WJ47;11,3657;11,1951;11,2648;11,7018;11,2055;12,5851;11,7492;13,8229;0,824492;0,0938165;-0,95881;-1,65115;
A8XJ46;14,0756;13,7817;14,1696;13,957;9,85731;9,87799;9,90167;9,61092;7,71502;0;4,18401;38,9018;+
