Proteins,eat2_d5_01,eat2_d5_02,eat2_d5_03,eat2_d5_04,eat2_d1_01,eat2_d1_02,eat2_d1_03,eat2_d1_04,eat2_d10_01,eat2_d10_02,eat2_d10_03,eat2_d10_04,eat2_d15_01,eat2_d15_02,eat2_d15_03,eat2_d15_04
J7SF86,20.2734,20.259,20.0158,21.6882,20.2106,20.7925,21.2625,21.3095,19.806,19.4739,20.628,19.5981,21.6992,19.8334,20.528,19.015
U4PRJ1;Q95ZL3,21.582,20.1746,21.4126,21.197,20.1385,21.0131,18.542,21.257,21.5834,20.6769,19.9835,20.86,20.3424,21.1414,21.6776,21.4089
A5JYX4,20.6948,21.3708,20.6507,21.9711,23.1305,23.9312,23.8744,22.6587,21.6294,22.8169,21.5663,24.8026,25.0451,23.9429,23.8379,23.3846
A5JYX4,24.1129,24.3753,24.8917,24.4856,22.0736,23.9466,24.1974,23.8034,25.3725,25.0324,24.7491,25.1401,25.7235,27.2136,26.6909,26.9276
A5JYX4,21.245,20.4202,20.87,20.6246,19.8675,20.7706,20.9515,20.5536,20.8163,21.0768,21.1777,21.5562,21.1575,20.7076,21.5962,20.9997
A5JYX4,19.3386,20.697,20.7156,21.6778,22.1988,22.4953,21.5202,22.1974,19.8254,20.2988,21.3845,20.4238,22.7036,24.2487,23.7622,25.1969
A5JYX4,20.2291,20.613,19.7949,19.4653,22.1074,22.4953,21.5202,23.1808,20.5262,21.2221,21.5318,19.8052,22.7036,23.7003,24.2314,22.5855
A5PEY0,25.5355,25.6998,26.2741,26.2982,20.9131,21.3883,20.6974,20.9538,25.1976,23.7598,25.1641,22.4747,23.403,24.0328,25.7259,23.9859
I2HA81,24.7242,27.0789,27.0492,27.1398,22.8822,27.0794,27.0144,26.7743,25.8246,25.8714,27.0083,25.9346,21.0581,20.2849,19.3281,20.9725
A5Z2W7,21.0167,20.4802,21.2138,21.5717,20.7838,21.5025,21.4989,21.2999,24.6619,24.5041,23.8225,20.9875,21.1554,22.6265,22.7661,22.033
A5Z2W7,20.2934,20.4612,21.815,19.0872,19.3226,20.2489,21.1835,20.6749,24.5632,25.1548,24.4441,20.8372,24.0147,24.2679,25.58,22.7831
A6PVA5,19.7895,20.7534,21.4499,21.8348,23.262,23.2864,21.0682,22.9927,22.4739,20.8005,21.6686,24.5479,21.8409,23.5633,24.0965,23.1731
Q20621,21.1897,20.0253,19.5769,20.4429,23.2634,22.6777,22.0148,21.3952,26.0135,25.5235,25.7943,21.1307,23.8934,23.9373,24.0824,24.923
A7DT41,21.5836,19.9429,20.6132,20.6201,18.8158,21.5728,21.7393,21.1376,20.9843,20.4114,19.2772,19.7172,20.992,20.3824,19.657,21.681
A7DT41,21.4812,22.0996,22.6976,22.4475,20.3176,21.194,20.477,20.8339,21.2109,21.1785,21.7718,19.4215,21.2066,20.6973,21.3437,21.2599
A7DT41,21.3677,19.7855,21.0483,21.2688,23.8283,24.7014,25.0748,23.9268,21.0691,21.0397,18.0407,20.128,20.9432,18.7387,21.3275,21.4523
A7DT41,21.2246,20.1147,20.8393,20.825,20.5484,21.5432,21.2107,20.8539,20.9703,21.2433,20.2388,20.764,20.8964,19.8609,20.8022,19.31
A7DT41,24.3781,24.4253,24.7751,24.4764,24.615,23.7201,24.2872,23.7657,20.9853,20.5556,19.6077,20.4815,20.6043,20.8339,20.6146,21.1435
A7DT41,19.7496,20.66,21.2118,21.2848,24.0827,23.2516,23.8585,22.1429,20.6182,21.3027,21.5734,20.5954,20.8753,18.8561,21.3432,21.0917
Q9XWW2,20.2102,21.101,20.1765,20.8463,20.7063,21.5031,21.8584,20.2812,21.5353,21.0868,20.6244,20.2584,20.8231,21.5212,20.6574,21.6754
Q9XWW2,20.859,20.453,21.4226,21.3102,19.1112,21.2878,21.6913,21.2726,20.5101,21.3649,19.961,19.6619,21.3114,18.261,20.5507,20.9375
A7LPD6,21.0587,21.2205,20.7406,20.6755,20.7658,20.7158,20.6376,20.3455,20.99,20.6424,20.0063,21.5853,25.3577,24.5915,22.9995,24.3284
A7LPD6,25.6588,25.0256,24.5083,23.1772,20.8353,20.6443,20.6382,21.3902,24.1857,24.8905,25.0602,28.2262,25.6671,23.456,21.6948,23.5304
A7LPE6,20.9544,21.3599,20.9047,19.2858,20.5485,21.0322,21.4446,20.9136,21.4304,20.3817,21.5546,19.9708,23.2776,26.6366,26.8808,25.5553
Q5FC71,24.3965,25.1333,27.012,24.9088,20.8513,21.8524,21.4673,19.8916,20.7822,21.4339,21.8781,19.5548,21.18,20.5198,20.3911,21.6162
Q5FC71,20.9745,20.879,21.0967,21.5458,20.0685,21.6842,20.4942,19.9995,21.4626,20.0995,21.0815,20.7424,20.7639,20.5807,21.0098,19.4139
Q5FC71,25.0711,26.4664,26.7263,26.4932,26.5943,28.3036,28.7584,26.3827,27.8768,27.0131,26.4436,27.0602,21.8289,21.485,21.1998,21.5596
Q5FC71,25.3515,23.6736,24.0319,23.9483,24.122,24.0926,24.8296,27.9515,27.6564,26.5632,27.0377,25.0677,29.9646,29.1614,28.4394,27.7251
Q5FC71,31.8013,33.8387,33.8163,32.9827,29.3594,31.1211,30.7817,29.4716,33.3555,33.4188,33.6814,28.1987,31.1305,32.3033,32.1706,23.7038
Q5FC71,21.5985,21.2506,19.8359,21.6113,21.0924,21.1527,21.2322,20.7167,24.2607,23.9958,24.6922,27.0456,22.0454,21.1911,20.4814,21.1949
A8WFH7,20.7843,20.805,20.5197,21.6989,23.4759,23.0125,22.4648,22.8125,25.0506,25.2506,24.5741,21.1438,23.8858,24.9999,24.9737,23.5204
A8WFH7,20.9733,19.8367,20.9435,19.9778,20.7436,20.9297,21.8716,21.0238,25.379,25.1923,26.3474,23.1536,20.907,20.2394,20.6324,21.4894
