Proteins,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04
A7DT41,20.8749,20.6043,20.1402,19.1318,25.3521,24.2168,23.9424,23.4319
A7DT41,15.1323,20.626,17.4691,20.6805,21.412,19.658,21.3901,21.2744
A7DT41,18.682,20.2086,18.7456,18.0015,24.1845,20.9528,23.4102,23.4571
A7DT41,16.7566,19.8939,20.5756,20.2203,24.5448,23.4025,23.1043,23.8193
Q9XWW2,19.0842,19.4561,19.525,20.366,21.3288,21.232,20.8383,21.4169
Q9XWW2,19.3944,18.8212,21.2513,19.4358,21.5198,20.3758,21.1726,21.0898
A7LPD6,18.2878,18.3792,19.5631,19.8285,21.7712,21.1057,21.3015,21.3149
A7LPD6,23.8071,24.1422,24.1278,23.9624,24.3295,22.7091,22.7206,23.6534
A7LPE6,20.2094,19.9123,18.796,21.2944,21.5275,21.2404,20.8049,20.7134
Q5FC71,21.2009,19.0205,18.2035,18.3436,20.3206,21.0849,20.6799,20.3585
Q5FC71,18.0799,19.8573,21.9117,21.1497,23.178,21.7079,23.041,22.4926
Q5FC71,23.245,23.0478,24.3309,23.7943,23.473,22.5561,23.3486,23.2706
Q5FC71,30.7929,31.0411,30.0853,28.8552,23.4473,25.6413,23.8265,24.7489
Q5FC71,33.0019,34.3821,33.6803,34.1913,30.5159,28.3956,27.4724,27.457
Q5FC71,17.9528,20.2275,19.4644,19.4719,21.1731,21.0306,20.6905,20.6821
A8WFH7,25.096,26.4556,26.0217,26.7964,21.9383,21.0262,21.0937,21.3629
A8WFH7,26.923,26.1803,25.9857,24.2337,21.6483,21.1861,21.274,20.5321
A8WFH7,25.1963,25.8901,25.4429,26.0555,21.9007,20.8866,21.1112,20.8968
H2KYH9,19.7487,17.9815,18.4639,20.7233,20.9452,20.3794,21.3666,20.8089
A8WHP8,20.1272,19.2286,21.3475,18.0456,21.0232,20.9093,20.3694,20.2612
A8WHP8,21.037,16.9152,21.167,18.8475,21.4926,20.4379,20.3095,20.0491
A8WHP8,18.1382,21.431,19.504,17.8746,21.8556,21.2609,20.4131,21.153
A8WHP8,18.1333,19.0979,18.6337,17.3611,21.055,20.9253,21.3503,20.5017
A8WHP8,17.0459,17.4737,20.6031,21.1983,21.2944,20.9086,20.4398,21.4136
A8WHP8,18.1265,18.3221,19.3027,17.3529,21.8871,20.6285,21.2773,21.3874
A8WHP8,20.8725,21.4506,20.0014,19.4163,23.2677,24.7549,24.1846,22.9503
A8WHP8,22.5225,21.7908,22.6423,22.012,22.3801,22.2303,22.1913,23.5533
A8WHP8,19.1138,20.0552,19.4904,19.7747,21.0094,20.4796,20.4503,20.9462
A8WHP8,19.2174,21.6616,20.6503,18.285,21.5321,20.7202,20.872,20.2321
A9UJN7,21.8906,23.5375,22.3364,21.3585,21.261,21.0153,20.4617,21.3037
A9UJN7,18.4604,17.0602,20.2056,18.0101,24.5306,25.2145,23.6747,23.5798
A9UJP1,18.9033,20.3709,18.6678,20.2278,21.4518,21.1751,19.9734,21.4049
A9UJP1,18.8719,20.8176,18.3692,19.4947,21.2025,20.9375,21.0627,21.0856
A9UJP1,24.8615,22.8557,25.1966,24.4543,23.9156,22.1042,21.0743,20.8243
A9UJP1,23.8391,23.8874,24.2484,22.8725,24.8843,20.9237,22.3069,21.0457
A9Z1K9,24.0647,23.7384,24.1256,23.4516,21.8829,20.2243,20.7176,21.3981
B0M0L8,24.3909,25.7657,26.1293,24.5924,23.4622,22.0198,21.9639,23.0405
B0M0L8,18.4858,20.3756,19.1893,20.2003,25.6005,26.2634,27.5623,27.6125
B0M0L8,23.9399,23.6402,23.8659,24.4044,21.1606,21.1918,21.1776,20.465
B0M0L8,19.1502,21.3765,19.5067,15.6998,23.4548,20.7018,23.2471,21.3577
B0M0N4,18.554,19.3054,20.4548,19.3413,21.6374,20.5461,20.3349,21.4086
B0M0N4,24.1034,24.6879,24.4911,23.8903,23.9416,23.9374,21.9504,22.5869
B0M0N4,22.5049,23.6314,22.1662,21.8206,21.2342,21.0938,20.6816,20.849
B2D6M4,25.6658,25.6644,26.3827,25.3771,28.4802,23.7904,26.005,25.9466
B2D6M4,18.5606,20.6826,22.04,19.2727,24.9736,22.7269,25.7027,23.5296
B2D6P1,21.2714,20.618,20.8077,20.1283,21.89,20.7663,20.8738,21.4188
