Protein IDs;log2 rpn6_01;log2 rpn6_02;log2 rpn6_03;log2 ev_01;log2 ev_02;log2 ev_03; -Log Student's T-test p-value rpn6_ev; Student's T-test q-value rpn6_ev; Student's T-test Difference rpn6_ev;Student's T-test Test statistic rpn6_ev;Sign p-val: 0.05 
Q5FC71;30,9079;31,4427;31,0812;31,5545;29,1927;29,0622;0,663189;0,207661;1,20747;1,46347;
A7LPH5;27,8768;28,9728;29,0731;27,7838;29,4217;29,4231;0,129519;0,841533;-0,235299;-0,352673;
A7WK39;28,4079;28,534;29,5045;28,6959;28,3855;29,1922;0,0471267;0,941429;0,0576172;0,137651;
Q65ZB1;31,5956;31,9874;32,0968;30,7602;31,2424;31,7112;0,978367;0,0925749;0,655304;2,08767;
L8E811;27,1351;27,9131;27,552;27,3557;27,6792;27,7334;0,0777389;0,901783;-0,0560296;-0,220738;
A8WIR1;29,4916;29,8336;29,6355;31,3674;30,4786;31,056;2,03614;0,0143163;-1,3138;-4,71559;+
A8WIT0;25,9226;25,6222;25,5983;24,5581;24,2573;24,5592;3,012;0,00208;1,25611;8,67263;+
A9D0C6;23,878;25,0349;24,1612;25,7013;29,0812;29,3433;1,40338;0,0378682;-3,68387;-3,01125;+
O16376;24,8363;24,3996;24,0161;27,9294;28,4044;28,3196;3,77767;0,000955752;-3,80047;-13,6492;+
A9UJN7;31,0484;30,091;29,7916;30,253;29,9534;29,5735;0,377121;0,471986;0,383713;0,898654;
H2KYS1;32,4146;32,5875;32,8411;32,3856;31,9911;31,957;1,27523;0,0486111;0,503157;2,71866;+
B0M0L9;26,4557;26,1131;25,9937;25,4338;25,366;25,959;1,21243;0,0549916;0,601213;2,58019;
Q5FC40;31,0795;31,2784;31,609;31,5058;31,0936;31,3327;0,0198145;0,975187;0,0116202;0,0595098;
B1V8A0;26,8026;27,8052;27,5539;25,5388;27,9594;27,4087;0,203852;0,751811;0,418262;0,528076;
B1V8K3;28,2692;26,5344;26,2865;24,5392;24,6444;24,5954;1,75687;0,0202406;2,437;3,90255;+
G5EEB4;27,157;26,089;26,1417;26,0571;26,7768;26,4318;0,0339323;0,957258;0,0406647;0,100421;
B2D6L9;26,2135;26,1349;25,5957;26,3133;26,4889;25,936;0,449212;0,385128;-0,264725;-1,04392;
B2D6P1;29,3586;29,3053;28,8991;29,5207;29,4568;29,7585;1,07027;0,0733232;-0,390989;-2,27707;
B2FDA8;29,544;29,725;30,2642;27,3849;26,0594;25,9183;2,56028;0,00683333;3,39021;6,5859;+
B3CJ34;28,6347;28,9222;28,3225;27,3003;27,1981;26,5441;2,27189;0,0104889;1,61231;5,49463;+
H2KYS2;30,6553;31,0279;30,8117;29,7218;30,9503;30,9359;0,282785;0,622407;0,295624;0,701865;
G5EC65;28,3413;27,4928;27,0172;27,0043;26,9204;27,0806;0,721799;0,177989;0,615356;1,57776;
Q7YTF9;26,3821;25,9404;26,2913;26,5073;26,6476;26,7113;1,3245;0,043451;-0,417457;-2,82948;+
B5BM23;26,1566;27,3128;27,8067;29,3309;29,4055;29,2951;1,99704;0,0149148;-2,25181;-4,59507;+
Q9XTY7;28,4905;27,5556;28,7339;25,6921;27,8516;27,6235;0,711179;0,18318;1,20423;1,55702;
B5U8N2;27,0217;27,804;25,573;28,0385;28,3019;28,1818;0,979009;0,0925592;-1,3745;-2,08898;
J7SEY3;29,1156;29,3812;29,5023;29,2805;29,7761;28,8829;0,0235323;0,970343;0,0198847;0,0703969;
Q21020;24,0522;23,7358;24,1551;26,8035;26,5388;26,9648;4,02256;0,00118681;-2,78803;-15,7501;+
B6VQ96;27,1695;26,3312;26,3759;27,5166;27,9101;27,918;1,72533;0,0216987;-1,15604;-3,81727;+
Q8MXS0;30,6893;30,2209;30,533;29,2873;29,9435;30,1618;1,0832;0,0719253;0,683547;2,30409;
Q9XWX8;32,3396;32,1929;32,0735;31,5382;31,7242;31,9554;1,49664;0,0325463;0,462749;3,23354;+
B7WN95;30,302;30,0585;30,4183;30,0901;32,1157;32,1474;0,799396;0,147266;-1,19146;-1,72985;
Q3S1I8;30,8839;30,5399;30,948;31,0664;30,3454;31,0927;0,0553376;0,931233;-0,0442098;-0,160368;
B9WRS6;29,5039;28,6129;29,7506;26,8339;28,848;25,3471;0,997653;0,087399;2,27947;2,12704;
C0Z3L6;30,4549;30,7221;31,2349;26,1201;27,3832;27,8834;2,51925;0,00758389;3,67505;6,42035;+
C0Z3M2;26,5636;27,5837;28,9022;26,7283;30,4047;29,9613;0,429622;0,408794;-1,34829;-1,00477;
Q3S1J5;29,1977;28,9534;28,2981;28,8329;28,0283;28,7585;0,302673;0,593301;0,276477;0,744174;
C6KRG1;28,6507;28,3933;28,694;25,6369;24,567;24,162;2,96415;0,00196226;3,79068;8,42652;+
C6KRI9;28,5312;28,0303;29,3675;27,1647;28,9498;28,6401;0,22696;0,718459;0,391447;0,580061;
C6KRN1;25,6828;25,9566;25,5159;24,5823;24,7514;25,4721;1,22022;0,0541434;0,783144;2,59719;
C6KRN4;29,6361;30,7663;30,5251;30,1192;30,3354;30,5408;0,0206805;0,974157;-0,0226231;-0,0620534;
C7FZU4;29,2616;29,246;28,7396;28,1702;29,7855;30,2205;0,182367;0,781718;-0,309677;-0,478764;
C7IVQ8;31,7649;31,994;31,8875;31,3421;31,7193;31,7057;0,980234;0,0925562;0,293117;2,09147;
D0IMZ7;33,5094;33,6394;33,8654;33,1386;33,4456;33,5027;0,941081;0,102944;0,309086;2,01206;
D0PV95;27,9177;28,4572;28,87;27,7408;28,2256;28,108;0,553889;0,284469;0,390107;1,25035;
D0VWM8;25,9491;26,3801;26,7062;24,5193;24,2132;24,6515;2,74843;0,00420884;1,88376;7,39347;+
D1MN68;29,1209;28,8808;29,262;26,8414;27,9162;27,9834;1,7567;0,0202026;1,50756;3,9021;+
Q18227;30,3891;29,1018;29,2332;28,5701;27,7314;28,6973;1,14732;0,0617845;1,24172;2,43968;
