Protein IDs;log2 rpn6_01;log2 rpn6_02;log2 rpn6_03;log2 ev_01;log2 ev_02;log2 ev_03; -Log Student's T-test p-value rpn6_ev; Student's T-test q-value rpn6_ev; Student's T-test Difference rpn6_ev;Student's T-test Test statistic rpn6_ev;Sign p-val: 0.05 
O02327;27,2668;27,0658;26,8988;27,4008;27,4663;27,6342;1,53626;0,0294455;-0,42326;-3,33059;+
O02328;30,1377;30,1873;30,1477;30,1928;30,4577;30,2264;0,729075;0,174389;-0,134713;-1,59197;
O02365;34,5332;34,5365;34,4719;34,6688;34,5896;34,4582;0,377026;0,47174;-0,0583204;-0,898462;
O02482;24,884;25,0122;25,4569;26,4825;25,3055;25,6235;0,809643;0,144487;-0,686132;-1,75004;
O02639;31,7693;31,9926;31,9232;32,8147;32,2575;32,3233;1,41395;0,0375214;-0,570116;-3,03602;+
O02640;31,9487;31,4073;31,2757;31,6304;32,1985;28,848;0,243801;0,689147;0,651601;0,617329;
P91420;27,5666;25,4;26,7701;24,3665;24,2371;24,6177;1,55631;0,0280379;2,17178;3,38032;+
O16000;29,4846;29,5938;29,3667;27,3589;27,8667;27,9384;3,08891;0,0015615;1,76038;9,08211;+
O16202;27,9694;28,0039;27,9843;28,9237;27,8461;27,91;0,276997;0,630323;-0,240756;-0,689456;
O16225;28,2991;28,0443;27,1614;24,3236;24,6118;24,6326;3,11605;0,00161326;3,31226;9,23085;+
O16226;31,1005;31,3937;31,4711;30,7367;30,4642;30,6681;2,12916;0,0132658;0,69876;5,01194;+
Q8IA89;30,27;29,9966;29,9627;29,8848;29,6735;29,4689;1,21855;0,0541942;0,400726;2,59354;
O16254;25,6874;25,2912;25,0399;26,1085;25,3996;25,7253;0,658803;0,210119;-0,40498;-1,45493;
O16259;30,175;30,3288;30,3324;29,5535;29,7536;29,8991;2,06805;0,0131223;0,54336;4,81571;+
O16266;29,5891;27,6894;28,0334;26,4293;28,6456;27,7848;0,397016;0,44505;0,817417;0,939093;
O16294;26,8825;27,226;25,826;24,5817;24,4499;24,5028;2,13883;0,0128244;2,13336;5,04356;+
O16297;26,231;26,7954;26,4988;24,0357;24,5497;24,6352;2,97192;0,002;2,10157;8,46602;+
O16298;24,0368;24,041;23,8098;28,1348;29,4294;29,9698;3,16183;0,00167816;-5,21545;-9,48677;+
O16303;29,5099;29,9672;29,8912;26,4227;28,3731;28,2871;1,48872;0,032911;2,09517;3,21433;+
O16305;32,5435;33,2053;33,7233;32,9365;33,16;32,956;0,149437;0,823888;0,139898;0,401079;
O16311;27,2033;27,2242;27,4035;25,2042;25,2778;25,8243;3,06551;0,0015288;1,84157;8,95572;+
O16368;30,8486;30,4352;30,8908;27,9835;30,309;30,0935;0,76923;0,159667;1,26287;1,67058;
O16379;29,0886;28,3322;28,4952;29,7276;30,5589;30,1317;1,97096;0,0149978;-1,5007;-4,51592;+
O16453;30,8884;30,2591;31,0185;26,9746;29,7717;28,1974;1,33628;0,0428947;2,40742;2,85628;+
O16454;29,8407;29,5711;29,5911;28,72;29,2584;29,0644;1,65627;0,0243109;0,65336;3,63479;+
O16458;24,2327;27,3162;27,2969;26,5382;26,4513;26,7833;0,108473;0,865439;-0,309041;-0,300199;
O16462;29,1631;29,16;29,2627;29,137;28,4793;28,3467;1,02961;0,0816051;0,540877;2,19271;
O16465;27,2629;26,3487;26,4483;27,9462;28,1521;28,333;2,02949;0,0141843;-1,45716;-4,69494;+
O16482;24,0499;24,1103;24,1419;25,0791;25,0553;25,2583;3,91858;0,00106931;-1,03025;-14,8223;+
O16517;30,2299;31,811;31,5644;31,1577;31,5087;31,0676;0,0282685;0,964717;-0,0428499;-0,0841472;
Q8MXJ7;29,2099;29,1454;29,345;26,5203;27,7516;27,6029;2,1095;0,0131658;1,94184;4,94814;+
O16520;29,5738;28,7941;28,9488;28,738;27,7407;27,7374;1,18654;0,0569632;1,03352;2,52395;
O16521;27,7841;27,0431;26,6266;27,1612;26,599;26,2255;0,491176;0,340199;0,489393;1,12714;
O16586;28,1698;28,8086;29,1819;28,9173;28,5645;28,9161;0,0885849;0,887203;-0,07923;-0,249194;
O16785;30,2615;30,968;30,6946;29,7276;29,7241;29,8288;1,87235;0,0164868;0,881163;4,22562;+
O16786;25,2029;25,6877;25,2945;24,5349;24,6285;24,5198;2,26413;0,0107845;0,833935;5,46746;+
O16997;29,2174;28,9174;28,5494;26,9473;28,0485;27,7553;1,57787;0,0263718;1,31104;3,43428;+
O17005;25,6106;24,7422;25,1227;24,351;24,6299;24,409;1,23086;0,0528894;0,695196;2,62051;
O17065;27,7721;27,2395;26,7463;28,1329;27,6428;27,2358;0,457972;0,374993;-0,417867;-1,06136;
O17071;30,2144;29,92;29,8923;29,7987;29,7803;29,6766;1,10004;0,0693958;0,257033;2,33947;
O17155;25,3422;25,469;26,4482;24,2501;24,5628;24,538;1,6365;0,0249158;1,30285;3,58357;+
O17214;32,0078;31,862;31,8948;30,9281;31,3685;31,4746;1,73369;0,0214552;0,664427;3,83976;+
O17287;26,8768;27,3226;27,2934;27,9271;26,9943;27,168;0,245213;0,686997;-0,198888;-0,620432;
O17327;25,6763;26,0212;25,0248;24,4531;24,5269;24,5643;1,6443;0,0247031;1,05933;3,60373;+
O17328;28,1878;28,6571;27,9116;27,9178;27,3302;28,1955;0,582065;0,260598;0,437656;1,3054;
O17345;24,1353;23,8384;24,1522;26,6066;25,8484;27,2295;2,44079;0,0077875;-2,51954;-6,11362;+
O17365;30,5779;30,7643;30,7285;30,6037;30,614;30,4581;0,799049;0,147558;0,131653;1,72917;
O17373;26,0678;26,1019;25,6655;26,9855;27,3006;27,0006;2,56968;0,00690526;-1,15051;-6,62434;+
O17388;24,0984;24,0702;24,1385;26,4052;26,1264;26,1849;4,78442;0;-2,13646;-24,5156;+
O17389;31,0073;30,6582;29,4352;30,896;31,5672;31,4047;0,825651;0,138192;-0,92239;-1,78163;
O17406;30,0447;30,6766;30,5387;31,723;31,3284;30,9788;1,48468;0,0332735;-0,923347;-3,20456;+
O17562;25,5874;25,0306;25,5203;26,7655;26,2613;26,5979;2,14346;0,0121637;-1,16215;-5,05874;+
O17570;31,9923;32,593;32,6374;30,4004;32,3429;32,6577;0,341407;0,524765;0,607243;0,825235;
O17586;29,6811;29,7666;29,7837;28,7413;29,1507;28,8447;2,55175;0,00673973;0,831624;6,55118;+
O17591;28,634;28,6843;28,6614;24,9882;26,2007;26,4278;2,47223;0,00809091;2,78766;6,235;+
O17606;30,7972;30,7248;30,6195;29,9086;30,8147;30,7731;0,289986;0,610008;0,215047;0,717243;
O17607;30,745;30,3884;31,1293;30,4393;31,0622;31,0114;0,102492;0,871274;-0,0834109;-0,285011;
O17622;30,0761;29,998;29,5293;28,827;27,1422;27,2257;1,68893;0,0238799;2,1362;3,72038;+
O17626;30,4086;29,825;30,2586;29,5243;29,4205;29,6719;1,5229;0,0312581;0,625149;3,29769;+
O17643;29,5546;29,3351;29,033;25,4544;27,5466;27,7363;1,48618;0,0330435;2,39511;3,2082;+
O17680;30,417;30,1722;30,5375;31,0812;31,1534;31,2474;2,58007;0,00700356;-0,785097;-6,66706;+
O17687;31,609;31,75;31,9589;31,2912;32,2812;32,5778;0,277258;0,63088;-0,277404;-0,690016;
O17694;29,9491;29,2972;29,5966;29,649;31,0559;31,028;0,896376;0,11612;-0,963311;-1,92221;
O17725;26,4616;27,8664;27,4729;30,7757;30,3137;28,3611;1,39835;0,0389818;-2,54983;-2,99948;+
O17729;27,4206;27,6875;27,0124;26,994;28,0075;28,1088;0,334872;0,535454;-0,329924;-0,811671;
O17759;31,4816;31,52;31,5256;30,0155;30,7209;31,0285;1,42739;0,0363391;0,920794;3,06768;+
O17861;31,2668;31,5087;31,5382;32,6878;31,7384;31,8855;1,01724;0,0833962;-0,665958;-2,16723;
O17891;31,1995;31,3814;31,4246;32,5755;32,0437;32,1301;2,16202;0,0111503;-0,914598;-5,11998;+
O17892;28,3921;27,6211;27,471;28,2666;28,7776;28,9231;1,11881;0,0677508;-0,827684;-2,37908;
O17893;30,6584;30,5312;29,8905;29,3772;29,1337;29,5782;1,67765;0,0240209;0,996977;3,69067;+
O17901;27,4205;30,0648;29,3932;26,1308;27,0976;26,9761;1,22964;0,0527598;2,22468;2,61782;
O17915;32,9744;33,0667;33,0456;31,2649;32,6825;32,7559;0,750871;0,166437;0,794459;1,6346;
O17917;26,7059;26,3014;26,9557;26,5626;27,2544;27,3054;0,560051;0,279251;-0,386484;-1,2624;
O17921;31,4788;31,7915;31,65;32,8349;31,2335;31,2979;0,100495;0,872301;-0,148678;-0,279912;
O17939;26,9106;28,6909;27,2196;27,5848;28,3068;27,9494;0,226316;0,719616;-0,339907;-0,578625;
Q564S2;26,0207;25,025;25,7757;24,5086;24,5019;24,5713;1,64106;0,0246497;1,07982;3,59534;+
O17953;32,3355;32,4214;32,5136;31,1384;31,9241;32,5625;0,590361;0,252697;0,548501;1,32159;
O17983;28,2879;28,4026;28,5927;27,7919;26,9412;27,5988;1,64732;0,0246724;0,983763;3,61154;+
O18000;28,8122;29,2543;28,76;28,0513;26,3577;26,1484;1,54681;0,0288;2,08969;3,35671;+
O18054;29,2135;29,1422;29,4;28,3237;28,058;28,2998;3,06417;0,00152083;1,02474;8,9485;+
Q1ZXS4;28,0625;27,9815;28,0695;28,5967;28,37;28,5763;2,44564;0,00783648;-0,476524;-6,13222;+
O18224;28,3798;28,5878;28,6229;28,6935;29,9468;29,8105;1,10929;0,0683722;-0,953416;-2,35896;
O18235;27,6971;28,1224;28,0443;24,5789;24,5835;24,6529;4,8323;0;3,34947;25,2045;+
O18240;33,5052;33,7635;33,2349;32,4058;33,459;33,4192;0,466632;0,365336;0,406532;1,07856;
O18282;28,2679;27,7451;26,1552;26,7631;27,845;27,8886;0,0512518;0,934892;-0,109481;-0,149106;
O18307;26,3193;26,071;26,5053;27,5943;27,0021;26,7082;1,30046;0,0461082;-0,803005;-2,77517;+
O18650;34,3616;34,6227;34,5389;34,6765;34,3709;34,5786;0,104046;0,870053;-0,0342369;-0,288968;
O44133;28,604;27,9058;28,3892;25,7984;25,8898;26,0849;3,35611;0,0019085;2,3753;10,6485;+
O44144;27,6314;27,4595;27,5206;24,8512;28,6067;27,7198;0,1579;0,814933;0,477947;0,421306;
O44145;29,5035;29,3271;29,3884;28,7629;29,3173;29,042;1,02041;0,0831672;0,365583;2,17375;
O44175;27,1556;26,9118;27,242;26,0073;26,8627;26,198;1,26356;0,0488421;0,747142;2,6927;+
O44400;32,471;32,0724;32,1994;31,4903;32,0629;32,3393;0,440263;0,395804;0,283444;1,02606;
O44408;26,8361;27,3037;26,9692;26,0847;24,8824;25,8791;1,63656;0,0249578;1,42091;3,58373;+
O44411;29,7146;29,6976;29,3155;28,0248;29,264;29,3561;0,706398;0,18495;0,69427;1,5477;
O44441;31,7547;31,9265;32,0124;32,135;32,0065;31,9579;0,663437;0,207732;-0,135237;-1,46396;
O44443;29,4527;29,327;29,2982;28,7421;29,1181;28,9112;1,67024;0,0238544;0,435507;3,67124;+
O44444;31,5198;31,1197;31,1339;30,4111;31,3841;31,2303;0,30889;0,582246;0,2493;0,757297;
O44451;30,4045;30,2199;29,7415;28,5542;28,0494;27,5906;2,41841;0,00835802;2,05721;6,02843;+
O44471;26,482;26,5851;26,8479;26,3028;27,9895;27,0942;0,41847;0,420499;-0,490475;-0,982383;
O44475;29,3955;28,0086;26,2944;25,9445;28,0596;27,3863;0,283879;0,620466;0,769363;0,704207;
O44480;31,1298;31,9524;31,7319;30,8996;31,0631;31,5888;0,582988;0,260099;0,420874;1,3072;
O44498;28,2344;28,2958;27,9639;26,5772;27,3275;27,4258;1,67271;0,0239374;1,05448;3,67771;+
O44517;26,6485;26,948;26,1152;24,4977;24,4437;24,5877;2,94664;0,00192593;2,06085;8,33804;+
O44549;27,3834;26,9334;27,1436;26,4281;27,2079;27,11;0,35721;0,500506;0,238136;0,857863;
O44565;29,6491;29,3934;29,3463;30,0889;27,5193;28,5411;0,423037;0,417197;0,746497;0,99156;
O44572;30,7177;30,5609;30,5262;30,6098;30,2365;30,9751;0,00816052;0,988568;-0,00549062;-0,024823;
O44622;26,2069;26,3811;26,1924;28,7306;29,0995;29,0397;4,5043;0;-2,69651;-20,8427;+
O44716;27,9587;29,8342;29,3743;27,475;26,7796;27,0367;1,5099;0,0319632;1,95862;3,26585;+
O44727;26,2991;25,7059;25,7009;24,1528;24,6764;23,8529;2,23535;0,0109022;1,6746;5,36767;+
O44750;27,531;25,9994;26,0934;24,6985;25,1232;25,1269;1,40815;0,0378099;1,5584;3,0224;+
Q9N5P9;28,9524;28,8813;28,8047;29,8572;30,1203;29,8364;3,33218;0,00188387;-1,05847;-10,4985;+
O44857;27,8889;27,6666;27,4122;28,0714;26,9823;27,1267;0,287793;0,612666;0,262396;0,712568;
O44897;27,0877;26,8874;26,9309;26,5578;26,3328;26,9288;0,91895;0,109228;0,362183;1,96748;
O44906;33,6376;33,6943;33,9285;32,9339;33,1697;33,6391;1,05365;0,0773405;0,505917;2,24248;
O44946;27,2592;26,8137;27,3065;26,9964;25,7539;25,656;1,01309;0,0840376;0,991034;2,15869;
O44951;24,4708;24,7452;24,2629;24,5747;24,8302;25,0697;0,764281;0,161092;-0,331905;-1,66087;
O44952;28,467;28,3348;28,5464;24,5307;24,5179;24,6274;6,18411;0;3,89077;54,9953;+
O44953;23,7318;23,8703;24,0107;27,8183;27,442;27,798;4,89089;0;-3,81513;-26,0734;+
O44954;28,3644;28,5994;28,8972;29,3408;28,632;29,1936;0,753537;0,166104;-0,435133;-1,63982;
O44955;25,8376;25,9683;26,158;24,4635;24,4733;24,5137;4,04496;0,00122727;1,5045;15,9572;+
O44975;27,318;27,1121;27,3227;27,8704;27,9024;28,0163;2,92748;0,00287273;-0,678747;-8,2422;+
O44985;25,2117;26,0864;26,7631;25,0556;25,068;24,6748;1,09446;0,0699601;1,08762;2,32772;
O44995;31,8184;32,0248;31,7986;28,7705;31,2071;31,3092;0,806032;0,145227;1,45168;1,74292;
O45011;32,4357;32,3355;32,7092;30,7489;31,6241;31,5977;1,71659;0,0228079;1,16993;3,79386;+
O45012;32,0341;32,0894;32,228;31,9651;32,1777;32,0996;0,16125;0,809727;0,036377;0,429263;
O45060;24,1271;23,9697;23,8993;27,4231;28,4942;28,5451;3,43722;0,00202778;-4,15544;-11,172;+
Q86MG4;29,2042;29,4348;29,65;27,3508;27,294;27,4838;3,89466;0,00102857;2,05347;14,6166;+
O45083;29,1901;28,7043;29,5471;29,5204;29,1263;29,5098;0,359202;0,498326;-0,238347;-0,861961;
O45087;28,1681;27,5568;27,9163;26,7553;26,0647;25,8049;2,12506;0,0132323;1,67205;4,99859;+
O45097;29,672;29,2211;28,9671;27,5905;29,3181;28,9296;0,527422;0,310432;0,67402;1,19849;
O45106;27,5448;27,0846;27,154;24,2645;24,6728;24,4549;3,94743;0,00110204;2,79706;15,0742;+
O45110;26,6464;27,5427;27,2086;25,7789;26,5823;26,3354;1,1978;0,0559089;0,900379;2,54835;
O45148;32,1748;31,679;31,5119;28,5437;28,3843;28,3607;4,07243;0,00125581;3,35899;16,2148;+
O45181;33,1259;33,2714;32,9954;32,0683;32,6322;32,6917;1,44772;0,035287;0,66686;3,11588;+
O45218;28,8462;29,0528;29,1955;27,7285;27,4137;26,418;1,97367;0,0150635;1,84475;4,52411;+
O45346;26,5686;26,4722;26,6447;26,9455;26,9053;26,9723;2,67716;0,00525097;-0,379224;-7,07789;+
O45406;26,3719;27,0616;27,2095;30,1399;27,9042;28,0561;1,11675;0,0679729;-1,81907;-2,37471;
O45417;25,2619;26,2189;25,4143;26,1742;26,369;26,0036;0,808342;0,144709;-0,5506;-1,74748;
O45418;29,5729;29,1912;29,2223;28,1884;28,6856;29,1108;1,06916;0,0736174;0,667171;2,27475;
O45430;30,309;30,6096;30,6368;28,8532;29,279;29,4175;2,58514;0,00673381;1,33526;6,688;+
O45443;28,417;29,1177;29,137;30,259;29,7133;29,1581;0,968537;0,0950192;-0,819557;-2,06767;
O45444;33,9355;33,9441;34,4327;33,285;33,7373;34,0742;0,650799;0,214463;0,405277;1,43934;
O45495;30,4032;30,906;30,4507;29,6972;29,3442;29,2615;2,27997;0,0106366;1,15235;5,523;+
O45502;29,4166;29,5238;30,0196;28,315;29,0448;29,3642;0,964746;0,0963182;0,74531;2,05997;
O45518;27,9364;27,3768;27,709;25,9524;28,125;28,0303;0,157009;0,816257;0,30488;0,419186;
O45552;33,2142;33,3011;33,2441;32,462;33,0731;33,0163;0,958998;0,0982285;0,402673;2,04831;
O45577;27,6013;27,5991;27,3407;26,4702;26,9863;27,0058;1,62094;0,0251533;0,692977;3,54357;+
O45599;30,0806;29,8002;29,6381;30,5053;30,596;30,413;2,0513;0,0132293;-0,6651;-4,76297;+
O45622;28,5857;27,5814;27,7757;27,0843;27,9387;27,8748;0,350795;0,511617;0,348338;0,844648;
O45665;27,4373;27,5946;27,3191;28,3188;27,6789;27,598;0,793167;0,150527;-0,414886;-1,71759;
O45713;33,1878;32,8327;32,8588;33,1279;33,022;32,8581;0,112118;0,860984;-0,0428899;-0,309392;
O45734;32,2654;32,3669;32,3312;32,9033;32,6519;32,5434;1,57177;0,0268307;-0,37834;-3,41897;+
O45757;25,3017;26,5375;25,5417;26,9446;28,5647;28,6096;1,55385;0,0283091;-2,24605;-3,37419;+
O45783;29,0797;28,9055;28,8373;29,111;29,6711;29,3204;1,12346;0,0657201;-0,426703;-2,38892;
O45815;31,5396;31,6159;30,9063;30,2532;30,4041;30,098;1,98597;0,0153318;1,10217;4,56135;+
O45819;29,6868;26,8864;28,7737;28,1981;30,3704;29,9036;0,420375;0,418988;-1,04172;-0,986212;
O45864;32,4844;32,0849;32,2411;31,2971;31,9847;32,0634;0,840356;0,133595;0,488387;1,81072;
O45865;33,9994;33,7564;33,8248;34,7649;34,5403;34,1941;1,6162;0,0250282;-0,639551;-3,53144;+
O45904;26,9187;27,0072;26,5665;26,2422;27,3053;25,9719;0,308593;0,582177;0,324347;0,756672;
Q4A1S8;24,9728;25,7494;25,0447;24,5547;24,6219;24,2102;1,33236;0,0432336;0,793407;2,84736;+
O45946;29,914;29,8691;29,4541;29,327;29,778;28,0157;0,572321;0,268574;0,705529;1,28638;
O45952;29,1216;29,0837;28,9708;24,5331;24,6632;24,5304;6,63105;0;4,48314;71,1472;+
O46000;29,0527;28,3454;28,5069;28,0082;27,2512;28,5821;0,712877;0,182094;0,687843;1,56034;
O46015;27,9948;27,9203;27,391;26,0696;27,9537;27,5641;0,401008;0,441452;0,572903;0,947173;
O61198;26,8284;26,7715;26,5674;27,3184;27,6005;27,9792;1,93003;0,0159247;-0,910287;-4,39376;+
U4PC51;28,7317;29,5802;29,0025;29,2583;28,3446;28,4771;0,469761;0,362825;0,41144;1,08477;
O61217;26,8107;26,1911;26,6357;24,4135;24,209;24,7993;2,91754;0,00284685;2,07188;8,19288;+
U4PE16;29,7362;30,1272;30,0762;27,3916;29,4755;29,3193;0,853307;0,129321;1,2511;1,8364;
O61522;30,0451;30,2584;30,5283;31,5631;31,6601;30,9105;1,79972;0,0188549;-1,10065;-4,0204;+
O61524;26,2768;25,8165;25,4874;24,9545;25,8009;25,9041;0,335174;0,53513;0,30707;0,8123;
O61708;29,6075;30,2858;30,0631;30,5336;30,3613;30,5188;1,10298;0,0694078;-0,485764;-2,34565;
O61826;26,3631;25,79;26,1874;25,979;28,6408;28,752;0,844439;0,13232;-1,67707;-1,81881;
O61845;30,2083;30,4802;29,9268;30,6856;31,2248;31,0315;1,5861;0,0263404;-0,775557;-3,455;+
O61848;32,517;32,6374;32,7114;32,4913;32,5879;32,4448;0,740253;0,170214;0,113935;1,61382;
O61856;27,9191;27,6901;27,9805;27,2064;27,3193;27,4753;1,96378;0,0153002;0,5296;4,49431;+
O61887;30,1357;29,9431;29,865;28,5795;29,5843;29,4722;1,10312;0,0694855;0,769267;2,34594;
O62025;27,6414;26,3116;25,2783;24,5841;24,6737;24,58;1,23333;0,0525679;1,7978;2,62593;
O62053;31,2617;32,0567;32,1263;31,9061;32,0144;32,1962;0,316189;0,568255;-0,224037;-0,772649;
O62106;29,3938;25,3882;26,678;29,4557;29,5623;29,4518;0,924384;0,1084;-2,33659;-1,9784;
O62125;26,6252;26,0124;26,8168;25,6645;26,3693;26,3958;0,428282;0,410351;0,341585;1,00208;
O62138;28,4341;27,3848;27,1329;28,1872;28,6751;28,5326;0,89566;0,116306;-0,814333;-1,92078;
O62146;30,5275;29,8839;30,1602;28,9354;29,4126;29,3125;1,83036;0,0179447;0,97034;4,10614;+
O62185;26,6158;27,3867;27,5848;27,4767;26,8129;27,5833;0,0886938;0,887517;-0,0951455;-0,249478;
Q95ZU4;27,9794;27,6239;28,0618;24,5613;24,5343;24,5141;4,80568;0;3,35177;24,8191;+
O62213;29,8957;29,9412;30,0133;30,2735;29,5569;29,9074;0,0620256;0,924581;0,0374565;0,17863;
O62220;25,6778;26,353;26,5208;27,5767;27,8189;27,8818;2,34379;0,0099941;-1,57526;-5,75149;+
Q5FC20;27,9096;27,1628;27,1166;27,4539;27,1882;27,4805;0,0271486;0,965145;0,0221214;0,0809076;
O62250;28,8904;28,299;29,1959;28,0152;28,3379;28,6093;0,686531;0,194065;0,474294;1,50895;
O62252;28,335;27,2375;27,2356;27,6304;26,413;26,535;0,628007;0,230387;0,743258;1,39495;
U4PAQ6;28,301;28,2913;28,0359;24,5816;24,3808;24,6539;5,17883;0;3,67064;30,7952;+
O62277;29,3866;29,5073;29,24;29,7161;30,2177;29,7098;1,27485;0,0484887;-0,503239;-2,7178;+
O62289;34,3373;34,6603;34,8099;34,1084;33,732;34,0426;1,61773;0,0250698;0,641457;3,53535;+
O62317;29,3979;29,1558;28,7855;25,9388;27,0075;26,8151;2,60105;0,00650549;2,52595;6,75403;+
O62325;28,8514;28,9323;28,9207;27,3289;30,2161;30,2597;0,139909;0,830432;-0,366753;-0,378067;
O62334;25,0838;24,6545;25,1507;27,2469;28,156;28,3813;2,83696;0,00362393;-2,96506;-7,80276;+
O62347;28,3233;27,7887;27,3866;26,0975;25,794;24,903;2,11661;0,013199;2,23472;4,97115;+
O62390;30,0378;30,2464;30,5405;29,3846;29,1813;29,2019;2,51135;0,00750831;1,01899;6,3889;+
O62421;26,9554;27,5355;26,9597;28,7427;28,7853;28,694;2,91482;0,00283408;-1,59047;-8,17943;+
O62431;28,0173;27,0863;27,31;27,4746;28,4618;28,3685;0,679591;0,1974;-0,630469;-1,49543;
O62479;26,0419;27,4595;26,6463;25,8295;27,4086;26,9449;0,00619813;0,99125;-0,0117741;-0,0188952;
O62518;26,1754;25,3279;25,9484;24,2777;24,3961;24,6322;2,13948;0,0128571;1,38191;5,04569;+
O76258;26,5737;25,9478;26,1429;27,0972;25,4946;25,6896;0,0841035;0,893238;0,127687;0,237494;
O76357;26,7419;26,3766;26,305;28,3234;28,9185;28,6903;3,22767;0,00172781;-2,16959;-9,86647;+
U4PRL6;28,7581;29,3077;29,1578;27,9452;27,9238;28,6079;1,5209;0,0315432;0,91559;3,29278;+
O76371;32,6141;32,4522;32,7805;32,1667;31,5126;31,0496;1,43188;0,0360748;1,03931;3,0783;+
O76407;28,2706;28,1098;28,0301;26,7004;27,7989;27,8802;0,809371;0,144353;0,676983;1,7495;
O76447;28,2726;27,9158;28,5652;28,7676;29,4443;29,6076;1,48687;0,0330931;-1,02196;-3,20985;+
O76449;28,6253;27,8416;27,885;26,6752;27,6629;27,7615;0,80743;0,144694;0,750767;1,74568;
O76565;27,5339;27,8673;27,7426;26,0181;27,7199;27,2515;0,625288;0,232457;0,718137;1,38966;
O76577;30,3796;30,5132;30,5196;27,534;27,5194;29,7899;1,35414;0,0416769;2,1897;2,89714;+
O76606;26,1332;26,2279;25,9213;26,4992;25,7391;26,0575;0,00613282;0,990877;-0,00445557;-0,0186975;
O76628;25,5884;26,1503;25,7612;28,4206;27,496;27,2166;2,02951;0,0142171;-1,87776;-4,69498;+
O76630;25,0241;24,7469;25,2151;24,5422;24,376;24,5598;1,56305;0,0275231;0,5027;3,39714;+
O76725;27,433;27,4637;28,2614;27,099;26,6045;27,0493;1,20228;0,0555716;0,80178;2,55808;
Q2V4T0;30,0234;29,5814;30,3673;30,5312;29,771;30,1465;0,192692;0,76762;-0,15885;-0,502585;
O76840;34,3108;34,287;34,3276;33,8523;34,2046;34,294;0,638365;0,223395;0,191494;1,41513;
P02566;37,2394;37,3877;37,4719;37,6469;37,3711;37,4065;0,420119;0,418682;-0,108541;-0,985698;
P02567;34,4619;34,575;34,5295;34,1058;33,8032;34,1021;2,09855;0,0130025;0,518429;4,91289;+
P17331;30,2606;30,377;30,6795;30,6605;30,2643;30,1833;0,132673;0,839264;0,0696259;0,360417;
P05690;36,9032;36,9636;36,8126;37,7713;37,7837;37,737;4,33698;0;-0,870886;-18,9134;+
P06125;36,0365;36,1966;36,2004;36,9939;37,0157;37,0785;3,91945;0,00108;-0,88485;-14,8299;+
P09446;35,4401;35,727;35,1804;35,5228;35,7462;35,6366;0,472869;0,358981;-0,18602;-1,09093;
Q6A8K1;36,356;36,474;36,3945;36,5315;36,1012;35,9979;0,520673;0,31633;0,19799;1,18523;
P10567;36,5413;36,6353;36,6707;36,167;36,1143;36,1415;3,47767;0,00213139;0,474841;11,4421;+
P11141;32,8326;32,7204;32,7613;33,3444;32,9572;32,9709;1,14661;0,061713;-0,319389;-2,43816;
P12844;35,242;35,1625;35,0928;35,3769;35,4189;35,2754;1,46469;0,0341765;-0,191303;-3,15643;+
P12845;34,2794;34,6605;34,5666;34,1295;34,205;34,0862;1,40759;0,0377564;0,36189;3,02109;+
P16356;25,6104;25,684;25,4289;24,5076;24,0232;24,5409;2,57051;0,00692958;1,21718;6,62776;+
P17140;27,7331;27,7026;28,1014;27,6374;28,5503;28,4455;0,506554;0,328302;-0,365326;-1,15746;
P17330;29,8692;29,5273;29,7753;28,89;27,958;28,3036;2,00295;0,0146697;1,34008;4,61313;+
P18334;27,1753;27,6221;28,572;26,6702;27,8778;28,5461;0,0457241;0,942121;0,0917734;0,133737;
P18947;33,4554;33,5223;31,2905;33,8664;33,8816;34,1907;0,759751;0,163145;-1,22347;-1,65199;
P18948;37,1229;37,2632;37,1318;38,2163;37,8446;37,7065;2,03784;0,0143497;-0,749797;-4,72089;+
P19625;35,7876;36,0104;35,7994;35,7747;36,0357;35,7928;0,00548233;0,991813;-0,00185649;-0,0167265;
Q8MPS2;31,4072;31,4249;31,4884;30,9354;31,2018;30,9064;1,92539;0,0161503;0,425693;4,38005;+
P19974;32,3199;32,5268;32,5812;32,3623;33,1099;33,0044;0,639118;0,222921;-0,349606;-1,41659;
P20163;31,9925;32,2373;32,3352;31,7604;31,6443;31,5383;1,96252;0,0152344;0,54066;4,49053;+
P27420;31,4402;31,6539;31,3335;30,48;30,4199;30,8764;2,1728;0,0111792;0,883764;5,15581;+
P27604;31,8626;32,1731;32,1039;31,7021;32,764;32,7612;0,422837;0,416952;-0,362577;-0,991159;
P27639;27,9984;27,5173;28,0034;29,642;30,2556;29,3917;2,50052;0,00740984;-1,92336;-6,34598;+
P27798;33,6828;33,6942;33,6282;33,4077;33,7756;33,6211;0,243497;0,689731;0,0669543;0,616661;
P29691;34,5775;34,6908;34,6592;34,4023;34,6632;34,7393;0,141099;0,829543;0,0409495;0,380955;
P30625;30,4947;30,4318;30,0432;30,8048;30,5386;30,5929;0,924237;0,108294;-0,322184;-1,97811;
P30629;30,3001;30,2848;30,2071;31,1687;30,5857;31,0215;1,69183;0,0235745;-0,661307;-3,72805;+
P30632;29,6178;29,5243;28,9589;28,5135;28,4424;28,6097;1,79104;0,0191676;0,845082;3,99633;+
