Leading.proteins.Positions.within.proteins;log2 eat2_d10_01;log2 eat2_d10_02;log2 eat2_d10_03;log2 eat2_d10_04;log2 eat2_d5_01;log2 eat2_d5_02;log2 eat2_d5_03;log2 eat2_d5_04; -Log Student's T-test p-value eat2_d10_eat2_d5;Student's T-test q-value eat2_d10_eat2_d5; Student's T-test Difference eat2_d10_eat2_d5;Student's T-test Test statistic eat2_d10_eat2_d5;Sign p-val: 0.05 
A8WHP8(79);23,025;25,3287;22,4559;24,5313;24,2893;23,7657;24,4579;22,9699;0,0161839;0,975241;-0,0354991;-0,047808;
A8WHP8(57);21,2604;21,5089;21,1721;21,0287;20,8294;21,5916;21,2137;19,1049;0,447955;0,448932;0,557627;0,998723;
A8WHP8(68);21,7246;21,272;21,3048;20,635;21,2548;20,6183;20,8884;20,5537;0,71742;0,267007;0,40531;1,47107;
A8WHP8(347);21,8548;21,3014;21,8023;21,4422;21,5384;21,3693;20,8242;20,6777;1,03776;0,144233;0,4978;2,00591;
A8WHP8(348);22,8721;21,7956;23,8906;22,2759;21,1554;20,6325;21,1355;20,2765;2,06065;0,023472;1,90858;3,82631;+
A8WHP8(181);20,5827;19,1302;20,1471;21,2666;20,2544;21,6151;20,0617;21,1577;0,366463;0,523002;-0,490594;-0,845859;
A8WHP8(154);20,0063;20,9434;21,6443;19,7249;20,8074;20,8022;21,4128;21,3674;0,502531;0,403437;-0,517716;-1,09778;
A8WHP8(295);23,6495;23,3839;23,9651;23,4029;21,2695;23,6;22,7108;22,0169;1,23305;0,099762;1,20104;2,33211;
A8WHP8(297);22,4982;22,8863;22,7306;20,3378;20,4923;20,5112;19,8218;21,6285;1,11105;0,125512;1,49975;2,12786;
A8WHP8(218);21,7567;20,974;21,275;21,41;21,0897;19,8147;20,7466;20,5453;1,36727;0,0783761;0,804861;2,55968;
A9UJN7(555);21,6307;21,1563;21,0618;19,4438;21,5432;21,1509;20,6708;20,7141;0,14401;0,775829;-0,196574;-0,378943;
A9UJN7(562);21,7606;21,2241;20,6012;21,0253;20,9299;20,9026;20,2859;21,8679;0,146768;0,773537;0,156258;0,385399;
A9UJP1(38);20,8337;20,2516;21,7994;21,1831;20,3697;21,2713;21,0209;20,8613;0,137009;0,783419;0,136135;0,362447;
A9UJP1(71);21,6074;19,6301;21,3168;19,7908;20,3752;20,9983;20,3401;21,596;0,156579;0,759444;-0,241068;-0,40819;
A9UJP1(57);25,4615;25,1134;25,633;27,1141;24,7759;21,6179;22,9029;22,9717;1,90278;0,0307757;2,76342;3,52064;+
A9UJP1(73);25,1295;24,9643;25,4021;23,0182;23,5517;24,5036;25,2843;25,071;0,0130833;0,977676;0,0259023;0,0387801;
A9Z1K9(338);20,5842;20,7323;21,317;20,6205;25,7672;25,9749;25,6818;28,89;3,46677;0,00422749;-5,76498;-7,28262;+
B0M0L8(154);20,6987;20,7027;20,309;20,7099;22,1166;23,2779;21,8406;23,467;2,58039;0,0127296;-2,07043;-4,93087;+
B0M0L8(179);24,7927;25,2357;25,4779;26,086;25,229;24,3716;24,5296;23,2563;1,12346;0,122102;1,05146;2,14856;
B0M0L8(35);20,7058;19,7031;21,8011;20,5861;21,0146;20,967;21,408;20,6054;0,268339;0,62596;-0,299729;-0,651121;
B0M0L8(98);25,474;25,5772;24,6546;21,5552;22,8827;21,4374;21,4661;23,8239;0,869669;0,199107;1,91272;1,72654;
B0M0N4(102);24,719;24,5634;24,7246;22,1008;21,029;21,6173;21,7983;21,0978;2,11697;0,020763;2,64136;3,93837;+
B0M0N4(3);24,0699;24,1641;24,3997;24,0027;23,7929;24,6363;24,2758;24,124;0,0896617;0,852172;-0,0481534;-0,246565;
B0M0N4(88);21,4247;20,8739;19,8761;21,0103;20,931;21,3061;21,7937;19,8725;0,128786;0,794101;-0,179552;-0,342876;
B2D6M4(494);27,6832;26,0726;27,0805;26,0872;25,5304;27,5923;26,6201;26,5127;0,10662;0,828119;0,167022;0,288994;
B2D6M4(499);21,6725;20,2733;21,1519;20,2451;20,7468;20,9624;21,1756;20,5598;0,0232079;0,962908;-0,025445;-0,0680401;
B2D6P1(119);21,5443;20,3561;21,313;19,9066;21,6003;20,9568;20,6863;21,0526;0,281755;0,611708;-0,293996;-0,678596;
B2D6P1(97);21,9892;19,6764;21,8147;21,0431;20,8261;20,4019;19,9709;20,3885;0,630769;0,316805;0,733988;1,32303;
B3CKG1(24);25,6141;23,7333;24,3491;24,1618;24,6014;25,6672;24,6381;24,9835;0,488329;0,416241;-0,50797;-1,07222;
B3WFT8(10);23,7266;24,2193;24,2031;23,4053;21,3531;19,5144;21,0243;21,69;2,92578;0,00850549;2,99317;5,76676;+
E1B6S9(25);20,866;18,9558;20,9479;20,9911;19,2882;20,5428;21,0318;21,5463;0,0847556;0,861402;-0,162066;-0,23408;
G5EC65(1032);21,7818;21,4303;21,2461;21,3108;21,0863;21,0029;21,1349;20,951;1,70495;0,0442186;0,398468;3,15352;+
B3WFW7(70);21,5579;22,4365;23,8335;22,577;20,2918;19,5298;20,0551;21,9286;1,66398;0,04735;2,14989;3,07945;+
B3WFY5(28);23,8415;24,5537;24,4146;25,4662;20,6349;21,5405;21,2236;21,7733;3,64689;0,0040452;3,27594;7,85303;+
B3WFY5(29);24,9195;23,0552;21,5764;24,172;23,2228;22,8943;24,2937;23,8111;0,0555753;0,908484;-0,124687;-0,157679;
B3WFY5(30);19,7482;18,4664;21,4804;21,3404;24,1499;24,4939;24,652;23,8111;2,79351;0,00951899;-4,01789;-5,43575;+
B5BM23(908);24,0766;24,3701;23,9299;24,6628;24,4894;28,4348;27,7537;24,8589;1,09256;0,130146;-2,12434;-2,09707;
B5U8N2(48);21,4913;21,2821;20,7489;20,5406;18,9469;19,8055;21,0633;20,5318;0,926109;0,178642;0,928871;1,82045;
B5U8N2(360);20,4145;20,9176;21,7405;20,0991;19,5044;20,8151;21,4949;20,1092;0,223394;0,680994;0,312019;0,556697;
B5U8N2(491);22,4338;22,3162;23,341;22,5443;24,819;24,834;23,1623;23,0611;1,2702;0,093042;-1,31024;-2,39474;
B6VQ78(562);23,5396;24,0538;24,027;24,4733;19,6568;22,6306;23,9513;23,6542;0,765301;0,242778;1,55022;1,5519;
B6VQ78(569);24,0253;24,1954;23,8341;24,7094;21,3647;21,3349;20,829;20,8332;4,87495;0,00113043;3,10059;12,9016;+
B6VQ78(172);21,642;20,6649;19,8164;20,3838;24,1702;24,2232;22,9661;23,9612;3,2541;0,00503475;-3,20346;-6,65341;+
B6VQ78(176);23,6822;23,377;23,6016;23,0704;20,6392;21,7098;20,9488;20,2275;3,52534;0,00389848;2,55151;7,46419;+
D9PTN8(403);21,3977;21,2719;21,0537;21,2828;20,5785;20,5149;21,7013;21,0948;0,438076;0,456252;0,27916;0,980534;
B7WN71(239);23,5192;22,6347;24,6094;23,4524;21,2807;21,2965;21,2213;20,4487;2,81464;0,00945455;2,49212;5,48768;+
B7WN95(52);21,6393;20,813;19,4023;21,1742;20,3419;21,2027;20,3604;20,3478;0,13933;0,780749;0,194005;0,367933;
B7WNA1(64);21,2993;19,6165;20,9416;20,8479;21,7147;22,5178;22,0646;22,4565;1,98343;0,0269861;-1,51207;-3,67527;+
B9ZSG9(872);21,1978;21,8127;22,4531;23,278;21,5045;20,9024;21,5147;21,3549;0,944688;0,17271;0,866259;1,85132;
C1P636(683);20,779;21,0683;20,7227;21,02;21,471;20,7173;19,5881;21,9699;0,0254428;0,959248;-0,0390744;-0,0744154;
C1P636(727);21,7447;20,9783;21,5709;20,5026;22,5521;21,6449;21,9665;23,5047;1,30168;0,0883616;-1,21793;-2,44801;
C1P636(864);30,0731;29,2611;30,0036;27,1609;28,286;29,9323;29,7354;28,7573;0,0230624;0,962876;-0,0531006;-0,0676238;
C1P636(741);20,6949;21,4646;21,6526;21,297;20,1321;21,8338;21,1902;21,0473;0,222954;0,681183;0,226435;0,555754;
C1P636(104);24,2267;23,6741;25,6649;25,6374;22,8085;23,5901;24,9533;24,3424;0,605867;0,327864;0,877173;1,27996;
C6KRI9(366);21,7316;22,0649;22,6537;22,0835;21,458;21,5299;22,758;22,377;0,1012;0,834368;0,1027;0,275551;
C6KRJ1(158);25,2667;24,4006;24,3994;21,1837;22,732;24,4234;23,0384;24,1261;0,0852138;0,860722;0,232664;0,23525;
C6KRJ1(190);20,9254;21,2201;20,9721;21,3205;19,5567;21,5613;21,3932;20,3586;0,352221;0,537954;0,392077;0,818408;
C6KRL2(4);21,3642;20,8587;21,6605;21,4991;20,5165;20,4768;20,0589;21,1083;1,56931;0,0551478;0,805518;2,91063;
C6KRL2(14);21,518;20,5641;20,9167;19,0885;20,7262;21,7809;21,8341;20,1589;0,402199;0,487874;-0,603209;-0,913719;
C6KRL2(18);20,9206;20,205;20,5774;20,9269;21,3622;21,7378;21,3455;21,7891;2,30253;0,0155425;-0,901202;-4,31999;+
C6KRN1(3);21,484;21,5206;21,2411;20,3934;20,1318;19,6751;21,7919;20,0726;0,66377;0,297195;0,741927;1,37972;
C6KRN1(24);21,796;20,2897;20,8251;20,2123;20,3814;20,4836;21,7323;21,738;0,233362;0,667853;-0,30305;-0,577977;
C7GIK1(69);24,5533;24,9669;24,442;23,6684;23,811;22,8812;22,466;22,9325;1,91074;0,0303735;1,38499;3,53576;+
D0IMZ5(2153);20,4063;20,9288;21,6402;21,1567;21,5477;19,0419;20,7347;20,8467;0,358567;0,531082;0,490232;0,830669;
D0IMZ5(269);21,5125;20,0789;20,6525;19,8493;20,606;21,0738;19,3191;21,881;0,111858;0,820358;-0,196718;-0,30188;
D0PV95(599);21,3794;21,5366;20,5142;21,3843;19,3101;21,5928;21,3521;20,4235;0,415945;0,475611;0,533973;0,939465;
D0Z5P0(53);20,4903;20,513;20,9884;20,1689;21,329;21,5462;21,6418;19,4906;0,375204;0,512967;-0,461757;-0,862587;
D0Z5P0(541);18,7222;20,8157;21,0419;20,9418;20,7662;21,4595;20,9881;21,0587;0,559973;0,358614;-0,687719;-1,1998;
D0Z5P0(470);21,6657;20,9494;20,5703;20,7088;20,4718;20,3956;21,7591;21,5323;0,054258;0,910642;-0,0661445;-0,154137;
Q22832(234);25,4476;24,7667;25,5468;27,4295;24,509;25,7114;25,2927;25,8654;0,292569;0,60137;0,453005;0,700528;
Q22832(235);20,76;19,8659;20,4732;20,4041;25,3073;26,7902;26,0234;27,1309;4,94204;0,0012381;-5,93715;-13,2486;+
Q22832(492);24,0034;23,9793;23,6716;23,3197;23,796;25,5118;25,5586;26,0285;1,54705;0,0565992;-1,48023;-2,87137;
Q8WQB8(183);21,8786;19,1683;20,8092;20,9791;20,462;19,6709;21,2049;21,2928;0,0257384;0,959302;0,0511327;0,0752565;
D3NQB5(149);25,1644;24,8759;24,9416;23,4658;19,858;21,7673;21,5756;21,8638;2,80875;0,00969072;3,34574;5,47318;+
D3YT77(49);21,9817;20,6194;21,2085;20,0378;23,0579;21,7964;24,7733;22,4304;1,44251;0,068016;-2,05267;-2,68904;
D3YT77(57);21,9037;19,8792;20,6222;20,1827;20,4155;21,8365;20,9268;21,0737;0,332232;0,555831;-0,416186;-0,779452;
D4YWC3(77);20,4978;17,9466;19,3766;21,2841;21,4333;20,9433;22,0595;22,2341;1,28256;0,0912804;-1,89126;-2,41564;
D4YWC3(78);21,9399;20,4445;21,6109;23,8536;22,7256;22,2712;23,2153;20,8154;0,125984;0,797915;-0,294672;-0,336157;
D4YWC3(41);20,8252;19,3187;20,7424;20,6136;23,5316;24,951;24,5745;26,6976;3,05339;0,0070875;-4,56368;-6,09991;+
D4YWC3(51);24,0414;23,2599;23,3684;23,8516;24,5724;24,1726;23,2585;23,9493;0,489206;0,415877;-0,357902;-1,0738;
D4YWC3(59);23,9589;24,9347;24,7792;24,7218;24,5962;26,2509;27,3165;25,7321;1,1959;0,107493;-1,37527;-2,2697;
D4YWC3(68);25,0168;22,7489;23,5382;24,3993;21,0199;19,8687;22,1953;21,7426;2,06397;0,0233621;2,71915;3,83285;+
