ProteinAccessions;log2 daf2_d10_01;log2 daf2_d10_02;log2 daf2_d10_03;log2 daf2_d10_04;log2 N2_d10_01;log2 N2_d10_02;log2 N2_d10_03;log2 N2_d10_04; -Log Student's T-test p-value daf2_d10_N2_d10;Student's T-test q-value daf2_d10_N2_d10; Student's T-test Difference daf2_d10_N2_d10;Student's T-test Test statistic daf2_d10_N2_d10;Sign p-val: 0.05 
A0A131MBF9;13,8619;13,1635;13,9737;13,8219;16,5141;15,4188;16,4522;16,2065;3,64243;3,14E-05;-2,44266;-7,83846;+
A0A131MBG0;12,4864;12,8357;12,3836;12,6489;13,5358;13,4215;13,2232;14,8229;1,66873;0,00257875;-1,16219;-3,08802;+
A0A131MBG4;12,4148;11,579;12,7699;12,7387;14,8901;15,7108;16,5247;16,4126;3,53476;2,94E-05;-3,50896;-7,49374;+
A0A131MBU3;18,4573;18,483;17,9461;17,8792;19,3271;19,0947;19,2671;20,1542;2,35579;0,000475277;-1,26935;-4,43325;+
A0A131MCJ0;14,1458;14,0031;14,2464;13,9139;14,3632;13,6236;14,3735;14,8436;0,369502;0,160064;-0,223694;-0,851685;
A0A131MCL1;10,5721;10,8726;10,7132;10,7171;14,4646;14,27;14,2207;14,8722;6,38906;0;-3,73808;-23,3153;+
A0A131MCL4;13,3717;13,4448;13,714;12,4583;14,4552;14,3986;13,9343;14,5848;1,92452;0,0012985;-1,09601;-3,56202;+
A0A163UT65;16,7545;16,9089;14,8474;14,8397;14,5057;14,1558;14,4594;15,0856;1,10611;0,0135527;1,28601;2,11963;+
A0A164D380;14,6036;14,6016;14,5903;14,7006;16,0316;16,81;15,7661;15,8938;3,15045;6,84E-05;-1,50138;-6,36292;+
A0A164D3C9;9,83085;9,20679;12,5598;14,2051;13,8158;13,5077;14,4739;14,054;1,1017;0,0136719;-2,51221;-2,11228;+
A0A164D3G3;15,3189;15,3967;15,1668;14,7277;15,9003;15,0766;15,7207;16,1953;1,05759;0,0155984;-0,570714;-2,03888;+
A0A168H9Z7;14,8667;14,488;14,7824;14,8884;16,7321;16,7146;16,8607;17,0371;5,65561;0;-2,07976;-17,5312;+
A0A1C3NSI5;13,652;14,7801;13,7688;14,6286;14,3364;14,0395;14,216;15,0928;0,232514;0,289579;-0,213797;-0,576175;
A0A1C3NSL1;12,9455;13,156;12,1875;11,4545;14,1897;13,9917;13,9553;15,072;2,14274;0,000768547;-1,86629;-3,99022;+
A0A1C3NSL5;18,597;18,6886;18,4328;18,5917;19,361;19,3437;19,3241;20,1146;2,51653;0,000425499;-0,958334;-4,78596;+
A0A1D3PCL0;10,7302;11,9712;11,1118;10,5329;14,325;14,3164;14,4535;14,7686;4,25494;0;-3,37932;-10,072;+
A0A1D3PCL8;14,6028;13,8219;14,4322;14,5107;16,6155;15,1614;16,2159;17,5791;2,0801;0,000987621;-2,05106;-3,86481;+
A0A1I6CM73;13,5665;12,9184;14,514;14,3156;14,4782;14,1286;14,43;14,6104;0,756206;0,0409693;-0,58319;-1,53659;+
A0A1I6CM84;14,1855;14,3438;14,6448;14,1279;16,2014;16,6957;17,0625;17,522;3,81048;3,59E-05;-2,54488;-8,40338;+
A0A1I6CM85;13,2727;12,6293;13,4365;13,2746;15,5354;16,2973;16,397;17,2766;3,71656;3,34E-05;-3,2233;-8,08351;+
A0A1I6CM94;12,011;8,21634;11,4746;10,7432;14,0845;14,3953;14,0122;14,7374;2,30216;0,0006;-3,69605;-4,31922;+
A0A1I6CM95;12,862;13,6701;12,6267;12,5273;17,1363;16,0308;17,3242;18,1571;3,79183;3,55E-05;-4,24058;-8,339;+
A0A1I6CMC9;13,5166;13,7825;12,9928;12,9953;14,2976;14,1019;14,2455;15,0564;2,04297;0,00105723;-1,10352;-3,79145;+
A0A1N7SYP3;18,0784;18,1301;18,1264;18,1399;21,0819;20,3173;21,0967;21,7864;4,19371;0;-2,95184;-9,82589;+
A0A1N7SYP6;16,5486;16,7697;16,9001;17,1028;17,3957;17,3569;17,3764;18,6601;1,35522;0,00643303;-0,86698;-2,5391;+
A0A1N7SYQ5;15,1151;14,8798;15,6263;15,6452;17,6128;16,3803;16,2;15,7966;1,45654;0,00480849;-1,18082;-2,71333;+
A0A1N7SYT2;13,211;12,924;13,2353;12,4004;14,4444;14,4314;14,475;14,9247;3,42106;2,74E-05;-1,62623;-7,14348;+
A0A1N7SYU2;11,5342;10,4889;11,9452;11,6;14,3312;15,4872;15,4595;16,0877;3,74497;3,41E-05;-3,94933;-8,17916;+
A0A1N7SYW5;14,458;14,8763;14,1917;12,8478;14,3564;14,2042;14,4094;15,0269;0,371355;0,158912;-0,405755;-0,855232;
A0A1T5HUK0;14,3409;13,5595;13,3431;14,4728;14,4648;14,4094;14,1878;13,6447;0,309207;0,205627;-0,247568;-0,733915;
A0A9S0;14,1099;14,0166;12,2744;13,5986;14,2362;14,423;14,1566;15,1419;1,07328;0,0149248;-0,989579;-2,06498;+
A0A9S2;13,5852;13,5163;13,611;13,5721;14,1664;13,6575;14,7004;14,2198;1,54711;0,00392123;-0,614889;-2,87148;+
A2V8C3;17,2967;17,275;17,1519;17,8419;17,8589;18,5957;19,0153;19,1432;2,07341;0,000986631;-1,26192;-3,85155;+
A2V8C8;16,1294;16,303;17,1634;17,2066;19,7232;19,0382;19,4349;19,5799;3,87204;0;-2,74343;-8,61888;+
A3FPJ3;10,6033;10,7569;11,2922;10,2263;14,0299;13,6734;14,1505;14,6029;4,60702;0;-3,39446;-11,5991;+
A3FPK9;15,6434;15,1885;15,8131;15,2585;14,142;14,4011;14,2462;14,9528;2,3534;0,000488381;1,04034;4,42814;+
A3FPL3;10,6375;10,6754;10,8052;10,819;14,3041;14,38;14,4774;14,8269;7,0661;0;-3,76283;-30,292;+
A3QM97;13,2688;11,0677;13,256;13,951;16,0608;15,1779;15,6514;15,8142;2,27565;0,000631428;-2,79022;-4,26348;+
A3QM98;16,7407;16,2367;16,8639;16,3327;18,6385;18,8246;19,4709;19,2545;4,29266;0;-2,50363;-10,2263;+
A3QMB6;10,6554;10,5949;10,6706;10,649;14,2271;14,3903;14,249;14,3717;9,64896;0;-3,66705;-81,8228;+
A3QMB7;12,5064;12,1099;12,1582;13,5714;15,253;15,5304;15,5021;18,6603;2,22271;0,000657052;-3,65;-4,15344;+
A3QMC2;15,0463;15,5012;14,4777;14,7807;15,4008;15,534;15,8288;16,2848;1,49108;0,00440936;-0,81059;-2,77335;+
A3QMC5;17,8199;17,7072;18,3771;17,7162;17,3861;17,2681;16,3446;18,1643;0,743477;0,0427044;0,614327;1,51513;+
A3QMC6;15,0312;15,2968;14,8251;15,5592;15,7318;15,4876;15,4696;16,0848;1,27437;0,00814503;-0,515383;-2,40178;+
A3QMC8;13,673;13,8144;13,6703;13,9568;14,2674;13,8168;14,0557;14,0625;1,25662;0,00851366;-0,271953;-2,37181;+
A4F303;10,4076;10,8169;10,6549;10,104;14,2727;14,1395;14,314;14,919;5,55012;0;-3,91548;-16,8235;+
A4F305;14,3083;13,7551;15,3687;15,0028;14,4315;13,7603;14,3592;15,0578;0,180278;0,371739;0,206514;0,46213;
A4UVK2;15,4189;15,3607;15,1853;15,2345;16,9396;16,6029;16,3646;17,5186;3,04551;6,47E-05;-1,55657;-6,07892;+
A4UVK9;16,0842;17,0168;14,782;17,064;14,4169;14,4439;13,7384;14,8879;1,72377;0,00233732;1,86495;3,18774;+
A4UVL1;10,6674;10,7817;10,7875;10,6035;14,4628;14,4112;14,2741;14,84;6,982;0;-3,787;-29,3244;+
A4UVL9;11,583;12,3026;11,9184;11,5538;14,3863;14,4106;14,1874;15,09;4,27796;0;-2,67911;-10,1659;+
A4UZ35;13,6564;12,6287;13,1627;12,9211;14,3003;14,3656;14,1799;15,1433;2,41227;0,000449472;-1,40503;-4,55528;+
A5A8P5;15,1976;15,5841;15,0771;15,4751;14,0678;13,8568;14,8909;13,7311;2,23593;0,000661473;1,19684;4,18076;+
A5HU91;17,0725;16,7068;17,7675;17,6655;19,9048;21,3434;20,9199;21,4929;3,76936;3,49E-05;-3,61219;-8,26201;+
A5HU97;17,5458;17,6282;17,4009;17,7909;19,7567;19,4839;19,8566;20,3092;4,67055;0;-2,26016;-11,8964;+
A5HU98;16,2231;16,0825;15,6822;16,6219;16,549;17,1327;17,1646;17,1503;1,86618;0,00151789;-0,84672;-3,45145;+
A5HWA4;10,4579;10,8296;10,703;10,8259;14,3978;14,3847;14,2994;13,8544;6,32487;0;-3,52995;-22,7424;+
A5HWA9;10,669;10,7581;10,6016;10,7127;14,4792;14,3649;14,0998;14,5937;7,31653;0;-3,69906;-33,3644;+
A5HWB2;12,1348;12,4092;12,3944;13,4929;13,9212;14,3806;14,4219;15,1674;2,47776;0,000440665;-1,86497;-4,69933;+
A5JYR4;15,0153;14,9748;14,7424;15,0209;14,8271;14,2647;15,8807;15,1402;0,0955856;0,584532;-0,0898092;-0,261512;
A5JYS8;13,8318;14,0217;13,0876;13,3453;14,2443;14,3088;14,3442;14,1746;1,72409;0,00232386;-0,696422;-3,18833;+
A5JYT2;14,8845;15,2054;14,3167;14,9389;14,5044;13,1219;14,1506;14,9601;0,73743;0,0434905;0,652103;1,50492;+
A5JYU1;13,2935;13,5404;12,9317;13,1468;13,8976;14,4276;14,0451;15,0324;2,12629;0,000814664;-1,12255;-3,95709;+
A5JYU5;8,83031;0;10,4373;10,7923;14,0474;14,4321;14,173;14,6315;1,43429;0,00516093;-6,80603;-2,67484;+
A5JYW3;16,5789;17,0016;17,0212;13,9087;17,6768;17,0138;15,8545;19,0372;0,599441;0,0690328;-1,26797;-1,2688;
A5JYW9;10,3304;10,5745;10,6549;11,4573;17,9372;18,0293;17,74;16,5773;5,48306;0;-6,81666;-16,3881;+
A5JYX3;15,6936;15,9511;15,6748;14,8951;16,2607;15,5756;15,7103;17,1084;0,714245;0,0472321;-0,610101;-1,46569;+
A5JYX4;16,9293;17,0178;16,9637;17,076;16,1222;17,1768;16,7072;17,5146;0,145933;0,443788;0,116483;0,383447;
A5JYX8;14,8552;14,8643;14,7143;14,6075;15,692;16,2532;15,8641;17,5102;2,03744;0,00107855;-1,56954;-3,78058;+
A5PEY0;12,9878;15,3516;12,6733;12,9114;16,3432;17,7678;16,7697;16,901;2,60477;0,000279675;-3,46436;-4,98695;+
A5Z2S2;14,202;14,3069;13,5915;13,7017;14,2618;14,3444;13,9971;14,8109;0,817147;0,0337107;-0,403032;-1,63887;+
A5Z2S4;13,7874;14,1373;13,8294;13,7102;14,0547;14,2941;16,4338;14,4957;0,867238;0,0286271;-0,953519;-1,72249;+
A5Z2S9;10,6903;10,8089;10,6608;10,7692;14,2695;12,9083;14,119;13,8433;4,22172;0;-3,05273;-9,93779;+
A5Z2T6;12,4648;11,7234;12,4018;12,8106;14,3655;14,2836;14,2186;14,6125;3,78185;3,52E-05;-2,01991;-8,30474;+
A5Z2T7;13,5112;13,799;12,6994;10,3873;14,4661;13,9806;14,3874;13,5701;0,959942;0,0217576;-1,50183;-1,87665;+
A5Z2T9;15,9077;16,0068;15,2947;15,1342;16,8455;17,0401;17,0017;18,2177;2,33945;0,000510826;-1,69041;-4,39833;+
A5Z2U5;14,0155;13,9183;13,725;13,1569;14,2037;14,2535;14,2594;15,0751;1,40139;0,00570267;-0,744004;-2,61818;+
A5Z2U8;15,7141;16,0662;15,0562;15,0871;14,3055;14,4426;13,4924;14,4603;2,08103;0,000987952;1,3057;3,86665;+
A5Z2U9;17,0158;17,3673;16,8701;16,965;18,5721;18,008;18,6024;18,7602;3,46003;2,80E-05;-1,43111;-7,26196;+
A5Z2V2;13,6585;12,0649;11,2556;14,3334;14,157;14,3245;14,4457;14,2892;1,08126;0,0145776;-1,47601;-2,07825;+
A5Z2V3;13,2646;13,4733;12,9649;12,6609;13,3297;13,8143;14,4396;15,0292;1,3846;0,00597538;-1,06227;-2,58935;+
A5Z2V7;14,0445;14,1022;13,5843;13,7877;15,6673;15,4918;15,6503;15,7946;4,91796;0;-1,77132;-13,123;+
A5Z2W3;17,4818;17,4529;17,5816;17,8936;14,1632;14,0152;13,9331;15,0071;4,78484;0;3,32284;12,4491;+
A5Z2W6;15,1305;15,0214;14,6808;15,1463;13,784;13,6488;14,391;15,1275;1,11525;0,013127;0,756937;2,13487;+
A5Z2W7;16,7497;16,8204;17,4846;16,9009;18,5571;19,1433;18,726;18,8657;3,91732;0;-1,83416;-8,78046;+
A5Z2X2;14,3175;15,3477;13,7404;13,8527;14,3211;14,2314;14,4559;15,1531;0,213327;0,316591;-0,225742;-0,534996;
A6PVA1;13,7961;13,7704;13,5072;14,2131;16,0339;16,004;15,7184;16,2394;4,69812;0;-2,17722;-12,0276;+
A6ZJ46;15,7506;15,8411;15,3595;15,399;16,9516;15,8337;16,3127;16,9454;1,67945;0,00257253;-0,923297;-3,10736;+
A6ZJ55;12,7322;13,4579;13,3737;12,5896;18,8922;18,1141;18,0676;19,6482;4,89366;0;-5,64213;-12,9975;+
A6ZJ59;14,5507;14,1832;13,8707;14,2279;17,2409;16,9135;17,3461;16,6587;4,99021;0;-2,83166;-13,503;+
A7DT38;10,6472;10,8665;10,5355;10,8043;14,5027;13,486;14,2612;14,8979;4,6174;0;-3,57358;-11,6473;+
A7DT40;14,4928;14,4135;14,2292;13,837;15,1902;15,7259;15,1396;17,0037;1,79826;0,00189247;-1,52174;-3,32463;+
A7DT45;18,3476;18,7038;18,2102;18,0355;14,114;14,1387;14,0786;14,9661;5,35247;0;3,99992;15,571;+
A7DTF0;15,6184;15,6705;15,5293;15,9406;17,029;16,9183;17,5271;18,5742;2,47569;0,000439815;-1,8225;-4,69475;+
A7DTF2;10,6889;10,8552;10,2627;10,8234;14,3501;14,2005;14,257;15,0693;5,3597;0;-3,81169;-15,6152;+
A7LPD6;14,7416;14,8516;14,7415;14,6944;14,5102;14,3944;14,3733;15,0574;0,479759;0,105074;0,173435;1,05673;
A7LPE4;14,1091;12,8403;11,0675;14,4486;14,6116;14,9428;14,1768;16,0579;1,10461;0,0135771;-1,83085;-2,11713;+
A7LPE6;17,7812;17,6901;17,8755;18,0597;18,779;19,1198;19,2772;20,1526;2,56042;0,000347687;-1,48052;-4,88525;+
A7LPF3;14,5229;14,2945;14,5879;14,6917;14,2057;15,8866;15,4657;14,6305;0,636559;0,0608262;-0,522883;-1,33301;
A7LPF5;14,7314;15,2138;14,8086;14,6689;14,1744;14,2543;14,4518;14,6376;1,59775;0,00330304;0,47619;2,96103;+
A7LPG5;17,647;17,6395;17,611;18,0627;20,5226;19,4723;19,6272;20,8033;3,32374;2,60E-05;-2,3663;-6,85442;+
A7LPH5;14,2334;14,427;14,5085;14,6907;16,4812;16,1217;16,1351;17,643;2,91408;8,50E-05;-2,13037;-5,73691;+
A7LPI4;14,4334;14,4369;13,9191;13,8471;13,6636;14,0056;14,445;14,8512;0,09913;0,573151;-0,0822401;-0,270389;
A7LPI7;11,4489;11,5484;12,4313;12,1009;14,5029;13,9383;14,1618;15,1105;3,49632;2,86E-05;-2,54599;-7,37377;+
A7LPJ5;15,0389;13,9185;14,444;15,3967;17,9344;18,8143;18,7017;17,803;3,88787;0;-3,61382;-8,67507;+
A7WK39;15,6325;15,5807;14,5562;16,2841;15,9551;15,7123;15,8519;17,2375;0,644273;0,0591913;-0,675807;-1,34628;
A7WK43;11,7654;11,467;10,7426;12,1749;14,2524;14,4438;14,2535;14,7731;3,94316;0;-2,89324;-8,87387;+
A8WFF4;13,4377;13,4021;13,6719;13,9255;14,1626;14,2703;14,4654;15,083;2,00207;0,00107587;-0,886016;-3,71145;+
A8WFI3;12,7624;11,2791;13,2922;14,559;15,784;15,996;15,898;14,9872;2,02508;0,00107183;-2,69314;-3,75636;+
A8WFJ8;13,5785;13,6865;13,3766;13,1973;15,8712;15,2782;16,1312;16,3225;4,16071;0;-2,44106;-9,69552;+
A8WFK6;14,553;14,6866;14,5368;14,5027;17,2533;17,2247;17,6494;20,3028;2,51636;0,000425332;-3,53777;-4,78558;+
A8WFM5;14,5256;14,0338;14,6757;15,098;17,081;17,2559;16,4813;16,7586;3,77648;3,51E-05;-2,31092;-8,28636;+
A8WHM5;10,6828;10,6729;10,6384;10,5856;13,5245;14,2877;14,3313;15,0935;4,56577;0;-3,66431;-11,4098;+
A8WHN5;14,9627;15,227;14,8815;14,7923;14,2785;14,1676;14,1121;14,2561;3,54169;2,95E-05;0,762304;7,51552;+
A8WHS3;12,5011;13,6572;12,0769;11,9466;14,2737;13,491;14,0608;14,818;1,83523;0,00172862;-1,61542;-3,39341;+
A8WHT8;14,1828;14,235;13,8004;14,2985;14,4367;14,1244;14,2327;14,6101;0,690501;0,0508599;-0,221831;-1,42535;
A8WIT0;12,7542;10,503;10,0652;11,2943;14,1973;14,4298;14,4162;14,9811;2,80292;9,97E-05;-3,35191;-5,45886;+
A8WJ47;10,7187;10,8537;10,7561;10,7805;13,727;14,0866;13,7978;14,9127;4,74767;0;-3,3538;-12,2668;+
