Proteins,daf2_d5_01,daf2_d5_02,daf2_d5_03,daf2_d5_04,daf2_d1_01,daf2_d1_02,daf2_d1_03,daf2_d1_04,daf2_d10_01,daf2_d10_02,daf2_d10_03,daf2_d10_04,daf2_d15_01,daf2_d15_02,daf2_d15_03,daf2_d15_04
B3WFY5,16.5449,18.2842,18.7127,20.5999,16.4401,19.6351,17.1878,16.9072,19.32,20.7823,21.242,18.9441,23.4149,23.7315,27.1289,24.315
B3WFY5,18.7586,19.4052,18.8725,19.8658,18.1912,17.2033,17.195,18.0567,23.8211,23.3181,24.1166,21.8166,19.3582,20.4076,20.0051,18.2451
B3WFY5,19.9826,18.4677,18.3284,16.243,17.9842,19.554,16.4702,21.4069,19.6776,20.0635,20.6625,19.2994,21.9279,21.1901,21.2037,22.1223
B5BM23,26.1089,25.7739,28.2667,27.87,17.8374,16.927,18.273,18.5831,19.2565,20.5214,20.8073,19.2984,17.7966,19.0075,19.8149,20.4367
B5U8N2,17.2964,19.4821,17.8265,21.8554,19.4225,17.1692,17.3141,17.4451,20.794,17.0792,20.0665,17.8365,19.3527,18.7334,19.0145,19.3477
B9ZSG9,20.5432,18.5417,16.7774,17.5947,16.1226,19.1411,16.9976,16.6789,21.2892,20.9302,20.5808,19.112,19.674,20.0255,18.6412,18.8489
C1P636,17.3157,18.8478,18.1833,21.483,25.7144,26.3304,25.4538,25.8301,28.1097,27.49,29.1203,26.5139,27.7008,26.7488,27.4769,27.3912
C1P636,18.7508,19.4518,18.9647,18.3812,15.9196,19.7251,17.0032,19.9054,20.6987,20.4937,19.9295,21.1422,22.9692,26.3648,25.376,24.413
C1P636,25.1877,25.0023,23.1957,25.4774,25.064,24.3155,24.5389,24.8321,27.9025,28.8274,29.1852,26.7635,25.8866,25.6956,26.2341,24.5328
C1P636,18.2157,17.5293,18.0968,18.5673,16.7576,21.2111,17.4887,18.5936,19.5016,21.754,20.7256,19.0557,19.2177,20.1429,19.4047,20.8035
C1P636,18.1637,16.9372,18.2516,18.6327,17.6087,20.229,17.1308,19.6554,20.6485,18.7298,20.203,20.8085,17.9553,21.2553,16.7793,21.7272
C6KRI9,20.1961,17.7619,16.2799,16.1577,18.1693,15.0907,16.4394,17.5768,19.2445,18.5205,21.3972,19.5055,20.7414,21.158,19.3679,21.1913
C6KRJ1,22.8552,24.3563,24.4903,25.2138,24.4326,24.4605,26.4846,24.3524,23.5737,22.4739,23.5811,22.3814,22.949,22.8606,24.4534,24.4054
C6KRJ1,17.9909,18.3753,18.5884,18.469,19.424,20.1725,20.1467,18.7584,18.4022,21.0043,20.3874,18.524,21.2327,21.8295,18.2657,17.4938
C6KRL2,18.5573,19.2276,18.4827,18.1175,16.7956,21.8184,19.1989,18.2664,21.1565,19.3807,15.6495,18.3946,21.0431,20.7774,19.4863,20.2261
C6KRL2,18.0508,19.8054,17.1838,19.3248,20.7082,20.0066,18.1155,17.9902,19.3761,18.9591,20.0725,19.869,17.5634,20.2593,20.2766,20.7387
C6KRL2,21.1684,19.499,17.901,19.3144,18.1465,19.0307,16.6751,18.8534,19.2015,20.1216,22.0081,18.1704,19.5013,20.1225,18.5821,19.3218
C6KRN1,18.4859,16.9813,17.0374,21.0926,19.3306,15.8292,18.8088,20.5486,20.5858,20.6337,21.9644,19.1441,20.4915,21.1809,20.6294,18.8108
C6KRN1,16.6547,18.5443,16.0815,17.7385,17.6828,17.5006,16.4275,16.0409,19.2687,18.887,21.353,20.6831,18.7834,21.633,19.4782,20.5855
D0Z5P0,21.092,16.867,20.6727,19.494,16.9003,18.0781,19.6056,17.9194,18.9025,20.0222,17.0252,17.7482,17.7092,20.7841,18.4649,19.1874
D0Z5P0,17.5716,16.7928,19.0841,19.1684,16.6548,16.6767,20.199,18.4508,20.3732,18.9264,19.9212,20.9562,19.2621,19.6182,17.6342,18.4357
Q22832,22.2082,20.8246,22.7351,21.787,17.5687,16.2136,16.8627,19.8625,23.4199,24.9452,23.9638,25.6489,23.0937,23.0485,24.3155,23.4028
Q22832,23.3504,23.7692,24.3282,21.7121,20.3867,20.2048,20.7456,22.3366,20.1997,20.919,18.7993,19.2352,19.5397,19.2291,20.6574,16.6171
Q22832,24.3427,24.89,26.2767,24.6906,22.8951,23.158,24.4768,22.887,26.268,25.7124,25.4438,26.2238,19.6961,20.9385,20.2637,19.0692
Q8WQB8,19.0928,19.653,20.7014,19.2429,17.5912,18.6467,20.4481,18.8304,20.2393,19.0665,19.1256,19.5508,18.7886,18.4448,21.4132,19.2394
D5MCQ2,17.9227,19.9393,19.5391,17.3401,18.3212,17.9172,16.3847,18.5122,19.579,19.5669,20.1508,20.3804,18.8687,19.5902,20.3204,20.0103
O17698,23.0391,22.009,20.2045,23.8427,21.9131,23.5392,22.5392,23.2833,23.0172,23.0852,22.3995,22.8542,18.7278,20.6151,17.9973,19.6184
D5SGZ9,17.8236,16.838,17.7001,18.4325,19.1785,17.4938,18.295,18.9011,19.935,18.4787,20.805,19.5039,19.629,20.1536,18.6924,18.8233
D5SGZ9,18.5782,19.1054,18.9314,19.7368,16.3839,17.2058,19.7448,17.9061,19.6082,19.2474,20.6448,19.3938,21.2519,20.2825,19.9894,20.569
D5SGZ9,19.2124,18.363,19.9581,18.6648,17.9832,17.359,18.4486,20.0378,19.1052,20.1635,19.878,19.4577,18.5031,21.0808,19.748,20.0726
D6R8W5,18.6919,16.7921,18.383,17.8697,16.2043,19.325,18.8588,18.2469,18.7703,19.1535,20.9391,18.0989,18.7895,19.6993,19.6063,21.8178
D6VPA0,18.6233,17.6865,16.5484,19.3795,22.7379,22.7649,23.5545,21.8104,19.9202,21.212,20.5429,18.8169,18.5305,18.1271,20.5708,18.6003
D7SFI3,19.2424,20.1849,18.4733,19.7762,18.0334,18.1742,16.4381,18.748,17.9935,21.0319,19.2685,19.2352,19.3525,18.9399,18.8102,17.7072
D7SFP5,18.4406,18.876,19.9751,19.434,18.3499,18.5536,18.3749,16.3886,17.5361,20.6916,20.4381,20.0837,18.698,19.2478,21.2026,20.6352
D7UU24,18.7199,20.1057,19.7472,17.1511,18.8284,20.5203,20.2781,17.8555,23.8706,24.1351,22.1479,23.6812,19.3703,21.7601,19.0059,20.1663
D7UU24,20.6186,16.3164,19.3272,19.9648,17.3079,19.172,20.3262,16.5919,20.8144,18.4134,19.781,19.9008,21.2234,17.7946,19.5148,20.2606
Q9U3I3,17.917,17.5194,19.6139,19.1015,17.7135,17.859,19.0451,19.3164,21.4202,18.3918,20.6223,18.1174,21.0144,17.4525,20.1776,20.5172
D9PTP5,18.9501,17.4877,17.3676,18.2004,18.8612,17.8201,18.1309,16.5825,21.3794,18.8338,20.6033,17.5842,19.6057,19.7345,20.7807,19.4985
D9PTP5,18.1982,17.1095,17.5436,18.7706,20.2684,17.699,20.4096,18.5692,17.9506,19.7131,18.6295,21.321,21.5702,18.5996,19.8316,18.8321
D9PTP5,20.1563,20.0681,17.6404,19.7356,19.5603,18.3735,16.5895,19.2143,19.5957,19.3379,18.9544,17.9852,19.1157,20.9234,19.1571,20.6332
E0AHE1,19.4613,20.0602,20.3536,18.6439,19.6904,19.4901,17.4837,16.7939,20.1349,20.1904,20.0307,20.1971,19.9896,19.5121,19.4418,18.0267
Q20396,20.207,18.4441,19.9087,18.6184,19.1852,18.9676,17.9874,17.431,15.9964,17.8043,21.2685,21.0347,23.9415,23.2762,24.6398,24.7561
E1B6S4,19.3829,16.8624,17.6904,18.9784,18.79,17.7108,16.7027,19.9953,20.6258,20.4695,21.9238,21.3326,19.254,16.5689,19.9233,21.1081
E3W759,18.844,19.4638,17.8415,16.8116,18.4991,16.1048,18.2855,16.7717,20.0027,18.087,21.1002,19.7556,23.0788,23.7842,23.5999,23.6614
Q21162,17.7303,18.5051,18.7712,15.91,18.359,19.9653,18.6789,18.5958,17.0183,20.2579,19.0157,19.9134,17.8676,19.9636,20.303,21.3869
Q21162,19.632,18.302,16.8884,19.3154,18.4185,21.5596,20.1891,20.575,19.7342,18.0149,20.5729,18.7108,21.4918,20.1998,20.3549,19.7311
G3MU81,19.7266,19.6806,18.2704,18.2835,17.8894,15.9537,19.4495,18.4656,19.3363,20.5608,17.4277,18.6416,21.8997,21.3468,21.3703,22.3275
G3MU88,20.7127,17.5306,18.9406,18.4541,16.6329,18.152,16.8299,19.4845,19.6873,18.1776,19.1534,16.6644,17.4973,21.0118,20.6951,19.3674
G3MU88,17.0123,17.2836,15.5761,18.3164,19.9605,20.4658,17.8436,17.9719,20.397,18.7045,21.274,19.117,20.1175,19.8538,17.8352,19.1362
