ProteinAccessions;log2 N2_d10_01;log2 N2_d10_02;log2 N2_d10_03;log2 N2_d10_04;log2 N2_d5_01;log2 N2_d5_02;log2 N2_d5_03;log2 N2_d5_04; -Log Student's T-test p-value N2_d10_N2_d5;Student's T-test q-value N2_d10_N2_d5; Student's T-test Difference N2_d10_N2_d5;Student's T-test Test statistic N2_d10_N2_d5;Sign p-val: 0.05 
A0A131MBU3;19,3271;19,0947;19,2671;20,1542;18,4456;18,298;18,1992;18,5686;2,30855;0,00051444;1,08288;4,3327;+
A0A131MCJ0;14,3632;13,6236;14,3735;14,8436;14,3326;3,91271;14,0929;11,5426;0,652389;0,0652293;3,3308;1,36022;
A0A131MCL1;14,4646;14,27;14,2207;14,8722;11,3367;11,033;11,168;11,5541;5,59507;0;3,1839;17,1216;+
A0A131MCL4;14,4552;14,3986;13,9343;14,5848;15,0588;15,0866;13,8978;15,6883;0,71865;0,0534151;-0,589688;-1,47315;
A0A163UT65;14,5057;14,1558;14,4594;15,0856;15,0343;15,2846;15,3123;15,0999;1,65651;0,00296858;-0,631144;-3,06601;+
A0A164D380;16,0316;16,81;15,7661;15,8938;14,2654;13,9874;14,3445;14,9511;2,86132;0,000144942;1,73829;5,60369;+
A0A164D3C9;13,8158;13,5077;14,4739;14,054;11,3622;11,0841;11,056;11,5117;4,62692;0;2,70937;11,6915;+
A0A164D3G3;15,9003;15,0766;15,7207;16,1953;15,5543;15,7114;15,2037;15,1199;0,550726;0,0917864;0,325907;1,18351;
A0A168H9Z7;16,7321;16,7146;16,8607;17,0371;13,9565;14,3631;14,313;14,4141;6,013;0;2,57446;20,1494;+
A0A1C3NSI5;14,3364;14,0395;14,216;15,0928;15,3575;16,0375;16,173;15,8722;2,5738;0,000329699;-1,43891;-4,91578;+
A0A1C3NSL1;14,1897;13,9917;13,9553;15,072;11,255;11,1898;11,2619;11,715;4,29123;0;2,94672;10,2204;+
A0A1C3NSL5;19,361;19,3437;19,3241;20,1146;18,137;18,0159;18,0333;18,2232;3,44058;0;1,43351;7,20262;+
A0A1D3PCL0;14,325;14,3164;14,4535;14,7686;11,2682;10,9403;11,2586;11,656;5,67106;0;3,18505;17,6372;+
A0A1D3PCL8;16,6155;15,1614;16,2159;17,5791;14,6299;14,5406;14,5097;14,7324;1,92302;0,00149545;1,78981;3,55915;+
A0A1I6CM73;14,4782;14,1286;14,43;14,6104;12,1926;14,3166;13,9831;12,2316;1,12386;0,015648;1,23082;2,14922;+
A0A1I6CM84;16,2014;16,6957;17,0625;17,522;15,2715;16,0483;15,169;14,849;2,17794;0,000659032;1,536;4,06163;+
A0A1I6CM85;15,5354;16,2973;16,397;17,2766;12,2939;13,639;13,1443;13,0203;3,51086;0;3,3522;7,41894;+
A0A1I6CM94;14,0845;14,3953;14,0122;14,7374;11,2154;11,1904;11,1949;11,6971;5,15333;0;2,98289;14,3996;+
A0A1I6CM95;17,1363;16,0308;17,3242;18,1571;15,3208;14,5097;14,693;14,9303;2,55719;0,00032699;2,29865;4,8779;+
A0A1I6CMC9;14,2976;14,1019;14,2455;15,0564;11,9964;12,6013;12,7059;12,2536;3,55699;0;2,03602;7,56384;+
A0A1N7SYP3;21,0819;20,3173;21,0967;21,7864;19,4632;20,1036;19,1478;19,1059;2,27867;0,000536995;1,61542;4,26982;+
A0A1N7SYP6;17,3957;17,3569;17,3764;18,6601;16,9735;17,242;16,8179;17,1523;1,00101;0,022234;0,65085;1,94485;+
A0A1N7SYQ5;17,6128;16,3803;16,2;15,7966;15,368;15,1084;15,3659;15,0904;1,7138;0,00260465;1,26424;3,16959;+
A0A1N7SYT2;14,4444;14,4314;14,475;14,9247;13,8988;14,717;14,2952;13,7935;0,809665;0,0397255;0,392768;1,62634;+
A0A1N7SYU2;14,3312;15,4872;15,4595;16,0877;10,7174;11,7878;11,4483;10,9196;4,07309;0;4,12315;9,35678;+
A0A1N7SYW5;14,3564;14,2042;14,4094;15,0269;12,7073;13,758;14,0414;13,4339;1,61099;0,00339239;1,01409;2,98457;+
A0A1T5HUK0;14,4648;14,4094;14,1878;13,6447;13,9815;12,2419;14,0954;13,9793;0,587043;0,0814086;0,602123;1,24721;
A0A9S0;14,2362;14,423;14,1566;15,1419;13,5168;14,3793;14,0736;14,0231;0,860775;0,0340727;0,491246;1,71172;+
A0A9S2;14,1664;13,6575;14,7004;14,2198;13,7159;13,8113;12,9448;13,7027;1,1493;0,0144811;0,642351;2,19169;+
A2V8C3;17,8589;18,5957;19,0153;19,1432;16,6593;16,2092;16,0935;16,572;3,40176;0;2,26981;7,08538;+
A2V8C8;19,7232;19,0382;19,4349;19,5799;17,6766;17,1523;17,0689;18,1387;3,26341;0;1,93492;6,68002;+
A3FPJ3;14,0299;13,6734;14,1505;14,6029;12,0488;11,8308;12,0437;13,1728;2,66227;0,000289354;1,84016;5,12088;+
A3FPK9;14,142;14,4011;14,2462;14,9528;15,3741;15,2588;14,908;15,0004;1,7961;0,00223099;-0,69977;-3,32062;+
A3FPL3;14,3041;14,38;14,4774;14,8269;11,3481;11,0248;11,2461;11,6589;5,74249;0;3,17762;18,1355;+
A3QM97;16,0608;15,1779;15,6514;15,8142;11,411;11,2274;11,1961;11,6333;6,04004;0;4,30914;20,3623;+
A3QM98;18,6385;18,8246;19,4709;19,2545;15,8591;16,851;15,5253;18,1874;2,09301;0,000769231;2,44142;3,89049;+
A3QMB6;14,2271;14,3903;14,249;14,3717;12,6418;13,3357;13,0564;13,4907;3,08116;5,67E-05;1,17837;6,17429;+
A3QMB7;15,253;15,5304;15,5021;18,6603;14,9245;13,3711;12,8346;12,8782;1,5566;0,00409788;2,73433;2,88819;+
A3QMC2;15,4008;15,534;15,8288;16,2848;14,9792;14,5922;14,6963;14,9191;2,37158;0,000439526;0,965393;4,46716;+
A3QMC5;17,3861;17,2681;16,3446;18,1643;17,6606;17,6059;17,3454;17,7866;0,344718;0,19217;-0,308832;-0,803844;
A3QMC6;15,7318;15,4876;15,4696;16,0848;15,7521;14,6672;14,9154;15,4121;0,908171;0,0296233;0,506748;1,79062;+
A3QMC8;14,2674;13,8168;14,0557;14,0625;14,3896;13,9228;14,0622;14,2881;0,352738;0,186218;-0,115078;-0,819408;
A4F303;14,2727;14,1395;14,314;14,919;13,7188;13,7581;13,604;14,1455;1,55618;0,00409544;0,604715;2,88746;+
A4F305;14,4315;13,7603;14,3592;15,0578;13,1924;13,9341;13,8821;13,0292;1,34949;0,0079662;0,892743;2,52932;+
A4UVK2;16,9396;16,6029;16,3646;17,5186;13,5845;13,4246;12,6757;13,02;4,55943;0;3,68021;11,381;+
A4UVK9;14,4169;14,4439;13,7384;14,8879;14,2732;14,205;13,8225;14,4493;0,281921;0,24746;0,184298;0,678936;
A4UVL1;14,4628;14,4112;14,2741;14,84;11,1719;11,1497;11,1886;11,6674;5,78461;0;3,2026;18,4357;+
A4UVL9;14,3863;14,4106;14,1874;15,09;10,9531;10,6088;10,9725;11,5879;4,75669;0;3,488;12,3108;+
A4UZ35;14,3003;14,3656;14,1799;15,1433;13,1568;13,1195;13,168;13,5543;2,68245;0,000232044;1,24761;5,16846;+
A5A8P5;14,0678;13,8568;14,8909;13,7311;15,6643;15,3177;17,1308;16,2322;2,2026;0,000654953;-1,94958;-4,11205;+
A5HU91;19,9048;21,3434;20,9199;21,4929;19,179;19,4707;18,3275;18,8508;2,3931;0,000385138;1,95825;4,51364;+
A5HU97;19,7567;19,4839;19,8566;20,3092;16,073;15,7607;16,2293;16,6729;5,14087;0;3,6676;14,3292;+
A5HU98;16,549;17,1327;17,1646;17,1503;16,18;16,2084;15,9688;15,8316;2,79672;0,00018279;0,951942;5,44362;+
A5HWA4;14,3978;14,3847;14,2994;13,8544;11,3442;11,2562;11,979;11,5487;4,91647;0;2,70207;13,1153;+
A5HWA9;14,4792;14,3649;14,0998;14,5937;11,4874;11,2284;11,2632;11,7162;5,8782;0;2,96057;19,1201;+
A5HWB2;13,9212;14,3806;14,4219;15,1674;13,5762;14,0513;13,1339;12,9822;1,58554;0,00359457;1,03687;2,93936;+
A5JYR4;14,8271;14,2647;15,8807;15,1402;14,1127;14,3318;13,8559;14,6614;1,08541;0,0174474;0,787714;2,08515;+
A5JYS8;14,2443;14,3088;14,3442;14,1746;12,9333;13,4584;13,7355;13,1334;2,72366;0,000195122;0,952842;5,26654;+
A5JYT2;14,5044;13,1219;14,1506;14,9601;14,7328;14,059;13,7612;15,4984;0,242758;0,293327;-0,328588;-0,597854;
A5JYU1;13,8976;14,4276;14,0451;15,0324;13,3508;13,2611;13,0395;14,1214;1,40542;0,00663161;0,907454;2,6251;+
A5JYU5;14,0474;14,4321;14,173;14,6315;12,3686;14,7136;13,4037;9,81631;0,83539;0,0367808;1,74545;1,66936;+
A5JYW3;17,6768;17,0138;15,8545;19,0372;14,2888;13,252;12,746;15,2662;2,1652;0,000671318;3,50731;4,03569;+
A5JYW9;17,9372;18,0293;17,74;16,5773;15,1462;15,0276;16,9016;15,9831;1,77734;0,00228094;1,80632;3,28597;+
A5JYX3;16,2607;15,5756;15,7103;17,1084;16,6114;16,1213;15,5416;16,3904;0,00194141;0,989879;-0,00243402;-0,00582692;
A5JYX4;16,1222;17,1768;16,7072;17,5146;16,3443;16,5117;16,6057;16,6913;0,503344;0,108563;0,341958;1,09924;
A5JYX8;15,692;16,2532;15,8641;17,5102;14,6302;14,7245;14,8715;14,9103;2,00557;0,00118601;1,54572;3,71827;+
A5PEY0;16,3432;17,7678;16,7697;16,901;15,1477;14,3453;14,0399;15,5989;2,44773;0,000381811;2,16243;4,63294;+
A5Z2S2;14,2618;14,3444;13,9971;14,8109;15,2246;15,1412;14,7026;15,6364;1,74025;0,00242055;-0,82267;-3,21784;+
A5Z2S4;14,0547;14,2941;16,4338;14,4957;13,7714;13,9218;13,7667;14,057;0,859666;0,0342385;0,940377;1,70987;+
A5Z2S9;14,2695;12,9083;14,119;13,8433;11,606;12,2727;12,202;12,4795;2,42894;0,000392029;1,64498;4,59169;+
A5Z2T6;14,3655;14,2836;14,2186;14,6125;13,3906;12,1633;12,6221;12,9695;2,92814;0,000133751;1,58367;5,7728;+
A5Z2T7;14,4661;13,9806;14,3874;13,5701;12,7342;12,2502;12,7658;13,2952;2,39163;0,000384523;1,33971;4,51044;+
A5Z2T9;16,8455;17,0401;17,0017;18,2177;13,942;14,2609;14,0652;14,2488;4,15146;0;3,14702;9,65922;+
A5Z2U5;14,2037;14,2535;14,2594;15,0751;11,4729;13,152;13,2071;15,9312;0,4841;0,115685;1,00711;1,06458;
A5Z2U8;14,3055;14,4426;13,4924;14,4603;14,2622;14,0627;14,3729;14,7592;0,288779;0,240963;-0,18905;-0,692863;
A5Z2U9;18,5721;18,008;18,6024;18,7602;15,3249;15,077;15,024;15,2866;5,76587;0;3,30755;18,3016;+
A5Z2V2;14,157;14,3245;14,4457;14,2892;14,225;13,9455;12,8637;12,9466;1,21721;0,0121375;0,808924;2,30546;+
A5Z2V3;13,3297;13,8143;14,4396;15,0292;14,3359;11,9927;12,8729;14,5257;0,457835;0,12623;0,721389;1,01683;
A5Z2V7;15,6673;15,4918;15,6503;15,7946;14,5463;14,4202;14,1601;15,15;2,58799;0,000302684;1,08182;4,94831;+
A5Z2W3;14,1632;14,0152;13,9331;15,0071;15,1472;14,348;15,9832;15,8149;1,23629;0,0114082;-1,04367;-2,33756;+
A5Z2W6;13,784;13,6488;14,391;15,1275;14,2064;14,0838;14,2406;14,998;0,137692;0,481319;-0,144369;-0,364064;
A5Z2W7;18,5571;19,1433;18,726;18,8657;17,0013;16,9305;17,4535;17,3347;4,04874;0;1,64303;9,26456;+
A5Z2X2;14,3211;14,2314;14,4559;15,1531;15,9131;15,5007;14,9215;15,6052;1,73422;0,00245133;-0,94478;-3,20682;+
A6PVA1;16,0339;16,004;15,7184;16,2394;13,4863;14,0119;14,5029;14,0746;3,82377;0;1,97998;8,44949;+
A6ZJ46;16,9516;15,8337;16,3127;16,9454;15,1251;15,1949;14,9224;15,817;2,0198;0,00105461;1,24597;3,74603;+
A6ZJ55;18,8922;18,1141;18,0676;19,6482;11,4423;11,1743;11,2672;11,671;5,82369;0;7,29181;18,7185;+
A6ZJ59;17,2409;16,9135;17,3461;16,6587;14,102;14,1595;13,3515;13,4529;4,77951;0;3,27331;12,4228;+
A7DT38;14,5027;13,486;14,2612;14,8979;11,4447;11,0988;11,0074;11,5973;4,01188;0;2,99991;9,12646;+
A7DT40;15,1902;15,7259;15,1396;17,0037;14,4571;14,3022;14,6854;14,7936;1,44444;0,00586944;1,2053;2,69238;+
A7DT45;14,114;14,1387;14,0786;14,9661;18,4646;18,2708;17,7188;18,3908;5,1259;0;-3,88692;-14,245;+
A7DTF0;17,029;16,9183;17,5271;18,5742;15,661;15,4692;15,5499;15,747;2,60035;0,000304021;1,90543;4,97676;+
A7DTF2;14,3501;14,2005;14,257;15,0693;11,4452;11,1996;10,9888;11,5608;4,94149;0;3,17062;13,2457;+
A7LPD6;14,5102;14,3944;14,3733;15,0574;14,8029;13,817;14,2832;15,749;0,0632877;0,715794;-0,0791955;-0,178247;
A7LPE4;14,6116;14,9428;14,1768;16,0579;12,5929;14,2998;14,3115;13,6789;1,12548;0,0155295;1,22648;2,15193;+
A7LPE6;18,779;19,1198;19,2772;20,1526;18,375;18,5566;17,8789;18,2525;1,77051;0,0023033;1,06641;3,27338;+
A7LPF3;14,2057;15,8866;15,4657;14,6305;15,0145;14,9461;14,8569;14,7293;0,158857;0,433108;0,160438;0,413441;
A7LPF5;14,1744;14,2543;14,4518;14,6376;14,5593;15,0219;14,6072;14,962;1,38076;0,00721224;-0,408113;-2,58278;+
A7LPG5;20,5226;19,4723;19,6272;20,8033;18,4001;17,7913;18,4195;18,4092;2,65591;0,000288435;1,8513;5,10596;+
A7LPH5;16,4812;16,1217;16,1351;17,643;15,0054;14,9074;14,9185;15,1991;2,3148;0,000499034;1,58765;4,34592;+
A7LPI4;13,6636;14,0056;14,445;14,8512;14,3713;14,4334;13,9431;15,1512;0,266961;0,262646;-0,233395;-0,648282;
A7LPI7;14,5029;13,9383;14,1618;15,1105;11,589;13,659;12,9947;11,5771;1,83854;0,00188197;1,97341;3,3996;+
A7LPJ5;17,9344;18,8143;18,7017;17,803;15,2377;14,1142;15,1789;15,2347;3,95186;0;3,37197;8,90547;+
A7WK39;15,9551;15,7123;15,8519;17,2375;15,2759;14,5904;14,9831;15,5881;1,40296;0,00672452;1,07983;2,62086;+
A7WK43;14,2524;14,4438;14,2535;14,7731;14,6888;13,9926;13,319;14,0453;0,659355;0,0638711;0,419293;1,37216;
A8WFF4;14,1626;14,2703;14,4654;15,083;14,1465;15,1786;14,6447;13,9069;0,0256213;0,875802;0,0261512;0,0749235;
A8WFI3;15,784;15,996;15,898;14,9872;14,5185;13,9334;13,6613;14,6451;2,38237;0,000416369;1,47674;4,49044;+
A8WFJ8;15,8712;15,2782;16,1312;16,3225;13,7689;13,5299;13,7634;13,7381;4,08294;0;2,2007;9,39432;+
A8WFK6;17,2533;17,2247;17,6494;20,3028;17,5711;14,042;11,4599;11,7626;1,48514;0,00520537;4,39861;2,763;+
A8WFM5;17,081;17,2559;16,4813;16,7586;14,8485;15,3133;15,4241;15,6724;3,19482;6,05E-05;1,57964;6,48603;+
A8WHM5;13,5245;14,2877;14,3313;15,0935;15,7096;14,9384;13,4929;15,4548;0,448431;0,130114;-0,589717;-0,999598;
A8WHN5;14,2785;14,1676;14,1121;14,2561;15,1809;15,3016;14,2294;16,5685;1,22423;0,0119761;-1,11651;-2,31726;+
A8WHS3;14,2737;13,491;14,0608;14,818;13,9083;12,6464;12,8699;12,7196;1,50341;0,00494373;1,12482;2,79486;+
A8WHT8;14,4367;14,1244;14,2327;14,6101;12,1615;12,4953;11,5399;12,4925;3,9044;0;2,17869;8,7341;+
A8WIT0;14,1973;14,4298;14,4162;14,9811;11,0328;11,2223;11,0364;11,7101;5,09922;0;3,25573;14,0961;+
A8WJ47;13,727;14,0866;13,7978;14,9127;11,3657;11,1951;11,2648;11,7018;4,07003;0;2,74918;9,34518;+
A8XJ46;14,5012;14,4252;14,1581;15,0482;14,0756;13,7817;14,1696;13,957;1,40526;0,00662971;0,537182;2,62482;+
A9CZN9;13,8381;14,3663;14,458;15,1609;12,6138;14,1934;12,6726;12,5219;1,62813;0,00322474;1,45539;3,01517;+
A9D0C6;15,4719;15,4694;14,3078;16,047;13,975;13,7147;13,8629;14,0815;2,04306;0,000838642;1,41548;3,79163;+
A9D2X7;17,6489;17,3456;16,8659;18,9839;16,4862;15,1082;14,6326;15,4832;2,04807;0,000839229;2,28349;3,80148;+
A9D4S6;16,0659;16,7486;16,4387;17,3221;13,8431;14,0846;13,4157;12,6564;3,58485;0;3,14386;7,6525;+
