Proteins,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04
A8WFH7,25.063,23.6007,22.0982,25.3421,21.9383,21.0262,21.0937,21.3629
A8WFH7,25.7008,24.2427,25.4262,25.9514,21.6483,21.1861,21.274,20.5321
A8WFH7,24.6478,24.9616,23.6429,24.1458,21.9007,20.8866,21.1112,20.8968
H2KYH9,19.3879,20.8717,19.7479,19.0681,20.9452,20.3794,21.3666,20.8089
A8WHP8,24.0634,23.4967,23.0104,24.4816,21.0232,20.9093,20.3694,20.2612
A8WHP8,17.1354,20.8986,20.093,20.5329,21.4926,20.4379,20.3095,20.0491
A8WHP8,21.3205,20.2522,20.2152,19.3479,21.8556,21.2609,20.4131,21.153
A8WHP8,20.9376,20.4717,20.1587,20.062,21.055,20.9253,21.3503,20.5017
A8WHP8,24.5639,23.7705,23.2198,25.8315,21.2944,20.9086,20.4398,21.4136
A8WHP8,20.4907,19.6433,20.3711,19.3644,21.8871,20.6285,21.2773,21.3874
A8WHP8,21.0831,19.973,19.809,20.0161,23.2677,24.7549,24.1846,22.9503
A8WHP8,23.7258,23.0494,24.1707,24.1196,22.3801,22.2303,22.1913,23.5533
A8WHP8,20.4522,19.4025,21.5374,19.0613,21.0094,20.4796,20.4503,20.9462
A8WHP8,21.5143,19.4221,18.579,17.8617,21.5321,20.7202,20.872,20.2321
A9UJN7,23.5053,23.7493,23.0876,21.2754,21.261,21.0153,20.4617,21.3037
A9UJN7,19.2311,20.6968,18.6077,19.3129,24.5306,25.2145,23.6747,23.5798
A9UJP1,21.3933,19.4812,18.0198,17.034,21.4518,21.1751,19.9734,21.4049
A9UJP1,19.2506,20.6364,20.4422,19.6897,21.2025,20.9375,21.0627,21.0856
A9UJP1,21.3871,21.2699,20.2688,21.9666,23.9156,22.1042,21.0743,20.8243
A9UJP1,25.6334,26.8699,24.638,23.9589,24.8843,20.9237,22.3069,21.0457
A9Z1K9,21.5394,23.5686,23.0814,24.5124,21.8829,20.2243,20.7176,21.3981
B0M0L8,25.3746,24.7047,25.5014,22.9531,23.4622,22.0198,21.9639,23.0405
B0M0L8,24.8394,24.8236,23.7881,25.6991,25.6005,26.2634,27.5623,27.6125
B0M0L8,21.5699,21.4254,18.283,17.4387,21.1606,21.1918,21.1776,20.465
B0M0L8,23.7064,23.9818,24.5245,24.5644,23.4548,20.7018,23.2471,21.3577
B0M0N4,22.921,23.0128,23.1922,22.0914,21.6374,20.5461,20.3349,21.4086
B0M0N4,24.8491,24.2209,23.299,23.6631,23.9416,23.9374,21.9504,22.5869
B0M0N4,20.8989,20.4911,20.9516,19.9531,21.2342,21.0938,20.6816,20.849
B2D6M4,25.0242,24.7169,22.3951,25.4842,28.4802,23.7904,26.005,25.9466
B2D6M4,20.3312,18.7969,18.3435,20.3708,24.9736,22.7269,25.7027,23.5296
B2D6P1,19.6455,19.1665,20.5828,19.0339,21.89,20.7663,20.8738,21.4188
