geneName;Leading.proteins,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04
;A9UJP1;Q95ZR6;Q9XVL1,21.6074,19.6301,21.3168,19.7908,20.3752,20.9983,20.3401,21.596
;A9UJP1;Q95ZR6,25.4615,25.1134,25.633,27.1141,24.7759,21.6179,22.9029,22.9717
;A9UJP1;Q95ZR6;Q9XVL1,25.1295,24.9643,25.4021,23.0182,23.5517,24.5036,25.2843,25.071
;A9Z1K9,20.5842,20.7323,21.317,20.6205,25.7672,25.9749,25.6818,28.89
hsp-43;B0M0L8;H2KYS1,20.6987,20.7027,20.309,20.7099,22.1166,23.2779,21.8406,23.467
hsp-43;B0M0L8;H2KYS1,24.7927,25.2357,25.4779,26.086,25.229,24.3716,24.5296,23.2563
hsp-43;B0M0L8;H2KYS1,20.7058,19.7031,21.8011,20.5861,21.0146,20.967,21.408,20.6054
hsp-43;B0M0L8;H2KYS1,25.474,25.5772,24.6546,21.5552,22.8827,21.4374,21.4661,23.8239
;B0M0N4,24.719,24.5634,24.7246,22.1008,21.029,21.6173,21.7983,21.0978
;B0M0N4,24.0699,24.1641,24.3997,24.0027,23.7929,24.6363,24.2758,24.124
;B0M0N4,21.4247,20.8739,19.8761,21.0103,20.931,21.3061,21.7937,19.8725
aat-6;B2D6M4,27.6832,26.0726,27.0805,26.0872,25.5304,27.5923,26.6201,26.5127
aat-6;B2D6M4,21.6725,20.2733,21.1519,20.2451,20.7468,20.9624,21.1756,20.5598
rmd-2;B2D6P1,21.5443,20.3561,21.313,19.9066,21.6003,20.9568,20.6863,21.0526
rmd-2;B2D6P1,21.9892,19.6764,21.8147,21.0431,20.8261,20.4019,19.9709,20.3885
urm-1;B3CKG1,25.6141,23.7333,24.3491,24.1618,24.6014,25.6672,24.6381,24.9835
;B3WFT8,23.7266,24.2193,24.2031,23.4053,21.3531,19.5144,21.0243,21.69
;E1B6S9,20.866,18.9558,20.9479,20.9911,19.2882,20.5428,21.0318,21.5463
abts-1;G5EC65,21.7818,21.4303,21.2461,21.3108,21.0863,21.0029,21.1349,20.951
;B3WFW7,21.5579,22.4365,23.8335,22.577,20.2918,19.5298,20.0551,21.9286
;B3WFY5,23.8415,24.5537,24.4146,25.4662,20.6349,21.5405,21.2236,21.7733
;B3WFY5,24.9195,23.0552,21.5764,24.172,23.2228,22.8943,24.2937,23.8111
;B3WFY5,19.7482,18.4664,21.4804,21.3404,24.1499,24.4939,24.652,23.8111
ifg-1;B5BM23,24.0766,24.3701,23.9299,24.6628,24.4894,28.4348,27.7537,24.8589
ret-1;B5U8N2,21.4913,21.2821,20.7489,20.5406,18.9469,19.8055,21.0633,20.5318
ret-1;B5U8N2;Q23187;Q23188;Q7JLB0,20.4145,20.9176,21.7405,20.0991,19.5044,20.8151,21.4949,20.1092
ret-1;B5U8N2;Q23187;Q23188;Q7JLB0,22.4338,22.3162,23.341,22.5443,24.819,24.834,23.1623,23.0611
pgp-5;B6VQ78,23.5396,24.0538,24.027,24.4733,19.6568,22.6306,23.9513,23.6542
pgp-5;B6VQ78,24.0253,24.1954,23.8341,24.7094,21.3647,21.3349,20.829,20.8332
pgp-5;B6VQ78,21.642,20.6649,19.8164,20.3838,24.1702,24.2232,22.9661,23.9612
pgp-5;B6VQ78,23.6822,23.377,23.6016,23.0704,20.6392,21.7098,20.9488,20.2275
;D9PTN8,21.3977,21.2719,21.0537,21.2828,20.5785,20.5149,21.7013,21.0948
T05H10.4;B7WN71,23.5192,22.6347,24.6094,23.4524,21.2807,21.2965,21.2213,20.4487
rpl-32;B7WN95;Q22716,21.6393,20.813,19.4023,21.1742,20.3419,21.2027,20.3604,20.3478
;B7WNA1,21.2993,19.6165,20.9416,20.8479,21.7147,22.5178,22.0646,22.4565
ztf-18;B9ZSG9,21.1978,21.8127,22.4531,23.278,21.5045,20.9024,21.5147,21.3549
uba-1;C1P636,20.779,21.0683,20.7227,21.02,21.471,20.7173,19.5881,21.9699
uba-1;C1P636,21.7447,20.9783,21.5709,20.5026,22.5521,21.6449,21.9665,23.5047
uba-1;C1P636,30.0731,29.2611,30.0036,27.1609,28.286,29.9323,29.7354,28.7573
uba-1;C1P636,20.6949,21.4646,21.6526,21.297,20.1321,21.8338,21.1902,21.0473
uba-1;C1P636,24.2267,23.6741,25.6649,25.6374,22.8085,23.5901,24.9533,24.3424
;C6KRI9,21.7316,22.0649,22.6537,22.0835,21.458,21.5299,22.758,22.377
;C6KRJ1,25.2667,24.4006,24.3994,21.1837,22.732,24.4234,23.0384,24.1261
;C6KRJ1,20.9254,21.2201,20.9721,21.3205,19.5567,21.5613,21.3932,20.3586
;C6KRL2,21.3642,20.8587,21.6605,21.4991,20.5165,20.4768,20.0589,21.1083
;C6KRL2,21.518,20.5641,20.9167,19.0885,20.7262,21.7809,21.8341,20.1589
;C6KRL2,20.9206,20.205,20.5774,20.9269,21.3622,21.7378,21.3455,21.7891
sao-1;C6KRN1,21.484,21.5206,21.2411,20.3934,20.1318,19.6751,21.7919,20.0726
sao-1;C6KRN1,21.796,20.2897,20.8251,20.2123,20.3814,20.4836,21.7323,21.738
;C7GIK1,24.5533,24.9669,24.442,23.6684,23.811,22.8812,22.466,22.9325
fln-1;D0IMZ5;U4PM01,20.4063,20.9288,21.6402,21.1567,21.5477,19.0419,20.7347,20.8467
fln-1;D0IMZ5;U4PM01,21.5125,20.0789,20.6525,19.8493,20.606,21.0738,19.3191,21.881
laf-1;D0PV95,21.3794,21.5366,20.5142,21.3843,19.3101,21.5928,21.3521,20.4235
sql-1;D0Z5P0,20.4903,20.513,20.9884,20.1689,21.329,21.5462,21.6418,19.4906
sql-1;D0Z5P0,18.7222,20.8157,21.0419,20.9418,20.7662,21.4595,20.9881,21.0587
sql-1;D0Z5P0,21.6657,20.9494,20.5703,20.7088,20.4718,20.3956,21.7591,21.5323
;Q22832,25.4476,24.7667,25.5468,27.4295,24.509,25.7114,25.2927,25.8654
;Q22832,20.76,19.8659,20.4732,20.4041,25.3073,26.7902,26.0234,27.1309
;Q22832,24.0034,23.9793,23.6716,23.3197,23.796,25.5118,25.5586,26.0285
;Q8WQB8,21.8786,19.1683,20.8092,20.9791,20.462,19.6709,21.2049,21.2928
