geneName;Leading.proteins,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04
;H2KYH9,19.3879,20.8717,19.7479,19.0681,19.7487,17.9815,18.4639,20.7233
mdt-28;A8WHP8;Q65ZB1,24.0634,23.4967,23.0104,24.4816,20.1272,19.2286,21.3475,18.0456
mdt-28;A8WHP8;Q65ZB1,17.1354,20.8986,20.093,20.5329,21.037,16.9152,21.167,18.8475
mdt-28;A8WHP8;Q65ZB1,21.3205,20.2522,20.2152,19.3479,18.1382,21.431,19.504,17.8746
mdt-28;A8WHP8;Q65ZB1,20.9376,20.4717,20.1587,20.062,18.1333,19.0979,18.6337,17.3611
mdt-28;A8WHP8;Q65ZB1,24.5639,23.7705,23.2198,25.8315,17.0459,17.4737,20.6031,21.1983
mdt-28;A8WHP8;Q65ZB1,20.4907,19.6433,20.3711,19.3644,18.1265,18.3221,19.3027,17.3529
mdt-28;A8WHP8;Q65ZB1,21.0831,19.973,19.809,20.0161,20.8725,21.4506,20.0014,19.4163
mdt-28;A8WHP8;Q65ZB1,23.7258,23.0494,24.1707,24.1196,22.5225,21.7908,22.6423,22.012
mdt-28;A8WHP8;Q65ZB1,20.4522,19.4025,21.5374,19.0613,19.1138,20.0552,19.4904,19.7747
mdt-28;A8WHP8;Q65ZB1,21.5143,19.4221,18.579,17.8617,19.2174,21.6616,20.6503,18.285
;A9UJN7;Q7YXB8;Q18494,23.5053,23.7493,23.0876,21.2754,21.8906,23.5375,22.3364,21.3585
;A9UJN7;Q7YXB8;Q18494,19.2311,20.6968,18.6077,19.3129,18.4604,17.0602,20.2056,18.0101
;A9UJP1,21.3933,19.4812,18.0198,17.034,18.9033,20.3709,18.6678,20.2278
;A9UJP1;Q95ZR6;Q9XVL1,19.2506,20.6364,20.4422,19.6897,18.8719,20.8176,18.3692,19.4947
;A9UJP1;Q95ZR6,21.3871,21.2699,20.2688,21.9666,24.8615,22.8557,25.1966,24.4543
;A9UJP1;Q95ZR6;Q9XVL1,25.6334,26.8699,24.638,23.9589,23.8391,23.8874,24.2484,22.8725
;A9Z1K9,21.5394,23.5686,23.0814,24.5124,24.0647,23.7384,24.1256,23.4516
hsp-43;B0M0L8;H2KYS1,25.3746,24.7047,25.5014,22.9531,24.3909,25.7657,26.1293,24.5924
