geneName,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04,log2 eat2_d1_01,log2 eat2_d1_02,log2 eat2_d1_03,log2 eat2_d1_04
dld-1,18.2642,18.2847,18.197,18.2195,17.9811,18.1879,18.0874,17.9898
"CELE_LLC1,2",17.2744,17.3179,17.1138,17.3557,16.4309,16.2213,16.7024,16.6033
top-1,12.6665,12.728,12.4577,12.7074,14.4326,13.6887,13.5329,14.343
arrd-14,14.3941,13.7045,14.0173,13.8718,14.4557,13.9038,14.0033,14.306
pes-9,18.1731,18.3889,18.4042,18.369,18.8825,18.8333,18.6761,18.6728
"CELE_R11H6,4",15.1573,14.8787,14.8872,14.975,13.7451,13.6811,13.9373,13.7319
pde-12,15.2498,14.2127,13.9289,13.7416,14.7361,13.4385,14.0588,14.7482
grl-7,13.6646,13.9838,13.742,13.6707,15.9115,13.6789,14.6522,14.0985
igdb-2,13.7202,13.6587,13.7351,13.7601,14.1712,13.4493,12.8092,13.9668
dhs-4,14.8357,14.2838,14.4717,14.4646,13.3927,11.7292,12.6765,12.5758
pfd-3,16.3835,16.1202,16.1149,16.1512,16.4946,16.5735,16.4411,16.4293
"CELE_T13F3,6",17.3794,17.3865,17.5501,17.4821,16.2761,16.5422,16.6261,16.5402
"CELE_T20F10,2",14.0582,14.1032,14.4098,14.5273,14.2632,14.1405,13.6365,14.2084
"CELE_T26E3,4",15.0694,15.088,15.0504,14.7873,13.6797,14.6006,14.2107,14.2424
tba-7,19.395,18.533,18.8665,19.5858,19.3136,18.4022,18.2544,18.8174
"CELE_T28D6,3",13.0351,13.0942,13.0632,13.2292,14.4746,13.4189,13.5347,13.8226
ogt-1,13.4006,13.0172,13.4126,13.0319,12.5193,13.0182,12.9674,13.1069
pptr-1,16.5644,16.38,16.291,17.6858,16.1894,16.4097,16.0176,16.4282
mrpl-12,18.0631,18.4145,18.1242,18.099,16.2588,17.0779,16.5455,16.7893
"CELE_W09D10,1",13.7092,13.8576,13.7319,13.8647,14.9375,13.9361,14.1763,14.3053
"CELE_W09D10,5",16.2831,15.7279,16.3559,16.6642,10.6755,10.3401,10.3527,10.6531
mrpl-37,14.5265,14.0884,14.1304,14.0126,14.7157,14.6447,14.4547,15.0265
"mop-25,2",15.0453,15.1712,15.0622,15.2592,12.3679,14.7031,13.6991,13.4263
"CELE_Y53C12B,1",14.5462,14.4463,14.3357,14.0079,13.9096,13.2255,13.9476,13.9349
pno-1,13.6563,13.5016,13.2044,13.4176,13.0217,12.6254,13.1078,13.3569
nos-3,15.6673,15.5319,15.4811,15.5497,14.8406,14.596,14.3528,14.5937
"CELE_Y57G11A,4",13.643,13.6622,13.566,13.2769,14.3607,13.5747,13.4459,13.9909
"CELE_Y57G11B,5",19.5397,19.3591,19.379,19.3492,16.451,16.6312,16.8373,16.7598
"Y57G11C,3",16.4765,16.0465,16.1348,16.1562,15.6661,15.6321,15.363,16.0129
coq-3,14.8678,14.7422,14.7313,14.5346,14.5688,14.6915,14.616,14.3899
nuo-3,15.3972,15.8279,15.5762,15.6038,17.0794,17.0244,16.7569,16.7695
rps-18,19.3308,19.3118,19.2401,19.2044,20.2324,20.2594,20.0587,20.019
