geneName;Leading.proteins,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04,log2 N2_d5_01,log2 N2_d5_02,log2  N2_d5_03,log2 N2_d5_04
mrg-1;Q9XWW2,20.2102,21.101,20.1765,20.8463,21.8746,21.5367,20.9151,21.1353
mrg-1;Q9XWW2,20.859,20.453,21.4226,21.3102,21.433,21.69,21.3709,21.6366
igcm-3;A7LPD6,21.0587,21.2205,20.7406,20.6755,21.6743,19.8499,20.6275,20.6893
igcm-3;A7LPD6,25.6588,25.0256,24.5083,23.1772,24.8229,24.2219,24.4056,24.2488
gpdh-2;A7LPE6,20.9544,21.3599,20.9047,19.2858,21.5082,20.64,20.72,21.4235
;Q5FC71,24.3965,25.1333,27.012,24.9088,20.5514,21.6184,20.6376,21.4186
;Q5FC71,20.9745,20.879,21.0967,21.5458,25.0205,24.5169,25.2637,24.6008
;Q5FC71,25.0711,26.4664,26.7263,26.4932,25.4537,24.8747,25.349,26.1034
;Q5FC71,25.3515,23.6736,24.0319,23.9483,29.3894,25.8352,26.9694,28.0083
;Q5FC71,31.8013,33.8387,33.8163,32.9827,31.8317,31.9517,32.0767,32.8714
;Q5FC71,21.5985,21.2506,19.8359,21.6113,21.8161,21.795,21.4124,21.324
;A8WFH7,20.7843,20.805,20.5197,21.6989,24.3507,24.0027,24.0837,23.2815
;A8WFH7,20.9733,19.8367,20.9435,19.9778,21.6912,21.455,21.1615,20.8753
;A8WFH7,21.101,24.1767,23.4194,22.271,25.4484,24.5444,25.3189,25.973
;H2KYH9,21.5217,20.5166,20.5425,21.5172,20.856,19.8511,21.1275,21.5647
mdt-28;A8WHP8;Q65ZB1,24.2893,23.7657,24.4579,22.9699,25.9795,23.7884,24.1989,25.6944
mdt-28;A8WHP8;Q65ZB1,20.8294,21.5916,21.2137,19.1049,21.4067,20.6294,20.3271,21.3441
mdt-28;A8WHP8;Q65ZB1,21.2548,20.6183,20.8884,20.5537,20.6801,20.7892,20.8094,21.5652
mdt-28;A8WHP8;Q65ZB1,21.5384,21.3693,20.8242,20.6777,20.5494,21.4381,20.9353,21.7761
mdt-28;A8WHP8;Q65ZB1,21.1554,20.6325,21.1355,20.2765,20.6053,21.1263,21.0482,20.5405
mdt-28;A8WHP8;Q65ZB1,20.2544,21.6151,20.0617,21.1577,21.6531,21.7826,21.1732,20.804
mdt-28;A8WHP8;Q65ZB1,20.8074,20.8022,21.4128,21.3674,27.3389,24.6685,24.4938,25.1839
mdt-28;A8WHP8;Q65ZB1,21.2695,23.6,22.7108,22.0169,19.8402,21.3724,20.8171,21.6808
mdt-28;A8WHP8;Q65ZB1,20.4923,20.5112,19.8218,21.6285,20.9013,20.9918,20.9498,21.8694
mdt-28;A8WHP8;Q65ZB1,21.0897,19.8147,20.7466,20.5453,21.6727,20.885,21.2466,21.206
;A9UJN7;Q7YXB8;Q18494,21.5432,21.1509,20.6708,20.7141,23.6844,22.0823,21.9277,22.9472
;A9UJN7;Q7YXB8;Q18494,20.9299,20.9026,20.2859,21.8679,21.3487,20.1665,21.3505,21.8295
;A9UJP1,20.3697,21.2713,21.0209,20.8613,21.7495,21.4073,20.976,21.7883
;A9UJP1;Q95ZR6;Q9XVL1,20.3752,20.9983,20.3401,21.596,22.4597,23.5879,23.175,23.6967
;A9UJP1;Q95ZR6,24.7759,21.6179,22.9029,22.9717,22.7035,22.3939,20.4529,21.9649
;A9UJP1;Q95ZR6;Q9XVL1,23.5517,24.5036,25.2843,25.071,22.8473,21.9395,23.1153,22.7369
;A9Z1K9,25.7672,25.9749,25.6818,28.89,19.9231,20.6072,20.2105,21.8903
hsp-43;B0M0L8;H2KYS1,22.1166,23.2779,21.8406,23.467,25.0669,24.6252,24.1689,25.7503
hsp-43;B0M0L8;H2KYS1,25.229,24.3716,24.5296,23.2563,26.4042,26.784,27.2719,26.8728
hsp-43;B0M0L8;H2KYS1,21.0146,20.967,21.408,20.6054,21.771,21.5422,20.5958,20.3997
hsp-43;B0M0L8;H2KYS1,22.8827,21.4374,21.4661,23.8239,21.6254,21.426,19.2773,20.1796
;B0M0N4,21.029,21.6173,21.7983,21.0978,21.5457,20.9462,20.6301,21.7356
;B0M0N4,23.7929,24.6363,24.2758,24.124,24.3545,24.1015,24.2058,24.8165
;B0M0N4,20.931,21.3061,21.7937,19.8725,21.8675,21.4405,21.0146,21.0157
aat-6;B2D6M4,25.5304,27.5923,26.6201,26.5127,26.2487,26.0746,26.1457,25.9289
aat-6;B2D6M4,20.7468,20.9624,21.1756,20.5598,20.7393,20.1756,20.1562,20.8222
rmd-2;B2D6P1,21.6003,20.9568,20.6863,21.0526,21.3708,20.4166,21.3986,21.5525
rmd-2;B2D6P1,20.8261,20.4019,19.9709,20.3885,23.9889,21.1143,22.8276,23.5128
urm-1;B3CKG1,24.6014,25.6672,24.6381,24.9835,20.8366,21.7237,21.4584,21.8401
;B3WFT8,21.3531,19.5144,21.0243,21.69,23.8234,24.3407,21.4686,22.4335
;E1B6S9,19.2882,20.5428,21.0318,21.5463,20.6909,21.0804,20.911,21.741
abts-1;G5EC65,21.0863,21.0029,21.1349,20.951,21.3563,21.128,20.5632,21.017
;B3WFW7,20.2918,19.5298,20.0551,21.9286,20.8087,21.4767,20.661,20.7372
;B3WFY5,20.6349,21.5405,21.2236,21.7733,25.0722,24.9864,24.7046,24.418
;B3WFY5,23.2228,22.8943,24.2937,23.8111,25.6881,24.9888,24.1979,25.6228
