geneName,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04,log2 N2_d5_01,log2 N2_d5_02,log2 N2_d5_03,log2 N2_d5_04
zig-11,13.6489,13.9017,13.8618,13.8864,12.3575,12.1928,12.7751,11.9676
ilys-5,16.3945,16.3511,16.3527,16.3028,16.4699,15.8699,15.9315,16.8144
irg-3,16.071,16.0031,15.8602,15.8577,17.5753,17.0789,17.0426,17.1917
tns-1,15.1657,14.8884,14.9202,14.9698,15.5425,14.8938,14.7866,15.2415
ubr-4,13.7513,13.275,18.4954,13.2745,10.9007,10.8419,12.2295,12.4937
ccar-1,14.6417,14.5149,14.456,14.3481,15.0733,14.9261,14.6607,14.2776
ulp-2,13.9047,13.6471,12.912,13.352,13.9227,14.4907,14.8008,14.4837
"CELE_T23F4,2",14.3993,13.9547,13.198,13.7822,14.6301,13.4505,13.9936,14.9059
sago-1,14.1281,13.7752,14.015,13.6909,13.2114,12.9299,12.1103,13.2928
sago-2,15.757,16.1672,15.8732,16.0161,16.7445,16.7038,16.0956,16.2426
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",13.6991,13.832,13.4278,14.0084,13.6279,13.9799,13.589,9.34186
daf-4,14.0073,13.9238,13.733,13.9805,13.9809,14.3527,13.3982,15.0507
hpo-3,12.0557,11.692,11.8544,11.8086,11.2987,11.1394,11.1731,11.6731
acs-22,15.5221,15.5952,15.4355,15.4668,14.1217,13.6942,13.6335,14.0711
tag-10,15.3715,15.1153,15.1104,15.1775,15.0082,14.5885,14.3784,14.6979
imb-2,14.56,14.623,14.18,14.2704,13.9174,13.882,13.8402,13.8063
brf-1,12.0288,12.0353,11.8507,11.8149,13.4709,13.1394,12.7689,13.7489
"CELE_W09B6,4",13.9942,12.6971,13.2133,13.2552,13.9775,12.4984,13.5548,13.8286
irg-7,19.0294,19.0553,18.9044,18.959,18.4456,18.298,18.1992,18.5686
"CELE_F27B10,1",13.448,13.2788,12.8441,12.9414,14.3326,3.91271,14.0929,11.5426
"CELE_T22F3,3",14.4729,13.7536,14.4411,14.5207,11.3367,11.033,11.168,11.5541
die-1,12.576,13.2845,12.6689,12.931,15.0588,15.0866,13.8978,15.6883
dhs-11,15.1269,14.7252,14.7219,14.9904,15.0343,15.2846,15.3123,15.0999
tbc-14,15.3428,15.0569,14.6554,15.0507,14.2654,13.9874,14.3445,14.9511
cyp-34a6,14.0835,13.9058,14.4655,13.9734,11.3622,11.0841,11.056,11.5117
fipp-1,13.4667,13.6388,13.8091,13.5684,15.5543,15.7114,15.2037,15.1199
unc-132,14.4148,14.4258,14.2715,13.9988,13.9565,14.3631,14.313,14.4141
cdh-4,13.3504,13.1353,13.0658,12.8024,15.3575,16.0375,16.173,15.8722
ajm-1,11.8713,12.009,11.8276,11.8538,11.255,11.1898,11.2619,11.715
"CELE_ZC412,3",17.3815,17.4424,17.573,17.3302,18.137,18.0159,18.0333,18.2232
farl-11,12.854,13.1664,12.6039,12.9723,11.2682,10.9403,11.2586,11.656
let-711,15.0757,14.9147,14.7872,14.9327,14.6299,14.5406,14.5097,14.7324
"C40H1,7",14.8673,14.7142,15.055,15.2103,12.1926,14.3166,13.9831,12.2316
spat-2,15.2126,15.1118,15.1529,15.2583,15.2715,16.0483,15.169,14.849
aakg-1,14.5098,14.3517,14.0566,14.3917,12.2939,13.639,13.1443,13.0203
grl-23,11.9143,11.9663,11.7497,11.5434,11.2154,11.1904,11.1949,11.6971
spat-2,12.9068,14.0977,13.3469,13.3409,15.3208,14.5097,14.693,14.9303
"CELE_Y55F3BR,6",12.0709,11.8597,11.8302,11.7828,11.9964,12.6013,12.7059,12.2536
vab-10,19.2772,19.2947,18.8533,19.1476,19.4632,20.1036,19.1478,19.1059
"eif-3,l;eif-3,L",18.8992,18.485,18.6725,18.5558,16.9735,17.242,16.8179,17.1523
"npp-25;npp-25;npp-25;Y37D8A,17",16.1403,16.7812,16.8121,16.7729,15.368,15.1084,15.3659,15.0904
cnt-1,12.1153,11.9476,9.87085,11.5245,13.8988,14.717,14.2952,13.7935
"C26G2,2",14.1511,14.121,13.4449,13.8114,10.7174,11.7878,11.4483,10.9196
"CELE_F43B10,1",13.6242,13.0234,13.1848,12.9121,12.7073,13.758,14.0414,13.4339
ubc-15,13.1848,13.219,13.572,13.253,13.9815,12.2419,14.0954,13.9793
"CELE_Y55F3BR,10",12.8284,13.0734,12.57,13.2446,13.5168,14.3793,14.0736,14.0231
"CELE_Y38F2AR,12",13.8951,14.335,14.0047,14.3626,13.7159,13.8113,12.9448,13.7027
ttr-42,17.5578,17.4002,17.6601,17.6665,16.6593,16.2092,16.0935,16.572
"CELE_H29C22,1",17.2318,17.8005,17.7423,17.385,17.6766,17.1523,17.0689,18.1387
"CELE_F07G6,10",14.1786,14.2982,13.8313,13.851,12.0488,11.8308,12.0437,13.1728
ttr-34,13.064,14.0912,14.3274,13.5116,15.3741,15.2588,14.908,15.0004
"CELE_Y49E10,29",11.8505,11.8016,11.394,11.5255,11.3481,11.0248,11.2461,11.6589
cnnm-1,11.4726,12.0016,11.7959,11.6274,11.411,11.2274,11.1961,11.6333
col-138,13.1775,13.2852,12.1847,13.8049,15.8591,16.851,15.5253,18.1874
oac-59,11.8727,11.9365,11.7087,11.8609,12.6418,13.3357,13.0564,13.4907
"C42C1,8",14.4975,14.5514,13.902,14.1441,14.9245,13.3711,12.8346,12.8782
"C42C1,11;AP-1",14.8473,14.8097,14.7818,14.875,14.9792,14.5922,14.6963,14.9191
rpl-34,18.0362,18.0713,18.2124,18.1066,17.6606,17.6059,17.3454,17.7866
erl-1,15.6087,15.3811,15.3577,15.4373,15.7521,14.6672,14.9154,15.4121
tag-335,14.7018,14.1614,14.2552,14.1314,14.3896,13.9228,14.0622,14.2881
fbxa-6,12.0549,11.6341,11.6141,11.5366,13.7188,13.7581,13.604,14.1455
"CELE_cTel55X,1",14.3296,13.5019,13.8903,13.4537,13.1924,13.9341,13.8821,13.0292
"C44C10,9",14.3263,14.5836,14.7116,14.557,13.5845,13.4246,12.6757,13.02
"CELE_F14D7,12",11.8775,11.8065,11.7869,11.6451,14.2732,14.205,13.8225,14.4493
"CELE_D1086,17",11.9725,11.7754,11.7179,11.7717,11.1719,11.1497,11.1886,11.6674
"CELE_W06G6,15;CELE_Y70C5B,2",13.1758,13.2071,13.1618,12.9562,10.9531,10.6088,10.9725,11.5879
"CELE_Y71F9AR,4",14.5184,13.0382,12.3358,12.8706,13.1568,13.1195,13.168,13.5543
"CELE_Y47G6A,33",15.6234,15.4406,15.7842,15.6588,15.6643,15.3177,17.1308,16.2322
"CELE_ZK813,7",19.165,19.5531,19.0118,19.3298,19.179,19.4707,18.3275,18.8508
"CELE_T28A11,2",16.0979,15.9674,16.2595,16.0879,16.073,15.7607,16.2293,16.6729
guk-1,16.8004,16.7195,16.5835,16.6208,16.18,16.2084,15.9688,15.8316
"CELE_Y53C10A,6",11.9464,12.0106,11.7582,11.861,11.3442,11.2562,11.979,11.5487
"CELE_Y48C3A,18",12.055,11.9376,11.8898,11.8659,11.4874,11.2284,11.2632,11.7162
"CELE_Y39B6A,3",13.717,13.542,13.2362,13.3423,13.5762,14.0513,13.1339,12.9822
dab-1,14.2548,14.2129,14.0809,14.2306,14.1127,14.3318,13.8559,14.6614
"CELE_F25H8,1",13.8347,13.7362,12.9506,13.6441,12.9333,13.4584,13.7355,13.1334
swsn-9,14.0427,13.9116,14.0567,13.8405,14.7328,14.059,13.7612,15.4984
"CELE_ZC434,7",13.0121,12.4457,12.1367,13.0362,13.3508,13.2611,13.0395,14.1214
rad-50,12.5573,11.7242,11.1369,11.676,12.3686,14.7136,13.4037,9.81631
"C25F9,11",11.989,11.807,11.8602,11.7597,14.2888,13.252,12.746,15.2662
sin-3,14.7803,14.1006,13.8095,13.6259,15.1462,15.0276,16.9016,15.9831
hmp-1,13.8512,14.1158,14.0597,13.8836,16.6114,16.1213,15.5416,16.3904
dhs-3,17.0545,17.096,16.9443,17.0743,16.3443,16.5117,16.6057,16.6913
nra-2,14.7967,14.7982,14.7732,14.7436,14.6302,14.7245,14.8715,14.9103
"CELE_Y37H2A,14",14.5683,14.7351,14.5568,14.6544,15.1477,14.3453,14.0399,15.5989
"CELE_F27E5,7",14.4553,13.7139,14.8068,14.8396,15.2246,15.1412,14.7026,15.6364
saps-1,14.9202,14.7388,14.6021,14.6935,13.7714,13.9218,13.7667,14.057
"CELE_ZK809,8",12.0242,11.9553,11.8826,11.844,11.606,12.2727,12.202,12.4795
"CELE_D1081,7",13.6721,13.808,13.0792,13.606,13.3906,12.1633,12.6221,12.9695
aph-2,11.9073,11.4325,12.0816,12.1571,12.7342,12.2502,12.7658,13.2952
"CELE_F15B9,10",14.9448,15.1828,14.8623,15.0668,13.942,14.2609,14.0652,14.2488
"C27A7,5",13.4097,13.3996,13.61,13.6954,11.4729,13.152,13.2071,15.9312
"CELE_F30A10,13",14.0585,13.1099,14.1931,13.1684,14.2622,14.0627,14.3729,14.7592
"CELE_F30A10,14",15.3433,15.7875,15.4132,15.6728,15.3249,15.077,15.024,15.2866
"C04H5,7",13.8955,13.8098,13.9576,14.0295,14.225,13.9455,12.8637,12.9466
"C13B4,1",13.5797,13.5562,13.3513,13.4732,14.3359,11.9927,12.8729,14.5257
"CELE_F02E9,10",14.6209,14.1904,14.3967,14.3862,14.5463,14.4202,14.1601,15.15
"CELE_R13H4,2",11.8747,12.6002,12.4895,12.7454,15.1472,14.348,15.9832,15.8149
"CELE_ZK228,4",14.0829,14.316,14.2413,14.3417,14.2064,14.0838,14.2406,14.998
"CELE_K02B7,3",16.524,16.5371,16.5994,16.4552,17.0013,16.9305,17.4535,17.3347
nuo-3,13.425,13.2845,13.0729,13.2832,15.9131,15.5007,14.9215,15.6052
"C44E4,5",11.8236,13.7417,13.3041,13.5715,13.4863,14.0119,14.5029,14.0746
"CELE_F49E2,2",15.3451,14.8587,14.6492,15.1869,15.1251,15.1949,14.9224,15.817
"T07A5,7",13.503,13.9512,13.635,13.2363,11.4423,11.1743,11.2672,11.671
"CELE_T04F8,7",13.3989,13.9466,13.9333,13.5914,14.102,14.1595,13.3515,13.4529
"gpb5;CELE_T23B12,8",12.6798,12.9893,13.2089,12.6161,11.4447,11.0988,11.0074,11.5973
"CELE_F49D11,10",15.4817,14.8397,14.9766,15.0976,14.4571,14.3022,14.6854,14.7936
oxy-5,17.273,17.1142,17.4623,17.3327,18.4646,18.2708,17.7188,18.3908
mrg-1,15.8933,15.9318,15.7827,15.8439,15.661,15.4692,15.5499,15.747
obr-1,11.9664,11.6905,11.827,11.8041,11.4452,11.1996,10.9888,11.5608
igcm-3,12.1083,12.0281,12.516,12.0292,14.8029,13.817,14.2832,15.749
unc-16,12.9342,13.1892,13.2369,13.4493,12.5929,14.2998,14.3115,13.6789
gpdh-2,18.0988,18.2111,18.004,18.2519,18.375,18.5566,17.8789,18.2525
sly-1,15.279,15.3364,15.1856,15.166,15.0145,14.9461,14.8569,14.7293
"B0393,9",15.1198,14.5703,14.7407,14.698,14.5593,15.0219,14.6072,14.962
cisd-1,19.0858,19.1754,18.3427,19.1544,18.4001,17.7913,18.4195,18.4092
"CELE_F09E8,2",15.1932,14.9186,14.3732,14.4034,15.0054,14.9074,14.9185,15.1991
lsy-22,14.5916,14.6465,14.4427,14.6005,14.3713,14.4334,13.9431,15.1512
"C24H11,5",11.2901,11.8498,11.8332,12.5758,11.589,13.659,12.9947,11.5771
"CELE_F10A3,17",16.264,16.0456,15.9413,15.9067,15.2377,14.1142,15.1789,15.2347
pnc-1,15.5559,14.7556,14.9006,14.8459,15.2759,14.5904,14.9831,15.5881
"CELE_Y94H6A,12",12.0386,11.9782,11.8785,11.7587,14.6888,13.9926,13.319,14.0453
"CELE_F56C9,6",13.699,14.0036,14.3679,14.2865,14.1465,15.1786,14.6447,13.9069
"CELE_T28D9,4;T28D9,4",15.5581,15.5726,15.2549,15.2456,14.5185,13.9334,13.6613,14.6451
"C28G1,5",13.9807,14.3091,13.6301,14.1869,13.7689,13.5299,13.7634,13.7381
gpx-7,13.3483,12.6666,12.7571,12.7712,17.5711,14.042,11.4599,11.7626
"CELE_F41D9,2",13.7838,16.6043,14.4704,17.2714,14.8485,15.3133,15.4241,15.6724
"CELE_T04F8,8",15.982,15.9085,15.2966,15.8466,15.7096,14.9384,13.4929,15.4548
"CELE_ZK856,16",14.3797,14.2616,13.9677,14.0697,15.1809,15.3016,14.2294,16.5685
"CELE_F23B12,4",13.8596,14.0729,14.4281,14.3117,13.9083,12.6464,12.8699,12.7196
"CELE_K09A9,6",11.9962,12.0261,11.4419,11.829,12.1615,12.4953,11.5399,12.4925
"CELE_H14N18,4",11.667,11.2961,12.0674,11.7281,11.0328,11.2223,11.0364,11.7101
"CELE_T12B5,15",12.0705,11.9855,11.7865,11.8757,11.3657,11.1951,11.2648,11.7018
"CELE_Y17G7B,20",11.9571,11.982,11.6044,11.7946,14.0756,13.7817,14.1696,13.957
"CELE_E01A2,1",13.8986,14.3004,14.115,14.4558,12.6138,14.1934,12.6726,12.5219
"CELE_T02H6,1",14.7109,14.7223,14.6918,14.6643,13.975,13.7147,13.8629,14.0815
"CELE_Y37E3,11",16.0928,15.8344,15.4486,15.3572,16.4862,15.1082,14.6326,15.4832
"CELE_M03F8,3",14.0585,13.6087,13.714,13.8667,13.8431,14.0846,13.4157,12.6564
"CELE_F55B12,10",11.9712,11.9564,11.8647,11.6653,14.0504,14.5195,14.2264,13.4726
pptr-2,15.0902,14.6783,14.6458,14.6199,14.9798,14.4007,14.3091,14.0341
"maph-1,2",16.143,15.3811,15.2568,15.9234,16.305,15.8908,15.7928,16.4358
"CELE_K09G1,1",14.3218,14.6248,14.1772,14.5382,12.2552,12.8451,12.5611,12.0781
"B0303,7",13.5602,13.8117,14.2773,14.3017,15.59,15.0902,14.845,15.0644
"C23H3,3",14.0318,14.0303,14.0805,13.9875,13.7357,12.6212,13.1505,13.6813
"C17C3,1",14.1555,14.0812,14.3297,14.2761,13.8795,14.3428,14.2842,14.3652
glna-1,15.4211,14.4159,14.1459,14.1257,11.4708,11.0175,11.2093,11.6717
"CELE_Y61A9LA,11",11.9736,14.1109,13.107,12.4325,13.5688,12.7531,13.5933,14.3852
"CELE_F41E6,5",13.4433,13.2559,13.1863,13.2767,12.5618,11.7534,12.5495,12.7107
"CELE_T25B2,2",14.671,13.8562,14.2327,13.9572,15.2928,12.8713,13.0416,16.0681
trpp-1,11.9988,11.9847,11.8618,11.6257,11.3641,11.1781,11.2525,11.5066
tsp-10,11.5724,11.9757,11.8623,11.8363,12.3055,12.4856,12.4437,13.6292
ugt-26,17.1543,17.1762,17.0734,17.2,16.4473,16.645,16.5788,16.9456
"C14H10,3",14.7489,14.6143,14.6491,14.5112,13.8898,13.7291,13.4312,13.423
"CELE_D1086,10",19.1658,19.0757,19.298,19.1183,19.3954,19.0315,18.9308,18.6272
poml-3,14.2787,14.2731,14.2929,14.3547,14.3338,14.2494,13.8992,15.5383
unc-57,15.9245,15.8795,15.7757,15.8044,16.209,16.0865,16.051,16.4387
szy-20,14.0703,13.1425,14.4363,14.4823,16.6646,15.8838,15.7374,15.7368
"CELE_T06E4,14",11.9412,11.9504,11.6794,11.8052,11.3308,10.9042,11.2195,11.4486
"CELE_F13G3,10",11.606,11.93,11.8337,11.8601,11.3141,11.1449,12.3911,11.3731
rmd-2,17.5095,17.2275,17.2661,17.0657,16.0437,16.0568,16.1528,16.1071
smc-3,14.5261,14.5001,14.4458,14.7379,14.6819,15.0386,15.1898,14.7674
ntl-2,14.4823,14.215,14.622,14.463,14.1789,14.4401,14.5377,14.1725
gcn-1,16.9191,16.7214,16.7089,16.6994,15.752,15.9117,15.9622,15.5573
urm-1,17.5134,17.5942,17.4573,17.4538,17.8233,18.1964,17.9227,18.313
nono-1,15.6522,15.6497,15.3708,15.5637,15.3171,15.5952,15.4526,15.4454
atf-7,12.0592,11.6421,11.8857,11.8206,10.2368,11.6118,11.8959,10.9052
vps-26,15.1388,15.0842,14.7662,14.8535,15.0507,15.1223,15.1306,15.18
ndx-9,14.8026,13.7556,13.762,14.3679,15.5459,15.4328,15.3957,15.3698
"C14F11,4",16.7639,16.7119,16.7007,16.6954,16.5888,16.4148,16.4312,16.3339
abts-1,15.2848,15.4407,15.0253,15.1531,14.6455,14.5903,14.3627,14.1869
"CELE_ZK858,6",15.9892,15.7392,15.8044,15.8304,14.978,14.4906,14.3168,14.3482
"C41G7,9",17.7286,17.8963,17.6788,17.8288,17.5717,16.7591,19.1556,17.2968
lin-10,14.3357,14.1475,13.6711,13.4067,14.8645,14.6701,14.8594,14.9565
"CELE_M04C9,3",13.1192,13.4799,13.8366,13.5099,11.3932,9.55992,11.2762,11.5651
"C31H5,6",14.5786,14.2188,14.3934,14.3756,11.4013,11.1343,11.1502,11.6101
"CELE_ZK355,8",13.1145,12.7423,12.9276,13.4448,16.4887,16.4969,16.4243,16.1475
spds-1,16.2033,15.7788,16.384,15.5748,14.4535,15.1165,16.4215,14.6654
nxf-1,15.2021,15.3723,14.8895,15.0364,14.6199,14.8511,14.5977,14.8824
"CELE_F38A6,5",15.5084,14.8211,14.8371,15.2232,11.3654,11.9056,11.2762,11.553
"CELE_T03D8,6",14.6119,14.5514,14.5963,14.3425,14.8574,14.4961,14.7442,14.9609
ret-1,16.794,16.4523,16.724,16.7871,17.0221,16.6113,16.354,16.939
"CELE_D1086,12",16.5751,14.7759,14.7471,15.0082,15.021,15.9267,15.9276,15.2951
"CELE_F52C12,6",12.7404,13.5468,13.9611,13.9331,14.1678,14.6427,14.1178,14.2776
"CELE_Y40B1A,3",13.4158,13.6806,12.6321,13.1169,14.4998,14.0117,14.5913,15.8046
pals-37,17.6498,17.2595,17.1701,17.3171,18.7703,18.6688,17.8268,18.6663
"CELE_F59A2,2",14.5209,14.2993,14.496,14.0834,14.0791,14.1075,14.2702,14.5037
ptr-24,15.4629,16.4512,16.341,16.3425,16.106,16.4935,16.4503,15.2753
"CELE_F11C1,5",13.5874,13.9264,15.2209,13.6923,13.2549,13.0517,12.9927,14.924
"CELE_Y43F8B,1",17.7249,17.976,18.1973,17.8196,18.637,18.5232,18.8916,19.0915
sam-10,12.7483,13.254,12.888,12.6761,15.0923,16.0562,14.8501,14.5637
dic-1,19.2854,18.1001,18.8418,18.0055,20.2252,20.0375,19.8693,19.7644
unc-68,13.6454,12.5409,12.5556,12.3182,11.5395,10.7791,12.6507,11.1341
"CELE_T05H10,4;T05H10,4",13.7105,13.2104,14.7102,12.7757,15.8117,16.2801,15.8871,14.0024
"CELE_M05D6,5",15.8471,15.9103,15.8764,15.7764,15.9978,16.0272,16.0805,16.0999
ctg-2,14.7175,14.1174,14.6755,14.2301,13.7307,13.8963,14.0126,14.2818
rpl-32,18.7956,18.7595,18.9379,18.8961,19.3172,19.3598,19.8177,19.4186
"CELE_F37H8,3",14.6056,14.0712,14.1397,14.8763,13.6714,13.2556,13.1719,12.6058
clec-146,14.965,14.2793,15.2098,14.8038,13.7563,13.9413,14.1263,14.3478
tnt-3,15.9467,15.5132,15.5642,15.3732,16.6635,16.1828,16.3124,16.5355
mlt-11,13.1269,13.2678,13.1013,13.2727,13.7421,13.3203,12.9912,13.7728
hrpu-1,12.8373,12.4413,12.7039,13.2272,13.595,13.1477,13.9873,13.3873
kcc-2,14.176,14.4414,14.4773,12.0315,13.8177,13.827,13.918,14.1821
ced-7,14.1153,14.2428,14.0783,15.3812,14.0239,13.8928,14.5212,13.792
"CELE_F17C8,9",14.8044,15.0879,14.8674,15.0173,14.8777,14.8453,15.0041,15.2278
unc-119,12.65,12.9321,12.9717,12.8347,13.752,12.654,12.7119,13.3435
mrpl-46,14.2658,15.2795,15.0645,15.1756,15.7284,15.5221,15.2468,14.9413
"CELE_F40G9,5",14.2378,14.1272,14.2086,14.3004,12.1324,12.5133,13.0437,13.8124
"CELE_F40G9,17",14.6424,14.9723,14.7765,14.8952,14.9622,15.1769,14.38,13.3603
"CELE_Y54G11A,17",13.7111,13.266,13.3009,13.5431,13.1901,13.784,13.5532,14.3971
let-767,17.2605,17.1823,17.5792,17.3614,17.0774,16.9506,17.4799,16.7233
dnj-16,17.9715,15.8858,16.646,16.9745,14.3745,14.7776,14.766,14.8344
cfim-2,14.6719,14.5511,14.1675,14.0939,14.8777,15.3765,15.0308,15.0555
magi-1,15.9363,16.3424,17.0841,16.8551,15.402,15.4287,16.7742,14.5838
"CELE_F55D12,2",14.6737,12.2823,12.911,13.1237,11.4504,11.2232,11.275,11.6811
"C39B5,5",15.1427,15.2744,14.9165,14.5922,15.1944,14.6267,14.9421,15.2778
"CELE_Y32H12A,2",13.6282,15.9214,13.4285,12.9876,13.974,12.5789,15.5809,13.8949
smg-3,14.6856,14.391,14.656,14.5563,16.5958,14.0011,14.102,14.8185
"CELE_F56B3,4",14.2167,14.2935,14.1046,14.4887,14.1506,15.4177,14.5521,15.6718
"CELE_Y34B4A,8",12.0574,11.8511,11.8539,11.695,11.303,11.2284,10.7509,11.281
csn-6,14.2817,14.747,14.6551,14.1695,14.5852,15.0057,14.3809,14.3183
marg-1,15.5866,15.7553,15.7875,15.7618,15.7532,15.2481,15.6792,15.9284
grsp-2,16.598,16.8051,16.4955,16.6106,16.8976,16.7446,15.7425,16.9328
"CELE_T28C6,7",14.9293,15.4033,14.8465,15.4711,15.6556,14.9138,14.965,15.3995
"CELE_T20D3,3",14.9783,15.1369,14.97,15.016,15.2274,14.4608,14.129,15.0165
"CELE_R102,4;R102,4",17.1077,17.2108,17.0221,17.0059,17.451,17.1979,17.5262,17.7424
sao-1,14.5251,14.4702,14.4371,14.4944,15.9227,15.543,15.4522,16.4398
"CELE_D1086,11",18.4738,18.3159,18.2383,18.1997,18.622,18.5574,17.7402,18.7787
sqrd-1,15.3627,14.9893,14.8511,14.8781,13.7139,13.885,14.0756,15.123
