geneName;Leading.proteins,log2 rpn6_01,log2 rpn6_02,log2 rpn6_03,log2 ev_01,log2 ev_02,log2 ev_03
nex-1;G5EEA8,25.4178,25.2996,25.0876,25.2046,25.0599,24.8095
frm-1;G5EEP9,26.4832,26.4236,26.4838,26.462,26.0916,25.9659
frm-1;G5EEP9,25.4,24.7302,25.0127,23.5675,24.2708,24.4506
vglu-2;G5EEK1,24.5259,24.8039,24.7484,22.7562,22.6741,23.141
;G5EEN7,25.4141,25.2906,25.2087,25.1896,25.0106,24.8457
;G5EF05,27.5113,28.4701,28.2804,28.0439,27.3439,28.0886
;G5EFF2,25.6918,25.9727,25.5785,24.9533,25.5303,24.6912
;G5EFF2,26.9762,26.9963,26.6044,26.372,27.0923,26.5694
mdf-1;G5EFM0,24.4734,24.9383,24.5155,23.0397,22.8426,22.6632
ikb-1;G5EFS1,22.922,22.7531,22.5806,25.2469,24.7668,24.7806
pgp-8;G5EG03,23.2775,22.5548,22.768,24.7723,23.9911,24.9883
pgp-8;G5EG03,23.2775,22.5548,23.0232,24.7723,25.6471,24.5749
pgp-9;G5EG58,24.2839,24.4972,24.3054,22.1322,23.0271,22.8986
lec-2;G5EGB1;Q20684,22.9258,22.9462,22.8616,24.8198,24.8357,25.0428
lec-2;G5EGB1;Q20684,22.7315,23.0168,22.5278,22.4915,23.1212,23.4629
vha-6;G5EGP4,27.2811,26.5949,26.9313,26.6467,27.2949,26.8906
B0416.5;G8JXY9,24.6639,24.9728,24.4324,25.3441,24.9278,24.6589
eef-1a.2;eft-3;G8JY74,23.0043,22.3857,22.5561,25.2436,25.3554,25.0383
eef-1a.2;eft-3;G8JY74,27.0022,26.8551,27.0823,22.8382,22.4711,23.0923
eef-1a.2;eft-3;G8JY74,22.9851,22.8039,22.9661,25.683,25.1489,25.5363
ubq-1;ubq-2;G8JY83,25.9694,25.5588,25.8887,29.35,29.1216,28.6643
ubq-1;ubq-2;G8JY83,26.4728,26.295,26.6754,26.3865,25.875,26.3828
ubq-1;ubq-2;G8JY83,32.7293,32.8805,32.2572,34.682,34.7733,35.0652
ubq-1;ubq-2;G8JY83,30.7122,30.8364,31.0751,30.9754,31.2651,31.3083
ubq-1;ubq-2;G8JY83,26.6094,26.7484,26.1641,28.9173,29.2925,29.0553
ubq-1;ubq-2;G8JY83,27.4848,27.0327,26.4439,28.8148,28.7364,28.2821
lea-1;H2FLK8;H2FLK9,26.1692,25.8713,25.8301,26.0224,25.4536,24.678
lea-1;H2FLK8;H2FLK9,23.0065,22.7519,22.9284,24.1835,23.2451,23.4854
lea-1;H2FLK8,23.6769,24.263,24.6968,20.1471,23.719,24.7556
