geneName;Leading.proteins,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04,log2 eat2_d1_01,log2 eat2_d1_02,log2 eat2_d1_03,log2 eat2_d1_04
;A9UJP1;Q95ZR6;Q9XVL1,21.6074,19.6301,21.3168,19.7908,20.7754,21.2796,21.4993,21.2506
;A9UJP1;Q95ZR6,25.4615,25.1134,25.633,27.1141,22.3508,24.0385,24.6726,22.9248
;A9UJP1;Q95ZR6;Q9XVL1,25.1295,24.9643,25.4021,23.0182,23.7969,24.428,24.7722,23.5462
;A9Z1K9,20.5842,20.7323,21.317,20.6205,20.1415,21.4402,21.3336,21.2091
hsp-43;B0M0L8;H2KYS1,20.6987,20.7027,20.309,20.7099,22.2206,23.0069,22.2746,22.6231
hsp-43;B0M0L8;H2KYS1,24.7927,25.2357,25.4779,26.086,24.9529,25.1135,25.0916,24.3269
hsp-43;B0M0L8;H2KYS1,20.7058,19.7031,21.8011,20.5861,20.304,21.0669,20.6657,18.9223
hsp-43;B0M0L8;H2KYS1,25.474,25.5772,24.6546,21.5552,22.9874,23.8159,23.6436,23.136
;B0M0N4,24.719,24.5634,24.7246,22.1008,18.7555,21.9056,20.2279,20.4692
;B0M0N4,24.0699,24.1641,24.3997,24.0027,24.3454,23.7015,23.1392,21.4984
;B0M0N4,21.4247,20.8739,19.8761,21.0103,20.7754,21.5527,21.8158,19.9556
aat-6;B2D6M4,27.6832,26.0726,27.0805,26.0872,24.9244,27.366,27.1777,25.6319
aat-6;B2D6M4,21.6725,20.2733,21.1519,20.2451,24.984,24.3233,25.3258,24.4813
rmd-2;B2D6P1,21.5443,20.3561,21.313,19.9066,20.5095,21.199,20.8649,20.7348
rmd-2;B2D6P1,21.9892,19.6764,21.8147,21.0431,20.0498,21.5581,20.7946,20.5847
urm-1;B3CKG1,25.6141,23.7333,24.3491,24.1618,19.3419,21.7821,20.0069,20.6851
;B3WFT8,23.7266,24.2193,24.2031,23.4053,24.8013,23.49,23.5209,23.1971
;E1B6S9,20.866,18.9558,20.9479,20.9911,20.5692,21.8788,20.6257,19.418
abts-1;G5EC65,21.7818,21.4303,21.2461,21.3108,20.4316,20.9295,20.2328,21.3291
;B3WFW7,21.5579,22.4365,23.8335,22.577,21.7908,21.7776,21.8369,19.7096
;B3WFY5,23.8415,24.5537,24.4146,25.4662,20.2881,21.8965,21.6186,20.5289
;B3WFY5,24.9195,23.0552,21.5764,24.172,21.9412,22.5069,22.4384,23.249
;B3WFY5,19.7482,18.4664,21.4804,21.3404,23.5732,23.558,23.4256,22.1002
ifg-1;B5BM23,24.0766,24.3701,23.9299,24.6628,19.7499,21.7201,21.2273,19.1894
ret-1;B5U8N2,21.4913,21.2821,20.7489,20.5406,20.3902,21.6241,21.5243,21.2768
ret-1;B5U8N2;Q23187;Q23188;Q7JLB0,20.4145,20.9176,21.7405,20.0991,20.2006,21.8813,21.6502,21.3221
