geneName;Leading.proteins,log2 eat2_d15_01,log2 eat2_d15_02,log2 eat2_d15_03,log2 eat2_d15_04,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04,,,,
;A1IMB7,20.1651,21.4032,20.405,20.527,25.965,22.8421,23.3381,23.8852,,,,
;A3QMB7,20.7373,20.1265,19.4449,20.363,21.206,21.5263,21.4968,21.7754,,,,
;J7SF86,21.6992,19.8334,20.528,19.015,20.2734,20.259,20.0158,21.6882,,,,
;U4PRJ1;Q95ZL3,20.3424,21.1414,21.6776,21.4089,21.582,20.1746,21.4126,21.197,,,,
dhs-3;A5JYX4,25.0451,23.9429,23.8379,23.3846,20.6948,21.3708,20.6507,21.9711,,,,
dhs-3;A5JYX4,25.7235,27.2136,26.6909,26.9276,24.1129,24.3753,24.8917,24.4856,,,,
dhs-3;A5JYX4,21.1575,20.7076,21.5962,20.9997,21.245,20.4202,20.87,20.6246,,,,
dhs-3;A5JYX4,22.7036,24.2487,23.7622,25.1969,19.3386,20.697,20.7156,21.6778,,,,
dhs-3;A5JYX4,22.7036,23.7003,24.2314,22.5855,20.2291,20.613,19.7949,19.4653,,,,
;A5PEY0,23.403,24.0328,25.7259,23.9859,25.5355,25.6998,26.2741,26.2982,,,,
;I2HA81,21.0581,20.2849,19.3281,20.9725,24.7242,27.0789,27.0492,27.1398,,,,
;A5Z2W7,21.1554,22.6265,22.7661,22.033,21.0167,20.4802,21.2138,21.5717,,,,
;A5Z2W7,24.0147,24.2679,25.58,22.7831,20.2934,20.4612,21.815,19.0872,,,,
;A6PVA5,21.8409,23.5633,24.0965,23.1731,19.7895,20.7534,21.4499,21.8348,,,,
;Q20621,23.8934,23.9373,24.0824,24.923,21.1897,20.0253,19.5769,20.4429,,,,
tag-296;A7DT41,20.992,20.3824,19.657,21.681,21.5836,19.9429,20.6132,20.6201,,,,
tag-296;A7DT41,21.2066,20.6973,21.3437,21.2599,21.4812,22.0996,22.6976,22.4475,,,,
tag-296;A7DT41,20.9432,18.7387,21.3275,21.4523,21.3677,19.7855,21.0483,21.2688,,,,
tag-296;A7DT41,20.8964,19.8609,20.8022,19.31,21.2246,20.1147,20.8393,20.825,,,,
tag-296;A7DT41,20.6043,20.8339,20.6146,21.1435,24.3781,24.4253,24.7751,24.4764,,,,
tag-296;A7DT41,20.8753,18.8561,21.3432,21.0917,19.7496,20.66,21.2118,21.2848,,,,
mrg-1;Q9XWW2,20.8231,21.5212,20.6574,21.6754,20.2102,21.101,20.1765,20.8463,,,,
mrg-1;Q9XWW2,21.3114,18.261,20.5507,20.9375,20.859,20.453,21.4226,21.3102,,,,
igcm-3;A7LPD6,25.3577,24.5915,22.9995,24.3284,21.0587,21.2205,20.7406,20.6755,,,,
igcm-3;A7LPD6,25.6671,23.456,21.6948,23.5304,25.6588,25.0256,24.5083,23.1772,,,,
gpdh-2;A7LPE6,23.2776,26.6366,26.8808,25.5553,20.9544,21.3599,20.9047,19.2858,,,,
;Q5FC71,21.18,20.5198,20.3911,21.6162,24.3965,25.1333,27.012,24.9088,,,,
;Q5FC71,20.7639,20.5807,21.0098,19.4139,20.9745,20.879,21.0967,21.5458,,,,
;Q5FC71,21.8289,21.485,21.1998,21.5596,25.0711,26.4664,26.7263,26.4932,,,,
;Q5FC71,29.9646,29.1614,28.4394,27.7251,25.3515,23.6736,24.0319,23.9483,,,,
;Q5FC71,31.1305,32.3033,32.1706,23.7038,31.8013,33.8387,33.8163,32.9827,,,,
;Q5FC71,22.0454,21.1911,20.4814,21.1949,21.5985,21.2506,19.8359,21.6113,,,,
;A8WFH7,23.8858,24.9999,24.9737,23.5204,20.7843,20.805,20.5197,21.6989,,,,
;A8WFH7,20.907,20.2394,20.6324,21.4894,20.9733,19.8367,20.9435,19.9778,,,,
;A8WFH7,21.2492,24.6939,25.122,25.553,21.101,24.1767,23.4194,22.271,,,,
;H2KYH9,21.2969,20.7897,20.8244,19.1231,21.5217,20.5166,20.5425,21.5172,,,,
mdt-28;A8WHP8;Q65ZB1,23.1619,22.8317,22.1447,22.7106,24.2893,23.7657,24.4579,22.9699,,,,
mdt-28;A8WHP8;Q65ZB1,21.4583,20.6505,21.4453,21.1883,20.8294,21.5916,21.2137,19.1049,,,,
mdt-28;A8WHP8;Q65ZB1,23.1303,22.6735,23.4692,21.9141,21.2548,20.6183,20.8884,20.5537,,,,
mdt-28;A8WHP8;Q65ZB1,21.4823,19.5476,21.7658,21.1653,21.5384,21.3693,20.8242,20.6777,,,,
mdt-28;A8WHP8;Q65ZB1,21.9637,22.0137,22.2861,22.9176,21.1554,20.6325,21.1355,20.2765,,,,
mdt-28;A8WHP8;Q65ZB1,21.7561,20.04,21.5093,19.5039,20.2544,21.6151,20.0617,21.1577,,,,
mdt-28;A8WHP8;Q65ZB1,26.4881,21.3335,23.9101,25.2886,20.8074,20.8022,21.4128,21.3674,,,,
mdt-28;A8WHP8;Q65ZB1,21.0801,20.5858,21.0352,20.3379,21.2695,23.6,22.7108,22.0169,,,,
mdt-28;A8WHP8;Q65ZB1,22.5417,21.4511,22.0691,21.6776,20.4923,20.5112,19.8218,21.6285,,,,
mdt-28;A8WHP8;Q65ZB1,24.6815,23.962,26.0082,23.7266,21.0897,19.8147,20.7466,20.5453,,,,
;A9UJN7;Q7YXB8;Q18494,23.215,23.0289,23.0514,22.1979,21.5432,21.1509,20.6708,20.7141,,,,
;A9UJN7;Q7YXB8;Q18494,20.7697,21.3594,21.3015,19.535,20.9299,20.9026,20.2859,21.8679,,,,
;A9UJP1,21.5906,21.499,20.7047,21.494,20.3697,21.2713,21.0209,20.8613,,,,
;A9UJP1;Q95ZR6;Q9XVL1,20.2506,21.0321,20.7145,21.4523,20.3752,20.9983,20.3401,21.596,,,,
;A9UJP1;Q95ZR6,21.5028,21.5451,19.4138,19.8022,24.7759,21.6179,22.9029,22.9717,,,,
;A9UJP1;Q95ZR6;Q9XVL1,21.5209,19.799,21.7202,20.2947,23.5517,24.5036,25.2843,25.071,,,,
;A9Z1K9,22.0807,20.7789,20.4122,20.0691,25.7672,25.9749,25.6818,28.89,,,,
hsp-43;B0M0L8;H2KYS1,22.2482,23.2929,23.418,22.296,22.1166,23.2779,21.8406,23.467,,,,
hsp-43;B0M0L8;H2KYS1,25.0547,24.0391,23.9533,24.3759,25.229,24.3716,24.5296,23.2563,,,,
