geneName,log2 daf2_d15_01,log2 daf2_d15_02,log2 daf2_d15_03,log2 daf2_d15_04,log2 daf2_d5_01,log2 daf2_d5_02,log2 daf2_d5_03,log2 daf2_d5_04
mrck-1,12.2878,11.9467,11.7135,11.4571,12.7559,13.37,12.706,12.8845
nhr-86,11.8844,12.058,10.8493,11.4062,12.6024,13.4257,12.7296,13.0602
aat-3,12.7838,14.2457,13.8184,11.8336,12.2343,13.2752,13.096,11.5196
"CELE_M02H5,8",17.177,17.306,17.2586,17.621,20.5728,20.4468,20.1832,20.0518
"CELE_T08B1,1",14.5049,14.2596,14.5014,15.4723,13.9687,15.669,13.6532,15.0808
lipl-5,13.65,11.7346,11.3934,10.8491,12.9409,13.3299,13.0737,12.895
fln-2,16.8634,16.9329,16.9231,17.082,17.1875,17.0114,17.0332,17.0301
"C14C6,5",17.1087,16.9448,16.2745,16.4609,17.6022,17.9422,16.9657,17.3221
"CELE_T08B1,1",11.1797,0,11.7027,11.9444,12.9457,13.4114,12.5344,12.7363
zig-11,11.6281,11.721,12.6924,12.1074,14.6646,14.9156,14.6061,14.6926
ilys-5,12.4012,13.0067,12.079,12.7615,15.4203,16.3956,15.6699,15.9709
irg-3,16.969,17.1551,16.6583,16.6533,17.9414,18.0534,17.6153,17.6493
tns-1,15.548,15.909,14.9418,15.2816,16.0681,16.9153,15.4012,16.2823
ubr-4,12.8848,11.3349,11.9022,11.0724,14.211,14.9714,13.4002,12.3817
ccar-1,14.3554,14.8698,15.2589,15.5152,15.9062,15.9134,15.2593,16.0242
ulp-2,10.3791,12.9526,13.9639,12.0798,15.0984,14.8328,13.81,13.8557
"CELE_T23F4,2",15.6695,15.2273,15.0333,15.8729,15.9524,16.4898,15.5611,16.1083
sago-1,14.2199,14.5321,13.2238,13.2607,14.3915,14.6744,13.799,13.6058
sago-2,14.5608,13.9,15.9433,15.3709,13.0358,12.9485,12.6741,13.0336
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",11.9446,14.1103,12.5545,11.976,12.7838,16.1689,14.468,1.44776
daf-4,14.2522,14.2834,15.2578,15.1575,15.6361,15.9767,15.8681,16.2957
hpo-3,12.1904,11.6131,12.4417,12.0958,13.0529,13.1946,12.7602,12.9604
acs-22,14.8595,14.4487,14.6613,15.687,14.1682,14.5332,15.989,15.5692
tag-10,14.9965,15.5489,15.1183,15.4392,16.2946,16.1949,14.3355,15.2078
imb-2,13.7875,14.0472,14.1074,13.9659,14.6148,14.4241,13.9407,14.3202
brf-1,12.2141,11.9291,11.7245,12.0408,12.7888,13.4321,12.8594,12.8237
"CELE_W09B6,4",10.7789,10.776,11.2011,10.8951,18.1146,18.5456,18.1833,19.4207
irg-7,18.2469,18.4921,18.0862,18.343,19.0268,19.1906,18.9814,19.0776
"CELE_F27B10,1",14.1769,14.1706,13.6974,13.3656,13.1074,13.1898,12.1236,12.7781
"CELE_T22F3,3",12.2741,11.8514,11.6321,11.9399,12.8923,13.4142,12.751,13.0582
die-1,14.1267,14.1581,13.718,14.0143,16.3004,16.0633,16.51,16.9333
dhs-11,15.2906,15.2906,14.9485,15.2859,15.0893,15.8438,14.7803,15.2094
tbc-14,14.6701,15.3405,14.7615,15.7224,14.8553,16.014,15.4592,16.612
cyp-34a6,15.7529,15.3083,15.6958,16.429,12.3641,13.2767,13.0265,12.8207
fipp-1,15.4699,14.4148,15.4962,14.9293,16.0472,16.4329,16.3972,16.8514
unc-132,14.0168,15.8241,14.2198,14.1418,10.2837,13.3735,13.0603,12.2659
cdh-4,15.6143,15.803,15.3881,15.7427,13.025,13.3835,13.0428,13.0373
ajm-1,11.9171,12.2049,12.2413,12.078,13.1122,13.1061,12.9004,13.0015
"CELE_ZC412,3",18.7993,19.158,18.5913,18.9076,19.7955,20.1051,19.1745,19.4218
farl-11,11.6659,11.9376,11.7363,11.9968,13.1377,12.9324,13.0251,12.9084
let-711,14.317,14.6147,14.2337,13.9844,14.9965,15.2469,14.8239,14.323
"C40H1,7",12.0296,11.8316,11.6299,11.6139,13.1229,12.7546,14.8726,15.9999
spat-2,15.4036,15.1741,15.4845,14.2731,15.9484,16.3552,16.2828,16.632
aakg-1,13.3827,13.5771,12.9542,11.7949,12.8972,13.1733,14.5788,13.7361
grl-23,15.0814,15.9583,15.9012,14.9412,13.0913,13.3827,12.7234,12.4017
spat-2,13.5757,0,12.8483,12.9887,14.8033,16.0039,14.9417,15.5504
"CELE_Y55F3BR,6",12.277,11.8445,11.4988,11.9791,12.9897,13.0292,12.6868,13.0329
vab-10,18.6546,18.747,18.9479,19.3414,20.0954,20.2813,19.4332,19.8193
"eif-3,l;eif-3,L",16.776,16.9279,16.7213,17.0443,17.5801,17.3923,18.2137,18.0103
"npp-25;npp-25;npp-25;Y37D8A,17",14.7991,13.8354,15.6027,14.8009,15.8287,15.5854,17.4472,17.0293
cnt-1,12.3188,12.009,11.6344,12.0701,12.688,13.1241,13.015,12.4
"C26G2,2",12.1931,12.02,12.5006,11.8892,11.8541,13.0257,13.0141,12.9573
"CELE_F43B10,1",12.2988,12.0911,11.7374,12.0829,14.524,15.5469,15.5152,14.7828
ubc-15,15.4607,14.5094,15.3042,16.102,12.7512,13.0022,12.845,12.9454
"CELE_Y55F3BR,10",12.2833,11.8588,11.4381,11.8065,17.4587,18.1853,17.1625,18.2611
"CELE_Y38F2AR,12",14.2153,14.5405,14.2648,14.7663,14.8264,15.6474,14.3326,14.5878
ttr-42,18.4719,18.5188,18.6231,18.8389,18.114,18.0754,18.7389,19.0724
"CELE_H29C22,1",17.4455,18.0514,18.6233,18.8419,18.7345,18.6543,19.4117,19.5639
"CELE_F07G6,10",12.3149,12.0044,11.7213,12.0181,13.0614,13.2118,12.962,13.0299
ttr-34,17.5609,17.4753,17.0124,16.7951,12.9425,12.8395,13.0623,12.961
"CELE_Y49E10,29",12.606,12.878,12.2253,12.7557,12.7177,12.988,12.4982,13.0275
cnnm-1,15.029,14.6224,13.6074,13.6828,12.7167,13.3943,12.2106,12.8055
col-138,16.6624,16.6246,18.0332,17.0774,13.0527,13.4347,13.0455,12.332
oac-59,12.2956,11.8041,11.475,11.9343,13.1444,13.2048,12.6314,12.7681
"C42C1,8",13.5636,12.2958,13.6018,14.0679,13.6985,15.0083,13.7606,15.2508
"C42C1,11;AP-1",15.5672,15.6467,15.3658,15.2903,15.1091,15.6009,14.9778,15.2949
rpl-34,17.512,17.0712,17.28,17.8638,17.1285,16.8625,17.655,18.0225
erl-1,14.8115,15.3765,14.7938,14.8954,15.6124,16.4046,16.1948,16.2143
tag-335,14.6081,14.7759,14.6536,14.6401,15.3179,15.1994,15.238,14.655
fbxa-6,12.2935,12.0843,11.7668,11.9464,14.0005,13.6527,13.2647,13.6851
"CELE_cTel55X,1",15.3395,15.1347,15.7461,15.1258,12.8093,13.302,12.6293,12.6953
"C44C10,9",14.5494,14.6214,13.5333,14.217,14.3795,14.4339,13.9266,13.6695
"CELE_F14D7,12",12.105,12.051,11.7079,12.1104,12.7957,13.016,12.6351,13.0049
"CELE_D1086,17",12.2267,11.5243,11.189,12.0329,13.0042,13.3308,13.0335,12.8024
"CELE_W06G6,15;CELE_Y70C5B,2",14.4207,13.799,14.3348,14.2994,12.9708,13.156,12.8178,13.0243
"CELE_Y71F9AR,4",13.8391,13.9435,13.2652,12.8191,12.5769,13.3474,12.3411,12.7264
"CELE_Y47G6A,33",17.2311,16.5109,18.7434,17.6686,16.7815,16.182,15.9714,16.6896
"CELE_ZK813,7",18.5853,17.9223,18.8035,18.8608,19.9388,20.1218,20.893,20.7351
"CELE_T28A11,2",18.5305,18.4795,18.2691,18.7642,16.3293,16.4814,16.7128,16.9541
guk-1,16.2173,16.4049,16.3813,16.8139,16.2039,16.8,16.8613,17.0391
"CELE_Y53C10A,6",12.2577,11.7809,11.7758,11.8512,12.6442,12.8762,13.0543,12.9848
"CELE_Y48C3A,18",11.3154,11.9978,11.6782,11.8088,12.4206,12.429,12.9918,12.7778
"CELE_Y39B6A,3",13.6777,14.5074,13.2002,12.8784,13.722,14.2463,15.0963,14.6482
dab-1,14.6595,15.1608,14.8982,15.1911,15.0229,15.5429,16.5326,15.2277
"CELE_F25H8,1",14.3939,12.651,13.7199,14.0018,13.0852,13.171,12.9509,12.9207
swsn-9,14.8536,15.5236,14.7472,15.1124,16.1223,16.7127,15.3695,15.853
"CELE_ZC434,7",13.8901,14.4191,13.8698,13.8172,15.0436,15.5575,15.1552,15.8105
rad-50,11.9391,11.6458,11.429,12.101,12.9569,13.3048,12.9959,12.9625
"C25F9,11",16.2772,16.1224,16.2639,16.5886,13.5509,14.9179,14.1587,13.9736
sin-3,12.2229,11.8124,11.7175,11.7053,12.8229,13.3883,12.6937,12.601
hmp-1,17.3748,13.4242,18.5821,17.4359,15.0407,14.7433,17.0032,17.2491
dhs-3,16.9128,16.6235,16.857,17.0926,17.5699,17.4296,17.4031,17.6217
nra-2,14.8733,14.8367,14.5416,14.6556,15.1105,15.4396,15.1025,15.2569
"CELE_Y37H2A,14",11.7999,11.6419,11.7698,11.7881,15.321,15.9662,15.3175,15.0593
"CELE_F27E5,7",14.4255,14.2048,14.1811,14.5446,16.0243,16.7885,14.5097,15.507
saps-1,14.9972,14.5366,14.3054,15.2929,14.2699,14.7796,14.6508,15.8696
"CELE_ZK809,8",12.2053,12.4081,11.6583,11.705,12.9802,13.4272,12.719,13.0068
"CELE_D1081,7",12.2964,11.7691,11.7578,11.9621,13.1119,13.2847,12.8668,13.0715
aph-2,12.5345,14.8785,12.7149,13.0568,13.0445,13.3234,13.0667,13.0411
"CELE_F15B9,10",15.3191,15.6358,14.5398,14.6891,14.5628,17.1171,15.6987,15.8676
"C27A7,5",14.3292,14.0998,15.1131,14.8261,13.1401,12.9968,12.8392,12.3034
"CELE_F30A10,13",15.6714,15.8957,15.0674,15.243,16.5538,16.5783,15.4204,15.5615
"CELE_F30A10,14",17.894,18.0955,16.8228,16.9758,17.3493,17.8046,17.959,18.1023
"C04H5,7",13.642,14.4742,13.2415,14.477,13.142,13.2514,12.4691,12.4414
"C13B4,1",12.243,11.7716,11.5276,11.9632,16.483,16.7528,16.2636,16.0414
"CELE_F02E9,10",15.5466,14.894,14.7668,15.0814,14.8329,15.3626,14.7295,15.2374
"CELE_R13H4,2",16.9431,16.8232,17.2015,17.5917,15.3467,14.5551,15.0076,15.0411
"CELE_ZK228,4",15.5987,15.7233,14.8575,15.5995,12.9336,13.3772,12.8842,13.0426
"CELE_K02B7,3",18.2381,18.2884,18.3855,18.4874,16.9592,17.3141,17.1982,17.1259
nuo-3,15.2404,13.5892,11.8615,13.1784,16.1672,16.4317,14.8305,16.1235
"C44E4,5",14.7417,12.2599,14.0417,14.0236,13.1601,13.0714,14.5676,14.113
"CELE_F49E2,2",15.3063,16.9573,14.8622,15.3846,16.1032,17.0594,15.1026,16.064
"T07A5,7",12.2225,12.0746,11.6707,12.0115,13.1318,13.1353,12.736,12.926
"CELE_T04F8,7",12.31,12.0494,11.1482,12.0599,12.9389,13.2706,12.9413,12.8962
"gpb5;CELE_T23B12,8",12.1924,11.9816,11.7117,11.8277,12.7291,13.6358,14.0757,13.0755
"CELE_F49D11,10",15.1597,15.9936,14.0412,14.3802,16.8063,16.5166,15.9331,15.74
oxy-5,18.8682,19.045,18.3888,18.6401,18.813,19.1901,18.2274,18.6896
mrg-1,15.761,15.9089,15.318,15.997,15.8274,15.5545,16.0409,15.9705
obr-1,12.0463,11.7881,11.7664,12.0141,13.0332,13.268,12.8954,12.1354
igcm-3,17.0974,16.8359,16.4565,17.2569,14.6854,14.9583,14.7177,15.3303
unc-16,15.6545,15.8766,15.9252,16.2674,13.8726,13.1919,13.2512,13.7115
gpdh-2,17.8342,17.9706,18.0276,18.2294,18.5633,18.4478,18.4301,18.4484
sly-1,15.412,15.6111,14.7516,15.7376,16.0324,15.9459,15.162,15.3402
"B0393,9",16.3979,16.3768,17.4094,16.9925,15.3762,14.8583,15.3091,15.1983
cisd-1,18.2306,18.212,18.2512,18.6388,18.9913,19.2481,19.3309,19.5815
"CELE_F09E8,2",14.6566,14.8952,14.5585,14.8311,15.4541,15.6355,16.1624,15.6997
lsy-22,14.9535,15.33,14.9693,15.1808,16.5937,17.897,15.7558,16.6846
"C24H11,5",11.9435,11.9813,10.6591,11.9359,13.0818,13.3426,13.0405,12.7657
"CELE_F10A3,17",15.0074,14.6477,15.7478,15.0624,15.9852,15.4612,15.4171,15.3744
pnc-1,16.5728,17.1803,16.5096,17.0049,16.5974,17.7286,16.2115,16.4234
"CELE_Y94H6A,12",12.1622,12.0831,11.7787,11.7468,12.8606,13.4104,13.0322,12.7936
"CELE_F56C9,6",14.2642,15.1898,13.9804,14.7164,15.6014,16.2499,14.8267,15.4045
"CELE_T28D9,4;T28D9,4",14.5191,13.828,14.8666,14.1217,14.7436,13.7647,15.1409,15.6361
"C28G1,5",13.304,13.5934,14.0243,13.436,14.8929,14.8659,14.961,15.5647
gpx-7,16.7116,17.7945,17.0093,17.2227,12.7785,13.8817,13.6017,13.7694
"CELE_F41D9,2",14.0738,13.4048,14.3071,14.3769,14.8782,15.9473,13.3482,16.5375
"CELE_T04F8,8",15.7203,14.5106,13.8264,14.9833,15.6791,16.1589,16.4309,16.864
"CELE_ZK856,16",15.8281,16.0929,15.7194,16.7241,16.0173,16.253,17.007,17.3473
"CELE_F23B12,4",12.2955,11.9865,11.5129,11.9302,13.1341,13.4257,12.696,12.8617
"CELE_K09A9,6",15.9261,15.8466,16.434,15.8211,13.0836,13.3216,12.8632,12.7979
"CELE_H14N18,4",13.984,14.4645,14.5739,13.874,12.3351,13.3813,12.8068,13.0463
"CELE_T12B5,15",14.5042,15.3782,14.5013,15.3233,12.86,13.2781,12.9257,12.6171
"CELE_Y17G7B,20",12.2937,11.58,11.7251,11.8351,14.8047,15.1124,14.4509,15.3668
"CELE_E01A2,1",14.2146,13.1544,14.5077,14.4678,13.5055,12.7029,12.5736,12.8329
"CELE_T02H6,1",13.995,13.5158,12.9306,13.2305,14.0975,14.9118,13.7559,13.5899
"CELE_Y37E3,11",17.0325,15.6411,17.5124,17.3968,16.8137,16.2133,17.2123,15.9924
"CELE_M03F8,3",12.9999,12.141,13.1681,12.821,12.896,13.3659,12.9565,12.9126
"CELE_F55B12,10",17.7188,17.518,17.4603,17.5216,15.7405,14.6986,15.2145,15.9035
pptr-2,13.7278,14.827,14.7624,14.6,14.3601,14.1521,15.0532,14.5272
"maph-1,2",16.0029,16.0209,15.5035,15.813,16.4752,16.8223,16.4792,16.853
"CELE_K09G1,1",12.4381,13.3186,13.4707,13.236,12.7793,13.2196,12.3409,12.9997
"B0303,7",14.6689,14.7456,14.2943,15.8741,16.2117,16.3816,16.1003,15.88
"C23H3,3",14.4044,13.9259,13.3902,13.7133,13.9686,14.0559,13.4374,14.183
"C17C3,1",14.7081,15.7549,14.512,15.0412,13.3619,13.5964,13.4345,13.5351
glna-1,9.77481,11.9945,11.7347,11.8205,12.9859,13.3544,13.0117,13.0199
"CELE_Y61A9LA,11",11.8056,11.9138,11.7407,12.0543,13.0439,13.4257,12.3035,13.0602
"CELE_F41E6,5",16.7119,15.975,15.1193,16.0961,12.5598,13.3938,13.0617,12.937
"CELE_T25B2,2",14.3402,16.1052,13.7766,14.4037,17.0805,16.6036,17.1596,17.3488
trpp-1,12.0734,12.0534,11.7527,11.7332,13.0291,13.15,12.901,12.8031
tsp-10,11.9673,11.9419,11.765,12.0534,13.0789,13.2041,12.7063,12.8878
ugt-26,16.7255,16.8912,16.9778,16.6827,16.1929,16.2029,16.1446,16.897
"C14H10,3",13.7459,13.5908,13.8251,13.7747,14.6345,15.5736,14.3517,13.533
"CELE_D1086,10",22.568,22.2263,20.6158,21.3815,19.9963,20.0103,19.6325,19.8193
poml-3,14.8705,15.7066,15.1552,14.8473,16.8777,16.3685,15.8772,16.4513
unc-57,16.5005,16.6488,16.2658,16.1537,17.1517,17.4588,16.857,17.1118
szy-20,14.1406,15.1518,14.6364,14.3952,15.9856,16.6144,17.9625,16.5612
"CELE_T06E4,14",12.2209,12.0471,11.7263,12.0835,13.0774,12.9902,12.4875,12.9277
"CELE_F13G3,10",12.2769,12.0666,11.4002,12.012,12.5129,12.9887,13.0143,12.7307
rmd-2,15.9483,15.8675,16.1066,16.2368,18.1434,17.8381,18.525,18.3382
smc-3,14.0905,14.8382,14.3363,16.7001,15.6024,15.7746,15.078,15.8921
ntl-2,13.1325,13.5858,13.1848,13.1494,14.5941,14.8531,14.2035,14.668
gcn-1,15.3476,15.2937,15.6422,15.8263,15.7754,15.5507,15.7951,15.8896
urm-1,17.1774,18.0315,17.2854,18.3447,18.1438,18.1976,18.3832,18.7141
nono-1,15.1702,14.8948,15.4025,15.4066,16.4315,16.2988,15.8685,16.4711
atf-7,12.2061,10.1152,10.7511,12.0843,13.1239,13.312,12.9029,13.0705
vps-26,14.858,15.0131,15.2171,15.5669,15.0307,15.2588,15.877,16.3041
ndx-9,13.7658,14.0527,14.4328,14.3923,16.5558,16.6943,15.76,15.8055
"C14F11,4",16.6404,16.7444,16.0033,16.341,16.9351,17.4484,16.223,16.2772
abts-1,14.3159,15.2395,14.536,15.2902,14.9082,15.726,15.5864,14.8705
"CELE_ZK858,6",15.0086,15.2149,15.0919,14.681,14.7834,15.139,14.8066,14.5363
"C41G7,9",17.9674,17.0747,18.113,18.2647,19.4722,20.1656,18.4635,17.628
lin-10,13.6872,14.0007,13.1014,12.8084,14.7805,14.7908,14.2388,14.5273
"CELE_M04C9,3",12.2473,11.5909,11.7042,12.0789,13.0603,13.408,12.8191,13.0433
"C31H5,6",11.8124,11.8665,11.7558,12.0602,13.0798,13.4121,13.0392,12.7918
"CELE_ZK355,8",19.0571,19.1291,19.3324,19.3871,18.7249,19.5607,19.7109,19.8675
spds-1,14.0927,13.9812,14.5702,14.689,16.1867,15.689,16.6937,16.5207
nxf-1,15.4755,15.8147,14.5494,15.1629,13.7299,14.4623,14.1894,14.444
"CELE_F38A6,5",12.1775,11.8283,11.3341,11.947,12.152,13.6929,13.1243,13.4914
"CELE_T03D8,6",15.5542,15.4394,15.0181,15.0947,15.5997,15.8864,15.4929,15.9246
ret-1,17.2402,14.9625,16.9881,17.0609,17.4001,18.013,17.5113,17.4751
"CELE_D1086,12",15.1331,14.8652,15.6108,15.7044,15.8176,15.0673,16.0434,15.2894
"CELE_F52C12,6",13.8997,14.902,14.2135,15.2657,13.6729,15.4948,16.1789,16.5155
"CELE_Y40B1A,3",14.9339,14.8026,14.2711,14.5763,16.2118,15.8323,16.0385,15.7001
pals-37,18.5081,18.1757,18.2629,18.3821,20.4114,20.7502,20.6265,19.9756
"CELE_F59A2,2",14.7399,14.3949,14.5822,14.7969,15.1133,15.44,14.8557,14.867
ptr-24,15.8473,15.4508,16.5064,16.4586,13.1401,12.8758,12.9223,12.8773
"CELE_F11C1,5",14.9744,12.9853,11.7292,11.1246,12.0933,14.5732,14.4365,14.3477
"CELE_Y43F8B,1",19.2706,19.4666,19.5263,19.6806,18.8891,18.841,19.2274,19.3188
sam-10,14.8285,14.3867,13.7602,15.1108,13.0476,13.4206,13.0436,12.9128
dic-1,18.3925,18.7416,18.8066,18.7175,18.0754,18.1891,18.1522,19.6352
unc-68,10.8252,10.2688,11.9091,12.1162,13.0759,13.231,12.6154,12.969
"CELE_T05H10,4;T05H10,4",13.3531,11.8929,14.2782,13.8098,14.4011,14.6479,15.5634,13.3412
"CELE_M05D6,5",16.4771,16.3563,16.4808,16.4589,15.3661,15.4515,15.713,15.7918
ctg-2,14.6681,14.9702,15.0556,14.9742,14.4582,14.8873,14.3879,15.3911
rpl-32,18.05,18.1982,18.297,18.2902,18.1137,17.9064,17.9827,18.7288
"CELE_F37H8,3",13.7809,13.1192,14.92,14.9638,14.6714,15.0149,14.2591,13.7468
clec-146,15.6902,15.5246,15.8598,15.8705,15.4512,14.8623,13.9801,13.7379
tnt-3,16.6045,16.6623,16.2472,16.657,16.4974,17.0799,16.2796,16.3893
mlt-11,14.5535,9.62702,11.1504,11.7021,15.1827,15.5988,15.3569,15.7079
hrpu-1,14.4662,14.6331,13.2404,14.411,13.0514,13.0758,13.035,13.0213
kcc-2,13.2126,13.3637,13.8645,15.0998,15.9924,15.9276,13.5813,14.2658
ced-7,11.9805,11.9369,11.5771,11.9576,12.9223,13.1435,13.0287,12.7964
"CELE_F17C8,9",15.289,15.298,15.1402,14.886,15.4222,15.7818,14.9892,15.0749
unc-119,12.1669,12.0411,11.3091,12.0876,13.0842,13.3969,12.6241,13.053
mrpl-46,16.2775,15.2663,15.7424,14.8388,15.7649,16.2221,16.7317,16.7056
"CELE_F40G9,5",12.1906,12.0549,11.6223,11.4529,12.8526,13.405,12.6614,12.9304
"CELE_F40G9,17",13.1233,12.0998,13.6269,13.9439,13.4242,14.7974,15.0223,14.2874
"CELE_Y54G11A,17",13.4736,14.2475,13.914,13.671,14.5487,14.0785,13.5669,13.6132
let-767,16.9736,17.0354,16.3044,16.9514,17.1269,17.419,16.6056,18.1997
dnj-16,14.6183,14.7313,15.1385,14.5949,14.2134,14.3862,14.4507,14.5381
cfim-2,14.8909,15.4346,14.7283,15.4105,15.9337,15.9838,16.1309,16.1767
magi-1,16.0256,14.4749,16.5853,15.8284,12.8485,13.2515,10.5774,12.3824
"CELE_F55D12,2",11.5205,11.6311,11.7519,12.0146,13.1255,12.7998,12.8736,12.853
"C39B5,5",14.291,14.8803,14.8566,14.0974,14.4407,14.9412,15.0758,15.0352
"CELE_Y32H12A,2",12.3237,11.5264,11.73,12.1067,13.1346,13.3788,13.0612,12.7915
smg-3,12.0218,12.0225,11.7385,12.0221,12.8526,12.8634,12.8045,12.7234
"CELE_F56B3,4",17.0848,17.6045,14.5696,15.9333,15.4044,15.551,15.5999,15.2472
"CELE_Y34B4A,8",12.2504,11.7576,11.766,12.0265,12.9187,13.3826,12.2587,12.6921
csn-6,15.2457,14.9339,14.8288,15.0303,15.3776,15.8474,15.1804,15.5119
marg-1,16.347,16.0506,15.6001,15.9156,15.0083,15.2012,15.0727,15.337
grsp-2,15.8161,16.0187,15.9099,15.9159,18.7493,18.997,18.667,18.5994
"CELE_T28C6,7",15.9593,17.1581,15.8869,16.0722,16.4694,16.678,16.3024,16.8309
"CELE_T20D3,3",15.2128,15.984,15.042,15.5405,16.0832,16.5455,16.0015,16.5609
"CELE_R102,4;R102,4",15.4655,16.0578,15.813,16.933,17.1781,17.3517,17.5161,18.0551
sao-1,15.5581,16.3136,15.5818,15.7192,16.274,16.2693,16.5374,17.2164
"CELE_D1086,11",19.6242,19.4868,19.6318,19.8581,19.0839,19.5251,18.991,18.9998
sqrd-1,16.0946,15.8705,15.5621,15.8351,16.3531,16.7601,16.6129,17.3137
