geneName,log2 daf2_d10_01,log2 daf2_d10_02,log2 daf2_d10_03,log2 daf2_d10_04,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04
"T23D8,3",14.7545,14.3619,14.5261,14.3425,16.5688,15.4242,14.8673,15.5241
"eif-3,C",16.3059,16.5835,16.0693,16.074,17.2731,17.2189,17.2249,17.4282
lron-9,14.9634,15.9719,14.0399,14.5641,13.2105,13.3468,13.1279,13.2126
pri-2,12.2003,12.1327,11.2359,11.4196,12.6593,13.1069,13.7681,12.3884
clec-186,14.3384,14.1848,12.7933,13.2751,12.9954,13.2763,12.3502,13.1783
nstp-5,15.9986,15.849,14.1786,16.7513,17.9508,17.7287,17.2419,17.5599
irg-5,16.4161,16.2899,15.8431,16.1129,12.985,13.1756,12.8079,13.0896
"CELE_F35E12,6",16.77,17.0789,16.6373,16.6567,17.1563,17.1324,16.5627,16.7147
dct-17,16.2701,16.3609,15.9872,15.9118,17.6181,17.3613,16.638,17.2597
"CELE_F35E12,10",15.5291,15.5978,15.3629,15.5912,15.6014,16.1014,15.2684,15.7713
ifa-2,18.6365,18.1904,18.9272,19.1259,19.5653,19.2975,19.4986,19.587
unc-37,14.8283,14.305,14.6475,14.4869,14.6973,14.8916,15.3871,15.5524
"ZK1073,1",16.1036,16.1703,16.132,16.2557,16.872,16.895,16.6536,16.5232
snb-1,17.2665,17.3583,17.0791,17.8927,18.6665,18.9552,18.391,18.3837
gpx-1,15.5907,15.7383,15.0323,15.8477,15.9979,16.2784,15.1846,15.782
aex-3,13.8547,14.0092,13.7688,13.2108,15.1335,13.6294,16.3512,16.4057
cyp-35a2,10.6722,0,10.7806,12.0708,13.333,12.9794,12.8311,13.2704
cah-6,15.0965,15.4979,15.4732,15.443,15.2119,14.7151,15.3714,15.1284
rpl-19,17.7737,17.9084,17.7029,17.8918,19.1083,19.1509,19.0046,18.8036
mdh-2,19.6232,19.3276,19.9539,19.7021,21.0802,20.8855,20.7101,20.9027
cyp-33c8,14.0096,13.9651,13.7766,12.6416,13.1841,13.1285,12.9666,13.0436
sucl-2,16.3261,16.2831,16.4596,16.6399,17.3779,17.2324,16.8194,16.9026
gsp-3;gsp-4,11.7129,11.4496,11.2338,10.7443,15.4278,16.0428,13.4024,14.4965
unc-64,15.0886,15.0266,14.2801,14.9018,16.1912,16.5023,15.6071,15.8209
gst-33,10.6218,10.7512,10.7979,10.7551,13.2863,13.0899,12.8575,13.3288
lys-7,17.2499,17.1715,17.4365,17.5428,18.9652,18.2824,18.4923,19.0405
"CELE_F17A9,4",12.6357,12.9226,13.0932,13.0046,15.3838,13.8612,14.6914,14.3161
"CELE_F17A9,5",12.1898,12.134,12.4942,10.9661,13.8203,15.0519,13.5649,14.9892
"F17A9,2",14.3661,15.6373,15.8043,15.8899,19.441,18.9672,19.4107,19.3427
phat-3,17.9438,18.0973,17.2372,17.3531,18.7595,19.0608,17.8952,18.5156
"C49G7,3",20.0938,20.3112,18.4208,18.9661,21.5914,21.9011,20.8421,21.1641
"djr-1,2",17.0957,17.3771,17.2078,17.6505,13.1109,13.0801,12.7637,13.0429
"CELE_F44E7,4",15.8039,16.2605,16.0017,16.0922,17.4878,17.6627,17.3634,17.4876
"CELE_F44E7,9",16.232,16.4795,16.439,16.9591,17.8111,18.2654,17.6232,17.731
sti-1,17.6886,17.9221,17.2636,17.5047,19.1141,19.2298,18.4496,18.8877
"CELE_F40A3,2",14.0919,14.2743,14.1065,14.6738,14.3396,13.7197,13.845,13.9355
"CELE_F40A3,6",17.2742,17.3224,17.3294,17.4795,17.2414,16.804,16.8579,17.1596
ugt-61,10.7269,10.8388,8.37215,13.352,12.7129,13.1018,12.8254,13.3349
"CELE_F59A7,2",15.9284,16.2796,15.8617,15.9795,13.1247,13.2748,12.8861,13.2618
cysl-4,16.18,16.594,15.9523,15.7408,15.4454,14.4883,13.5391,14.1832
"CELE_F32D1,7",14.0554,14.2556,13.8513,13.4293,16.5712,16.7158,16.5295,16.2571
"F32D1,5",16.7429,16.6066,17.1366,17.2024,18.092,17.6632,18.1491,18.4099
mcm-7,15.1685,15.1523,14.7274,15.2648,16.9111,17.0621,16.3177,16.5121
hpo-18,19.7667,19.8798,19.7922,19.968,20.2656,20.2521,19.6259,19.4919
dnj-19,15.6896,15.6201,15.409,15.4244,16.3344,15.5397,16.275,16.1291
cmd-1,18.7856,18.5656,19.082,19.3812,20.3128,19.931,20.2726,20.2981
fkb-3,14.9956,14.9333,14.444,14.7402,16.8279,15.6816,14.9143,10.5571
"C05C8,2",13.0747,13.082,12.9031,13.0209,15.162,14.6585,14.2002,14.5551
"C05C8,1",14.6285,14.9168,14.6328,14.559,16.1445,16.2277,15.2298,15.6939
"C05C8,7",10.5569,10.7919,10.7396,10.5878,13.2522,12.981,12.9951,13.2425
"C10B5,3",15.8606,15.6421,15.678,16.0148,16.3522,16.2294,16.3264,16.8178
irg-1,14.1012,13.9742,13.7647,13.8342,16.9706,16.8303,16.3582,16.6476
catp-3,14.066,14.2975,13.8507,14.0304,14.4289,15.8298,15.0813,16.223
asp-8,13.3128,13.031,12.3235,13.3148,12.9866,13.3283,12.8983,13.3509
rpt-2,15.8524,15.8164,15.7459,15.5558,17.4215,17.2367,16.8582,17.0337
aps-1,10.2577,0,12.7605,13.0747,13.0922,11.1724,13.4708,11.3018
"CELE_M03F8,6",17.2797,17.13,15.9908,17.1598,17.7105,18.6768,17.7264,17.1368
