geneName;Leading.proteins,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04,log2 N2_d5_01,log2 N2_d5_02,log2  N2_d5_03,log2 N2_d5_04
;A0A0K3AUF2,23.1616,21.0025,23.9234,22.1368,24.6033,26.5485,25.5014,26.25
lev-11;A0A0K3ARB5;Q27249,16.6725,18.9985,20.2566,18.3358,21.0321,20.6476,20.909,19.3567
lev-11;A0A0K3ARB5;Q27249,20.1902,19.864,20.7307,20.6126,21.3307,20.4895,21.1832,21.6788
lev-11;A0A0K3ARB5;Q27249,19.3227,18.3609,20.7834,19.0101,22.6,21.0657,21.8268,22.8644
egl-8;A0A0K3AS90,19.4441,19.905,20.9288,17.4719,21.7563,20.9889,21.1133,20.1818
ubxn-3;A0A0K3AWX1,22.1038,22.4952,21.6995,23.0648,22.1248,23.6775,23.6823,22.4424
ubxn-3;A0A0K3AWX1,17.8536,18.3688,20.5987,16.6337,21.9468,19.9293,21.1922,21.8962
;A0A0K3AVS5,17.2241,21.0138,20.6899,20.4135,23.465,22.3017,23.5394,22.8507
fln-2;A0A0K3AW96,18.2501,17.3024,21.2568,19.0738,23.5389,22.7835,23.635,22.5729
fln-2;A0A0K3AW96,16.8861,21.0535,20.4705,17.0515,24.9522,23.5613,23.0364,22.5249
fln-2;A0A0K3AW96,19.7319,22.0958,23.0487,21.4519,24.9466,23.9871,23.9962,24.7973
fln-2;A0A0K3AW96,18.2568,18.7759,20.7289,19.3757,23.8979,23.0221,24.3683,23.2894
oac-14;A0A0K3AWB0,24.3395,24.7182,25.2893,24.3565,24.8829,24.2192,25.0415,24.1295
oac-14;A0A0K3AWB0,20.6595,19.0061,19.501,18.684,21.3795,22.2431,24.3223,24.1208
;A0A0K3AWM6,21.3268,19.617,18.1588,18.4386,26.7002,26.3703,23.8664,25.3843
lsy-13;A0A0K3AXE0,17.7523,20.3766,20.8437,19.1607,21.5984,20.8447,21.1628,20.043
;A0A0K3AXT9,26.6331,25.5033,26.0056,25.2301,23.091,22.314,21.3517,22.2208
;A0A0K3AXT9,25.6837,27.4236,26.7681,26.3518,23.1995,23.1103,22.5907,23.4123
;A0A0K3AXT9,22.9459,23.2731,24.2958,22.699,21.0903,20.3276,20.5,21.1932
;A0A0K3AXT9,26.4625,27.1201,26.9259,23.9472,24.9417,22.9695,24.0447,25.0233
;A0A0K3AY44;O44557,20.4477,21.1136,21.5285,22.3123,21.718,20.6425,21.9202,22.8842
;A0A0K3AY44;O44557,18.7914,18.0536,18.9134,20.0179,21.8112,21.4014,20.9117,20.0854
oig-6;A0A0K3AY85;Q9BPN5,18.0733,19.3085,20.6588,17.6614,24.8996,24.8557,22.1453,23.861
oig-6;A0A0K3AY85;Q9BPN5,19.8893,18.5783,19.0812,19.4721,21.2685,20.0667,21.3877,21.8274
;A0A0K3AYE8,20.1948,17.4668,19.5318,17.8033,27.9055,27.0344,27.5142,26.667
;A0A0M7RFG7,23.7544,25.0076,24.5941,24.4377,21.2617,21.7142,20.3843,21.4964
;A0A0S4XRR1,24.8747,23.4387,24.2034,23.0068,24.4258,22.9297,24.3081,23.7522
;A0A0T7CIX3,19.51,19.1802,20.3095,19.3,21.6439,21.5395,19.9315,21.6258
;A0A0T7CIX3,19.0947,19.2576,19.5517,19.6653,21.3052,20.7546,21.0599,21.2222
;A0A0T7CIX3,18.5236,19.0979,18.6697,19.6895,21.269,20.3956,20.863,22.8918
rpl-11.1;A0A131MBQ6;Q94300,18.383,19.7354,20.2466,18.8817,24.9599,26.4599,24.8678,25.0134
mdt-18;A0A131MCJ5,20.0335,20.9121,18.073,16.3575,22.3347,23.0865,22.1952,23.197
rnf-5;A0A131MD51,24.1954,24.241,24.7764,24.8024,23.9651,23.6088,24.0779,23.4445
fipp-1;O16293,19.1847,19.6218,19.2725,21.1687,21.9341,19.9444,21.4413,20.7045
;O02147,18.1144,20.3707,19.4255,20.6059,22.8932,22.4723,23.4205,23.8374
spat-2;F3Y5Q3,19.6783,20.0169,21.5682,16.9123,20.6423,21.2153,20.9879,21.7316
;Q9N350,22.7144,23.3217,24.9161,23.4527,23.3747,22.079,22.1664,22.4012
;Q9N350,23.2303,23.3644,23.6562,23.8135,24.1499,24.1082,22.3118,24.3778
;A0A1N7SYR3,23.8067,23.9231,23.9464,22.5394,20.8211,20.3356,21.5111,21.2207
;A1IMB7,23.4745,23.6091,23.6917,23.2513,23.5733,21.7845,22.8928,22.3574
;A3QMB7,22.3757,23.0182,23.0929,23.6651,19.9455,20.6474,20.1293,21.8976
;J7SF86,19.2189,19.3868,20.6807,17.793,20.7098,21.5219,20.5711,21.7545
;U4PRJ1;Q95ZL3,20.6035,19.2351,21.7549,19.1234,21.8276,20.8291,20.0543,20.3575
dhs-3;A5JYX4,18.3523,21.2156,19.5447,17.3114,21.5185,20.5444,20.9012,21.6549
dhs-3;A5JYX4,24.5257,24.5425,25.5771,23.5064,23.8395,23.0608,23.9176,25.3203
dhs-3;A5JYX4,19.4325,18.2136,17.8687,20.5942,20.7993,19.6805,20.9888,21.5947
dhs-3;A5JYX4,21.005,20.0773,22.036,21.2865,21.698,21.3442,21.4864,21.7275
dhs-3;A5JYX4,17.617,18.5062,21.6379,20.0051,21.0697,20.5825,19.883,20.5889
;A5PEY0,26.2413,27.5532,26.1096,26.2722,27.4033,26.922,25.801,26.8877
;I2HA81,25.2276,25.7521,25.6308,26.0658,26.6272,25.9055,27.2079,26.4594
;A5Z2W7,19.6461,19.5996,18.897,18.4448,20.8655,20.101,21.3691,21.1898
;A5Z2W7,19.6908,17.3903,19.388,18.9776,24.4835,24.6633,24.3086,24.2365
;A6PVA5,18.1628,19.9157,18.4803,16.7249,21.99,22.4947,22.7624,22.5354
;Q20621,18.0417,19.0986,21.2424,20.0471,21.6043,20.7484,20.4864,21.8316
tag-296;A7DT41,19.7301,18.9493,17.5281,21.1365,19.6347,21.7686,21.4388,20.9624
tag-296;A7DT41,18.9047,19.4749,17.9286,20.2632,21.7511,20.3296,20.3976,20.8546
tag-296;A7DT41,20.8749,20.6043,20.1402,19.1318,24.5874,23.6456,22.4487,24.0283
tag-296;A7DT41,15.1323,20.626,17.4691,20.6805,21.5633,20.72,20.9932,21.6218
tag-296;A7DT41,18.682,20.2086,18.7456,18.0015,24.3909,24.2133,23.16,25.5037
tag-296;A7DT41,16.7566,19.8939,20.5756,20.2203,24.1986,24.159,23.8291,25.9958
mrg-1;Q9XWW2,19.0842,19.4561,19.525,20.366,21.8746,21.5367,20.9151,21.1353
mrg-1;Q9XWW2,19.3944,18.8212,21.2513,19.4358,21.433,21.69,21.3709,21.6366
igcm-3;A7LPD6,18.2878,18.3792,19.5631,19.8285,21.6743,19.8499,20.6275,20.6893
igcm-3;A7LPD6,23.8071,24.1422,24.1278,23.9624,24.8229,24.2219,24.4056,24.2488
gpdh-2;A7LPE6,20.2094,19.9123,18.796,21.2944,21.5082,20.64,20.72,21.4235
;Q5FC71,21.2009,19.0205,18.2035,18.3436,20.5514,21.6184,20.6376,21.4186
;Q5FC71,18.0799,19.8573,21.9117,21.1497,25.0205,24.5169,25.2637,24.6008
;Q5FC71,23.245,23.0478,24.3309,23.7943,25.4537,24.8747,25.349,26.1034
;Q5FC71,30.7929,31.0411,30.0853,28.8552,29.3894,25.8352,26.9694,28.0083
;Q5FC71,33.0019,34.3821,33.6803,34.1913,31.8317,31.9517,32.0767,32.8714
;Q5FC71,17.9528,20.2275,19.4644,19.4719,21.8161,21.795,21.4124,21.324
;A8WFH7,25.096,26.4556,26.0217,26.7964,24.3507,24.0027,24.0837,23.2815
;A8WFH7,26.923,26.1803,25.9857,24.2337,21.6912,21.455,21.1615,20.8753
;A8WFH7,25.1963,25.8901,25.4429,26.0555,25.4484,24.5444,25.3189,25.973
;H2KYH9,19.7487,17.9815,18.4639,20.7233,20.856,19.8511,21.1275,21.5647
mdt-28;A8WHP8;Q65ZB1,20.1272,19.2286,21.3475,18.0456,25.9795,23.7884,24.1989,25.6944
mdt-28;A8WHP8;Q65ZB1,21.037,16.9152,21.167,18.8475,21.4067,20.6294,20.3271,21.3441
mdt-28;A8WHP8;Q65ZB1,18.1382,21.431,19.504,17.8746,20.6801,20.7892,20.8094,21.5652
mdt-28;A8WHP8;Q65ZB1,18.1333,19.0979,18.6337,17.3611,20.5494,21.4381,20.9353,21.7761
mdt-28;A8WHP8;Q65ZB1,17.0459,17.4737,20.6031,21.1983,20.6053,21.1263,21.0482,20.5405
mdt-28;A8WHP8;Q65ZB1,18.1265,18.3221,19.3027,17.3529,21.6531,21.7826,21.1732,20.804
mdt-28;A8WHP8;Q65ZB1,20.8725,21.4506,20.0014,19.4163,27.3389,24.6685,24.4938,25.1839
mdt-28;A8WHP8;Q65ZB1,22.5225,21.7908,22.6423,22.012,19.8402,21.3724,20.8171,21.6808
mdt-28;A8WHP8;Q65ZB1,19.1138,20.0552,19.4904,19.7747,20.9013,20.9918,20.9498,21.8694
mdt-28;A8WHP8;Q65ZB1,19.2174,21.6616,20.6503,18.285,21.6727,20.885,21.2466,21.206
;A9UJN7;Q7YXB8;Q18494,21.8906,23.5375,22.3364,21.3585,23.6844,22.0823,21.9277,22.9472
;A9UJN7;Q7YXB8;Q18494,18.4604,17.0602,20.2056,18.0101,21.3487,20.1665,21.3505,21.8295
;A9UJP1,18.9033,20.3709,18.6678,20.2278,21.7495,21.4073,20.976,21.7883
;A9UJP1;Q95ZR6;Q9XVL1,18.8719,20.8176,18.3692,19.4947,22.4597,23.5879,23.175,23.6967
;A9UJP1;Q95ZR6,24.8615,22.8557,25.1966,24.4543,22.7035,22.3939,20.4529,21.9649
;A9UJP1;Q95ZR6;Q9XVL1,23.8391,23.8874,24.2484,22.8725,22.8473,21.9395,23.1153,22.7369
;A9Z1K9,24.0647,23.7384,24.1256,23.4516,19.9231,20.6072,20.2105,21.8903
hsp-43;B0M0L8;H2KYS1,24.3909,25.7657,26.1293,24.5924,25.0669,24.6252,24.1689,25.7503
hsp-43;B0M0L8;H2KYS1,18.4858,20.3756,19.1893,20.2003,26.4042,26.784,27.2719,26.8728
hsp-43;B0M0L8;H2KYS1,23.9399,23.6402,23.8659,24.4044,21.771,21.5422,20.5958,20.3997
hsp-43;B0M0L8;H2KYS1,19.1502,21.3765,19.5067,15.6998,21.6254,21.426,19.2773,20.1796
;B0M0N4,18.554,19.3054,20.4548,19.3413,21.5457,20.9462,20.6301,21.7356
;B0M0N4,24.1034,24.6879,24.4911,23.8903,24.3545,24.1015,24.2058,24.8165
;B0M0N4,22.5049,23.6314,22.1662,21.8206,21.8675,21.4405,21.0146,21.0157
aat-6;B2D6M4,25.6658,25.6644,26.3827,25.3771,26.2487,26.0746,26.1457,25.9289
aat-6;B2D6M4,18.5606,20.6826,22.04,19.2727,20.7393,20.1756,20.1562,20.8222
rmd-2;B2D6P1,21.2714,20.618,20.8077,20.1283,21.3708,20.4166,21.3986,21.5525
rmd-2;B2D6P1,22.9921,21.1897,22.2918,22.6216,23.9889,21.1143,22.8276,23.5128
urm-1;B3CKG1,18.8264,18.3651,19.2918,18.4032,20.8366,21.7237,21.4584,21.8401
;B3WFT8,22.4824,22.9064,22.5654,22.625,23.8234,24.3407,21.4686,22.4335
;E1B6S9,17.5547,21.765,19.0325,21.2777,20.6909,21.0804,20.911,21.741
abts-1;G5EC65,18.3909,20.0661,19.6935,17.4703,21.3563,21.128,20.5632,21.017
;B3WFW7,23.1292,26.0271,22.8694,24.6437,20.8087,21.4767,20.661,20.7372
;B3WFY5,23.5,23.9385,23.5393,24.3298,25.0722,24.9864,24.7046,24.418
;B3WFY5,24.3826,25.9305,25.809,26.0201,25.6881,24.9888,24.1979,25.6228
;B3WFY5,22.4523,23.791,23.506,24.3395,25.0238,23.2217,22.8008,24.0372
ifg-1;B5BM23,20.4335,18.7878,19.4227,19.9481,23.2426,22.4601,22.0897,21.8175
ret-1;B5U8N2,17.4037,19.9347,21.1609,19.8517,21.2931,21.1508,20.4474,19.8255
ret-1;B5U8N2;Q23187;Q23188;Q7JLB0,20.9354,18.9103,20.7375,19.2448,24.4357,23.3494,25.0926,25.4901
ret-1;B5U8N2;Q23187;Q23188;Q7JLB0,22.7243,23.137,24.0986,22.1882,21.2548,20.1523,20.9375,21.2505
pgp-5;B6VQ78,24.7936,25.0717,25.3417,26.0154,24.1792,21.6598,22.4392,23.7967
pgp-5;B6VQ78,19.0913,20.749,19.4483,19.8817,21.911,20.9375,19.6359,19.6854
pgp-5;B6VQ78,23.5881,23.6613,25.4553,24.3153,23.041,23.199,23.8769,23.2785
pgp-5;B6VQ78,19.7066,19.1923,18.6766,19.3035,21.4422,21.7248,20.7787,21.7891
;D9PTN8,18.2814,18.0552,19.9678,18.035,20.4434,21.1005,20.4689,20.7574
T05H10.4;B7WN71,23.1647,23.4752,26.9099,24.7369,21.6426,21.3774,22.014,22.5013
rpl-32;B7WN95;Q22716,20.7585,19.1846,20.8123,21.0274,25.54,25.4733,23.0685,23.5677
;B7WNA1,19.8961,20.3708,20.6711,21.4848,21.9873,20.5899,20.9067,21.6393
ztf-18;B9ZSG9,20.4987,18.4029,17.028,17.9701,23.123,23.9696,22.4336,22.6807
uba-1;C1P636,18.4783,20.067,20.0159,19.1758,28.6917,28.3212,27.399,28.6877
uba-1;C1P636,17.9534,18.0741,18.7596,19.4827,23.4633,22.0191,22.4369,24.013
uba-1;C1P636,28.8427,28.5983,28.7425,28.1472,27.8327,27.0434,26.8239,27.0193
uba-1;C1P636,18.4082,18.2486,20.1828,20.7321,25.2971,24.2513,24.2115,25.242
uba-1;C1P636,20.3531,20.2175,19.5885,20.3915,21.7011,20.6463,20.9351,20.9927
;C6KRI9,19.1637,17.8387,18.4294,19.3799,19.4767,21.1637,20.9227,20.3708
;C6KRJ1,26.5813,25.9916,26.517,26.9107,24.4959,25.1803,24.5876,24.9174
;C6KRJ1,19.4496,20.9856,19.8474,20.8095,20.3136,19.3152,21.1426,21.6047
;C6KRL2,18.7797,20.0192,20.3605,20.1768,20.7115,19.9717,20.3784,21.3875
;C6KRL2,19.8777,16.6764,19.8447,18.5845,24.9609,23.8074,24.1593,25.5308
;C6KRL2,19.4769,19.7259,20.5111,18.3891,20.601,21.7613,20.2862,21.7961
sao-1;C6KRN1,19.9763,19.5928,20.3653,19.8188,21.8475,21.0194,21.1391,21.2472
sao-1;C6KRN1,18.4955,19.5373,21.2587,17.2448,20.8672,22.2583,22.1751,21.6872
;C7GIK1,20.3252,19.5685,21.0744,20.6322,24.1429,24.7102,24.3196,25.0001
fln-1;D0IMZ5;U4PM01,19.4306,20.9576,17.2759,19.339,21.4059,21.4571,20.162,20.2933
fln-1;D0IMZ5;U4PM01,20.221,19.4202,20.1358,19.5461,21.0414,21.0617,20.7607,21.7131
laf-1;D0PV95,19.5823,20.096,20.1322,20.3444,19.8041,20.6465,20.9017,21.2715
sql-1;D0Z5P0,20.2458,18.8091,20.3924,18.9351,23.7733,23.368,22.1273,23.2128
sql-1;D0Z5P0,21.3789,21.5513,21.9157,21.5353,21.5469,21.2464,19.8034,20.8392
sql-1;D0Z5P0,21.3433,21.3339,22.127,22.7844,23.0573,21.939,21.0128,21.549
;Q22832,19.8751,21.241,19.5493,18.5249,25.3912,23.9264,22.2568,24.643
;Q22832,19.348,17.1456,20.6451,19.7882,21.8129,20.9894,21.229,21.6336
;Q22832,24.8869,23.7701,25.6387,25.1417,25.357,24.5592,24.4791,24.4851
;Q8WQB8,23.4443,23.6253,24.1386,23.6197,21.8987,22.5055,23.1307,21.6378
tag-349;D3NQB5,18.254,20.9611,19.0671,20.1875,21.4958,20.9836,21.5373,21.1974
cfp-1;D3YT77,17.3798,17.1247,20.9992,19.0978,21.9146,21.4443,20.5281,21.4169
cfp-1;D3YT77,19.3181,20.814,19.8466,19.5324,21.9542,21.7244,20.4784,20.969
dct-16;D4YWC3;Q9XX57,18.2902,18.6151,18.8924,17.4355,22.8048,25.0214,23.4421,23.3507
dct-16;D4YWC3;Q9XX57,21.3433,18.9633,21.9357,18.6676,24.2399,22.7062,25.1807,25.2217
dct-16;D4YWC3;Q9XX57,19.0474,18.9917,20.9751,18.6871,27.6246,26.2535,24.1034,26.6736
dct-16;D4YWC3;Q9XX57,19.9255,21.2079,20.7915,19.7067,22.4649,22.989,20.9466,22.6336
dct-16;D4YWC3;Q9XX57,20.6749,19.2268,21.3645,19.768,25.8466,25.8495,26.585,26.7227
dct-16;D4YWC3;Q9XX57,19.5703,20.7599,18.7343,19.4895,23.2705,23.6943,25.44,25.5842
dct-16;D4YWC3;Q9XX57,20.5029,18.008,19.7139,19.4237,23.8391,24.4358,24.8236,25.3222
larp-1;D5MCN2,19.6774,17.7611,20.4562,18.0478,20.5319,20.6526,18.8036,21.1469
sup-26;D5MCQ2,20.3431,18.836,20.4494,18.8296,20.5478,21.5307,21.1328,21.5937
;O17698,20.5043,18.6634,19.8905,18.8026,20.9375,21.6223,21.4829,21.7561
mdt-9;D5SGZ9,17.2061,18.8926,21.3559,19.6515,21.5205,21.2703,20.0471,21.9273
mdt-9;D5SGZ9,19.0659,20.1856,20.0463,20.0782,20.9487,21.4707,20.1499,21.3013
mdt-9;D5SGZ9,18.409,17.3312,20.374,21.2649,21.8157,20.2852,20.0402,20.4983
nstp-10;C50F4.14;D6R8W5,16.9145,21.0671,19.7902,19.9898,20.3161,20.9842,20.3432,21.5452
math-38;D6VPA0,24.254,24.451,25.0909,24.6364,21.2065,21.7627,21.3279,20.4193
;D7SFI3,22.702,23.4507,23.2884,23.3957,24.4316,23.9425,23.3125,24.263
gsto-1;D7SFI3;P34345,19.3464,18.8299,21.5682,19.7615,26.227,24.6542,25.4407,26.663
;D7SFI3,24.8431,24.5372,24.736,23.4621,24.5447,23.395,22.6072,25.6621
;D7SFP5,17.316,19.3453,20.5723,18.9186,21.7262,20.711,20.5624,21.7654
;D7SFP5,18.7795,20.3703,21.4042,17.575,23.706,22.1909,23.5963,24.9782
cup-5;D7UU24,25.0775,24.6164,24.0163,23.8831,21.4357,21.5622,21.1154,21.7949
cup-5;D7UU24,18.4199,20.8181,18.6748,18.992,21.117,20.5229,21.2674,20.1553
myrf-2;Q9U3I3,18.0398,20.4525,21.3886,18.2605,21.8622,21.3348,20.7942,21.663
snx-6;D9PTP5,18.3186,17.5463,17.6194,18.7692,21.4337,21.7804,21.5345,20.2924
snx-6;D9PTP5,20.3473,21.8027,19.0192,18.0245,21.5166,20.873,21.4638,21.4654
snx-6;D9PTP5,16.8164,16.7269,20.5958,20.2593,21.3184,21.5273,19.7784,21.4255
;E0AHE1,18.8237,20.9513,19.1148,17.5584,21.6065,20.9979,19.3429,19.9882
ent-7;Q20396,24.5042,25.4718,25.8326,25.4954,24.3161,25.6732,23.9149,25.2713
;E1B6S4,19.4713,19.2084,19.5274,17.75,23.889,23.8399,23.0734,25.124
C27A7.1;E1B6U2,25.3326,26.0886,26.2348,26.3466,24.3535,24.9712,23.8996,24.2175
rsd-2;E1B6W0,25.6465,26.235,26.1397,26.4432,25.8446,26.025,25.3421,25.8859
hpo-34;E3W743;Q93636;Q93637,23.2114,22.83,23.117,22.1776,21.8025,20.4726,20.2842,20.6735
hpo-34;E3W743;Q93636,18.4966,17.7621,18.1747,20.321,21.8821,21.6544,21.4855,21.9085
hpo-34;E3W743;Q93636,18.4288,19.072,21.0074,19.2332,21.6072,21.6657,21.3307,21.2918
hpo-34;E3W743;Q93636,18.6748,18.9115,20.0162,19.8909,20.3305,20.9932,21.4088,20.6994
hpo-34;E3W743;Q93636,21.5741,19.1829,19.0189,19.0798,21.8786,20.6993,20.9927,21.7395
hpo-34;E3W743;Q93636,20.943,20.6478,21.0941,17.8612,21.9063,21.5147,21.2479,21.3406
hpo-34;E3W743;Q93637,19.66,19.664,18.7326,18.5579,21.4665,20.0707,20.1552,20.6192
hpo-34;E3W743;Q93637,20.7476,20.9904,21.895,20.7203,22.6644,23.7843,22.193,22.1981
hpo-34;E3W743;Q93637,19.9632,21.54,18.0871,18.4275,21.4006,21.4386,19.7826,21.7317
hpo-34;E3W743;Q93636,17.9807,17.0455,18.2353,18.6324,21.9082,21.0337,19.571,21.3764
hpo-34;E3W743;Q93636,19.4252,15.8617,19.0153,20.4825,20.5914,20.4525,20.1791,21.4076
hpo-34;E3W743;Q93636,16.5367,17.8332,21.1235,21.3923,20.797,20.3116,20.9251,20.9698
hpo-34;E3W743;Q93636;Q93637,21.3221,19.3798,21.4137,17.605,26.718,26.0773,25.4879,26.1418
hpo-34;E3W743;Q93636,19.9615,18.1723,19.5963,17.2766,21.5254,21.1544,20.9267,20.7617
;E3W759,20.0788,20.7305,19.1967,19.1866,21.8049,19.8537,20.9453,21.7305
dnj-14;Q21162,17.9611,17.5575,20.6773,21.3504,22.3058,22.6852,21.8727,22.7202
dnj-14;Q21162,19.3718,19.4112,19.9417,19.7932,20.8499,21.08,21.2007,20.9649
dnj-14;Q21162,19.2415,19.4902,18.3689,16.9741,25.7603,25.4249,23.5663,24.14
dnj-14;Q21162,21.7305,22.3028,23.21,22.4261,23.3913,24.456,23.8687,24.6581
mca-1;F5GU98,17.801,20.5786,19.6375,17.3511,21.9294,21.1839,20.7691,19.6559
mca-1;F5GU98,30.2329,29.8678,28.1936,28.7083,27.4886,26.6176,27.2369,27.5002
mca-1;F5GU98,19.4784,15.8816,20.0075,16.4658,25.2846,25.0817,25.0791,26.1552
mca-1;F5GU98,21.9424,21.0944,23.4222,20.3867,18.3867,20.188,21.0865,21.7958
mca-1;F5GU98,20.629,19.5207,19.2296,19.4638,24.0343,23.8194,23.5306,23.4437
;F5GUH0,19.8911,17.59,21.3521,20.1659,24.9709,23.1514,23.0486,22.3776
;F5GUH0,23.6798,22.931,22.8826,21.8704,21.5557,20.3086,21.5235,20.6784
;F5GUH0,22.2348,22.5811,23.9503,22.1159,22.5926,21.2632,21.0606,20.9212
lea-1;F5GUH5;H2FLK8;H2FLK9,20.9637,20.0622,18.472,20.0856,23.9531,23.3923,23.9389,24.3012
lea-1;F5GUH5,23.7723,24.2606,24.1638,24.7581,24.3907,25.1483,22.9269,24.8299
lea-1;F5GUH5;H2FLK8;H2FLK9,19.4341,20.2295,18.3912,19.3295,21.3442,21.3134,21.0909,21.6567
lea-1;F5GUH5,18.6889,21.1681,20.1421,20.3562,24.7918,24.0526,23.8662,24.7849
lea-1;F5GUH5,20.1097,22.7691,22.6278,23.0374,24.8412,24.2869,22.2823,24.5663
lea-1;F5GUH5,24.0954,23.2615,25.0874,23.3093,24.0659,22.9786,24.0144,23.7715
lea-1;F5GUH5;H2FLK8,19.5364,18.3527,18.8386,21.0226,21.9476,21.1676,20.9931,20.8271
lea-1;F5GUH5;H2FLK8,23.2176,22.4559,22.3444,21.9836,22.2151,22.146,21.1638,21.5174
lea-1;F5GUH5,23.3797,23.6099,24.2852,22.4755,23.201,23.7894,22.8834,23.4414
lea-1;F5GUH5;H2FLK8;H2FLK9,17.995,19.1409,19.1993,19.2084,25.6912,24.1739,23.9608,25.0338
lea-1;F5GUH5;H2FLK8,24.5829,24.6239,24.9575,24.9802,23.5463,24.1896,24.8442,24.6486
lea-1;F5GUH5;H2FLK8,21.1861,19.5842,18.7329,19.8764,21.3278,20.24,21.4339,21.1663
