geneName;Leading.proteins,log2 daf2_d10_01,log2 daf2_d10_02,log2 daf2_d10_03,log2 daf2_d10_04,log2 daf2_d1_01,log2 daf2_d1_02,log2 daf2_d1_03,log2 daf2_d1_04
tag-296;A7DT41,20.0623,20.6884,17.9407,19.6798,21.7963,23.2136,24.5772,21.9635
mrg-1;Q9XWW2,19.5653,20.4783,20.4591,20.9831,17.3944,16.3736,16.7751,17.9778
mrg-1;Q9XWW2,19.6154,17.6361,21.7057,19.5465,19.3277,15.9895,18.3958,19.0922
igcm-3;A7LPD6,18.2726,18.4019,21.0619,20.4002,15.9451,19.6048,19.3003,18.7618
igcm-3;A7LPD6,21.1354,18.4259,17.9262,18.2997,23.7459,23.6288,24.0346,22.4553
gpdh-2;A7LPE6,21.398,19.5393,21.908,19.5867,18.0096,18.2239,17.8341,18.1462
;Q5FC71,18.5302,20.0445,17.1038,19.8032,19.1099,19.8583,21.344,18.6697
;Q5FC71,24.4637,23.5549,23.4291,23.5381,18.3516,17.533,18.6161,17.6739
;Q5FC71,18.4799,21.7987,20.2574,21.0936,15.6631,18.0475,17.4507,18.2885
;Q5FC71,26.6136,26.3489,27.4005,25.299,17.8397,18.9099,16.8287,18.0884
;Q5FC71,29.5549,29.2163,30.4315,28.5097,27.0045,28.323,25.8017,27.5357
;Q5FC71,19.7943,21.0468,19.4367,20.404,16.2716,17.2125,17.2737,16.6483
;A8WFH7,23.6211,23.5293,24.8926,21.5559,22.5643,24.0001,21.6725,22.8817
;A8WFH7,24.8241,25.5737,24.1082,25.2168,19.6347,17.606,15.6609,17.1459
;A8WFH7,25.6825,24.4848,25.3589,24.8275,17.1084,18.2615,19.0927,17.0435
;H2KYH9,20.7237,20.0675,17.4429,19.452,15.9268,18.8791,19.0479,18.6844
mdt-28;A8WHP8;Q65ZB1,24.747,23.3581,24.4813,22.8435,18.0862,20.7003,16.6657,18.8695
mdt-28;A8WHP8;Q65ZB1,20.3088,18.8309,20.8736,20.1694,17.2651,17.8724,19.9237,16.5159
mdt-28;A8WHP8;Q65ZB1,20.2525,18.8404,21.4177,21.082,16.4139,14.4741,17.503,17.3345
mdt-28;A8WHP8;Q65ZB1,19.6517,20.2754,18.9941,20.0007,17.5167,16.6113,17.5731,17.7571
mdt-28;A8WHP8;Q65ZB1,20.0624,21.0525,20.3173,20.1972,20.4217,17.8456,19.3533,15.5039
mdt-28;A8WHP8;Q65ZB1,19.0613,20.7369,19.8198,18.4839,19.6349,16.4658,19.1677,17.4659
mdt-28;A8WHP8;Q65ZB1,18.8334,19.0273,19.3204,17.4076,23.4111,24.0388,23.8164,23.4749
mdt-28;A8WHP8;Q65ZB1,22.3757,22.907,23.9468,23.3757,20.7419,22.2576,23.8703,21.1095
mdt-28;A8WHP8;Q65ZB1,19.8836,19.7802,21.1125,19.4498,16.7429,18.0243,17.0813,19.0057
mdt-28;A8WHP8;Q65ZB1,19.7242,19.0992,19.928,19.0498,17.7038,18.3006,19.4744,16.9199
;A9UJN7;Q7YXB8;Q18494,24.8608,23.0407,25.3476,23.0468,18.9899,17.6018,18.5144,16.8416
;A9UJN7;Q7YXB8;Q18494,18.8476,19.482,20.0682,18.8977,17.7153,19.6786,19.7675,18.5137
;A9UJP1,19.8222,18.183,19.6651,18.4251,18.6,18.5502,19.3091,19.1397
;A9UJP1;Q95ZR6;Q9XVL1,20.1119,21.3121,20.6411,20.2592,19.1098,16.4962,18.655,16.5827
;A9UJP1;Q95ZR6,19.1565,20.7972,19.8249,20.207,14.5825,16.8062,20.0231,17.7743
;A9UJP1;Q95ZR6;Q9XVL1,23.9921,24.2238,24.0388,20.9093,22.6034,22.3056,20.3255,23.733
;A9Z1K9,20.8244,16.9241,19.3365,20.132,18.3866,19.1054,17.9877,16.3741
