geneName,log2 daf2_d15_01,log2 daf2_d15_02,log2 daf2_d15_03,log2 daf2_d15_04,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04
cyb-1,11.9446,11.6906,11.7014,11.7551,14.1727,14.4031,14.8292,13.9091
tpi-1,19.6024,19.8652,19.4557,19.6341,19.3531,19.1227,19.2254,19.2594
dpy-30,18.4841,18.8036,18.7151,18.8283,18.3327,18.0816,18.4867,18.5002
icl-1,18.6883,18.6667,18.8305,19.1235,19.0111,19.1216,19.0247,19.4839
mek-2,15.599,16.092,15.4433,15.5317,14.9916,15.2151,14.999,15.531
rnp-1,15.8218,16.9551,15.9035,16.1444,12.5759,11.8887,12.2742,12.2595
glt-1,16.5321,16.381,16.6934,15.9007,17.3816,17.7529,17.2777,17.3684
psmd-9,15.7992,15.7143,15.5888,16.0583,15.8203,15.6357,15.9384,16.103
sid-3,12.3036,12.0311,11.4775,12.447,14.5562,15.9349,15.8296,15.5394
abi-1,13.8017,14.0806,14.3848,14.0321,14.2716,13.7378,14.0346,13.867
lgg-3,15.5843,14.0148,13.8962,15.654,12.4853,12.0967,12.0263,12.5016
"B0310,1",11.9174,11.7192,11.7681,11.96,12.5275,11.218,11.7238,12.4481
ugt-46,19.3945,20.2464,19.7944,20.276,18.5366,18.2094,18.9249,19.5384
"arf-1,2",17.578,17.3125,17.7775,17.8784,17.6172,17.3506,17.6041,17.5933
pho-5,12.303,12.0908,10.7641,11.9526,13.1844,11.6316,12.9966,12.796
psd-1,13.7117,13.4464,13.2083,13.3639,14.9349,15.027,15.1341,16.0439
"B0361,6",15.3385,15.217,14.5868,14.7562,15.5034,15.8688,15.986,15.9237
"B0336,3",14.5674,14.1387,14.1456,14.6229,14.2973,14.3181,14.4597,14.1124
tag-320,16.5576,16.4071,16.4769,16.8403,16.5009,18.3719,17.0575,17.0532
"B0403,3",14.7534,14.8155,14.9222,15.0105,16.6099,15.5248,14.8697,16.7083
"C02F12,5",16.5726,17.1397,15.8001,15.9642,15.4856,15.8731,14.8739,16.3397
lmp-1,19.7591,19.6134,19.7875,19.5789,20.2657,20.3674,20.2323,19.6507
"C03F11,3",15.9179,15.5866,13.8425,15.0267,12.4949,11.9503,12.0246,12.6981
cht-1,18.688,18.8027,18.9238,18.8069,17.7533,18.0506,17.9444,17.7891
unc-78,17.1886,17.5229,17.157,17.5477,17.1513,16.7469,16.571,17.0108
vps-16,12.1986,11.9748,11.7802,11.7628,12.5727,12.1629,11.9034,12.4106
txdc-9,13.5569,13.8434,12.2617,13.2678,13.48,12.7248,13.7258,12.68
"C05D11,5",14.7156,14.171,14.3849,15.1044,12.5046,12.0151,12.2952,12.6713
mrps-17,15.037,15.2354,15.0609,15.1392,15.0523,14.4599,14.9892,14.9657
let-721,16.1398,16.3218,16.1273,16.404,16.8764,16.328,15.9638,16.8076
sodh-1,18.0194,17.9939,18.1098,18.4122,17.8238,18.1338,17.9903,18.3896
"H24K24,3",17.0091,16.6792,17.1473,17.2111,16.448,16.9435,17.0835,16.9078
let-858,12.1512,12.0788,11.6005,11.9647,14.0786,15.7603,15.0378,16.3764
gld-1,14.7003,15.6258,14.8867,15.1618,15.7006,15.6068,15.7773,16.3119
ccf-1,14.5842,14.7821,14.8587,14.6584,14.6993,14.4689,15.0736,15.8071
snr-1,15.8067,16.7679,17.0463,16.6171,13.9522,15.4734,14.6229,14.2424
usp-14,16.3909,16.5803,16.5195,16.5046,17.304,17.3813,19.7012,17.4935
cul-1,16.0384,15.8874,15.8361,16.2573,15.0094,15.0457,16.3551,16.1616
cul-2,14.6865,14.1322,15.8737,15.1758,15.8782,15.1501,14.8549,16.0573
cul-3,12.8445,11.916,13.0195,11.689,14.07,13.2386,13.8851,12.6003
