geneName,log2 eat2_d1_01,log2 eat2_d1_02,log2 eat2_d1_03,log2 eat2_d1_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04
"CELE_T16H12,3;T16H12,3",14.3255,14.0321,12.9174,14.2336,12.4847,13.4082,13.6087,12.207
lev-11,14.6444,14.4137,14.0062,14.6316,13.6743,13.3467,13.5871,14.0535
gld-2,12.4825,12.7573,12.3399,13.0231,13.0836,13.5281,13.015,11.7589
ncl-1,15.0048,15.1274,15.0056,14.8777,15.027,15.1476,15.1867,14.9605
"CELE_D1069,3",10.3262,12.131,7.60835,10.4998,12.4808,10.997,11.3155,6.29544
lin-23,16.7725,16.4028,16.1503,16.3081,14.6164,14.6201,14.8182,14.7393
"CELE_Y50D4B,1",14.6389,14.1407,15.2596,15.4452,13.6227,12.8805,13.0266,15.548
"CELE_Y39A1A,21",11.3144,12.1267,12.0295,10.6682,11.3098,11.7244,11.9371,12.1402
dre-1,16.4058,17.7578,17.2062,16,16.8521,17.5528,17.5296,17.0168
gck-1,15.0427,14.7422,14.8521,14.9281,15.126,15.0707,14.7736,14.886
gly-7,13.2416,13.7346,13.7728,14.3512,14.4632,13.9384,14.0462,14.235
"CELE_F40A3,3;F40A3,3",17.7456,17.9368,17.8551,17.4634,17.6745,18.587,18.0588,17.8006
"CELE_Y50D4B,4",14.9787,15.6712,15.6459,15.6076,14.7622,15.344,15.3902,15.3831
cdf-1,10.5696,10.3252,10.3024,10.6677,13.5598,12.8471,12.2454,12.3073
unc-34,13.8518,14.466,14.6832,13.4427,16.1005,16.2428,15.4881,15.338
tbh-1,14.5926,15.0296,14.5775,14.9913,14.8463,13.869,14.1361,14.6965
lev-11,21.1675,21.4134,20.9223,20.7806,21.6604,21.8609,21.7249,21.1096
imp-3,12.6899,13.082,12.4051,13.601,11.6595,11.537,11.9189,12.0689
prdx-2,20.8942,21.3648,21.233,21.3462,20.93,21.236,21.3004,21.2097
jhdm-1,13.7639,13.4889,13.5012,13.6998,14.3853,14.2042,13.9326,13.8015
mrck-1,12.765,13.044,13.4002,13.11,13.3518,13.2695,13.1939,13.5251
nhr-86,12.1407,12.7157,12.5374,11.5439,12.3253,12.373,12.634,12.7489
aat-3,12.9043,13.3256,12.9065,13.1466,12.1389,13.0892,12.9022,12.4945
"CELE_M02H5,8",18.1582,18.0209,17.6519,17.7006,18.7358,18.3593,18.3323,18.1816
"CELE_T08B1,1",15.6044,15.5163,15.4616,15.5904,15.4472,15.5818,15.5373,15.2916
lipl-5,14.0593,14.0521,14.0562,13.4379,14.6172,14.4394,14.1656,14.5566
fln-2,15.7683,15.5146,15.573,15.6207,15.8547,15.4755,15.7544,15.8749
"C14C6,5",13.3778,12.4916,14.7746,12.5963,13.4761,13.7285,14.4,13.8321
"CELE_T08B1,1",10.6738,10.3378,10.406,10.3975,9.92087,9.83609,9.95917,9.86356
zig-11,11.4791,11.9132,11.7059,11.4122,12.6669,12.4196,12.6057,13.0438
ilys-5,16.3559,16.2442,16.7785,16.5289,17.7451,17.5708,17.6705,17.9189
irg-3,12.0239,13.6031,14.0724,13.2157,14.5273,14.1672,14.347,14.7562
tns-1,15.3103,15.0886,14.9067,15.0705,14.9621,15.0611,14.9681,14.9841
ubr-4,12.175,13.4889,12.5708,12.6153,12.4933,13.1581,12.2734,13.0165
ccar-1,15.1376,15.0373,15.1087,15.0186,14.9522,15.1393,15.5796,15.0925
ulp-2,14.6588,13.6319,13.6467,14.3612,12.7519,13.8253,12.2326,13.9428
"CELE_T23F4,2",13.3763,12.8645,13.2779,12.2445,14.0498,13.1419,13.5994,13.9626
sago-1,13.6895,13.542,13,13.434,13.4302,13.4341,13.3097,13.2551
sago-2,14.5988,14.3745,14.9379,12.6879,11.8545,11.9899,12.216,13.436
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",13.6059,13.0851,13.4806,12.171,13.6684,13.1754,13.0629,13.1592
daf-4,14.3909,13.1758,13.5505,13.6891,13.7149,13.1534,13.8904,13.247
hpo-3,11.1086,11.7108,11.3353,11.1251,10.424,11.9341,11.8484,10.5638
acs-22,14.7618,14.6566,14.8523,14.5628,14.6643,14.6948,14.526,14.4845
tag-10,15.3004,15.4845,15.367,16.1844,14.8529,15.4464,15.6012,15.3167
imb-2,14.1157,14.0364,13.76,14.1524,14.2464,13.7576,13.8201,13.4258
brf-1,12.86,10.1685,12.0832,12.4267,12.2107,11.89,11.9915,12.3855
"CELE_W09B6,4",12.7675,13.888,13.6697,13.2255,12.7863,13.1092,13.2238,13.7984
irg-7,17.7776,17.5662,17.9636,17.7546,18.4433,18.1981,17.9343,17.8635
"CELE_F27B10,1",13.8266,4.00029,13.1449,13.4906,12.9254,14.2495,14.251,12.7808
"CELE_T22F3,3",10.6188,9.99572,10.4122,10.5953,9.88843,9.835,9.84919,9.97705
die-1,10.2499,12.8387,12.2804,12.0761,12.188,12.711,12.9452,12.8769
dhs-11,15.1228,15.1509,15.364,15.081,15.0334,15.1715,15.2211,14.8428
tbc-14,14.8343,15.0339,14.9136,15.0513,14.4735,14.6009,14.4625,14.6856
cyp-34a6,13.4694,13.5735,13.0709,12.9564,13.1808,13.1618,12.5421,13.1831
fipp-1,14.2437,13.3246,14.3555,13.8089,14.3137,13.6219,13.703,14.5507
unc-132,14.6151,14.4978,14.8069,14.7951,14.8457,14.5438,14.8722,15.1207
cdh-4,11.7879,11.5006,11.1287,11.4683,14.6285,10.7644,12.3328,12.1037
ajm-1,10.9694,9.90974,11.0537,11.2009,11.6345,9.20727,9.73068,9.71515
"CELE_ZC412,3",16.173,16.0842,16.1339,16.3324,16.3825,16.3468,16.0183,16.3954
farl-11,11.4386,12.1576,11.4889,11.3118,12.5623,12.2601,12.5787,11.0992
let-711,14.7561,14.9078,15.0526,15.1894,14.9091,14.9139,14.7055,14.8083
"C40H1,7",15.6414,15.1485,14.5656,15.8509,14.2645,13.5869,14.2285,15.5304
spat-2,14.0406,14.6327,14.1608,14.6439,14.5842,14.6005,15.0498,14.4684
aakg-1,13.0576,12.9201,12.9037,13.4031,12.5361,12.4798,12.5641,13.2818
grl-23,14.5158,14.7975,15.1834,14.9063,12.3924,7.84233,13.0013,9.08838
spat-2,13.7933,13.2742,12.9591,13.3979,13.255,13.2865,13.1384,13.2323
"CELE_Y55F3BR,6",13.2224,12.0115,13.2091,12.6604,13.4095,12.62,12.8433,13.1659
vab-10,16.7322,16.2592,16.5955,17.0891,17.4039,16.9936,17.0356,17.4125
"eif-3,l;eif-3,L",17.1061,16.5901,16.7168,17.0278,17.153,16.7416,16.7568,17.3188
"npp-25;npp-25;npp-25;Y37D8A,17",16.0175,16.6041,15.9879,16.0504,16.1433,16.2131,16.1249,15.949
cnt-1,14.2779,12.7615,12.6716,13.297,11.1371,12.6871,12.2839,12.3774
"C26G2,2",12.4263,12.8725,12.6666,10.847,12.1694,12.535,12.8624,11.5929
"CELE_F43B10,1",13.6452,13.6701,13.5638,13.571,13.0402,13.4013,13.6621,13.8394
ubc-15,14.4611,14.8595,14.681,14.7091,13.8559,14.9652,15.4026,14.352
"CELE_Y55F3BR,10",10.305,10.3478,10.3067,10.5818,14.4562,14.2971,14.4081,14.3763
"CELE_Y38F2AR,12",14.4601,13.7661,14.0696,14.0969,13.6756,13.3228,13.189,13.3403
ttr-42,15.9733,16.3299,16.4235,16.1323,15.3834,16.6743,16.1653,15.7346
"CELE_H29C22,1",16.1022,16.0613,15.7707,16.5717,16.0658,16.055,16.1323,15.6438
"CELE_F07G6,10",12.6363,15.1037,13.9715,14.0265,12.2307,15.4786,14.18,12.9487
ttr-34,14.8517,15.1234,14.4223,14.0291,15.2377,15.9983,15.8902,15.3033
"CELE_Y49E10,29",10.5597,10.2041,9.77207,10.3405,9.88784,9.90324,9.96685,9.98732
cnnm-1,14.2811,12.4529,12.7964,13.2143,13.485,12.7277,13.3425,13.2982
col-138,16.1102,15.5075,18.3774,13.5785,14.9514,14.7604,13.5275,13.502
oac-59,10.6963,10.3258,10.3678,10.6429,13.155,13.3144,12.8476,11.921
"C42C1,8",13.3195,12.0299,12.1654,12.6484,13.0762,12.5553,12.5452,12.9929
"C42C1,11;AP-1",14.6941,14.6105,14.6021,14.6435,14.507,14.5696,14.5518,14.5812
rpl-34,19.0439,19.3361,19.5833,18.9555,19.574,20.0236,19.6242,19.5446
erl-1,14.8018,14.0277,14.5356,14.4034,14.3086,13.6026,13.9195,14.2569
tag-335,13.5656,13.8849,13.7872,13.7949,13.6554,13.9881,13.9747,13.9607
fbxa-6,10.5923,10.3045,10.3159,10.6458,13.1911,13.0923,12.6557,12.2958
"CELE_cTel55X,1",14.3041,14.6434,14.5889,14.7497,14.5398,15.1367,15.2355,14.745
"C44C10,9",14.7321,14.4771,14.3639,14.3644,14.1886,14.2101,14.3073,14.3652
"CELE_F14D7,12",13.9293,13.276,13.5475,13.205,14.1236,12.8066,14.2791,16.9308
"CELE_D1086,17",11.8296,11.0529,11.4152,11.6521,12.3931,12.0283,12.3626,12.4447
"CELE_W06G6,15;CELE_Y70C5B,2",15.1267,14.1488,14.1702,14.43,12.0945,11.9526,12.2859,12.9974
"CELE_Y71F9AR,4",10.7357,12.6205,11.9691,12.6464,11.4946,12.668,12.8227,11.3493
"CELE_Y47G6A,33",16.0929,16.4841,16.2114,16.5278,15.886,16.0881,16.1074,16.4014
"CELE_ZK813,7",16.7235,14.8446,16.2023,16.5034,16.4209,15.4916,14.1158,16.6534
"CELE_T28A11,2",12.8823,13.3753,13.9887,13.0954,15.2786,14.9213,15.2094,15.2847
guk-1,15.9572,15.88,15.5812,15.9583,15.9845,16.1979,16.1398,16.0946
"CELE_Y53C10A,6",13.5094,12.8852,13.1171,12.2812,10.2654,11.2035,11.257,10.3809
"CELE_Y48C3A,18",10.6638,10.1959,10.3733,10.6592,12.2969,12.4001,12.8513,12.904
"CELE_Y39B6A,3",14.0284,13.758,13.6189,13.7695,13.5914,13.5708,13.474,14.2635
dab-1,14.6896,14.2851,14.5171,14.8341,14.2297,14.2801,14.4464,14.5165
"CELE_F25H8,1",13.9641,12.892,13.8615,12.3012,14.4923,13.6965,13.469,14.0493
swsn-9,14.1767,13.0573,13.8529,14.0262,13.0938,13.4431,13.4506,13.3054
"CELE_ZC434,7",13.4018,12.2559,13.0467,12.9439,13.178,12.5662,12.727,13.0425
rad-50,10.9103,11.2107,11.6395,11.5499,8.2136,11.2991,12.0417,10.3254
"C25F9,11",12.1809,15.9549,12.2829,14.9333,12.7723,15.9069,15.7317,13.7496
sin-3,13.8219,14.5731,13.5208,13.762,12.7658,11.2803,11.6526,12.6792
hmp-1,16.0128,13.731,15.2885,15.442,15.4073,15.6288,15.6941,15.3812
dhs-3,16.7584,16.858,16.4362,16.7242,16.3399,16.3486,16.5119,16.5189
nra-2,15.1212,15.0026,14.8978,15.2622,15.0574,14.8279,14.9195,14.649
"CELE_Y37H2A,14",14.0479,13.3101,13.8347,14.0059,14.3593,12.5944,13.1906,13.153
"CELE_F27E5,7",13.6336,11.7394,12.4874,12.8576,14.1489,13.4646,13.5682,14.2417
saps-1,13.9915,14.1557,13.9287,14.2969,13.9408,14.2913,14.0402,14.0357
"CELE_ZK809,8",10.6701,10.3067,10.4248,10.6623,10.0039,9.85719,9.76661,9.87878
"CELE_D1081,7",12.5917,12.4924,12.1442,12.4883,12.8055,12.3297,11.9239,12.9526
aph-2,13.4327,12.7216,13.3868,12.4918,12.1691,11.8876,13.1068,9.72659
"CELE_F15B9,10",14.5167,13.8277,14.1797,14.2066,14.6877,13.995,14.1269,13.9099
"C27A7,5",12.9634,12.8777,12.6239,13.1413,13.0158,13.659,13.4456,13.065
"CELE_F30A10,13",12.6635,13.1972,12.9804,12.5853,13.3899,13.104,12.9573,13.2729
"CELE_F30A10,14",12.7221,13.8213,13.9917,10.9773,13.8963,14.5468,14.2609,14.2262
"C04H5,7",12.8932,12.4018,12.4954,11.9418,12.1988,12.0401,12.1341,12.3346
"C13B4,1",12.3982,11.5847,11.9832,12.3725,12.7224,11.1998,11.8868,12.2042
"CELE_F02E9,10",13.3974,13.0325,13.1028,13.9701,12.9656,13.2166,13.3601,12.7306
"CELE_R13H4,2",16.3344,16.0602,16.5181,16.5702,15.8669,15.4715,15.7473,16.073
"CELE_ZK228,4",13.1751,13.9021,13.5712,15.0491,13.6659,15.5929,13.014,14.0352
"CELE_K02B7,3",15.7565,16.0033,15.6358,15.7121,15.4842,15.9717,15.8603,16.0683
nuo-3,14.3083,14.3834,13.5637,14.4151,14.6403,14.6561,14.3871,13.9839
"C44E4,5",13.6755,14.5557,13.7481,13.7079,13.0856,13.6019,13.0804,13.2907
"CELE_F49E2,2",14.9819,14.3219,14.3954,14.5737,14.9222,14.5115,14.6558,14.7803
"T07A5,7",15.1832,14.7164,14.2565,13.9634,16.7599,16.6278,15.9673,16.8248
"CELE_T04F8,7",14.6461,14.1639,14.1503,14.1423,14.6368,14.4419,14.7348,14.3996
"gpb5;CELE_T23B12,8",10.6006,10.3315,10.3419,10.5037,9.99526,9.93861,9.95365,9.92834
"CELE_F49D11,10",15.4155,14.9338,15.0904,15.2746,15.3927,15.2793,15.3868,15.34
oxy-5,18.5664,16.8377,17.4497,18.0028,18.0946,17.3907,17.1208,17.5382
mrg-1,15.2148,15.1732,14.8721,15.2399,15.3139,15.1146,15.3598,15.1187
obr-1,13.2743,12.7411,12.1934,12.3281,13.3456,12.3222,12.7199,12.8299
igcm-3,11.2742,13.3371,12.7991,13.6297,13.0148,13.3857,13.068,12.8401
unc-16,12.4178,13.1082,13.6549,13.1219,12.3277,12.9536,12.9791,12.8507
gpdh-2,17.484,17.517,17.3885,17.6947,17.6922,17.6101,17.6925,17.6092
sly-1,14.6065,14.8507,14.7371,14.8221,14.4503,14.5752,14.8006,14.4731
"B0393,9",13.2761,14.3273,13.4256,13.6166,13.3019,14.9448,14.5423,13.4613
cisd-1,17.9831,18.442,18.0016,18.2029,17.8053,18.3354,18.1713,18.1231
"CELE_F09E8,2",12.4846,13.126,13.7698,13.9416,14.458,14.2843,14.1791,14.6819
lsy-22,13.0932,13.0451,12.7254,13.1482,13.377,13.2583,13.2143,13.1283
"C24H11,5",12.3162,13.0069,12.944,11.8597,12.4559,13.2339,12.8121,12.9305
"CELE_F10A3,17",13.694,14.61,14.0542,14.4201,13.1422,14.7696,14.1531,15.1806
pnc-1,14.4576,14.2347,14.3011,14.2408,14.7789,14.7761,14.3224,15.038
"CELE_Y94H6A,12",12.0115,11.5923,11.7327,11.9419,11.6805,11.4467,11.5949,12.0279
"CELE_F56C9,6",13.7523,12.9408,11.8587,12.4539,14.0667,13.6587,13.8529,13.7281
"CELE_T28D9,4;T28D9,4",13.803,14.5472,13.3944,13.3969,12.9984,13.6995,13.7932,13.8411
"C28G1,5",14.5426,14.0033,14.0111,14.3013,14.4773,13.8987,13.9844,14.0987
gpx-7,15.6278,15.1309,15.5908,14.8096,14.358,14.1993,14.0155,14.3187
"CELE_F41D9,2",14.7547,14.9756,14.6038,15.2205,14.8643,15.0976,15.0492,15.2909
"CELE_T04F8,8",14.4201,13.1793,13.3436,12.8142,13.8098,13.2427,13.1213,14.5437
"CELE_ZK856,16",13.9347,13.4871,13.6938,14.1347,12.9929,13.4236,13.5214,14.529
"CELE_F23B12,4",14.7474,14.9327,14.0667,14.14,13.4876,14.3685,14.5362,12.8898
"CELE_K09A9,6",12.5152,10.9781,11.9327,13.1064,13.1426,12.309,12.4836,13.1397
"CELE_H14N18,4",13.2187,13.1397,10.8647,13.694,11.4303,11.1645,11.5609,10.6135
"CELE_T12B5,15",13.1174,13.2241,12.6044,13.4306,11.2055,12.5851,11.7492,13.8229
"CELE_Y17G7B,20",12.228,11.8761,11.9852,12.5892,9.85731,9.87799,9.90167,9.61092
"CELE_E01A2,1",13.0609,13.7983,13.4246,13.1852,13.7286,13.9444,13.2135,13.2037
"CELE_T02H6,1",14.5744,13.5984,14.1325,13.5587,14.5863,14.1016,14.1741,14.8389
"CELE_Y37E3,11",15.4347,14.8144,14.7462,15.3366,14.7166,14.5037,15.031,15.1267
"CELE_M03F8,3",14.3696,13.8958,13.0379,12.3637,14.6944,14.743,14.4499,14.3389
"CELE_F55B12,10",13.7011,12.2319,11.8776,16.3806,14.5527,14.3034,13.9385,12.1016
pptr-2,14.5493,14.4817,14.4267,14.4715,14.2601,14.5078,14.3429,14.2287
"maph-1,2",15.0458,14.9822,14.8209,15.3212,15.0371,15.2104,15.3788,14.8064
"CELE_K09G1,1",13.8053,13.6181,12.7595,13.672,13.9074,12.9143,12.9731,13.9855
"B0303,7",14.5757,14.0276,13.6939,14.2257,14.6485,14.0339,12.7628,14.2114
"C23H3,3",14.3563,14.2929,13.6198,14.305,14.3149,14.3413,14.4969,14.2052
"C17C3,1",14.5323,14.3924,14.4798,14.2535,14.6908,14.7183,14.6748,14.7192
glna-1,12.6717,13.6548,13.3535,13.5035,11.9353,12.9477,11.405,13.1833
"CELE_Y61A9LA,11",13.2282,13.4479,12.4081,12.7582,13.288,12.6681,12.3175,12.5312
"CELE_F41E6,5",15.3216,14.2548,15.1559,15.4319,15.3765,12.9364,12.7312,13.3244
"CELE_T25B2,2",12.9689,13.9956,13.5853,12.6808,13.5756,14.0091,13.9469,13.6654
trpp-1,12.4713,11.3503,11.6095,11.565,12.403,11.6782,11.9675,13.1933
tsp-10,10.7153,10.3526,10.4173,10.6454,12.9234,12.5222,12.8279,12.2444
ugt-26,15.0767,14.5413,14.8126,15.1607,14.644,14.7264,14.9209,14.7448
"C14H10,3",14.906,14.3494,14.2636,14.2888,14.1806,14.1045,14.1304,13.9731
"CELE_D1086,10",18.3463,17.9138,18.7138,18.0646,19.0112,19.0841,18.8536,20.0424
poml-3,15.0793,14.2961,14.8533,14.6556,14.4277,14.2755,13.9416,14.6743
unc-57,15.5501,15.411,15.3379,15.284,15.4671,15.1045,15.2389,15.7581
szy-20,14.7388,13.3014,13.9342,14.1121,14.5756,14.2856,15.2343,14.0836
"CELE_T06E4,14",10.6791,10.2561,10.3008,10.6679,9.60603,9.85538,9.96232,9.82036
"CELE_F13G3,10",10.5888,10.3229,10.4133,10.6415,16.3229,15.3463,15.2767,15.8685
rmd-2,15.8833,15.8394,15.8814,16.1702,15.3707,15.3243,15.4278,15.7313
smc-3,14.8699,14.3248,14.4135,14.5555,14.4188,14.4406,14.2699,14.549
ntl-2,14.8042,13.9369,13.6554,13.6595,14.214,13.8943,13.7265,13.962
gcn-1,15.9965,16.2318,15.9591,16.2126,16.0712,16.36,16.2725,16.4357
urm-1,17.2508,17.0218,17.015,17.2427,17.4415,17.3722,17.3423,17.4593
nono-1,15.675,15.5121,15.3713,15.7385,15.4462,15.6163,15.5342,15.257
atf-7,9.62718,10.4046,10.1515,9.98424,10.6546,10.8814,10.5085,11.3664
vps-26,14.5956,14.6644,14.3754,14.5849,14.3065,15.4272,14.8972,14.6155
ndx-9,15.0765,15.2722,14.9842,15.3404,15.1375,14.8531,14.9049,14.874
"C14F11,4",17.323,16.641,16.5411,17.0106,17.2075,16.8153,16.9587,17.0409
abts-1,15.1568,15.075,15.1786,14.7681,15.0193,15.2007,15.0953,14.9414
"CELE_ZK858,6",15.1147,14.6566,14.7559,14.2474,14.7419,14.9481,14.9253,14.8074
"C41G7,9",19.017,17.1824,18.7096,18.0839,17.9506,16.4176,17.1945,17.3637
lin-10,15.0344,14.4154,14.2248,14.4367,14.5686,14.6224,14.1706,14.4257
"CELE_M04C9,3",13.84,12.8068,13.5561,13.6161,13.8784,14.2127,14.2595,12.0472
"C31H5,6",13.7417,12.7318,12.7128,12.294,12.5636,14.4135,13.7261,12.658
"CELE_ZK355,8",12.8953,14.7318,14.5926,13.924,13.0473,13.7308,12.7778,12.7471
spds-1,15.2218,15.3932,15.3917,15.6274,15.0755,15.3035,15.4492,15.3802
nxf-1,14.9194,14.4754,14.8734,15.1125,15.3116,14.861,15.1002,15.1488
"CELE_F38A6,5",10.7116,10.2777,10.3619,10.6278,11.6219,12.1587,12.1324,12.193
"CELE_T03D8,6",14.1072,13.9993,14.4653,14.1119,14.2211,13.8628,13.8523,13.6732
ret-1,15.5487,15.1032,15.415,15.6914,15.6082,15.522,15.0505,16.0339
"CELE_D1086,12",12.9106,13.4247,12.8512,13.4962,12.5471,12.7483,13.0072,12.9997
"CELE_F52C12,6",14.3574,13.3797,13.9505,14.0353,14.2246,13.6251,14.1052,14.231
"CELE_Y40B1A,3",12.5036,12.8055,12.669,12.6518,12.2832,12.613,13.0245,13.4052
pals-37,15.058,14.8873,14.4676,13.9602,16.0128,14.1834,14.3424,15.1042
"CELE_F59A2,2",13.8193,12.9463,12.947,13.361,13.4879,12.923,12.6014,13.9026
ptr-24,14.751,15.465,15.2602,16.4192,14.9888,15.8907,15.1609,14.9482
"CELE_F11C1,5",14.1048,13.8993,13.6022,13.8722,13.8563,13.7526,13.804,13.6602
"CELE_Y43F8B,1",16.6442,17.2674,16.9504,17.0824,17.3394,17.5604,17.5079,17.5419
sam-10,12.9771,12.5744,12.8044,12.1815,13.5386,13.2246,12.9363,13.7197
dic-1,19.7635,19.118,17.1997,19.2217,17.8546,17.1036,17.0343,17.2746
unc-68,13.0234,13.3497,13.0112,12.6907,12.8891,12.1874,12.9304,13.7018
"CELE_T05H10,4;T05H10,4",12.3888,14.2215,12.4273,13.682,12.4766,14.5061,14.1411,13.2489
"CELE_M05D6,5",16.7364,16.0974,16.1468,15.9906,15.9202,16.2475,16.2376,16.2293
ctg-2,15.0444,14.2409,14.6588,14.9541,14.665,14.366,14.688,14.6547
rpl-32,20.3814,20.4868,20.2484,20.3974,20.2913,20.7725,20.763,20.4365
"CELE_F37H8,3",14.6313,14.6492,14.6533,14.9434,13.2514,14.3731,14.4148,14.4206
clec-146,14.2306,13.7209,14.341,14.4466,13.7803,13.9726,14.2816,13.9072
tnt-3,16.5423,16.0209,15.8668,16.3223,16.6037,16.5545,17.15,16.465
mlt-11,9.76089,13.4835,12.6857,13.3588,14.8865,13.5589,13.2435,13.6621
hrpu-1,13.7653,12.3899,11.4997,13.5354,13.3237,12.5824,12.4973,12.4141
kcc-2,13.8457,13.943,13.7093,13.9046,13.6639,13.5344,13.5755,13.529
ced-7,13.3784,13.128,13.4347,12.0287,12.6082,12.2977,12.632,13.2073
"CELE_F17C8,9",15.7392,15.6341,15.3839,15.8712,15.2649,15.3113,15.3043,15.1945
unc-119,8.86716,13.408,13.3585,12.6417,12.5318,13.5298,13.2314,12.5931
mrpl-46,16.245,15.5144,15.7233,15.7335,16.2269,15.5994,15.6237,15.5581
"CELE_F40G9,5",13.4016,13.3359,12.7453,12.8192,13.3746,12.9191,13.1329,14.1414
"CELE_F40G9,17",15.0653,14.5404,14.7583,15.2717,14.9904,14.713,15.0114,14.8478
"CELE_Y54G11A,17",14.6622,13.4388,14.2754,14.4041,14.4921,13.5391,13.5945,14.3645
let-767,18.5532,18.4825,18.3916,18.7639,18.6408,18.9018,18.8453,18.5573
dnj-16,15.3222,14.937,14.7956,14.9043,14.9551,14.908,15.0638,14.8112
cfim-2,14.7672,14.3933,14.5547,14.5145,14.707,14.374,14.3363,14.5852
magi-1,13.8279,16.4665,16.3751,14.82,15.0793,17.3556,17.0544,15.9342
"CELE_F55D12,2",12.8116,12.453,12.1658,13.3911,10.181,12.6425,12.624,13.2473
"C39B5,5",15.8747,15.8476,15.8051,16.5176,16.0018,16.1526,16.4244,16.2374
"CELE_Y32H12A,2",13.0937,12.8866,13.1152,13.1342,16.6999,13.4458,13.5887,13.5492
smg-3,13.3392,12.8755,12.9694,13.2644,13.1537,12.2768,12.6756,13.2371
"CELE_F56B3,4",12.5426,12.0105,12.4902,12.5596,15.3986,16.3726,12.6674,15.8384
"CELE_Y34B4A,8",10.6784,10.2619,10.4153,10.5952,10.0169,9.77462,9.9676,9.98002
csn-6,15.0696,14.9895,14.7764,14.9304,14.7428,14.5738,15.1593,14.8797
marg-1,15.9073,16.0433,15.7617,15.9324,16.4412,16.5175,16.4985,16.4266
grsp-2,15.1349,15.2803,14.9376,14.9601,15.1404,15.4117,15.4934,15.5811
"CELE_T28C6,7",14.0636,14.2933,13.3915,14.0175,13.8489,14.5301,14.7605,14.2535
"CELE_T20D3,3",13.6097,12.4082,13.0779,12.4864,13.9282,14.5716,14.2844,14.1488
"CELE_R102,4;R102,4",16.4847,16.5726,16.4861,16.7854,16.2748,16.3645,16.4753,16.444
sao-1,15.4378,14.7832,15.2937,14.8555,14.1566,14.7679,15.1447,15.366
"CELE_D1086,11",16.2098,16.2474,16.4149,16.4804,17.571,17.6379,17.7224,17.7897
sqrd-1,13.9628,14.1836,13.6318,14.1657,14.4936,14.5347,14.5397,14.5715
