geneName;Leading.proteins,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04
tag-296;A7DT41,21.2109,21.1785,21.7718,19.4215,18.9047,19.4749,17.9286,20.2632
tag-296;A7DT41,21.0691,21.0397,18.0407,20.128,20.8749,20.6043,20.1402,19.1318
tag-296;A7DT41,20.9703,21.2433,20.2388,20.764,15.1323,20.626,17.4691,20.6805
tag-296;A7DT41,20.9853,20.5556,19.6077,20.4815,18.682,20.2086,18.7456,18.0015
tag-296;A7DT41,20.6182,21.3027,21.5734,20.5954,16.7566,19.8939,20.5756,20.2203
mrg-1;Q9XWW2,21.5353,21.0868,20.6244,20.2584,19.0842,19.4561,19.525,20.366
mrg-1;Q9XWW2,20.5101,21.3649,19.961,19.6619,19.3944,18.8212,21.2513,19.4358
igcm-3;A7LPD6,20.99,20.6424,20.0063,21.5853,18.2878,18.3792,19.5631,19.8285
igcm-3;A7LPD6,24.1857,24.8905,25.0602,28.2262,23.8071,24.1422,24.1278,23.9624
gpdh-2;A7LPE6,21.4304,20.3817,21.5546,19.9708,20.2094,19.9123,18.796,21.2944
;Q5FC71,20.7822,21.4339,21.8781,19.5548,21.2009,19.0205,18.2035,18.3436
;Q5FC71,21.4626,20.0995,21.0815,20.7424,18.0799,19.8573,21.9117,21.1497
;Q5FC71,27.8768,27.0131,26.4436,27.0602,23.245,23.0478,24.3309,23.7943
;Q5FC71,27.6564,26.5632,27.0377,25.0677,30.7929,31.0411,30.0853,28.8552
;Q5FC71,33.3555,33.4188,33.6814,28.1987,33.0019,34.3821,33.6803,34.1913
;Q5FC71,24.2607,23.9958,24.6922,27.0456,17.9528,20.2275,19.4644,19.4719
;A8WFH7,25.0506,25.2506,24.5741,21.1438,25.096,26.4556,26.0217,26.7964
;A8WFH7,25.379,25.1923,26.3474,23.1536,26.923,26.1803,25.9857,24.2337
;A8WFH7,24.3052,24.029,24.2603,23.6969,25.1963,25.8901,25.4429,26.0555
;H2KYH9,21.5225,21.0172,20.8943,20.5508,19.7487,17.9815,18.4639,20.7233
mdt-28;A8WHP8;Q65ZB1,23.025,25.3287,22.4559,24.5313,20.1272,19.2286,21.3475,18.0456
mdt-28;A8WHP8;Q65ZB1,21.2604,21.5089,21.1721,21.0287,21.037,16.9152,21.167,18.8475
mdt-28;A8WHP8;Q65ZB1,21.7246,21.272,21.3048,20.635,18.1382,21.431,19.504,17.8746
mdt-28;A8WHP8;Q65ZB1,21.8548,21.3014,21.8023,21.4422,18.1333,19.0979,18.6337,17.3611
mdt-28;A8WHP8;Q65ZB1,22.8721,21.7956,23.8906,22.2759,17.0459,17.4737,20.6031,21.1983
mdt-28;A8WHP8;Q65ZB1,20.5827,19.1302,20.1471,21.2666,18.1265,18.3221,19.3027,17.3529
mdt-28;A8WHP8;Q65ZB1,20.0063,20.9434,21.6443,19.7249,20.8725,21.4506,20.0014,19.4163
mdt-28;A8WHP8;Q65ZB1,23.6495,23.3839,23.9651,23.4029,22.5225,21.7908,22.6423,22.012
mdt-28;A8WHP8;Q65ZB1,22.4982,22.8863,22.7306,20.3378,19.1138,20.0552,19.4904,19.7747
mdt-28;A8WHP8;Q65ZB1,21.7567,20.974,21.275,21.41,19.2174,21.6616,20.6503,18.285
;A9UJN7;Q7YXB8;Q18494,21.6307,21.1563,21.0618,19.4438,21.8906,23.5375,22.3364,21.3585
;A9UJN7;Q7YXB8;Q18494,21.7606,21.2241,20.6012,21.0253,18.4604,17.0602,20.2056,18.0101
;A9UJP1,20.8337,20.2516,21.7994,21.1831,18.9033,20.3709,18.6678,20.2278
;A9UJP1;Q95ZR6;Q9XVL1,21.6074,19.6301,21.3168,19.7908,18.8719,20.8176,18.3692,19.4947
;A9UJP1;Q95ZR6,25.4615,25.1134,25.633,27.1141,24.8615,22.8557,25.1966,24.4543
;A9UJP1;Q95ZR6;Q9XVL1,25.1295,24.9643,25.4021,23.0182,23.8391,23.8874,24.2484,22.8725
;A9Z1K9,20.5842,20.7323,21.317,20.6205,24.0647,23.7384,24.1256,23.4516
hsp-43;B0M0L8;H2KYS1,20.6987,20.7027,20.309,20.7099,24.3909,25.7657,26.1293,24.5924
hsp-43;B0M0L8;H2KYS1,24.7927,25.2357,25.4779,26.086,18.4858,20.3756,19.1893,20.2003
hsp-43;B0M0L8;H2KYS1,20.7058,19.7031,21.8011,20.5861,23.9399,23.6402,23.8659,24.4044
hsp-43;B0M0L8;H2KYS1,25.474,25.5772,24.6546,21.5552,19.1502,21.3765,19.5067,15.6998
;B0M0N4,24.719,24.5634,24.7246,22.1008,18.554,19.3054,20.4548,19.3413
;B0M0N4,24.0699,24.1641,24.3997,24.0027,24.1034,24.6879,24.4911,23.8903
;B0M0N4,21.4247,20.8739,19.8761,21.0103,22.5049,23.6314,22.1662,21.8206
aat-6;B2D6M4,27.6832,26.0726,27.0805,26.0872,25.6658,25.6644,26.3827,25.3771
aat-6;B2D6M4,21.6725,20.2733,21.1519,20.2451,18.5606,20.6826,22.04,19.2727
rmd-2;B2D6P1,21.5443,20.3561,21.313,19.9066,21.2714,20.618,20.8077,20.1283
rmd-2;B2D6P1,21.9892,19.6764,21.8147,21.0431,22.9921,21.1897,22.2918,22.6216
urm-1;B3CKG1,25.6141,23.7333,24.3491,24.1618,18.8264,18.3651,19.2918,18.4032
;B3WFT8,23.7266,24.2193,24.2031,23.4053,22.4824,22.9064,22.5654,22.625
;E1B6S9,20.866,18.9558,20.9479,20.9911,17.5547,21.765,19.0325,21.2777
abts-1;G5EC65,21.7818,21.4303,21.2461,21.3108,18.3909,20.0661,19.6935,17.4703
;B3WFW7,21.5579,22.4365,23.8335,22.577,23.1292,26.0271,22.8694,24.6437
;B3WFY5,23.8415,24.5537,24.4146,25.4662,23.5,23.9385,23.5393,24.3298
;B3WFY5,24.9195,23.0552,21.5764,24.172,24.3826,25.9305,25.809,26.0201
;B3WFY5,19.7482,18.4664,21.4804,21.3404,22.4523,23.791,23.506,24.3395
ifg-1;B5BM23,24.0766,24.3701,23.9299,24.6628,20.4335,18.7878,19.4227,19.9481
ret-1;B5U8N2,21.4913,21.2821,20.7489,20.5406,17.4037,19.9347,21.1609,19.8517
ret-1;B5U8N2;Q23187;Q23188;Q7JLB0,20.4145,20.9176,21.7405,20.0991,20.9354,18.9103,20.7375,19.2448
ret-1;B5U8N2;Q23187;Q23188;Q7JLB0,22.4338,22.3162,23.341,22.5443,22.7243,23.137,24.0986,22.1882
pgp-5;B6VQ78,23.5396,24.0538,24.027,24.4733,24.7936,25.0717,25.3417,26.0154
pgp-5;B6VQ78,24.0253,24.1954,23.8341,24.7094,19.0913,20.749,19.4483,19.8817
pgp-5;B6VQ78,21.642,20.6649,19.8164,20.3838,23.5881,23.6613,25.4553,24.3153
pgp-5;B6VQ78,23.6822,23.377,23.6016,23.0704,19.7066,19.1923,18.6766,19.3035
;D9PTN8,21.3977,21.2719,21.0537,21.2828,18.2814,18.0552,19.9678,18.035
T05H10.4;B7WN71,23.5192,22.6347,24.6094,23.4524,23.1647,23.4752,26.9099,24.7369
rpl-32;B7WN95;Q22716,21.6393,20.813,19.4023,21.1742,20.7585,19.1846,20.8123,21.0274
;B7WNA1,21.2993,19.6165,20.9416,20.8479,19.8961,20.3708,20.6711,21.4848
ztf-18;B9ZSG9,21.1978,21.8127,22.4531,23.278,20.4987,18.4029,17.028,17.9701
uba-1;C1P636,20.779,21.0683,20.7227,21.02,18.4783,20.067,20.0159,19.1758
uba-1;C1P636,21.7447,20.9783,21.5709,20.5026,17.9534,18.0741,18.7596,19.4827
uba-1;C1P636,30.0731,29.2611,30.0036,27.1609,28.8427,28.5983,28.7425,28.1472
uba-1;C1P636,20.6949,21.4646,21.6526,21.297,18.4082,18.2486,20.1828,20.7321
uba-1;C1P636,24.2267,23.6741,25.6649,25.6374,20.3531,20.2175,19.5885,20.3915
;C6KRI9,21.7316,22.0649,22.6537,22.0835,19.1637,17.8387,18.4294,19.3799
;C6KRJ1,25.2667,24.4006,24.3994,21.1837,26.5813,25.9916,26.517,26.9107
;C6KRJ1,20.9254,21.2201,20.9721,21.3205,19.4496,20.9856,19.8474,20.8095
;C6KRL2,21.3642,20.8587,21.6605,21.4991,18.7797,20.0192,20.3605,20.1768
;C6KRL2,21.518,20.5641,20.9167,19.0885,19.8777,16.6764,19.8447,18.5845
;C6KRL2,20.9206,20.205,20.5774,20.9269,19.4769,19.7259,20.5111,18.3891
sao-1;C6KRN1,21.484,21.5206,21.2411,20.3934,19.9763,19.5928,20.3653,19.8188
sao-1;C6KRN1,21.796,20.2897,20.8251,20.2123,18.4955,19.5373,21.2587,17.2448
;C7GIK1,24.5533,24.9669,24.442,23.6684,20.3252,19.5685,21.0744,20.6322
fln-1;D0IMZ5;U4PM01,20.4063,20.9288,21.6402,21.1567,19.4306,20.9576,17.2759,19.339
fln-1;D0IMZ5;U4PM01,21.5125,20.0789,20.6525,19.8493,20.221,19.4202,20.1358,19.5461
laf-1;D0PV95,21.3794,21.5366,20.5142,21.3843,19.5823,20.096,20.1322,20.3444
sql-1;D0Z5P0,20.4903,20.513,20.9884,20.1689,20.2458,18.8091,20.3924,18.9351
sql-1;D0Z5P0,18.7222,20.8157,21.0419,20.9418,21.3789,21.5513,21.9157,21.5353
sql-1;D0Z5P0,21.6657,20.9494,20.5703,20.7088,21.3433,21.3339,22.127,22.7844
;Q22832,25.4476,24.7667,25.5468,27.4295,19.8751,21.241,19.5493,18.5249
;Q22832,20.76,19.8659,20.4732,20.4041,19.348,17.1456,20.6451,19.7882
;Q22832,24.0034,23.9793,23.6716,23.3197,24.8869,23.7701,25.6387,25.1417
;Q8WQB8,21.8786,19.1683,20.8092,20.9791,23.4443,23.6253,24.1386,23.6197
tag-349;D3NQB5,25.1644,24.8759,24.9416,23.4658,18.254,20.9611,19.0671,20.1875
cfp-1;D3YT77,21.9817,20.6194,21.2085,20.0378,17.3798,17.1247,20.9992,19.0978
cfp-1;D3YT77,21.9037,19.8792,20.6222,20.1827,19.3181,20.814,19.8466,19.5324
dct-16;D4YWC3;Q9XX57,20.4978,17.9466,19.3766,21.2841,18.2902,18.6151,18.8924,17.4355
dct-16;D4YWC3;Q9XX57,21.9399,20.4445,21.6109,23.8536,21.3433,18.9633,21.9357,18.6676
dct-16;D4YWC3;Q9XX57,20.8252,19.3187,20.7424,20.6136,19.0474,18.9917,20.9751,18.6871
dct-16;D4YWC3;Q9XX57,24.0414,23.2599,23.3684,23.8516,19.9255,21.2079,20.7915,19.7067
dct-16;D4YWC3;Q9XX57,23.9589,24.9347,24.7792,24.7218,20.6749,19.2268,21.3645,19.768
dct-16;D4YWC3;Q9XX57,25.0168,22.7489,23.5382,24.3993,19.5703,20.7599,18.7343,19.4895
dct-16;D4YWC3;Q9XX57,22.0108,20.7942,21.9539,25.7404,20.5029,18.008,19.7139,19.4237
larp-1;D5MCN2,21.1054,19.6121,21.0601,21.4013,19.6774,17.7611,20.4562,18.0478
sup-26;D5MCQ2,21.0324,20.305,20.7311,21.2944,20.3431,18.836,20.4494,18.8296
;O17698,21.2444,19.3065,21.5333,20.9985,20.5043,18.6634,19.8905,18.8026
mdt-9;D5SGZ9,21.3976,20.1255,20.0957,20.2174,17.2061,18.8926,21.3559,19.6515
mdt-9;D5SGZ9,21.0542,19.9669,19.7995,20.951,19.0659,20.1856,20.0463,20.0782
