geneName,log2 eat2_d15_01,log2 eat2_d15_02,log2 eat2_d15_03,log2 eat2_d15_04,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04
"rpl-11,2",14.7162,14.957,14.2825,15.4393,15.41,15.1754,16.0903,15.4407
sgn-1,14.6775,15.2386,14.6818,13.9896,11.9526,12.0081,11.8205,11.8569
prx-12,13.1321,13.5967,14.6781,14.6859,17.339,17.1663,17.3261,17.2055
"F08B12,4",24.1045,24.0577,23.8796,24.0029,20.372,20.3128,19.7751,20.2636
sto-1,18.5349,19.051,18.6681,18.9546,16.7584,16.7156,16.5942,16.7194
apy-1,15.8467,16.2602,16.0686,16.7901,16.1173,15.9745,16.0587,15.9519
unc-98,16.4888,16.7331,16.8627,16.8469,14.5799,14.6638,14.6496,14.6921
numr-2,13.5951,15.1982,14.3166,15.3637,16.3451,16.1963,16.0979,16.3299
"CELE_F08G12,2",14.8048,14.9786,14.2445,15.3656,14.2576,14.221,13.8258,14.6152
irg-4,14.1702,15.5076,14.9147,14.8216,15.4658,15.1667,15.3696,15.1279
clec-57,13.2723,15.2832,14.2936,15.2523,14.0189,15.3048,14.2998,15.0357
clec-56,14.3808,15.231,14.9012,15.2273,11.9986,11.614,11.8696,11.7961
unc-115,17.0406,17.851,17.0367,18.0548,15.6079,15.6581,15.597,15.4993
dhs-25,14.8806,15.5286,15.0233,15.2071,16.3397,16.4912,15.7867,15.458
toca-1,13.7318,15.0818,14.7196,15.0095,14.0362,13.5072,13.8993,13.6608
"CELE_F09E5,7",18.3014,15.6819,16.4728,15.9988,15.5372,15.4932,15.6257,15.456
sec-6,13.3157,15.2718,14.891,14.6066,15.2974,15.3876,15.2989,15.0936
"F09E5,3",17.2721,18.0914,17.0902,17.3907,17.0236,16.9756,16.8777,16.9094
algn-2,16.6147,16.8888,15.8437,16.4649,14.3607,14.4323,14.2944,14.2651
pkc-3,14.6953,12.8039,13.2032,14.7197,13.296,13.7851,13.7444,13.631
"CELE_F09F7,6",15.2246,14.9558,14.6035,14.7098,15.0051,14.3903,13.9578,14.3361
hach-1,16.3982,15.1149,16.4573,17.4715,16.1117,16.1626,15.973,16.0877
ifb-1,22.5836,23.0056,22.6497,23.0708,19.9464,19.892,19.9278,19.8955
