geneName,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04
"CELE_Y63D3A,7",19.0385,18.1957,18.7768,18.1969,18.4533,19.033,18.5279,19.0514
bub-3,16.93,16.8414,17.7732,18.9878,15.8106,15.6985,16.0727,15.6363
btb-14,15.0879,14.7523,16.411,16.1242,12.4922,12.413,12.5026,12.8891
"CELE_Y54E2A,4",11.9355,13.7271,12.2976,15.0437,13.459,12.8898,13.0581,13.4477
"eif-3,B",18.3395,18.4269,18.0116,18.8613,16.4643,16.3588,16.421,16.6366
"CELE_Y51H1A,3",17.5481,18.5572,17.9985,18.2826,16.4621,16.3845,16.4055,16.0369
dus-2,14.4122,14.4438,14.3248,14.7968,12.753,13.5014,13.4728,12.3494
"CELE_Y54E5A,5",17.3598,16.8644,16.3186,17.0382,16.5865,16.655,16.82,16.6343
npp-4,14.487,12.857,13.9868,14.9109,14.3389,14.1389,14.2649,14.5546
ttr-17,19.1055,18.2075,19.5581,18.8414,17.5431,16.2744,16.4472,16.7091
oig-2,17.2634,17.5998,17.4035,18.0795,16.0421,15.6587,16.0087,15.0617
nlp-26,14.2676,14.0042,13.9546,14.75,16.6909,16.2041,16.491,16.6533
"CELE_Y43F8C,13",18.0303,18.0328,18.3324,18.9988,16.3567,16.2643,16.405,16.1319
mrps-28,18.2365,17.3947,17.4438,17.6779,16.0995,16.0995,16.1424,15.686
"CELE_Y43F8C,7",14.4361,14.3071,14.4717,14.7856,16.0582,15.6434,16.2584,15.5995
"eif-3,j",20.476,20.3388,20.3776,21.126,18.2759,18.1346,18.2019,18.4625
dsbn-1,14.73,15.6381,14.9702,16.2675,13.4394,13.0537,13.0507,13.7966
sec-8,13.9452,14.1701,14.4057,14.9592,13.1167,11.9666,12.1949,12.9907
rpl-30,13.5832,13.8313,13.8998,15.1623,19.1866,19.284,18.6357,19.3041
"CELE_Y62H9A,5",20.5403,19.9794,19.8164,20.199,17.169,16.3645,16.66,16.669
ule-5,19.9105,20.1149,20.2952,21.1352,16.3611,16.4971,16.5716,16.3289
"CELE_Y62H9A,4",18.7938,18.852,18.8247,20.2595,15.1652,15.4223,15.3949,15.2759
"CELE_Y62H9A,3",14.4108,13.9086,14.0555,14.8095,15.755,15.6396,15.7573,15.836
sup-1,20.5022,20.2411,20.6417,21.8434,17.7905,17.7179,18.0154,18.2789
epg-3,15.8164,16.9873,16.8163,16.865,14.3809,15.5487,15.1897,14.9937
