geneName;Leading.proteins,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04,log2 N2_d5_01,log2 N2_d5_02,log2  N2_d5_03,log2 N2_d5_04
hsp-43;B0M0L8;H2KYS1,25.3746,24.7047,25.5014,22.9531,25.0669,24.6252,24.1689,25.7503
hsp-43;B0M0L8;H2KYS1,24.8394,24.8236,23.7881,25.6991,26.4042,26.784,27.2719,26.8728
hsp-43;B0M0L8;H2KYS1,21.5699,21.4254,18.283,17.4387,21.771,21.5422,20.5958,20.3997
hsp-43;B0M0L8;H2KYS1,23.7064,23.9818,24.5245,24.5644,21.6254,21.426,19.2773,20.1796
;B0M0N4,22.921,23.0128,23.1922,22.0914,21.5457,20.9462,20.6301,21.7356
;B0M0N4,24.8491,24.2209,23.299,23.6631,24.3545,24.1015,24.2058,24.8165
;B0M0N4,20.8989,20.4911,20.9516,19.9531,21.8675,21.4405,21.0146,21.0157
aat-6;B2D6M4,25.0242,24.7169,22.3951,25.4842,26.2487,26.0746,26.1457,25.9289
aat-6;B2D6M4,20.3312,18.7969,18.3435,20.3708,20.7393,20.1756,20.1562,20.8222
rmd-2;B2D6P1,19.6455,19.1665,20.5828,19.0339,21.3708,20.4166,21.3986,21.5525
rmd-2;B2D6P1,20.9456,18.1367,19.7739,19.7587,23.9889,21.1143,22.8276,23.5128
urm-1;B3CKG1,25.5169,24.6765,24.299,25.4706,20.8366,21.7237,21.4584,21.8401
;B3WFT8,18.8906,21.6798,19.3382,21.1018,23.8234,24.3407,21.4686,22.4335
;E1B6S9,18.5055,19.5159,20.471,20.5876,20.6909,21.0804,20.911,21.741
abts-1;G5EC65,20.0137,18.961,20.0984,20.9006,21.3563,21.128,20.5632,21.017
;B3WFW7,21.6492,20.9017,20.363,19.6692,20.8087,21.4767,20.661,20.7372
;B3WFY5,20.1471,19.9224,20.5159,20.0643,25.0722,24.9864,24.7046,24.418
;B3WFY5,20.6087,19.3633,18.5213,19.5588,25.6881,24.9888,24.1979,25.6228
;B3WFY5,20.3188,20.6144,18.0508,19.5831,25.0238,23.2217,22.8008,24.0372
ifg-1;B5BM23,24.6554,28.001,26.9035,24.9911,23.2426,22.4601,22.0897,21.8175
ret-1;B5U8N2,20.9275,18.458,19.2809,19.8195,21.2931,21.1508,20.4474,19.8255
ret-1;B5U8N2;Q23187;Q23188;Q7JLB0,18.5891,19.3945,18.1408,19.2951,24.4357,23.3494,25.0926,25.4901
ret-1;B5U8N2;Q23187;Q23188;Q7JLB0,20.2823,22.04,22.2431,20.3698,21.2548,20.1523,20.9375,21.2505
pgp-5;B6VQ78,20.4379,21.6183,19.0797,21.4703,24.1792,21.6598,22.4392,23.7967
pgp-5;B6VQ78,20.8038,20.1511,20.7912,16.8367,21.911,20.9375,19.6359,19.6854
pgp-5;B6VQ78,24.3378,23.3053,24.5415,24.1716,23.041,23.199,23.8769,23.2785
pgp-5;B6VQ78,19.6729,20.173,19.3842,21.3401,21.4422,21.7248,20.7787,21.7891
;D9PTN8,18.6103,21.5009,19.9923,20.8981,20.4434,21.1005,20.4689,20.7574
T05H10.4;B7WN71,21.3051,20.4612,21.3318,20.9079,21.6426,21.3774,22.014,22.5013
rpl-32;B7WN95;Q22716,18.6339,18.9948,20.5597,19.0219,25.54,25.4733,23.0685,23.5677
;B7WNA1,18.9649,19.6399,16.1957,20.7917,21.9873,20.5899,20.9067,21.6393
ztf-18;B9ZSG9,19.2492,21.4031,20.1159,21.6253,23.123,23.9696,22.4336,22.6807
uba-1;C1P636,19.3069,20.02,20.2565,18.1938,28.6917,28.3212,27.399,28.6877
uba-1;C1P636,19.9231,20.8242,19.1974,20.7405,23.4633,22.0191,22.4369,24.013
uba-1;C1P636,29.0672,29.0811,26.665,28.3934,27.8327,27.0434,26.8239,27.0193
uba-1;C1P636,24.2992,24.5216,22.8176,21.8888,25.2971,24.2513,24.2115,25.242
uba-1;C1P636,23.1656,24.346,23.0557,21.3466,21.7011,20.6463,20.9351,20.9927
;C6KRI9,20.5404,19.9961,19.447,21.0194,19.4767,21.1637,20.9227,20.3708
;C6KRJ1,25.8227,24.1202,22.8888,23.3619,24.4959,25.1803,24.5876,24.9174
;C6KRJ1,20.4345,20.0403,21.2073,19.0621,20.3136,19.3152,21.1426,21.6047
;C6KRL2,18.5006,18.7205,21.3008,19.9102,20.7115,19.9717,20.3784,21.3875
;C6KRL2,23.4956,24.7054,24.6075,27.8132,24.9609,23.8074,24.1593,25.5308
;C6KRL2,19.3605,18.5214,20.1183,21.3487,20.601,21.7613,20.2862,21.7961
sao-1;C6KRN1,20.1329,17.7984,19.8138,19.1514,21.8475,21.0194,21.1391,21.2472
sao-1;C6KRN1,20.8556,18.1967,20.8979,20.3967,20.8672,22.2583,22.1751,21.6872
;C7GIK1,23.5984,23.4143,23.2184,24.3659,24.1429,24.7102,24.3196,25.0001
fln-1;D0IMZ5;U4PM01,19.2979,19.2886,19.6966,19.6906,21.4059,21.4571,20.162,20.2933
fln-1;D0IMZ5;U4PM01,19.5925,16.6559,21.1961,19.1623,21.0414,21.0617,20.7607,21.7131
laf-1;D0PV95,18.8704,21.7591,20.52,18.4742,19.8041,20.6465,20.9017,21.2715
sql-1;D0Z5P0,20.5393,20.9306,21.6536,21.1374,23.7733,23.368,22.1273,23.2128
sql-1;D0Z5P0,20.1201,21.1421,19.0406,18.0569,21.5469,21.2464,19.8034,20.8392
sql-1;D0Z5P0,19.8864,19.7668,21.1806,16.021,23.0573,21.939,21.0128,21.549
;Q22832,24.0439,23.8433,25.3622,24.9494,25.3912,23.9264,22.2568,24.643
;Q22832,19.7646,17.9543,20.127,21.2347,21.8129,20.9894,21.229,21.6336
;Q22832,25.3624,25.2572,25.1702,23.4636,25.357,24.5592,24.4791,24.4851
;Q8WQB8,18.4305,20.9784,19.6773,20.6198,21.8987,22.5055,23.1307,21.6378
tag-349;D3NQB5,23.4123,24.1932,22.8003,21.5,21.4958,20.9836,21.5373,21.1974
